date,open,close,high,low,volume,amount
2009-12-01,4405.731,4525.288,4525.649,4386.826,7608966400,
2009-12-02,4547.980,4591.384,4605.878,4534.450,8762787200,
2009-12-03,4582.261,4621.941,4625.636,4555.473,7904182400,
2009-12-04,4614.683,4506.082,4651.148,4403.136,9398536000,
2009-12-07,4508.626,4581.242,4581.578,4503.494,6049309600,
2009-12-08,4584.160,4571.764,4598.095,4520.924,6640363600,
2009-12-09,4524.624,4498.152,4566.237,4474.096,5535167200,
2009-12-10,4517.704,4536.557,4553.819,4485.821,4541781600,
2009-12-11,4546.610,4534.763,4576.217,4517.528,4711364800,
2009-12-14,4533.364,4513.594,4533.797,4417.726,4609314400,
2009-12-15,4507.158,4523.493,4545.354,4492.240,4658103200,
2009-12-16,4509.822,4506.039,4543.097,4491.020,4341789200,
2009-12-17,4506.367,4364.926,4518.944,4362.838,4492709600,
2009-12-18,4318.065,4203.480,4318.987,4194.965,4298715200,
2009-12-21,4195.117,4256.389,4257.017,4185.109,3209972000,
2009-12-22,4260.744,4136.822,4263.337,4124.080,3684896800,
2009-12-23,4132.155,4210.173,4210.665,4129.892,3288884800,
2009-12-24,4213.821,4345.296,4350.525,4209.975,4436008000,
2009-12-25,4342.350,4376.193,4398.458,4324.855,4272454000,
2009-12-28,4388.778,4447.205,4447.757,4388.274,4374973600,
2009-12-29,4451.928,4463.604,4465.461,4393.902,4527214400,
2009-12-30,4459.723,4446.067,4470.308,4408.384,4808960400,
2009-12-31,4444.248,4485.255,4487.451,4432.289,4529280000,
2010-01-04,4508.930,4510.527,4542.710,4487.365,5125673600,
2010-01-05,4513.403,4557.475,4558.210,4480.188,5704074400,
2010-01-06,4553.369,4550.279,4595.102,4538.719,5787597900,
2010-01-07,4540.009,4459.155,4554.932,4436.767,5787344000,
2010-01-08,4439.206,4514.452,4514.719,4426.235,4657364800,
2010-01-11,4549.318,4542.949,4558.461,4502.994,5708973200,
2010-01-12,4535.304,4639.632,4640.353,4524.675,6206168900,
2010-01-13,4544.429,4591.024,4650.059,4526.838,6789880800,
2010-01-14,4598.405,4714.100,4714.873,4598.405,6791848000,
2010-01-15,4720.217,4747.648,4753.189,4712.624,5851337200,
2010-01-18,4744.325,4829.062,4829.361,4738.911,6328435600,
2010-01-19,4835.827,4830.016,4852.325,4791.990,6615494400,
2010-01-20,4830.421,4651.074,4831.701,4635.669,7808653600,
2010-01-21,4646.622,4667.209,4696.161,4611.760,5093667600,
2010-01-22,4613.193,4537.880,4633.394,4453.690,6018718400,
2010-01-25,4515.131,4481.160,4542.786,4477.187,4139508400,
2010-01-26,4467.521,4294.383,4492.645,4254.323,4152028000,
2010-01-27,4290.736,4267.113,4344.132,4229.517,3292415200,
2010-01-28,4266.056,4336.381,4340.409,4249.771,3212733000,
2010-01-29,4316.237,4374.649,4418.402,4298.654,3988806400,
2010-02-01,4366.489,4331.366,4372.572,4269.330,4309502800,
2010-02-02,4344.037,4301.768,4388.351,4296.883,3853250400,
2010-02-03,4299.966,4363.079,4363.668,4160.352,4852668000,
2010-02-04,4342.680,4408.441,4445.754,4316.813,5187378400,
2010-02-05,4312.549,4311.293,4382.344,4270.710,4967040400,
2010-02-08,4299.251,4310.894,4330.204,4279.662,3194607600,
2010-02-09,4300.320,4311.891,4334.343,4284.517,2989658000,
2010-02-10,4333.854,4366.250,4366.495,4326.019,2589719600,
2010-02-11,4367.721,4356.517,4385.197,4352.114,2448541000,
2010-02-12,4365.619,4416.219,4418.539,4365.477,2451138000,
2010-02-22,4412.553,4419.547,4457.223,4401.057,3146942600,
2010-02-23,4414.055,4459.155,4459.726,4352.442,3884211200,
2010-02-24,4438.395,4556.281,4556.723,4419.452,4802456800,
2010-02-25,4565.744,4629.965,4632.970,4564.024,5551940800,
2010-02-26,4618.639,4634.671,4656.927,4602.016,4953052000,
2010-03-01,4635.953,4686.266,4692.833,4635.953,5386243600,
2010-03-02,4692.606,4690.293,4705.160,4660.166,5662886000,
2010-03-03,4690.436,4758.434,4761.577,4680.311,6357355200,
2010-03-04,4763.637,4586.523,4780.016,4572.070,6847070400,
2010-03-05,4590.886,4604.586,4632.040,4550.096,5237147600,
2010-03-08,4618.857,4654.583,4665.061,4612.218,4503946800,
2010-03-09,4653.062,4660.126,4674.509,4607.864,4721442800,
2010-03-10,4659.500,4598.994,4674.064,4564.431,4479956000,
2010-03-11,4594.501,4562.872,4608.643,4519.026,3756112000,
2010-03-12,4561.609,4492.861,4575.996,4489.534,3540021200,
2010-03-15,4485.875,4454.760,4498.103,4426.189,2992878000,
2010-03-16,4453.812,4491.465,4492.040,4426.607,2766447600,
2010-03-17,4500.427,4616.053,4616.109,4500.255,4436945200,
2010-03-18,4627.998,4630.953,4653.681,4605.912,4979134800,
2010-03-19,4632.050,4663.903,4665.909,4609.013,4641554400,
2010-03-22,4669.413,4690.198,4695.082,4649.531,4720032000,
2010-03-23,4690.273,4658.626,4697.727,4642.975,4704866800,
2010-03-24,4662.987,4683.065,4692.318,4662.536,4744276800,
2010-03-25,4675.222,4620.749,4675.222,4609.165,4895411600,
2010-03-26,4609.752,4686.931,4693.762,4601.691,4521928000,
2010-03-29,4701.789,4723.611,4723.745,4682.409,5028324000,
2010-03-30,4720.577,4744.423,4748.908,4708.428,4734372400,
2010-03-31,4744.344,4756.157,4757.316,4726.518,4910827600,
2010-04-01,4756.298,4827.214,4828.103,4755.933,6187885600,
2010-04-02,4833.810,4843.175,4851.938,4820.065,5943194400,
2010-04-06,4853.328,4852.904,4862.168,4814.252,5739704800,
2010-04-07,4851.831,4863.639,4865.753,4829.017,5328918400,
2010-04-08,4856.411,4864.922,4881.907,4845.605,5717551200,
2010-04-09,4866.519,4939.176,4939.408,4866.243,5841922400,
2010-04-12,4948.103,4976.380,4976.832,4932.626,7228172000,
2010-04-13,4977.757,4919.873,4993.367,4793.284,7346944000,
2010-04-14,4910.701,4977.508,4978.269,4896.573,5620229200,
2010-04-15,4975.078,4914.747,4984.356,4879.912,5425112400,
2010-04-16,4900.600,4898.670,4936.876,4852.407,4304573600,
2010-04-19,4850.863,4688.836,4880.535,4688.120,5827744800,
2010-04-20,4680.197,4749.934,4750.489,4607.200,5271907200,
2010-04-21,4753.118,4893.978,4896.661,4747.387,6395338400,
2010-04-22,4881.255,4902.405,4950.494,4849.557,6599520800,
2010-04-23,4892.037,4864.164,4936.731,4840.168,5576390000,
2010-04-26,4868.725,4866.553,4904.970,4847.913,4851044800,
2010-04-27,4852.193,4739.269,4852.193,4645.159,5371586800,
2010-04-28,4682.326,4714.432,4767.801,4652.872,4431985600,
2010-04-29,4730.490,4561.400,4758.760,4560.131,4829340000,
2010-04-30,4540.652,4438.681,4547.479,4350.147,4381965600,
2010-05-04,4353.452,4434.131,4484.460,4324.504,3183759200,
2010-05-05,4388.503,4564.807,4565.239,4377.384,4329849600,
2010-05-06,4557.446,4419.781,4583.184,4418.739,4498350000,
2010-05-07,4313.653,4350.758,4443.534,4285.466,4221155200,
2010-05-10,4346.702,4269.108,4391.034,4175.665,4019216000,
2010-05-11,4350.771,4144.352,4366.687,4134.601,4002581200,
2010-05-12,4100.604,4042.516,4154.475,3979.128,3657183600,
2010-05-13,4042.315,4157.842,4158.347,3974.102,3651686400,
2010-05-14,4129.892,4184.841,4217.607,4107.176,3694244000,
2010-05-17,4125.661,3915.752,4132.379,3915.752,3760313200,
2010-05-18,3894.094,3972.154,3983.876,3818.290,3771298400,
2010-05-19,3946.148,3977.377,4037.847,3908.640,3496052000,
2010-05-20,3941.610,3901.257,4025.803,3890.352,3343432400,
2010-05-21,3787.150,3982.385,3982.412,3768.097,4023081200,
2010-05-24,4016.351,4163.477,4170.729,4016.351,5441927600,
2010-05-25,4134.931,4133.346,4177.786,4087.096,4745101600,
2010-05-26,4117.490,4144.662,4165.290,4097.242,3422970800,
2010-05-27,4133.325,4218.637,4228.444,4083.622,4365236000,
2010-05-28,4254.849,4235.322,4270.167,4203.488,4531411200,
2010-05-31,4214.623,4104.364,4259.164,4104.364,4140822000,
2010-06-01,4059.415,4025.789,4091.441,3933.393,3874619200,
2010-06-02,4004.128,4083.616,4084.048,3960.335,3270880000,
2010-06-03,4099.855,4053.985,4146.656,4053.546,3754352800,
2010-06-04,4025.277,4089.035,4095.486,4013.969,3141512400,
2010-06-07,4000.650,4072.568,4082.379,3985.146,3497036000,
2010-06-08,4064.784,4109.317,4122.390,4047.819,3423959600,
2010-06-09,4124.807,4211.881,4212.175,4110.434,4755827200,
2010-06-10,4191.293,4223.566,4261.161,4176.428,4188617200,
2010-06-11,4239.059,4197.995,4252.102,4193.082,3441800800,
2010-06-17,4221.599,4145.243,4237.101,4144.069,2899836200,
2010-06-18,4131.677,3972.286,4131.677,3945.727,3504262400,
2010-06-21,3960.250,4087.017,4087.447,3924.415,3508624000,
2010-06-22,4081.642,4119.722,4136.592,4069.225,3461653600,
2010-06-23,4098.259,4094.568,4138.777,4039.925,3126797600,
2010-06-24,4090.974,4095.295,4120.840,4070.488,2497078800,
2010-06-25,4079.192,4028.433,4080.023,3992.374,2580171600,
2010-06-28,4023.107,3961.382,4036.429,3944.470,2111946800,
2010-06-29,3960.676,3736.982,3973.927,3735.119,3357564400,
2010-06-30,3699.181,3664.464,3701.331,3620.274,2553734000,
2010-07-01,3657.956,3606.593,3692.903,3604.357,2246347000,
2010-07-02,3600.760,3585.576,3609.002,3430.361,3087686800,
2010-07-05,3535.741,3563.882,3586.578,3498.903,2248425200,
2010-07-06,3556.190,3665.334,3665.379,3554.071,2959201200,
2010-07-07,3672.150,3718.662,3718.931,3656.298,2894769200,
2010-07-08,3729.238,3698.342,3736.510,3663.731,2779247200,
2010-07-09,3699.313,3807.604,3817.669,3677.338,4073329600,
2010-07-12,3809.747,3849.520,3866.782,3799.429,4001443600,
2010-07-13,3816.463,3788.751,3816.463,3747.396,3444529600,
2010-07-14,3795.211,3824.046,3862.386,3795.176,3540966000,
2010-07-15,3817.178,3735.395,3850.196,3735.285,3271061200,
2010-07-16,3713.659,3757.432,3764.835,3672.020,2798721200,
2010-07-19,3718.130,3842.313,3848.631,3701.931,3507423600,
2010-07-20,3849.042,3951.358,3951.542,3848.741,5268350400,
