rank,symbol,last_close,lots_100_est,est_yuan,score
1,sz.301559,13.09000015258789,3,3927.0,0.09005174785852432
2,sz.300928,24.920000076293945,2,4984.0,0.08698990195989609
3,sz.301519,12.0600004196167,4,4824.0,0.08510608226060867
4,sz.301100,15.640000343322754,3,4692.0,0.08499181270599365
5,sh.600653,1.7200000286102295,29,4988.0,0.0841977596282959
6,sz.301097,34.59000015258789,1,3459.0,0.08290768414735794
7,sz.000868,3.559999942779541,14,4984.0,0.08155059814453125
8,sz.300621,7.409999847412109,6,4446.0,0.08014781773090363
9,sz.300625,9.640000343322754,5,4820.0,0.08005116879940033
10,sz.300614,10.760000228881836,4,4304.0,0.07989054173231125
11,sz.301260,12.15999984741211,4,4864.0,0.07961100339889526
12,sz.300707,12.020000457763672,4,4808.0,0.07800059765577316
13,sz.301311,14.039999961853027,3,4212.0,0.07763028889894485
14,sz.301355,10.270000457763672,4,4108.0,0.07749269157648087
15,sz.000605,5.980000019073486,8,4784.0,0.07713556289672852
16,sz.301112,30.389999389648438,1,3039.0,0.07619336992502213
17,sh.600358,5.25,9,4725.0,0.07600408792495728
18,sh.603028,7.0,7,4900.0,0.07576707005500793
19,sz.002633,14.649999618530273,3,4395.0,0.07563389092683792
20,sz.301378,25.549999237060547,1,2555.0,0.07557489722967148
