rank,symbol,last_close,lots_100_est,est_yuan,score
1,sh.600653,1.7400000095367432,5,870.0,0.0892379954457283
2,sz.000868,3.5799999237060547,2,716.0,0.08649247884750366
3,sh.600533,2.2300000190734863,4,892.0,0.08223000913858414
4,sh.600241,7.5,1,750.0,0.08118359744548798
5,sz.002799,6.929999828338623,1,693.0,0.08107254654169083
6,sz.000929,9.239999771118164,1,924.0,0.07909426093101501
7,sz.000607,3.700000047683716,2,740.0,0.07862827926874161
8,sz.002877,7.420000076293945,1,742.0,0.07844836264848709
9,sh.600386,3.4800000190734863,2,696.0,0.07824978232383728
10,sh.600858,4.989999771118164,2,998.0,0.07747495919466019
