trade_date,listed_count,active_count,delisted_count,suspended_count,ST_count,price_available_count,invalid_count
1990-12-19,8,8,0,,8,8,0
1990-12-20,8,8,0,,,8,0
1990-12-21,8,8,0,,,8,0
1990-12-24,8,8,0,,,8,0
1990-12-25,8,8,0,,,8,0
1990-12-26,8,8,0,,,8,0
1990-12-27,8,8,0,,,8,0
1990-12-28,8,8,0,,,8,0
1990-12-31,8,8,0,,,8,0
1991-01-02,8,8,0,,,8,0
1991-01-03,8,8,0,,,8,0
1991-01-04,8,8,0,,,8,0
1991-01-07,8,8,0,,,8,0
1991-01-08,8,8,0,,,8,0
1991-01-09,8,8,0,,,8,0
1991-01-10,8,8,0,,,8,0
1991-01-11,8,8,0,,,8,0
1991-01-14,9,9,0,,,9,0
1991-01-15,9,9,0,,,9,0
1991-01-16,9,9,0,,,9,0
1991-01-17,9,9,0,,,9,0
1991-01-18,9,9,0,,,9,0
1991-01-21,9,9,0,,,9,0
1991-01-22,9,9,0,,,9,0
1991-01-23,9,9,0,,,9,0
1991-01-24,9,9,0,,,9,0
1991-01-25,9,9,0,,,9,0
1991-01-28,9,9,0,,,9,0
1991-01-29,10,10,0,,,10,0
1991-01-30,10,10,0,,,10,0
1991-01-31,10,10,0,,,10,0
1991-02-01,10,10,0,,,10,0
1991-02-04,10,10,0,,,10,0
1991-02-05,10,10,0,,,10,0
1991-02-06,10,10,0,,,10,0
1991-02-07,10,10,0,,,10,0
1991-02-08,10,10,0,,,10,0
1991-02-11,10,10,0,,,10,0
1991-02-12,10,10,0,,,10,0
1991-02-13,10,10,0,,,10,0
1991-02-14,10,10,0,,,10,0
1991-02-19,10,10,0,,,10,0
1991-02-20,10,10,0,,,10,0
1991-02-21,10,10,0,,,10,0
1991-02-22,10,10,0,,,10,0
1991-02-25,10,10,0,,,10,0
1991-02-26,10,10,0,,,10,0
1991-02-27,10,10,0,,,10,0
1991-02-28,10,10,0,,,10,0
1991-03-01,10,10,0,,,10,0
1991-03-04,10,10,0,,,10,0
1991-03-05,10,10,0,,,10,0
1991-03-06,10,10,0,,,10,0
1991-03-07,10,10,0,,,10,0
1991-03-08,10,10,0,,,10,0
1991-03-11,10,10,0,,,10,0
1991-03-12,10,10,0,,,10,0
1991-03-13,10,10,0,,,10,0
1991-03-14,10,10,0,,,10,0
1991-03-15,10,10,0,,,10,0
1991-03-18,10,10,0,,,10,0
1991-03-19,10,10,0,,,10,0
1991-03-20,10,10,0,,,10,0
1991-03-21,10,10,0,,,10,0
