date,open,high,low,close,volume,open_interest,settle
2013-12-06,126.050,129.000,123.000,125.850,87078,4052,126.500
2013-12-09,126.000,131.550,124.750,131.550,62682,12556,129.450
2013-12-10,133.000,135.650,131.700,132.950,342330,27272,133.450
2013-12-11,132.950,136.600,132.000,136.250,343232,49252,134.050
2013-12-12,136.100,138.050,133.800,134.050,532196,47298,135.700
2013-12-13,133.700,135.100,132.300,132.850,244810,37858,133.550
2013-12-16,133.100,134.900,132.100,134.500,252466,47976,133.700
2013-12-17,134.950,134.950,132.400,132.550,197926,44078,133.700
2013-12-18,132.600,133.050,129.700,131.350,231182,42176,131.100
2013-12-19,131.400,132.100,130.550,131.350,128568,43722,131.400
2013-12-20,131.150,131.900,129.850,130.950,122328,39572,130.650
2013-12-23,130.900,133.350,130.600,131.750,187814,46882,132.050
2013-12-24,131.900,133.350,131.000,132.050,208442,66380,132.200
2013-12-25,132.350,133.200,130.550,130.600,169752,73346,132.300
2013-12-26,130.150,130.200,127.050,127.050,200080,64060,128.100
2013-12-27,126.050,126.450,124.350,124.500,266966,67064,125.150
2013-12-30,124.000,124.500,120.500,122.850,264712,63302,122.850
2013-12-31,122.500,123.750,121.700,122.850,131290,59742,122.800
2014-01-02,123.000,123.500,121.350,121.550,98992,64480,122.200
2014-01-03,120.950,122.650,120.100,122.500,125444,55958,121.300
2014-01-06,122.350,122.450,117.400,120.350,324644,53322,119.400
2014-01-07,120.950,122.350,120.150,121.100,235264,53530,121.300
2014-01-08,121.000,121.100,118.700,120.600,189634,50766,119.850
2014-01-09,120.700,124.600,120.050,123.650,319882,57004,123.600
2014-01-10,122.900,125.100,122.600,124.150,204376,62000,123.850
2014-01-13,124.600,124.850,123.400,123.800,131256,66222,124.000
2014-01-14,124.050,125.400,122.300,125.250,232054,67636,123.850
2014-01-15,125.050,125.700,124.200,124.500,203034,69988,124.900
2014-01-17,122.050,125.000,122.050,124.800,212216,69328,123.700
2014-01-20,124.850,128.450,124.800,125.850,224422,83564,126.500
2014-01-21,125.500,126.450,124.250,124.850,179466,84968,125.250
2014-01-22,125.000,127.600,123.650,123.900,334758,90038,125.750
2014-01-23,124.000,127.100,124.000,125.850,266270,80656,0.000
