date,open,high,low,close,volume,open_interest,settle
2013-10-18,978.000,984.000,962.000,977.000,300818,65042,975.000
2013-10-21,976.000,977.000,960.000,969.000,95432,68130,967.000
2013-10-22,963.000,966.000,948.000,948.000,91296,76004,956.000
2013-10-23,949.000,953.000,936.000,939.000,116490,81162,944.000
2013-10-24,938.000,939.000,916.000,926.000,169028,87872,928.000
2013-10-25,928.000,936.000,917.000,918.000,104060,86472,927.000
2013-10-28,920.000,928.000,917.000,923.000,83790,93480,922.000
2013-10-29,924.000,925.000,913.000,921.000,105876,99058,917.000
2013-10-30,919.000,930.000,916.000,924.000,118272,91262,922.000
2013-10-31,925.000,927.000,920.000,922.000,74672,84820,923.000
2013-11-01,921.000,954.000,921.000,942.000,321242,107582,942.000
2013-11-04,943.000,957.000,942.000,950.000,175080,122298,949.000
2013-11-05,948.000,954.000,943.000,946.000,108384,121942,947.000
2013-11-06,949.000,951.000,942.000,944.000,69362,123650,945.000
2013-11-07,945.000,947.000,939.000,945.000,91676,124958,944.000
2013-11-08,947.000,948.000,936.000,939.000,66340,120532,940.000
2013-11-11,940.000,944.000,934.000,942.000,57564,112342,938.000
2013-11-12,940.000,944.000,936.000,943.000,45594,107938,939.000
2013-11-13,941.000,952.000,940.000,943.000,96484,110812,946.000
2013-11-14,940.000,944.000,937.000,937.000,55752,103446,940.000
2013-11-15,939.000,942.000,930.000,931.000,76014,102752,935.000
2013-11-18,931.000,935.000,925.000,932.000,52704,99378,930.000
2013-11-19,931.000,943.000,930.000,942.000,60164,106904,936.000
2013-11-21,942.000,943.000,932.000,932.000,41322,105090,935.000
2013-11-22,934.000,935.000,929.000,931.000,52592,106092,932.000
2013-11-25,933.000,936.000,928.000,933.000,38196,104188,932.000
2013-11-26,934.000,943.000,934.000,941.000,72650,108162,939.000
2013-11-27,940.000,942.000,933.000,936.000,30614,106536,936.000
2013-11-28,933.000,940.000,933.000,939.000,27220,105728,937.000
2013-11-29,939.000,945.000,939.000,939.000,33364,106418,941.000
2013-12-02,940.000,941.000,934.000,936.000,41520,108744,936.000
2013-12-03,938.000,941.000,936.000,939.000,35426,105336,938.000
2013-12-04,942.000,955.000,941.000,952.000,94420,114382,949.000
2013-12-05,953.000,956.000,944.000,945.000,52990,114538,948.000
2013-12-06,944.000,945.000,938.000,941.000,40044,108430,940.000
2013-12-09,941.000,946.000,940.000,945.000,19390,112378,943.000
2013-12-10,946.000,947.000,942.000,942.000,16900,109726,943.000
2013-12-11,942.000,942.000,934.000,937.000,38984,108132,936.000
2013-12-12,936.000,938.000,930.000,930.000,35494,108944,934.000
2013-12-13,927.000,927.000,905.000,914.000,91394,116740,912.000
2013-12-16,913.000,923.000,912.000,918.000,39670,121312,918.000
2013-12-17,918.000,920.000,908.000,910.000,24582,124712,916.000
2013-12-18,908.000,913.000,902.000,906.000,71224,128188,907.000
2013-12-19,909.000,913.000,907.000,908.000,30298,128266,909.000
2013-12-20,909.000,913.000,901.000,905.000,34754,127190,908.000
2013-12-23,904.000,905.000,885.000,893.000,128512,135724,892.000
2013-12-24,892.000,907.000,892.000,900.000,95624,121156,901.000
2013-12-25,903.000,904.000,898.000,903.000,48792,114208,901.000
2013-12-26,903.000,904.000,885.000,896.000,84590,124116,891.000
2013-12-27,898.000,910.000,896.000,907.000,87282,107922,903.000
2013-12-30,908.000,920.000,908.000,911.000,85206,104050,913.000
2013-12-31,908.000,914.000,899.000,911.000,72580,98646,909.000
2014-01-02,912.000,912.000,899.000,907.000,56510,107880,906.000
2014-01-03,904.000,905.000,887.000,902.000,132754,122358,897.000
2014-01-06,900.000,900.000,888.000,893.000,108602,142642,892.000
2014-01-07,892.000,899.000,887.000,896.000,86452,149034,893.000
2014-01-08,895.000,897.000,884.000,892.000,101252,157264,890.000
2014-01-09,891.000,899.000,884.000,888.000,102048,161606,890.000
2014-01-10,885.000,886.000,870.000,881.000,180252,163378,877.000
2014-01-13,879.000,880.000,868.000,871.000,108274,178106,872.000
2014-01-14,875.000,881.000,866.000,880.000,94136,178102,874.000
2014-01-15,880.000,882.000,875.000,879.000,68854,184704,877.000
2014-01-17,876.000,878.000,870.000,876.000,84072,184412,874.000
2014-01-20,872.000,876.000,859.000,861.000,95418,195022,867.000
2014-01-21,860.000,861.000,843.000,847.000,124490,208510,849.000
2014-01-22,850.000,858.000,845.000,852.000,76044,208986,851.000
2014-01-23,857.000,885.000,855.000,869.000,217640,194104,0.000
2014-01-24,877.000,880.000,871.000,877.000,103512,176300,875.000
