date,open,high,low,close,volume,open_interest,settle
2005-01-04,12040.000,12090.000,11945.000,12025.000,3856,9330,0.000
2005-01-05,12000.000,12055.000,11965.000,12045.000,2698,9690,0.000
2005-01-06,12050.000,12100.000,12025.000,12085.000,2188,9498,0.000
2005-01-07,12105.000,12105.000,11980.000,12000.000,3198,9938,0.000
2005-01-10,11980.000,12035.000,11950.000,12010.000,3358,10640,0.000
2005-01-11,12010.000,12025.000,11925.000,11970.000,3722,11172,0.000
2005-01-12,11970.000,12220.000,11890.000,12220.000,22374,14380,0.000
2005-01-13,12205.000,12260.000,12130.000,12170.000,22126,14340,0.000
2005-01-14,12155.000,12250.000,12120.000,12165.000,12514,14372,0.000
2005-01-17,12150.000,12210.000,12000.000,12000.000,8282,13584,0.000
2005-01-18,12000.000,12045.000,11920.000,11995.000,7426,12888,0.000
2005-01-19,12010.000,12060.000,11975.000,12000.000,4998,11820,0.000
2005-01-20,12010.000,12075.000,12000.000,12020.000,3154,11236,0.000
2005-01-21,12010.000,12130.000,12010.000,12115.000,2218,10230,0.000
2005-01-24,12205.000,12350.000,12170.000,12185.000,4922,4370,0.000
2005-01-25,12070.000,12080.000,11995.000,12030.000,2470,7412,0.000
2005-01-26,12220.000,12230.000,12090.000,12105.000,2120,4288,0.000
2005-01-27,12005.000,12050.000,12005.000,12040.000,2720,6476,0.000
2005-01-28,12180.000,12285.000,12165.000,12265.000,2666,4228,0.000
2005-01-31,12275.000,12320.000,12225.000,12275.000,2360,4346,0.000
2005-02-01,12260.000,12310.000,12255.000,12285.000,1904,4474,0.000
2005-02-02,12265.000,12455.000,12265.000,12440.000,6600,5016,0.000
2005-02-03,12460.000,12590.000,12450.000,12550.000,7050,5172,0.000
2005-02-04,12485.000,12655.000,12485.000,12605.000,4870,4794,0.000
2005-02-16,12670.000,12905.000,12670.000,12870.000,4996,4716,0.000
2005-02-17,12870.000,12880.000,12740.000,12750.000,7928,6666,0.000
2005-02-18,12750.000,12865.000,12695.000,12695.000,7966,7692,0.000
2005-02-21,12700.000,12745.000,12645.000,12700.000,6538,7932,0.000
2005-02-22,12720.000,12930.000,12720.000,12930.000,15486,11292,0.000
2005-02-23,13010.000,13180.000,12865.000,12890.000,18028,11152,0.000
2005-02-24,12950.000,13150.000,12890.000,13095.000,17334,12482,0.000
2005-02-25,13045.000,13220.000,13015.000,13160.000,19656,13796,0.000
2005-02-28,13240.000,13330.000,13155.000,13210.000,19850,14172,0.000
2005-03-01,13180.000,13230.000,13070.000,13095.000,13416,14478,0.000
2005-03-02,13090.000,13250.000,13080.000,13220.000,15434,14522,0.000
2005-03-03,13300.000,13310.000,13090.000,13100.000,15426,14712,0.000
