date,open,high,low,close,volume,open_interest,settle
2019-12-06,1580.000,1585.000,1546.000,1561.000,318030,38922,1566.000
2019-12-09,1564.000,1591.000,1556.000,1572.000,167478,31568,1571.000
2019-12-10,1572.000,1634.000,1570.000,1634.000,221672,68176,1613.000
2019-12-11,1649.000,1674.000,1637.000,1649.000,459154,66020,1656.000
2019-12-12,1642.000,1654.000,1625.000,1630.000,245622,70048,1642.000
2019-12-13,1633.000,1639.000,1623.000,1630.000,132320,69386,1632.000
2019-12-16,1634.000,1659.000,1626.000,1632.000,277650,77498,1642.000
2019-12-17,1629.000,1636.000,1578.000,1623.000,223740,70596,1622.000
2019-12-18,1623.000,1650.000,1622.000,1628.000,195192,71800,1636.000
2019-12-19,1628.000,1641.000,1623.000,1626.000,130952,74830,1633.000
2019-12-20,1626.000,1630.000,1611.000,1611.000,134436,84124,1620.000
2019-12-23,1610.000,1616.000,1596.000,1601.000,113058,83368,1606.000
2019-12-24,1603.000,1614.000,1600.000,1604.000,62084,83068,1607.000
2019-12-25,1602.000,1610.000,1599.000,1603.000,57878,88032,1604.000
2019-12-26,1602.000,1617.000,1602.000,1609.000,55730,85764,1611.000
2019-12-27,1609.000,1629.000,1607.000,1608.000,102264,86076,1619.000
2019-12-30,1609.000,1636.000,1608.000,1633.000,79116,80286,1623.000
2019-12-31,1633.000,1643.000,1629.000,1633.000,79146,73396,1635.000
2020-01-02,1633.000,1641.000,1618.000,1625.000,26179,34862,1631.000
2020-01-03,1626.000,1634.000,1620.000,1629.000,23178,33974,1627.000
2020-01-06,1629.000,1646.000,1628.000,1638.000,40966,33327,1637.000
2020-01-07,1636.000,1640.000,1624.000,1627.000,19256,32570,1631.000
2020-01-08,1626.000,1638.000,1624.000,1630.000,19972,32306,1631.000
2020-01-09,1629.000,1635.000,1621.000,1632.000,27286,29476,1629.000
2020-01-10,1633.000,1675.000,1633.000,1658.000,173405,39616,1661.000
2020-01-13,1659.000,1661.000,1646.000,1653.000,30481,37522,1654.000
2020-01-14,1657.000,1660.000,1648.000,1653.000,23832,36145,1653.000
2020-01-15,1654.000,1691.000,1652.000,1665.000,129730,39110,1675.000
2020-01-16,1667.000,1679.000,1665.000,1668.000,34266,36492,1671.000
2020-01-17,1674.000,1684.000,1667.000,1677.000,40310,37576,1678.000
2020-01-20,1678.000,1680.000,1658.000,1667.000,31571,33031,1667.000
2020-01-21,1668.000,1674.000,1655.000,1655.000,17726,32381,1663.000
2020-01-22,1657.000,1657.000,1631.000,1642.000,33941,26024,1641.000
2020-01-23,1644.000,1651.000,1591.000,1615.000,24597,22223,1623.000
2020-02-03,1517.000,1546.000,1509.000,1519.000,30443,18012,1523.000
2020-02-04,1528.000,1570.000,1528.000,1561.000,19994,18788,1551.000
2020-02-05,1558.000,1569.000,1551.000,1560.000,18788,21591,1559.000
2020-02-06,1562.000,1577.000,1561.000,1574.000,13995,19533,1568.000
2020-02-07,1574.000,1609.000,1571.000,1574.000,10599,19840,1577.000
2020-02-10,1573.000,1577.000,1562.000,1568.000,6875,20067,1571.000
2020-02-11,1569.000,1581.000,1564.000,1579.000,10022,19745,1574.000
2020-02-12,1578.000,1588.000,1572.000,1578.000,9233,20825,1581.000
2020-02-13,1579.000,1587.000,1573.000,1581.000,8057,21245,1580.000
2020-02-14,1580.000,1583.000,1572.000,1578.000,5604,20935,1577.000
2020-02-17,1578.000,1588.000,1577.000,1586.000,7310,21231,1582.000
2020-02-18,1590.000,1595.000,1581.000,1583.000,5105,20735,1585.000
2020-02-19,1583.000,1590.000,1583.000,1587.000,4483,20201,1586.000
2020-02-20,1588.000,1590.000,1565.000,1586.000,12495,21448,1581.000
2020-02-21,1580.000,1588.000,1570.000,1579.000,15823,22350,1578.000
2020-02-24,1575.000,1590.000,1567.000,1587.000,16435,23054,1579.000
2020-02-25,1585.000,1637.000,1584.000,1605.000,55706,26495,1614.000
2020-02-26,1604.000,1607.000,1577.000,1581.000,25077,23636,1593.000
2020-02-27,1582.000,1585.000,1567.000,1575.000,14567,23227,1575.000
