date,open,high,low,close,volume,open_interest,settle
2014-08-12,6486.000,6524.000,6410.000,6418.000,138,2380,6456.000
2014-08-13,6410.000,6456.000,6388.000,6424.000,43002,28278,6424.000
2014-08-14,6416.000,6466.000,6352.000,6396.000,84352,28028,6408.000
2014-08-15,6400.000,6426.000,6386.000,6412.000,28828,22570,6408.000
2014-08-18,6418.000,6478.000,6398.000,6404.000,38498,19164,6442.000
2014-08-19,6394.000,6408.000,6364.000,6386.000,22378,18616,6382.000
2014-08-20,6376.000,6410.000,6354.000,6386.000,14756,18918,6374.000
2014-08-21,6398.000,6406.000,6360.000,6370.000,6248,17696,6380.000
2014-08-22,6366.000,6398.000,6366.000,6392.000,12830,11538,6388.000
2014-08-25,6396.000,6448.000,6380.000,6436.000,24326,11352,6426.000
2014-08-26,6426.000,6446.000,6412.000,6442.000,7344,10202,6434.000
2014-08-27,6484.000,6484.000,6398.000,6398.000,10064,7906,6430.000
2014-08-28,6392.000,6410.000,6366.000,6378.000,8966,8070,6384.000
2014-08-29,6374.000,6392.000,6366.000,6372.000,3956,6908,6382.000
2014-09-01,6370.000,6388.000,6368.000,6378.000,5250,8340,6380.000
2014-09-02,6368.000,6368.000,6306.000,6344.000,5886,9830,6348.000
2014-09-03,6326.000,6352.000,6324.000,6340.000,4738,11636,6344.000
2014-09-04,6340.000,6360.000,6318.000,6342.000,3934,11500,6344.000
2014-09-05,6328.000,6352.000,6328.000,6330.000,2184,12372,6342.000
2014-09-09,6324.000,6352.000,6268.000,6298.000,6712,14830,6302.000
2014-09-10,6282.000,6310.000,6156.000,6300.000,4424,14596,6290.000
2014-09-11,6300.000,6300.000,6264.000,6264.000,1676,14664,6284.000
2014-09-12,6270.000,6288.000,6250.000,6288.000,1308,14826,6272.000
2014-09-15,6260.000,6346.000,6260.000,6346.000,2590,14088,6320.000
2014-09-16,6348.000,6350.000,6300.000,6300.000,1312,14146,6330.000
2014-09-17,6310.000,6324.000,6290.000,6292.000,778,14216,6302.000
2014-09-18,6298.000,6298.000,6246.000,6252.000,2004,14524,6262.000
2014-09-19,6248.000,6248.000,6112.000,6126.000,2160,14922,6184.000
2014-09-22,6064.000,6090.000,6000.000,6030.000,5342,15022,6034.000
2014-09-23,6020.000,6130.000,6020.000,6042.000,1130,14986,6060.000
2014-09-24,6042.000,6108.000,6030.000,6100.000,1252,14922,6062.000
2014-09-25,6100.000,6138.000,5982.000,6016.000,4178,16086,6018.000
2014-09-26,5996.000,6060.000,5940.000,6048.000,1972,15694,6030.000
2014-09-29,6088.000,6088.000,6016.000,6070.000,1066,15406,6042.000
2014-09-30,6122.000,6128.000,6056.000,6088.000,470,15192,6086.000
2014-10-09,6080.000,6178.000,6080.000,6170.000,1686,15012,6138.000
2014-10-10,6152.000,6170.000,6122.000,6144.000,916,14844,6154.000
2014-10-13,6170.000,6320.000,6150.000,6244.000,2854,14680,6244.000
2014-10-14,6288.000,6288.000,6170.000,6202.000,1098,14296,6200.000
2014-10-15,6202.000,6214.000,6158.000,6176.000,968,14316,6178.000
2014-10-16,6150.000,6214.000,6118.000,6160.000,938,14222,6148.000
2014-10-17,6184.000,6314.000,6180.000,6216.000,1656,14130,6246.000
2014-10-20,6162.000,6222.000,6162.000,6182.000,1016,13996,6194.000
2014-10-21,6170.000,6204.000,6170.000,6194.000,498,13974,6194.000
2014-10-22,6170.000,6212.000,6140.000,6140.000,1006,13944,6166.000
2014-10-23,6122.000,6198.000,6120.000,6196.000,730,13888,6146.000
2014-10-24,6248.000,6248.000,6184.000,6214.000,962,13642,6206.000
2014-10-27,6212.000,6226.000,6184.000,6196.000,506,13538,6210.000
2014-10-28,6208.000,6226.000,6184.000,6200.000,390,13422,6204.000
2014-10-29,6214.000,6222.000,6188.000,6206.000,480,13192,6202.000
2014-10-30,6216.000,6220.000,6180.000,6180.000,600,13106,6196.000
2014-10-31,6196.000,6198.000,6126.000,6150.000,582,13140,6164.000
2014-11-03,6074.000,6182.000,6074.000,6180.000,1398,13280,6150.000
