date,open,high,low,close,volume,open_interest,settle
2018-11-27,5828.000,5830.000,5382.000,5382.000,471124,78270,5558.000
2018-11-28,5300.000,5314.000,5142.000,5184.000,1027200,101512,5224.000
2018-11-29,5160.000,5294.000,5122.000,5188.000,985508,110832,5218.000
2018-11-30,5208.000,5220.000,5114.000,5148.000,897506,134838,5169.000
2018-12-03,5158.000,5262.000,4970.000,4978.000,1415500,207934,5083.000
2018-12-04,4978.000,5114.000,4978.000,5058.000,1129600,188012,5036.000
2018-12-05,5060.000,5158.000,5040.000,5140.000,1494300,166492,5102.000
2018-12-06,5150.000,5264.000,5128.000,5132.000,1621900,172558,5197.000
2018-12-07,5112.000,5208.000,5086.000,5138.000,1295000,175492,5152.000
2018-12-10,5150.000,5224.000,5136.000,5166.000,1094200,174892,5185.000
2018-12-11,5160.000,5198.000,5074.000,5094.000,1022100,178926,5131.000
2018-12-12,5112.000,5152.000,5104.000,5138.000,598704,160768,5128.000
2018-12-13,5146.000,5158.000,5094.000,5126.000,689936,148716,5126.000
2018-12-14,5120.000,5164.000,5104.000,5132.000,575672,141336,5132.000
2018-12-17,5110.000,5150.000,5108.000,5132.000,328890,142682,5128.000
2018-12-18,5134.000,5162.000,5112.000,5126.000,294500,144854,5134.000
2018-12-19,5124.000,5144.000,5032.000,5062.000,462610,154904,5074.000
2018-12-20,5068.000,5082.000,5044.000,5066.000,203714,147294,5062.000
2018-12-21,5072.000,5072.000,5028.000,5048.000,269864,148736,5050.000
2018-12-24,5042.000,5064.000,4960.000,4982.000,395298,180976,5012.000
2018-12-25,4982.000,5038.000,4966.000,5000.000,380598,159952,5002.000
2018-12-26,4996.000,5012.000,4916.000,4938.000,473358,171804,4944.000
2018-12-27,4950.000,4998.000,4940.000,4952.000,241750,155260,4966.000
2018-12-28,4944.000,5058.000,4938.000,5048.000,209158,135666,4984.000
2019-01-02,5044.000,5118.000,5010.000,5082.000,319740,162558,5062.000
2019-01-03,5072.000,5108.000,5060.000,5082.000,246184,155182,5084.000
2019-01-04,5084.000,5236.000,5072.000,5140.000,597336,145862,5160.000
2019-01-07,5152.000,5186.000,5114.000,5170.000,332738,137304,5154.000
2019-01-08,5172.000,5192.000,5138.000,5158.000,221650,135222,5162.000
2019-01-09,5160.000,5340.000,5156.000,5304.000,686342,151822,5272.000
2019-01-10,5306.000,5362.000,5260.000,5272.000,686384,145902,5306.000
2019-01-11,5272.000,5328.000,5252.000,5324.000,401620,146038,5290.000
2019-01-14,5320.000,5378.000,5280.000,5294.000,505772,142160,5322.000
2019-01-15,5300.000,5302.000,5214.000,5242.000,463412,139904,5244.000
2019-01-16,5242.000,5320.000,5232.000,5318.000,393780,137610,5278.000
2019-01-17,5310.000,5342.000,5284.000,5316.000,424606,145666,5316.000
2019-01-18,5308.000,5418.000,5260.000,5380.000,713180,145996,5346.000
2019-01-21,5386.000,5472.000,5372.000,5448.000,617074,146590,5412.000
2019-01-22,5436.000,5530.000,5416.000,5430.000,675002,139224,5472.000
2019-01-23,5428.000,5466.000,5402.000,5442.000,447592,142278,5436.000
2019-01-24,5446.000,5480.000,5364.000,5394.000,526860,143160,5418.000
2019-01-25,5382.000,5456.000,5358.000,5410.000,429936,130228,5406.000
2019-01-28,5406.000,5430.000,5316.000,5326.000,455592,132686,5378.000
2019-01-29,5320.000,5360.000,5308.000,5320.000,303530,128038,5326.000
2019-01-30,5330.000,5372.000,5310.000,5316.000,263144,115214,5340.000
2019-01-31,5322.000,5430.000,5280.000,5426.000,450268,106656,5348.000
2019-02-01,5416.000,5540.000,5410.000,5474.000,541372,83168,5472.000
2019-02-11,5468.000,5516.000,5392.000,5412.000,216126,90606,5448.000
2019-02-12,5420.000,5514.000,5418.000,5506.000,343862,119386,5478.000
2019-02-13,5522.000,5538.000,5434.000,5458.000,385848,112092,5478.000
2019-02-14,5454.000,5506.000,5386.000,5414.000,432858,122630,5456.000
2019-02-15,5430.000,5430.000,5352.000,5394.000,337720,118384,5388.000
2019-02-18,5404.000,5450.000,5376.000,5438.000,285756,116540,5414.000
2019-02-19,5444.000,5516.000,5428.000,5516.000,319284,120844,5476.000
2019-02-20,5536.000,5554.000,5464.000,5496.000,321064,125076,5496.000
2019-02-21,5496.000,5622.000,5480.000,5614.000,534140,170686,5562.000
2019-02-22,5610.000,5686.000,5584.000,5670.000,560956,194514,5626.000
2019-02-25,5682.000,5684.000,5606.000,5612.000,385336,170580,5650.000
2019-02-26,5614.000,5626.000,5550.000,5584.000,396626,152924,5592.000
2019-02-27,5588.000,5610.000,5542.000,5566.000,328588,144200,5570.000
2019-02-28,5576.000,5606.000,5518.000,5548.000,354858,143216,5562.000
2019-03-01,5548.000,5614.000,5540.000,5596.000,328614,142096,5574.000
2019-03-04,5602.000,5636.000,5486.000,5552.000,624110,139180,5570.000
2019-03-05,5544.000,5588.000,5524.000,5560.000,341220,135332,5554.000
2019-03-06,5566.000,5606.000,5546.000,5556.000,347936,137062,5574.000
2019-03-07,5552.000,5572.000,5464.000,5470.000,344048,144446,5534.000
2019-03-08,5482.000,5486.000,5380.000,5408.000,394848,140478,5430.000
2019-03-11,5364.000,5458.000,5364.000,5432.000,234952,134334,5430.000
2019-03-12,5434.000,5452.000,5410.000,5428.000,181374,140402,5430.000
2019-03-13,5430.000,5468.000,5396.000,5412.000,283448,132086,5430.000
2019-03-14,5414.000,5448.000,5378.000,5384.000,261330,133290,5408.000
2019-03-15,5374.000,5438.000,5356.000,5418.000,211642,130312,5402.000
2019-03-18,5412.000,5456.000,5396.000,5430.000,203168,127940,5430.000
2019-03-19,5434.000,5480.000,5410.000,5446.000,205722,122040,5444.000
2019-03-20,5448.000,5468.000,5310.000,5322.000,279636,127350,5370.000
2019-03-21,5320.000,5346.000,5304.000,5330.000,157338,129116,5330.000
2019-03-22,5332.000,5350.000,5286.000,5336.000,146226,127888,5326.000
2019-03-25,5330.000,5344.000,5286.000,5312.000,153212,122744,5314.000
2019-03-26,5312.000,5348.000,5310.000,5320.000,107732,119484,5332.000
2019-03-27,5330.000,5360.000,5290.000,5320.000,152738,117510,5320.000
2019-03-28,5320.000,5344.000,5220.000,5234.000,226910,118452,5276.000
2019-03-29,5238.000,5356.000,5218.000,5322.000,192916,103370,5274.000
2019-04-01,5328.000,5378.000,5294.000,5346.000,148438,102890,5332.000
2019-04-02,5346.000,5376.000,5322.000,5338.000,103452,102154,5340.000
2019-04-03,5348.000,5432.000,5306.000,5430.000,191170,96478,5388.000
2019-04-04,5426.000,5438.000,5390.000,5414.000,95406,93730,5416.000
2019-04-08,5420.000,5470.000,5390.000,5450.000,94428,86640,5434.000
2019-04-09,5450.000,5470.000,5394.000,5424.000,102580,84002,5420.000
2019-04-10,5424.000,5456.000,5370.000,5430.000,141256,83986,5422.000
2019-04-11,5430.000,5472.000,5384.000,5460.000,123112,85510,5424.000
2019-04-12,5456.000,5492.000,5432.000,5434.000,138844,81602,5458.000
2019-04-15,5442.000,5508.000,5410.000,5420.000,141560,83324,5470.000
2019-04-16,5430.000,5450.000,5386.000,5396.000,126860,86722,5414.000
2019-04-17,5406.000,5414.000,5350.000,5356.000,120786,89640,5376.000
2019-04-18,5356.000,5382.000,5336.000,5362.000,97642,84742,5360.000
2019-04-19,5364.000,5404.000,5316.000,5402.000,113920,77130,5362.000
