date,open,high,low,close,volume,open_interest,settle
2019-08-09,1745.000,1788.000,1702.000,1702.000,659400,78818,1749.000
2019-08-12,1690.000,1726.000,1679.000,1716.000,546572,93880,1699.000
2019-08-13,1705.000,1767.000,1702.000,1767.000,646106,130368,1743.000
2019-08-14,1770.000,1783.000,1716.000,1732.000,580890,91742,1745.000
2019-08-15,1738.000,1753.000,1724.000,1738.000,359014,91470,1739.000
2019-08-16,1737.000,1754.000,1732.000,1739.000,155558,85024,1743.000
2019-08-19,1743.000,1750.000,1730.000,1741.000,114896,82192,1741.000
2019-08-20,1741.000,1749.000,1736.000,1741.000,56548,75570,1740.000
2019-08-21,1738.000,1738.000,1706.000,1718.000,186728,72356,1717.000
2019-08-22,1722.000,1730.000,1718.000,1723.000,60066,66808,1724.000
2019-08-23,1725.000,1727.000,1714.000,1720.000,39686,66130,1720.000
2019-08-26,1715.000,1748.000,1712.000,1736.000,84092,63260,1735.000
2019-08-27,1734.000,1758.000,1731.000,1738.000,119160,64540,1747.000
2019-08-28,1744.000,1758.000,1738.000,1750.000,63824,65434,1749.000
2019-08-29,1749.000,1815.000,1749.000,1786.000,461238,88936,1792.000
2019-08-30,1795.000,1804.000,1781.000,1789.000,164404,88046,1793.000
2019-09-02,1793.000,1826.000,1781.000,1796.000,149628,94430,1802.000
2019-09-03,1798.000,1806.000,1785.000,1791.000,92794,92054,1794.000
2019-09-04,1796.000,1843.000,1793.000,1813.000,302950,97976,1822.000
2019-09-05,1814.000,1830.000,1807.000,1812.000,127216,92870,1819.000
2019-09-06,1815.000,1827.000,1810.000,1820.000,89434,93418,1818.000
2019-09-09,1832.000,1840.000,1817.000,1823.000,86552,96624,1827.000
2019-09-10,1826.000,1835.000,1803.000,1811.000,113858,91392,1816.000
2019-09-11,1811.000,1820.000,1808.000,1817.000,50736,86822,1814.000
2019-09-12,1818.000,1822.000,1811.000,1815.000,36434,83524,1816.000
2019-09-16,1819.000,1825.000,1775.000,1790.000,93312,75976,1799.000
2019-09-17,1791.000,1796.000,1778.000,1781.000,60294,70150,1785.000
2019-09-18,1782.000,1786.000,1764.000,1785.000,69102,65600,1776.000
2019-09-19,1784.000,1794.000,1774.000,1778.000,60948,68304,1785.000
2019-09-20,1780.000,1780.000,1752.000,1760.000,86986,71280,1762.000
2019-09-23,1764.000,1769.000,1756.000,1763.000,46354,74478,1762.000
2019-09-24,1764.000,1776.000,1759.000,1772.000,50838,69872,1769.000
2019-09-25,1774.000,1775.000,1754.000,1756.000,43502,74100,1761.000
2019-09-26,1757.000,1765.000,1744.000,1758.000,39750,70618,1756.000
2019-09-27,1751.000,1757.000,1747.000,1749.000,22444,65782,1752.000
2019-09-30,1754.000,1764.000,1749.000,1755.000,23764,63890,1758.000
2019-10-08,1750.000,1764.000,1728.000,1753.000,38406,65400,1748.000
2019-10-09,1754.000,1773.000,1752.000,1769.000,55208,73802,1765.000
2019-10-10,1769.000,1779.000,1756.000,1758.000,35538,74388,1767.000
2019-10-11,1760.000,1763.000,1748.000,1752.000,26466,75068,1754.000
2019-10-14,1750.000,1753.000,1734.000,1739.000,30908,81130,1744.000
2019-10-15,1730.000,1738.000,1730.000,1737.000,20866,83800,1734.000
2019-10-16,1737.000,1742.000,1730.000,1730.000,21902,84696,1737.000
2019-10-17,1728.000,1728.000,1711.000,1715.000,42662,89514,1718.000
2019-10-18,1715.000,1725.000,1711.000,1714.000,23358,90502,1717.000
2019-10-21,1715.000,1715.000,1699.000,1700.000,34972,94696,1706.000
2019-10-22,1701.000,1704.000,1673.000,1683.000,99962,112242,1683.000
2019-10-23,1685.000,1686.000,1675.000,1679.000,38312,113544,1680.000
2019-10-24,1683.000,1692.000,1678.000,1683.000,40328,113368,1684.000
2019-10-25,1681.000,1687.000,1678.000,1680.000,32438,115202,1682.000
2019-10-28,1682.000,1692.000,1679.000,1685.000,32350,111456,1685.000
2019-10-29,1686.000,1695.000,1680.000,1686.000,36342,109100,1686.000
2019-10-30,1685.000,1695.000,1682.000,1690.000,30166,108308,1690.000
2019-10-31,1690.000,1697.000,1686.000,1686.000,28798,109254,1691.000
2019-11-01,1686.000,1690.000,1681.000,1687.000,24620,107634,1685.000
2019-11-04,1687.000,1689.000,1680.000,1682.000,18892,108386,1684.000
2019-11-05,1684.000,1706.000,1682.000,1702.000,55988,112280,1695.000
2019-11-06,1701.000,1706.000,1682.000,1683.000,37030,108456,1694.000
2019-11-07,1686.000,1689.000,1667.000,1668.000,68910,117574,1676.000
2019-11-08,1670.000,1672.000,1638.000,1643.000,80700,125090,1649.000
2019-11-11,1646.000,1648.000,1634.000,1636.000,43368,125764,1641.000
2019-11-12,1640.000,1655.000,1634.000,1646.000,37264,122198,1643.000
2019-11-13,1643.000,1660.000,1642.000,1649.000,34862,119626,1651.000
2019-11-14,1649.000,1655.000,1630.000,1635.000,50820,121086,1640.000
2019-11-15,1636.000,1649.000,1632.000,1647.000,53370,107746,1641.000
2019-11-18,1642.000,1645.000,1600.000,1605.000,121396,116754,1617.000
2019-11-19,1598.000,1611.000,1582.000,1604.000,80684,110406,1592.000
2019-11-20,1605.000,1620.000,1593.000,1601.000,60146,105374,1607.000
2019-11-21,1606.000,1606.000,1594.000,1600.000,27164,106294,1600.000
2019-11-22,1604.000,1635.000,1602.000,1624.000,82798,99328,1620.000
2019-11-25,1635.000,1670.000,1633.000,1660.000,99388,85278,1652.000
2019-11-26,1659.000,1664.000,1646.000,1655.000,55862,80540,1656.000
2019-11-27,1656.000,1675.000,1656.000,1673.000,48430,80676,1667.000
2019-11-28,1675.000,1679.000,1660.000,1672.000,42534,81282,1668.000
2019-11-29,1670.000,1677.000,1662.000,1675.000,50392,72588,1670.000
2019-12-02,1670.000,1673.000,1658.000,1661.000,36176,71938,1664.000
2019-12-03,1663.000,1671.000,1658.000,1661.000,24918,70602,1662.000
2019-12-04,1665.000,1698.000,1664.000,1682.000,47348,63284,1677.000
2019-12-05,1684.000,1724.000,1679.000,1720.000,88228,52830,1707.000
2019-12-06,1717.000,1734.000,1712.000,1726.000,44926,52554,1722.000
2019-12-09,1732.000,1748.000,1726.000,1742.000,38738,52516,1739.000
2019-12-10,1739.000,1753.000,1734.000,1741.000,41536,50374,1742.000
2019-12-11,1732.000,1738.000,1720.000,1732.000,35698,51372,1730.000
2019-12-12,1731.000,1732.000,1714.000,1717.000,30234,37162,1725.000
2019-12-13,1720.000,1727.000,1701.000,1710.000,26854,26768,1711.000
2019-12-16,1735.000,1742.000,1720.000,1729.000,38434,65380,1733.000
2019-12-17,1728.000,1736.000,1722.000,1729.000,34548,69084,1731.000
2019-12-18,1726.000,1727.000,1707.000,1708.000,45452,71694,1717.000
2019-12-19,1710.000,1727.000,1707.000,1727.000,40676,69834,1716.000
2019-12-20,1730.000,1730.000,1715.000,1715.000,25480,70942,1723.000
2019-12-23,1720.000,1724.000,1713.000,1716.000,23466,74124,1718.000
2019-12-24,1711.000,1718.000,1696.000,1700.000,52664,86772,1705.000
2019-12-25,1703.000,1708.000,1700.000,1705.000,25226,88824,1705.000
2019-12-26,1704.000,1715.000,1702.000,1714.000,29158,89328,1709.000
2019-12-27,1711.000,1722.000,1709.000,1711.000,38676,90082,1715.000
2019-12-30,1711.000,1720.000,1701.000,1715.000,45364,100094,1712.000
2019-12-31,1712.000,1729.000,1711.000,1723.000,41876,105468,1722.000
2020-01-02,1722.000,1731.000,1716.000,1716.000,21569,53300,1723.000
2020-01-03,1716.000,1719.000,1705.000,1714.000,26539,52847,1712.000
2020-01-06,1716.000,1735.000,1716.000,1728.000,25760,51200,1726.000
2020-01-07,1727.000,1747.000,1727.000,1742.000,29579,52363,1738.000
2020-01-08,1750.000,1776.000,1730.000,1745.000,48711,43008,1750.000
2020-01-09,1740.000,1742.000,1730.000,1731.000,18107,43029,1736.000
2020-01-10,1733.000,1746.000,1732.000,1738.000,20439,42677,1741.000
2020-01-13,1738.000,1770.000,1737.000,1762.000,41275,44329,1758.000
2020-01-14,1758.000,1773.000,1751.000,1755.000,27204,42499,1764.000
2020-01-15,1758.000,1761.000,1752.000,1758.000,19226,44747,1756.000
2020-01-16,1762.000,1767.000,1753.000,1757.000,11668,44892,1758.000
2020-01-17,1756.000,1760.000,1745.000,1746.000,13294,43641,1750.000
2020-01-20,1748.000,1754.000,1741.000,1749.000,9310,44057,1748.000
2020-01-21,1750.000,1758.000,1717.000,1720.000,29795,40516,1736.000
2020-01-22,1720.000,1720.000,1705.000,1716.000,20650,38953,1714.000
2020-01-23,1713.000,1716.000,1705.000,1710.000,12093,38719,1710.000
2020-02-03,1615.000,1670.000,1610.000,1650.000,27631,42390,1643.000
2020-02-04,1655.000,1699.000,1654.000,1692.000,40978,52029,1689.000
2020-02-05,1684.000,1717.000,1683.000,1702.000,29080,54684,1702.000
2020-02-06,1703.000,1713.000,1696.000,1708.000,20124,54532,1705.000
2020-02-07,1702.000,1715.000,1702.000,1713.000,15018,55305,1710.000
2020-02-10,1715.000,1729.000,1712.000,1719.000,24089,55293,1721.000
2020-02-11,1715.000,1738.000,1715.000,1736.000,28591,61908,1730.000
2020-02-12,1736.000,1748.000,1728.000,1735.000,38857,64094,1737.000
2020-02-13,1737.000,1741.000,1723.000,1732.000,29420,62134,1729.000
2020-02-14,1732.000,1738.000,1720.000,1737.000,32514,64142,1729.000
