date,open,high,low,close,volume,open_interest,settle
2020-11-16,5162.000,5241.000,5162.000,5192.000,5,3,5184.000
2020-11-17,5181.000,5181.000,5177.000,5181.000,10,12,5178.000
2020-11-18,5204.000,5212.000,5204.000,5206.000,9,6,5206.000
2020-11-20,5191.000,5222.000,5191.000,5200.000,3,7,5204.000
2020-11-23,5228.000,5241.000,5228.000,5241.000,5,9,5233.000
2020-11-24,5232.000,5232.000,5210.000,5210.000,2,10,5221.000
2020-11-25,5227.000,5227.000,5227.000,5227.000,1,11,5227.000
2020-11-26,5217.000,5226.000,5167.000,5226.000,40,37,5200.000
2020-11-27,5201.000,5296.000,5200.000,5265.000,58,79,5230.000
2020-11-30,5241.000,5258.000,5207.000,5233.000,59,83,5231.000
2020-12-01,5238.000,5238.000,5188.000,5220.000,17,84,5212.000
2020-12-02,5216.000,5225.000,5120.000,5200.000,43,87,5204.000
2020-12-03,5192.000,5192.000,5160.000,5190.000,27,66,5174.000
2020-12-04,5191.000,5192.000,5161.000,5187.000,27,51,5171.000
2020-12-07,5192.000,5216.000,5192.000,5206.000,10,58,5206.000
2020-12-08,5181.000,5203.000,5180.000,5200.000,16,48,5189.000
2020-12-09,5176.000,5219.000,5157.000,5191.000,27,43,5181.000
2020-12-10,5200.000,5229.000,5196.000,5225.000,24,52,5220.000
2020-12-11,5238.000,5246.000,5225.000,5228.000,9,53,5231.000
2020-12-14,5150.000,5178.000,5067.000,5120.000,68,77,5129.000
2020-12-15,5122.000,5139.000,5083.000,5100.000,43,86,5101.000
2020-12-16,5099.000,5133.000,5098.000,5124.000,44,72,5116.000
2020-12-17,5129.000,5167.000,5129.000,5136.000,15,77,5145.000
2020-12-18,5141.000,5176.000,5131.000,5131.000,28,95,5151.000
2020-12-21,5112.000,5302.000,5112.000,5288.000,78,93,5243.000
2020-12-22,5277.000,5333.000,5263.000,5303.000,53,103,5291.000
2020-12-23,5292.000,5292.000,5250.000,5275.000,20,116,5264.000
2020-12-24,5267.000,5279.000,5248.000,5279.000,5,118,5258.000
2020-12-25,5254.000,5255.000,5242.000,5252.000,10,113,5250.000
2020-12-28,5315.000,5315.000,5236.000,5252.000,10,116,5258.000
2020-12-30,5260.000,5327.000,5260.000,5269.000,35,118,5294.000
2020-12-31,5288.000,5290.000,5229.000,5276.000,50,124,5274.000
2021-01-04,5397.000,5398.000,5274.000,5300.000,106,138,5301.000
2021-01-05,5275.000,5343.000,5275.000,5343.000,64,145,5306.000
2021-01-06,5359.000,5488.000,5359.000,5488.000,119,167,5431.000
2021-01-07,5538.000,5538.000,5474.000,5494.000,37,169,5495.000
2021-01-08,5483.000,5502.000,5441.000,5476.000,43,157,5476.000
2021-01-11,5422.000,5561.000,5422.000,5533.000,50,150,5524.000
2021-01-12,5568.000,5568.000,5442.000,5475.000,24,148,5523.000
2021-01-13,5457.000,5579.000,5457.000,5475.000,26,149,5540.000
2021-01-14,5449.000,5449.000,5334.000,5334.000,44,129,5401.000
2021-01-15,5439.000,5439.000,5386.000,5386.000,4,130,5413.000
2021-01-18,5387.000,5455.000,5381.000,5420.000,16,124,5409.000
2021-01-19,5423.000,5493.000,5423.000,5456.000,19,133,5453.000
2021-01-20,5427.000,5441.000,5358.000,5361.000,31,125,5400.000
2021-01-21,5415.000,5460.000,5415.000,5460.000,17,128,5437.000
2021-01-22,5444.000,5444.000,5422.000,5423.000,6,123,5426.000
2021-01-25,5396.000,5398.000,5288.000,5288.000,20,122,5338.000
