date,open,high,low,close,volume,open_interest,settle
2022-05-17,4887.000,4887.000,4816.000,4850.000,18,15,4845.000
2022-05-18,4844.000,4844.000,4806.000,4819.000,5,16,4828.000
2022-05-19,4801.000,4832.000,4768.000,4802.000,16,19,4796.000
2022-05-20,4856.000,4883.000,4846.000,4883.000,26,19,4868.000
2022-05-23,4844.000,4874.000,4820.000,4850.000,26,40,4845.000
2022-05-24,4842.000,4842.000,4796.000,4807.000,6,42,4821.000
2022-05-25,4829.000,4874.000,4820.000,4841.000,25,36,4844.000
2022-05-26,4823.000,4835.000,4813.000,4827.000,28,54,4823.000
2022-05-27,4840.000,4888.000,4840.000,4888.000,339,338,4861.000
2022-05-30,4900.000,4904.000,4844.000,4853.000,19,337,4873.000
2022-05-31,4802.000,4830.000,4737.000,4774.000,40,360,4788.000
2022-06-01,4767.000,4767.000,4730.000,4730.000,14,366,4743.000
2022-06-02,4765.000,4803.000,4763.000,4795.000,42,366,4778.000
2022-06-06,4793.000,4873.000,4793.000,4865.000,39,355,4845.000
2022-06-07,4877.000,4877.000,4803.000,4808.000,27,357,4822.000
2022-06-08,4822.000,4857.000,4822.000,4854.000,15,356,4839.000
2022-06-09,4845.000,4854.000,4822.000,4822.000,30,355,4836.000
2022-06-10,4826.000,4827.000,4742.000,4755.000,157,493,4798.000
2022-06-13,4765.000,4835.000,4725.000,4787.000,65,493,4779.000
2022-06-14,4771.000,4771.000,4681.000,4712.000,84,518,4702.000
2022-06-15,4712.000,4712.000,4650.000,4695.000,175,649,4692.000
2022-06-16,4744.000,4782.000,4723.000,4773.000,124,642,4758.000
2022-06-17,4773.000,4829.000,4752.000,4822.000,537,1160,4774.000
2022-06-20,4810.000,4810.000,4725.000,4751.000,48,1162,4772.000
2022-06-21,4766.000,4772.000,4718.000,4725.000,39,1166,4739.000
2022-06-22,4775.000,4805.000,4688.000,4688.000,44,1170,4736.000
2022-06-23,4719.000,4725.000,4680.000,4685.000,20,1170,4705.000
2022-06-24,4698.000,4710.000,4550.000,4570.000,48,1171,4631.000
2022-06-27,4544.000,4682.000,4509.000,4672.000,51,1157,4614.000
2022-06-28,4672.000,4675.000,4606.000,4647.000,66,1198,4659.000
2022-06-29,4627.000,4627.000,4570.000,4579.000,74,1240,4615.000
2022-06-30,4618.000,4626.000,4553.000,4562.000,15,1241,4590.000
2022-07-01,4563.000,4563.000,4413.000,4413.000,45,1263,4482.000
2022-07-04,4385.000,4415.000,4333.000,4389.000,31,1274,4376.000
2022-07-05,4387.000,4464.000,4370.000,4460.000,17,1273,4423.000
2022-07-06,4370.000,4374.000,4220.000,4293.000,70,1287,4302.000
2022-07-07,4307.000,4328.000,4241.000,4301.000,1525,2791,4312.000
2022-07-08,4314.000,4340.000,4275.000,4293.000,21,2801,4297.000
2022-07-11,4293.000,4319.000,4279.000,4279.000,620,3405,4301.000
2022-07-12,4287.000,4300.000,4217.000,4256.000,190,3430,4262.000
2022-07-13,4251.000,4255.000,4221.000,4250.000,22,3435,4242.000
2022-07-14,4250.000,4297.000,4211.000,4242.000,1942,5326,4271.000
2022-07-15,4195.000,4195.000,4067.000,4080.000,359,5310,4111.000
2022-07-18,4159.000,4198.000,4121.000,4198.000,61,5299,4170.000
2022-07-19,4207.000,4234.000,4144.000,4176.000,76,5312,4182.000
2022-07-20,4176.000,4200.000,4099.000,4186.000,73,5296,4168.000
2022-07-21,4230.000,4257.000,4168.000,4169.000,29,5295,4194.000
2022-07-22,4216.000,4243.000,4202.000,4222.000,54,5298,4219.000
2022-07-25,4230.000,4262.000,4154.000,4182.000,94,5370,4191.000
2022-07-26,4175.000,4197.000,4151.000,4195.000,8,5369,4178.000
2022-07-27,4191.000,4225.000,4191.000,4204.000,56,5349,4207.000
2022-07-28,4210.000,4360.000,4193.000,4360.000,55,5344,4308.000
2022-07-29,4402.000,4513.000,4379.000,4500.000,1584,6699,4422.000
2022-08-01,4456.000,4516.000,4445.000,4479.000,1071,7686,4484.000
2022-08-02,4516.000,4535.000,4462.000,4498.000,535,8179,4516.000
2022-08-03,4521.000,4521.000,4410.000,4440.000,44,8163,4462.000
2022-08-04,4473.000,4477.000,4439.000,4456.000,28,8168,4458.000
2022-08-05,4483.000,4507.000,4464.000,4507.000,18,8168,4488.000
2022-08-08,4391.000,4424.000,4371.000,4417.000,45,8174,4387.000
2022-08-09,4461.000,4568.000,4461.000,4550.000,53,8157,4549.000
2022-08-10,4551.000,4568.000,4518.000,4518.000,236,8377,4520.000
2022-08-11,4566.000,4568.000,4523.000,4533.000,30,8379,4549.000
2022-08-12,4532.000,4539.000,4482.000,4518.000,238,8186,4506.000
2022-08-15,4529.000,4618.000,4517.000,4570.000,479,8599,4603.000
2022-08-16,4480.000,4511.000,4465.000,4498.000,93,8604,4488.000
2022-08-17,4443.000,4493.000,4381.000,4483.000,418,8957,4477.000
2022-08-18,4441.000,4445.000,4371.000,4371.000,229,9089,4389.000
2022-08-19,4403.000,4415.000,4307.000,4332.000,180,9123,4342.000
2022-08-22,4332.000,4332.000,4248.000,4285.000,174,9167,4294.000
2022-08-23,4270.000,4339.000,4270.000,4302.000,94,9164,4310.000
2022-08-24,4301.000,4360.000,4285.000,4336.000,1259,10033,4307.000
2022-08-25,4335.000,4376.000,4325.000,4367.000,2583,12047,4339.000
2022-08-26,4355.000,4358.000,4335.000,4357.000,1631,12465,4350.000
2022-08-29,4370.000,4388.000,4261.000,4270.000,155,12485,4308.000
2022-08-30,4279.000,4311.000,4278.000,4282.000,1103,11507,4280.000
2022-08-31,4270.000,4279.000,4234.000,4234.000,99,11504,4250.000
2022-09-01,4170.000,4208.000,4134.000,4153.000,122,11519,4164.000
2022-09-02,4146.000,4204.000,4146.000,4195.000,68,11533,4185.000
2022-09-05,4217.000,4231.000,4190.000,4220.000,89,11565,4215.000
2022-09-06,4222.000,4264.000,4221.000,4259.000,63,11571,4247.000
2022-09-07,4229.000,4239.000,4167.000,4212.000,60,11567,4200.000
2022-09-08,4206.000,4285.000,4206.000,4276.000,103,11569,4260.000
2022-09-09,4254.000,4349.000,4254.000,4342.000,158,11602,4285.000
2022-09-13,4488.000,4488.000,4457.000,4478.000,96,11578,4473.000
2022-09-14,4424.000,4463.000,4390.000,4418.000,107,11582,4421.000
2022-09-15,4460.000,4460.000,4412.000,4412.000,45,11578,4441.000
2022-09-16,4434.000,4446.000,4361.000,4376.000,160,11577,4406.000
2022-09-19,4375.000,4446.000,4371.000,4420.000,57,11575,4414.000
2022-09-20,4420.000,4457.000,4402.000,4440.000,454,11971,4421.000
2022-09-21,4415.000,4457.000,4386.000,4446.000,363,11699,4410.000
2022-09-22,4471.000,4501.000,4447.000,4485.000,1111,12685,4472.000
2022-09-23,4546.000,4564.000,4507.000,4550.000,256,12733,4541.000
2022-09-26,4455.000,4486.000,4360.000,4378.000,201,12743,4433.000
2022-09-27,4422.000,4427.000,4333.000,4374.000,98,12732,4381.000
2022-09-28,4382.000,4383.000,4298.000,4301.000,92,12736,4331.000
2022-09-29,4332.000,4431.000,4323.000,4388.000,146,12736,4386.000
2022-09-30,4388.000,4436.000,4367.000,4435.000,88,12730,4406.000
2022-10-10,4584.000,4588.000,4515.000,4552.000,378,12789,4542.000
2022-10-11,4572.000,4586.000,4525.000,4536.000,102,12788,4561.000
2022-10-12,4536.000,4545.000,4472.000,4498.000,567,12393,4524.000
2022-10-13,4484.000,4485.000,4447.000,4452.000,93,12397,4466.000
2022-10-14,4410.000,4472.000,4403.000,4464.000,2611,12107,4412.000
2022-10-17,4443.000,4443.000,4369.000,4390.000,234,12106,4399.000
2022-10-18,4437.000,4440.000,4406.000,4435.000,212,12152,4427.000
2022-10-19,4442.000,4442.000,4401.000,4403.000,151,12152,4424.000
2022-10-20,4400.000,4416.000,4380.000,4390.000,216,12206,4393.000
2022-10-21,4392.000,4454.000,4392.000,4401.000,2190,14247,4394.000
2022-10-24,4360.000,4567.000,4360.000,4554.000,509,14320,4512.000
2022-10-25,4564.000,4592.000,4540.000,4584.000,481,14276,4570.000
2022-10-26,4538.000,4639.000,4534.000,4636.000,785,14657,4586.000
2022-10-27,4597.000,4619.000,4577.000,4581.000,2172,13238,4598.000
2022-10-28,4589.000,4618.000,4585.000,4591.000,405,13234,4601.000
2022-10-31,4572.000,4590.000,4507.000,4540.000,1009,13235,4533.000
2022-11-01,4540.000,4660.000,4520.000,4648.000,674,13289,4578.000
2022-11-02,4670.000,4702.000,4617.000,4650.000,1097,13313,4656.000
2022-11-03,4672.000,4704.000,4588.000,4596.000,1102,13280,4652.000
2022-11-04,4550.000,4662.000,4537.000,4654.000,2171,13003,4602.000
2022-11-07,4724.000,4784.000,4708.000,4761.000,1487,13234,4748.000
2022-11-08,4774.000,4870.000,4765.000,4826.000,1475,13362,4825.000
2022-11-09,4838.000,5012.000,4838.000,4968.000,6728,13645,4931.000
2022-11-10,4968.000,5023.000,4923.000,4950.000,3333,14724,4969.000
2022-11-11,4950.000,5056.000,4942.000,5024.000,4237,14779,5015.000
2022-11-14,4974.000,4999.000,4883.000,4907.000,3595,14820,4939.000
2022-11-15,4908.000,5010.000,4908.000,4987.000,4438,16558,4950.000
2022-11-16,4978.000,5016.000,4906.000,4952.000,5984,18489,4961.000
2022-11-17,4975.000,5003.000,4906.000,4943.000,2842,18545,4951.000
2022-11-18,4906.000,4920.000,4854.000,4895.000,2515,18458,4885.000
2022-11-21,4887.000,4905.000,4822.000,4837.000,7663,19623,4839.000
2022-11-22,4828.000,4898.000,4821.000,4869.000,7560,19646,4872.000
2022-11-23,4884.000,4902.000,4858.000,4893.000,1698,19917,4872.000
2022-11-24,4902.000,5009.000,4884.000,4986.000,5260,20423,4969.000
2022-11-25,4988.000,4995.000,4956.000,4972.000,1354,20425,4976.000
2022-11-28,4962.000,4991.000,4936.000,4961.000,5925,16424,4959.000
2022-11-29,4975.000,5028.000,4926.000,4951.000,7653,16416,4973.000
2022-11-30,4956.000,4986.000,4939.000,4939.000,3791,15076,4956.000
2022-12-01,4972.000,5128.000,4966.000,5121.000,9035,15372,5050.000
2022-12-02,5116.000,5258.000,5103.000,5240.000,12054,15472,5164.000
2022-12-05,5200.000,5368.000,5157.000,5253.000,15969,15838,5259.000
2022-12-06,5226.000,5249.000,5113.000,5122.000,10960,15562,5163.000
2022-12-07,5163.000,5163.000,5085.000,5112.000,7123,15483,5119.000
2022-12-08,5118.000,5185.000,5110.000,5180.000,10394,16383,5151.000
2022-12-09,5180.000,5298.000,5174.000,5269.000,11198,17069,5245.000
2022-12-12,5268.000,5370.000,5259.000,5319.000,15050,17657,5303.000
2022-12-13,5315.000,5353.000,5264.000,5337.000,11744,18250,5315.000
2022-12-14,5337.000,5457.000,5325.000,5425.000,22476,18184,5401.000
2022-12-15,5411.000,5446.000,5266.000,5302.000,18414,16654,5365.000
2022-12-16,5292.000,5318.000,5181.000,5223.000,22858,14787,5256.000
2022-12-19,5217.000,5289.000,5190.000,5240.000,19808,14760,5239.000
2022-12-20,5240.000,5273.000,5186.000,5239.000,16353,14795,5231.000
2022-12-21,5311.000,5451.000,5301.000,5386.000,19903,14767,5373.000
2022-12-22,5387.000,5426.000,5326.000,5339.000,14302,14164,5391.000
2022-12-23,5332.000,5364.000,5258.000,5312.000,17879,13224,5303.000
2022-12-26,5320.000,5362.000,5304.000,5346.000,30531,13202,5333.000
2022-12-27,5346.000,5426.000,5334.000,5410.000,31982,15443,5368.000
2022-12-28,5407.000,5424.000,5353.000,5379.000,44967,17977,5386.000
2022-12-29,5371.000,5378.000,5279.000,5310.000,42210,18661,5324.000
2022-12-30,5328.000,5398.000,5328.000,5387.000,37826,19481,5376.000
2023-01-03,5398.000,5430.000,5332.000,5415.000,30644,18177,5377.000
2023-01-04,5406.000,5433.000,5336.000,5363.000,44892,17601,5384.000
2023-01-05,5366.000,5398.000,5226.000,5227.000,61163,17606,5322.000
2023-01-06,5205.000,5221.000,5142.000,5174.000,49102,17485,5174.000
2023-01-09,5167.000,5294.000,5165.000,5274.000,62316,15789,5234.000
2023-01-10,5264.000,5277.000,5178.000,5200.000,47795,15199,5231.000
2023-01-11,5188.000,5275.000,5176.000,5264.000,46700,14606,5222.000
2023-01-12,5258.000,5258.000,5148.000,5210.000,55310,14041,5200.000
2023-01-13,5224.000,5286.000,5190.000,5218.000,74764,14080,5235.000
2023-01-16,5192.000,5357.000,5175.000,5319.000,66746,14970,5276.000
2023-01-17,5300.000,5351.000,5263.000,5300.000,42326,15289,5311.000
2023-01-18,5300.000,5331.000,5265.000,5299.000,54129,15136,5297.000
