date,open,high,low,close,volume,open_interest,settle
2022-02-16,22115.000,22225.000,22020.000,22215.000,8,6,22140.000
2022-02-17,22395.000,22395.000,22185.000,22290.000,21,27,22320.000
2022-02-21,22265.000,22580.000,22200.000,22360.000,24,37,22340.000
2022-02-22,22440.000,22830.000,22425.000,22830.000,8,39,22625.000
2022-02-23,22655.000,22700.000,22605.000,22605.000,14,50,22670.000
2022-02-24,22595.000,22995.000,22495.000,22710.000,12,48,22675.000
2022-02-25,22850.000,22980.000,22525.000,22525.000,21,53,22800.000
2022-02-28,22300.000,22710.000,22215.000,22710.000,38,53,22495.000
2022-03-01,22710.000,22710.000,22410.000,22440.000,503,550,22705.000
2022-03-02,22520.000,22670.000,22520.000,22670.000,31,580,22520.000
2022-03-03,22995.000,23555.000,22830.000,23555.000,127,592,23085.000
2022-03-04,23455.000,23520.000,23170.000,23415.000,14,596,23355.000
2022-03-07,23240.000,23995.000,23240.000,23810.000,14,600,23585.000
2022-03-08,23005.000,23555.000,22570.000,22980.000,40,613,22960.000
2022-03-09,22225.000,22395.000,21525.000,22030.000,44,610,21970.000
2022-03-10,21800.000,21860.000,21355.000,21755.000,65,635,21735.000
2022-03-11,22055.000,22055.000,21965.000,22050.000,3,635,22020.000
2022-03-14,22060.000,22060.000,21755.000,21900.000,24,641,21900.000
2022-03-15,21700.000,21795.000,21590.000,21590.000,31,654,21715.000
2022-03-16,21515.000,22115.000,21365.000,21960.000,10,653,21735.000
2022-03-17,22115.000,22120.000,21810.000,21810.000,11,654,22010.000
2022-03-18,22280.000,22765.000,22280.000,22695.000,75,669,22460.000
2022-03-21,22695.000,23045.000,22685.000,22890.000,77,695,22965.000
2022-03-22,22965.000,22965.000,22700.000,22815.000,104,719,22755.000
2022-03-23,22800.000,22865.000,22730.000,22865.000,35,690,22740.000
2022-03-24,23020.000,23155.000,23020.000,23100.000,9,690,23090.000
2022-03-25,22970.000,22970.000,22900.000,22940.000,6,693,22920.000
2022-03-28,22900.000,22900.000,22895.000,22900.000,4,691,22895.000
2022-03-29,22930.000,22930.000,22895.000,22895.000,2,691,22910.000
2022-03-30,22520.000,22845.000,22400.000,22795.000,30,680,22555.000
2022-03-31,22800.000,22800.000,22605.000,22655.000,7,677,22685.000
2022-04-01,22680.000,22680.000,22585.000,22585.000,10,677,22640.000
2022-04-07,22245.000,22245.000,21935.000,22020.000,122,781,22125.000
2022-04-08,21730.000,22060.000,21730.000,21890.000,43,787,21835.000
2022-04-11,21500.000,21570.000,21065.000,21065.000,210,924,21365.000
2022-04-12,21090.000,21345.000,20805.000,21240.000,74,955,21135.000
2022-04-13,21125.000,23240.000,21125.000,21390.000,46,951,21460.000
2022-04-14,21395.000,21665.000,21395.000,21615.000,86,968,21600.000
2022-04-15,21830.000,21980.000,21755.000,21905.000,46,976,21895.000
2022-04-18,21940.000,21940.000,21875.000,21875.000,5,976,21885.000
2022-04-19,22060.000,22185.000,21825.000,22000.000,24,985,21990.000
2022-04-20,21870.000,21870.000,21805.000,21805.000,2,984,21835.000
2022-04-21,21970.000,21970.000,21745.000,21810.000,65,1000,21775.000
2022-04-22,21955.000,21955.000,21840.000,21860.000,82,984,21865.000
2022-04-25,21660.000,21690.000,20800.000,20800.000,168,1084,21185.000
2022-04-26,20775.000,20955.000,20450.000,20905.000,90,1113,20795.000
2022-04-27,20605.000,20905.000,20600.000,20850.000,410,1118,20845.000
2022-04-28,20820.000,21045.000,20820.000,21005.000,59,1116,20950.000
2022-04-29,20850.000,20850.000,20850.000,20850.000,4,1117,20850.000
2022-05-05,20800.000,20905.000,20600.000,20600.000,111,1217,20615.000
2022-05-06,20440.000,20485.000,20245.000,20315.000,47,1232,20400.000
2022-05-09,20005.000,20105.000,19750.000,19950.000,153,1280,19950.000
2022-05-10,19835.000,20065.000,19660.000,19900.000,100,1300,19895.000
2022-05-11,19940.000,20340.000,19930.000,20340.000,133,1329,20160.000
2022-05-12,20365.000,20430.000,20115.000,20115.000,76,1350,20195.000
2022-05-13,20085.000,20300.000,20085.000,20300.000,43,1358,20195.000
2022-05-16,20470.000,20600.000,20380.000,20500.000,50,1358,20525.000
2022-05-17,20445.000,20490.000,20260.000,20260.000,22,1365,20390.000
2022-05-18,20390.000,20425.000,20355.000,20355.000,35,1395,20400.000
2022-05-19,20260.000,20610.000,20200.000,20610.000,50,1415,20460.000
2022-05-20,20595.000,20835.000,20595.000,20810.000,28,1429,20765.000
2022-05-23,20845.000,21015.000,20775.000,20775.000,39,1440,20940.000
2022-05-24,20735.000,20735.000,20500.000,20500.000,45,1458,20615.000
2022-05-25,20430.000,20585.000,20405.000,20490.000,27,1473,20515.000
2022-05-26,20485.000,20620.000,20485.000,20495.000,41,1489,20560.000
2022-05-27,20700.000,20800.000,20670.000,20800.000,19,1502,20765.000
2022-05-30,20740.000,20785.000,20730.000,20730.000,19,1515,20735.000
2022-05-31,20740.000,20750.000,20740.000,20745.000,21,1526,20740.000
2022-06-01,20520.000,20525.000,20125.000,20330.000,285,1618,20325.000
2022-06-02,20295.000,20635.000,20285.000,20610.000,228,1704,20545.000
2022-06-06,21100.000,21105.000,20840.000,20930.000,87,1670,20920.000
2022-06-07,20850.000,20860.000,20720.000,20720.000,16,1669,20840.000
2022-06-08,20815.000,20815.000,20725.000,20745.000,14,1666,20735.000
2022-06-09,20775.000,20835.000,20775.000,20820.000,16,1669,20825.000
2022-06-10,20580.000,20625.000,20510.000,20625.000,22,1674,20590.000
2022-06-13,20475.000,20475.000,20075.000,20075.000,40,1669,20370.000
2022-06-14,20020.000,20125.000,19970.000,20020.000,99,1703,20015.000
2022-06-15,19900.000,20225.000,19885.000,19885.000,90,1740,20065.000
