date,open,high,low,close,volume,open_interest,settle
2026-04-16,2873.000,2897.000,2873.000,2884.000,16,9,2880.000
2026-04-17,2912.000,2926.000,2912.000,2914.000,5,13,2918.000
2026-04-20,2922.000,2922.000,2910.000,2916.000,22,20,2916.000
2026-04-21,2935.000,2944.000,2922.000,2926.000,25,24,2932.000
2026-04-22,2919.000,2940.000,2919.000,2940.000,6,25,2928.000
2026-04-23,2950.000,2974.000,2926.000,2926.000,13,32,2942.000
2026-04-24,2930.000,2939.000,2925.000,2925.000,13,24,2930.000
2026-04-27,3000.000,3049.000,2995.000,3030.000,52,45,3014.000
2026-04-28,3023.000,3030.000,3003.000,3006.000,43,42,3011.000
2026-04-29,3001.000,3016.000,2991.000,3016.000,14,47,3006.000
2026-04-30,3017.000,3025.000,2997.000,3004.000,24,49,3012.000
2026-05-06,2984.000,3034.000,2984.000,3034.000,11,52,3004.000
2026-05-07,3036.000,3040.000,3023.000,3029.000,110,128,3033.000
2026-05-08,3039.000,3039.000,3006.000,3017.000,23,126,3016.000
2026-05-11,3001.000,3012.000,2992.000,3009.000,47,132,3001.000
2026-05-12,3000.000,3020.000,2964.000,2985.000,82,145,2998.000
2026-05-13,2973.000,2998.000,2963.000,2991.000,59,166,2978.000
2026-05-14,2998.000,3020.000,2970.000,2970.000,145,237,2993.000
2026-05-15,2970.000,2983.000,2935.000,2945.000,287,395,2967.000
2026-05-18,2949.000,2954.000,2935.000,2948.000,30,405,2948.000
2026-05-19,2938.000,2939.000,2880.000,2914.000,31,405,2915.000
2026-05-20,2907.000,2921.000,2906.000,2914.000,5,404,2912.000
2026-05-21,2928.000,2938.000,2901.000,2911.000,77,375,2915.000
2026-05-22,2914.000,2924.000,2907.000,2924.000,18,372,2910.000
2026-05-25,2922.000,2949.000,2922.000,2946.000,70,366,2939.000
2026-05-26,2950.000,3040.000,2938.000,3017.000,188,362,3012.000
2026-05-27,3030.000,3059.000,2995.000,3018.000,50,364,3027.000
2026-05-28,3017.000,3033.000,3009.000,3028.000,49,360,3022.000
2026-05-29,3047.000,3060.000,3034.000,3053.000,33,367,3041.000
2026-06-01,3041.000,3060.000,3023.000,3048.000,56,357,3039.000
2026-06-02,3020.000,3035.000,3004.000,3013.000,80,322,3013.000
2026-06-03,3005.000,3005.000,2970.000,2989.000,38,321,2982.000
2026-06-04,2986.000,2986.000,2915.000,2929.000,49,318,2945.000
2026-06-05,2919.000,2928.000,2911.000,2928.000,56,324,2918.000
2026-06-08,2929.000,2942.000,2926.000,2933.000,14,327,2933.000
2026-06-09,2945.000,3009.000,2935.000,2987.000,45,339,2988.000
2026-06-10,3000.000,3029.000,2965.000,3020.000,114,402,3001.000
2026-06-11,3036.000,3038.000,2993.000,3006.000,184,361,3007.000
2026-06-12,2999.000,3041.000,2979.000,3030.000,170,297,2998.000
2026-06-15,3027.000,3051.000,3004.000,3028.000,82,292,3036.000
2026-06-16,3012.000,3021.000,2996.000,3021.000,15,296,3006.000
2026-06-17,3010.000,3019.000,3000.000,3015.000,8,296,3008.000
2026-06-18,3023.000,3030.000,3003.000,3010.000,20,299,3014.000
