date,open,high,low,close,volume,open_interest,settle
2021-11-15,7574.000,7592.000,7544.000,7586.000,78,49,7575.000
2021-11-16,7572.000,7614.000,7568.000,7614.000,1714,1735,7581.000
2021-11-17,7603.000,7603.000,7540.000,7563.000,871,2597,7578.000
2021-11-18,7581.000,7638.000,7557.000,7638.000,588,2867,7576.000
2021-11-19,7615.000,7773.000,7615.000,7750.000,40,2883,7719.000
2021-11-22,7779.000,7780.000,7711.000,7720.000,105,2957,7741.000
2021-11-23,7701.000,7720.000,7658.000,7710.000,48,2959,7690.000
2021-11-24,7738.000,7738.000,7635.000,7659.000,2418,5358,7693.000
2021-11-25,7660.000,7720.000,7621.000,7635.000,284,5581,7677.000
2021-11-26,7584.000,7683.000,7583.000,7655.000,1035,6574,7586.000
2021-11-29,7622.000,7679.000,7612.000,7666.000,109,6609,7642.000
2021-11-30,7646.000,7685.000,7646.000,7676.000,1236,7812,7649.000
2021-12-01,7652.000,7685.000,7647.000,7664.000,820,8070,7663.000
2021-12-02,7627.000,7636.000,7598.000,7604.000,2148,9435,7615.000
2021-12-03,7648.000,7655.000,7588.000,7631.000,1187,8981,7644.000
2021-12-06,7670.000,7696.000,7631.000,7643.000,4082,11425,7653.000
2021-12-07,7677.000,7677.000,7636.000,7643.000,411,11759,7646.000
2021-12-08,7608.000,7657.000,7608.000,7654.000,804,12116,7624.000
2021-12-09,7633.000,7658.000,7633.000,7657.000,85,12192,7654.000
2021-12-10,7606.000,7678.000,7606.000,7675.000,458,12623,7633.000
2021-12-13,7699.000,7699.000,7623.000,7654.000,181,12742,7658.000
2021-12-14,7631.000,7670.000,7631.000,7659.000,330,13044,7633.000
2021-12-15,7642.000,7710.000,7634.000,7708.000,1519,14518,7651.000
2021-12-16,7665.000,7727.000,7664.000,7713.000,636,15066,7673.000
2021-12-17,7740.000,7741.000,7600.000,7608.000,793,15763,7632.000
2021-12-20,7630.000,7630.000,7350.000,7350.000,1288,16906,7464.000
2021-12-21,7322.000,7340.000,7160.000,7302.000,198,16852,7249.000
2021-12-22,7311.000,7325.000,7223.000,7255.000,184,16956,7270.000
2021-12-23,7284.000,7321.000,7150.000,7310.000,669,17492,7267.000
2021-12-24,7301.000,7600.000,7291.000,7528.000,425,17478,7465.000
2021-12-27,7478.000,7541.000,7448.000,7497.000,1156,18465,7483.000
2021-12-28,7520.000,7581.000,7480.000,7566.000,1474,17818,7522.000
2021-12-29,7553.000,7553.000,7491.000,7539.000,841,18526,7498.000
2021-12-30,7511.000,7541.000,7487.000,7500.000,472,18572,0.000
2021-12-31,7477.000,7553.000,7477.000,7540.000,799,19282,7532.000
2022-01-04,7454.000,7519.000,7300.000,7305.000,849,19396,7396.000
2022-01-05,7305.000,7371.000,7268.000,7371.000,486,19300,7320.000
2022-01-06,7332.000,7430.000,7332.000,7378.000,848,19450,7351.000
2022-01-07,7392.000,7602.000,7382.000,7602.000,430,19497,7520.000
2022-01-10,7592.000,7624.000,7541.000,7617.000,3322,19448,7585.000
2022-01-11,7606.000,7629.000,7534.000,7580.000,1389,19670,7578.000
2022-01-12,7562.000,7575.000,7495.000,7525.000,2019,18845,7547.000
2022-01-13,7497.000,7588.000,7484.000,7528.000,5234,22901,7529.000
2022-01-14,7502.000,7615.000,7502.000,7555.000,7246,18078,7506.000
2022-01-17,7578.000,7605.000,7475.000,7494.000,1630,18714,7540.000
2022-01-18,7475.000,7647.000,7475.000,7628.000,2277,18446,7526.000
2022-01-19,7603.000,7673.000,7594.000,7652.000,2565,20807,7630.000
2022-01-20,7662.000,7748.000,7656.000,7696.000,1590,21431,7668.000
2022-01-21,7707.000,7761.000,7672.000,7761.000,2277,21897,7729.000
2022-01-24,7777.000,7795.000,7678.000,7731.000,583,21555,7736.000
2022-01-25,7747.000,7747.000,7648.000,7687.000,637,21385,7691.000
2022-01-26,7658.000,7715.000,7657.000,7699.000,1042,21784,7665.000
2022-01-27,7681.000,7812.000,7681.000,7780.000,2042,20938,7718.000
2022-01-28,7752.000,7788.000,7650.000,7700.000,2135,20177,7724.000
2022-02-07,7720.000,7883.000,7660.000,7748.000,1676,20769,7764.000
2022-02-08,7732.000,7739.000,7659.000,7676.000,1353,19658,7710.000
2022-02-09,7676.000,7716.000,7642.000,7680.000,2991,20385,7681.000
2022-02-10,7654.000,7783.000,7628.000,7776.000,1507,21712,7671.000
2022-02-11,7761.000,7838.000,7595.000,7595.000,4329,22747,7754.000
2022-02-14,7586.000,7635.000,7460.000,7540.000,1797,22942,7515.000
2022-02-15,7523.000,7574.000,7512.000,7535.000,161,22928,7538.000
2022-02-16,7528.000,7557.000,7453.000,7525.000,2677,20784,7526.000
2022-02-17,7489.000,7648.000,7489.000,7558.000,1788,20067,7530.000
2022-02-18,7535.000,7629.000,7497.000,7500.000,865,20133,7550.000
2022-02-21,7482.000,7500.000,7437.000,7472.000,657,19889,7467.000
2022-02-22,7457.000,7572.000,7448.000,7468.000,621,19764,7495.000
