date,open,high,low,close,volume,open_interest,settle
2021-01-21,390.660,390.660,390.660,390.660,1,1,390.660
2021-01-22,395.820,395.820,395.820,395.820,2,2,395.820
2021-02-01,396.320,397.600,395.460,397.600,18,18,395.660
2021-02-03,388.520,388.520,388.520,388.520,6,12,388.520
2021-02-04,388.040,390.380,385.000,386.140,13,5,387.840
2021-02-05,385.900,385.980,380.480,383.140,13,14,384.100
2021-02-08,383.500,385.000,383.500,384.140,6,17,384.200
2021-02-09,385.000,390.000,385.000,390.000,5,19,386.940
2021-02-10,390.480,391.460,389.000,391.460,7,21,390.220
2021-02-18,379.100,379.100,379.100,379.100,2,21,379.100
2021-02-19,379.880,380.760,375.280,378.020,12,23,378.400
2021-02-22,380.000,382.900,380.000,382.900,5,25,381.280
2021-02-23,384.000,388.000,384.000,386.060,16,38,385.820
2021-02-24,385.000,385.000,384.600,384.600,4,40,384.800
2021-02-25,384.000,384.000,380.600,381.780,6,41,382.280
2021-02-26,380.560,380.560,375.000,375.000,37,46,379.200
2021-03-01,365.300,372.700,365.300,372.700,6,48,369.920
2021-03-02,369.820,371.380,364.900,366.120,15,47,368.040
2021-03-03,369.580,369.580,368.520,368.520,2,47,369.040
2021-03-04,364.900,366.420,363.840,365.940,8,49,365.520
2021-03-05,366.780,366.780,360.540,361.360,9,51,361.920
2021-03-08,363.640,368.000,363.220,366.800,43,48,366.280
2021-03-09,364.140,364.280,362.660,364.280,7,50,363.300
2021-03-10,368.540,370.240,367.140,367.600,11,50,368.760
2021-03-11,369.640,371.440,369.280,370.860,11,50,370.440
2021-03-12,369.000,369.000,366.000,366.000,6,50,367.620
2021-03-15,363.600,370.280,363.600,368.880,9,51,368.280
2021-03-16,369.680,370.960,368.680,370.960,7,50,369.620
2021-03-17,370.780,371.360,369.520,370.400,11,53,370.480
2021-03-18,369.120,373.040,369.120,372.900,16,60,371.720
2021-03-19,372.000,372.000,367.700,372.000,10,59,370.380
2021-03-22,370.260,371.040,369.200,369.400,9,63,369.720
2021-03-26,374.400,374.400,371.680,372.480,5,65,372.920
2021-03-29,369.460,370.680,369.460,370.680,4,66,369.980
2021-03-30,367.800,368.300,366.800,367.900,16,69,367.920
2021-03-31,362.000,362.740,360.700,361.640,20,70,362.180
2021-04-01,361.920,367.920,361.920,367.900,11,69,366.400
2021-04-02,370.700,373.640,370.620,372.980,18,67,371.920
2021-04-06,371.920,373.120,371.920,372.140,22,66,372.620
2021-04-07,372.280,374.980,372.280,372.280,6,66,372.820
2021-04-08,372.100,372.640,372.100,372.640,2,66,372.360
2021-04-09,376.000,377.020,375.680,375.680,10,66,376.480
2021-04-12,371.580,375.320,371.580,373.600,9,69,373.440
2021-04-13,371.920,371.920,369.520,369.520,16,70,371.180
2021-04-14,372.700,373.560,372.460,373.000,12,74,372.960
2021-04-15,370.560,372.880,370.560,372.760,21,74,371.620
2021-04-16,372.720,377.020,372.720,376.040,12,76,375.060
2021-04-19,378.780,380.140,378.500,379.560,13,79,379.500
2021-04-20,377.260,377.300,375.660,375.660,8,79,376.400
2021-04-21,377.540,379.780,377.540,379.780,6,79,378.400
2021-04-22,379.140,380.760,379.140,380.120,15,80,380.060
2021-04-23,379.140,379.360,379.000,379.000,3,82,379.120
2021-04-26,376.560,377.520,376.380,376.380,12,84,377.100
2021-04-27,376.940,377.260,376.000,377.260,3,84,376.720
2021-04-28,375.100,375.100,375.060,375.060,4,87,375.080
2021-04-30,373.780,373.780,372.680,373.320,19,78,373.100
2021-05-06,377.040,379.340,377.040,379.020,14,74,378.520
2021-05-07,379.320,383.220,379.240,382.820,8,74,381.680
2021-05-10,384.780,386.320,383.400,386.320,35,84,384.940
2021-05-11,385.480,385.480,383.680,384.820,19,87,384.660
2021-05-12,384.920,385.220,383.660,385.200,30,93,384.320
2021-05-13,386.980,386.980,384.860,384.860,33,93,385.640
2021-05-14,384.140,385.100,383.120,383.120,11,88,383.540
2021-05-17,385.780,389.540,385.780,389.540,35,76,387.400
2021-05-18,388.920,393.760,388.920,392.460,16,79,391.700
2021-05-19,393.000,394.900,391.200,393.500,16,83,392.760
2021-05-20,391.240,396.520,390.980,394.220,50,79,393.580
2021-05-21,393.520,394.880,392.380,392.820,7,78,393.160
2021-05-24,396.660,396.660,391.960,395.340,14,79,394.260
2021-05-25,392.760,393.600,392.180,393.600,7,81,392.720
2021-05-26,393.540,398.460,393.540,398.460,10,84,395.680
2021-05-27,397.000,397.000,394.740,394.740,5,82,395.440
2021-05-28,393.220,394.800,393.220,394.800,8,80,394.000
2021-05-31,394.800,396.600,394.800,394.920,21,76,395.600
2021-06-01,395.400,398.900,395.400,398.900,28,83,397.040
2021-06-02,397.520,397.520,391.160,391.180,50,82,393.820
2021-06-03,392.900,393.320,387.460,388.300,64,91,391.540
2021-06-04,383.320,384.820,376.620,383.760,110,107,380.260
2021-06-07,387.580,387.640,386.000,386.360,57,112,386.700
2021-06-08,388.660,391.100,388.220,389.520,31,117,389.020
2021-06-09,388.820,389.180,388.100,389.040,131,115,388.640
2021-06-10,388.940,389.540,386.100,387.540,60,122,387.580
2021-06-11,389.160,391.880,388.760,389.840,51,121,390.680
2021-06-15,383.600,384.960,381.160,383.240,96,106,382.840
2021-06-16,383.580,383.740,381.140,382.660,63,110,381.900
2021-06-17,382.540,383.580,375.380,376.340,69,129,377.780
2021-06-18,375.000,375.000,371.320,372.420,30,147,372.180
2021-06-21,370.600,372.400,370.060,372.340,7,151,371.300
2021-06-22,373.160,375.540,372.820,374.900,13,156,374.140
2021-06-23,373.740,374.120,373.740,374.120,12,156,373.920
2021-06-24,376.020,376.020,372.860,372.900,14,156,373.860
2021-06-25,374.180,374.180,371.900,372.240,17,157,372.660
2021-06-28,374.060,374.060,370.340,372.820,4324,2046,371.940
2021-06-29,372.820,373.900,371.100,371.580,3882,3197,372.160
2021-06-30,369.000,369.680,367.040,368.180,6244,4942,368.020
2021-07-01,368.180,372.980,367.420,372.420,6814,5832,369.760
2021-07-02,372.420,373.820,370.860,373.240,5312,6350,372.800
2021-07-05,375.820,376.480,373.280,374.540,7064,7159,374.620
2021-07-06,375.120,378.460,372.560,378.140,4190,7261,376.280
2021-07-07,378.980,379.620,376.080,378.060,8783,7659,378.060
2021-07-08,378.160,379.080,376.800,377.280,5513,8153,377.780
2021-07-09,380.300,381.440,376.940,378.460,7488,8822,379.140
2021-07-12,378.820,380.540,377.180,377.700,4223,9276,378.820
2021-07-13,378.120,379.740,375.700,379.400,5872,10199,378.360
2021-07-14,378.200,380.640,377.520,380.200,4662,10608,379.700
2021-07-15,382.480,383.360,380.700,383.200,6166,10924,381.760
2021-07-16,381.980,383.760,380.880,382.240,4201,11028,382.260
2021-07-19,382.240,382.960,378.660,378.720,7237,11371,381.000
2021-07-20,380.280,382.240,379.040,381.680,5277,11502,380.780
2021-07-21,382.800,383.580,378.460,380.160,9526,11935,380.600
2021-07-22,378.180,378.440,376.620,377.220,8911,12674,377.540
2021-07-23,377.220,379.020,376.080,378.860,8085,13079,377.620
2021-07-26,378.780,380.320,376.860,379.860,11760,14657,378.240
2021-07-27,379.360,379.360,376.220,376.620,13918,15680,377.620
2021-07-28,378.900,381.540,378.400,380.840,16430,16666,379.760
2021-07-29,379.440,382.640,378.160,382.100,14262,16991,380.060
2021-07-30,383.180,383.960,382.100,383.320,13029,17095,383.000
2021-08-02,382.560,383.000,378.560,378.720,16487,17317,380.500
2021-08-03,378.720,381.000,378.300,378.780,9677,17519,379.420
2021-08-04,379.300,379.980,378.740,379.500,11465,17619,379.360
2021-08-05,382.580,383.240,378.220,379.040,15599,17638,380.360
2021-08-06,378.940,379.240,376.420,376.720,16202,18393,377.380
2021-08-09,372.480,372.620,363.400,366.340,26428,18684,368.580
2021-08-10,365.880,366.800,362.960,364.700,21030,18971,364.920
2021-08-11,363.600,364.980,361.640,364.240,17302,19110,363.420
2021-08-12,366.060,368.600,365.360,367.960,17919,18943,366.880
2021-08-13,367.020,369.300,365.940,369.020,16835,19018,367.580
2021-08-16,370.000,373.800,369.780,372.200,16448,18927,371.960
2021-08-17,372.900,376.280,372.720,375.840,14154,18933,374.500
2021-08-18,375.620,376.460,373.980,376.200,16166,19050,375.280
2021-08-19,375.560,375.920,373.080,375.080,21646,19142,374.400
2021-08-20,375.860,376.900,373.500,376.380,18216,18990,375.140
2021-08-23,375.260,376.160,373.180,375.780,18791,19086,375.000
2021-08-24,377.840,379.240,377.120,378.300,17005,19447,378.460
2021-08-25,379.560,379.620,376.060,376.380,16942,19013,378.000
2021-08-26,377.160,377.200,374.280,374.840,19996,18880,375.380
2021-08-27,374.620,379.300,373.560,378.680,21096,19166,376.260
2021-08-30,378.060,382.020,375.220,379.940,28396,19543,378.400
2021-08-31,379.940,380.480,378.360,379.680,15841,19935,379.420
2021-09-01,378.660,380.140,376.680,379.880,24968,19836,378.580
2021-09-02,380.360,381.060,378.120,379.560,17907,19890,379.420
2021-09-03,379.360,379.640,377.320,379.440,15649,19428,378.540
2021-09-06,380.980,382.800,379.640,381.800,22304,19785,381.320
2021-09-07,381.160,382.040,379.620,380.400,10286,19844,380.980
2021-09-08,378.760,380.100,375.380,375.780,23520,19934,377.020
2021-09-09,375.820,376.200,372.880,374.000,21152,20107,374.520
2021-09-10,374.400,376.560,372.900,376.420,24118,21004,374.980
2021-09-13,374.280,375.060,372.520,374.220,21740,21953,374.100
2021-09-14,373.540,375.880,373.440,374.660,16600,22469,374.740
2021-09-15,374.940,377.480,373.880,375.860,20604,23777,375.800
2021-09-16,375.220,375.360,371.920,372.680,21687,24468,373.980
2021-09-17,367.880,369.320,365.340,368.840,25902,25982,367.380
2021-09-22,372.420,374.180,371.840,373.540,8520,26383,373.260
2021-09-23,372.420,374.960,369.680,370.220,22421,27085,371.700
2021-09-24,369.980,369.980,366.260,367.640,28301,29464,367.540
2021-09-27,366.640,369.320,365.360,368.720,25447,29137,367.040
2021-09-28,368.180,369.020,364.440,365.280,24432,28378,367.640
2021-09-29,363.260,366.280,363.260,365.340,33185,26920,364.940
2021-09-30,365.140,365.540,362.700,363.800,35936,26142,364.320
2021-10-08,368.120,369.320,366.660,368.480,10972,26536,368.580
2021-10-11,371.540,373.060,366.960,367.120,29762,28209,369.800
2021-10-12,366.720,369.540,366.720,369.120,21624,28949,368.380
2021-10-13,368.520,370.480,368.080,369.060,25893,30096,369.160
2021-10-14,368.860,374.760,367.700,374.220,37079,29847,372.660
2021-10-15,375.240,376.360,373.320,373.540,22815,30032,374.780
2021-10-18,369.520,371.080,368.060,368.700,32290,30282,369.840
2021-10-19,368.500,369.920,368.100,369.900,28352,29872,369.040
2021-10-20,369.840,370.320,366.040,368.740,30977,28883,367.980
2021-10-21,370.820,371.480,368.700,370.900,33318,28892,370.280
2021-10-22,370.040,372.400,369.140,372.280,27938,28128,370.300
2021-10-25,374.600,375.460,369.440,371.240,43204,29754,372.580
2021-10-26,372.600,373.880,372.460,372.760,27683,33255,373.080
2021-10-27,372.080,372.300,368.200,369.880,31287,33621,369.640
2021-10-28,370.500,374.040,369.240,373.880,36307,35909,371.500
2021-10-29,373.120,375.180,371.520,371.720,36929,39735,373.080
2021-11-01,369.500,371.140,368.060,370.000,36454,39449,369.600
2021-11-02,370.580,373.000,370.340,372.580,30993,40329,371.780
2021-11-03,372.260,372.260,368.660,369.100,31289,40167,370.440
2021-11-04,368.660,368.780,365.020,367.620,39229,39139,366.880
2021-11-05,371.540,373.060,370.980,372.860,35972,38490,371.960
2021-11-08,372.260,378.960,371.800,377.360,63329,43065,375.920
2021-11-09,377.640,378.960,376.900,378.520,37389,45565,378.080
2021-11-10,378.080,379.680,377.300,378.820,39050,49343,378.760
2021-11-11,378.820,387.060,377.740,384.500,68744,54202,383.520
2021-11-12,384.800,386.500,384.360,384.660,40918,57438,385.160
2021-11-15,383.000,386.080,382.620,383.140,56466,56610,384.000
2021-11-16,384.280,386.180,384.080,385.060,49949,58750,385.140
2021-11-17,387.100,388.460,381.980,383.440,62373,56615,384.440
2021-11-18,385.280,386.000,383.920,384.620,43172,58928,385.000
2021-11-19,385.200,385.660,383.100,384.140,55277,60510,384.580
2021-11-22,384.580,385.900,380.100,380.380,70274,56966,383.020
2021-11-23,380.240,380.400,372.860,373.080,101415,57841,375.960
2021-11-24,371.000,371.520,369.000,370.880,97591,58998,370.420
2021-11-25,369.780,371.160,368.400,370.900,104617,63455,369.940
2021-11-26,370.160,373.140,369.360,372.700,95881,67499,371.000
2021-11-29,373.400,374.620,369.080,371.420,197528,71165,371.980
