date,open,high,low,close,volume,open_interest,settle
2025-03-17,3620.000,3660.000,3620.000,3630.000,12,10,3633.000
2025-03-18,3616.000,3616.000,3573.000,3590.000,13,20,3598.000
2025-03-19,3578.000,3595.000,3578.000,3594.000,7,25,3585.000
2025-03-20,3570.000,3578.000,3553.000,3555.000,6,30,3566.000
2025-03-21,3558.000,3572.000,3540.000,3540.000,18,44,3551.000
2025-03-24,3532.000,3535.000,3505.000,3534.000,18,54,3517.000
2025-03-25,3520.000,3541.000,3520.000,3526.000,9,56,3528.000
2025-03-26,3446.000,3534.000,3446.000,3516.000,6,58,3510.000
2025-03-27,3508.000,3511.000,3508.000,3509.000,9,65,3508.000
2025-03-28,3520.000,3527.000,3500.000,3500.000,8,64,3513.000
2025-03-31,3505.000,3548.000,3505.000,3548.000,4,63,3535.000
2025-04-01,3546.000,3548.000,3508.000,3520.000,16,68,3529.000
2025-04-02,3517.000,3562.000,3517.000,3551.000,29,72,3540.000
2025-04-03,3566.000,3596.000,3555.000,3568.000,95,129,3572.000
2025-04-07,3690.000,3690.000,3533.000,3537.000,82,160,3575.000
2025-04-08,3558.000,3620.000,3544.000,3620.000,135,190,3576.000
2025-04-09,3619.000,3624.000,3588.000,3605.000,89,218,3606.000
2025-04-10,3599.000,3610.000,3580.000,3591.000,174,313,3594.000
2025-04-11,3594.000,3620.000,3590.000,3606.000,125,323,3602.000
2025-04-14,3607.000,3621.000,3603.000,3609.000,73,326,3609.000
2025-04-15,3615.000,3615.000,3580.000,3580.000,140,412,3599.000
2025-04-16,3578.000,3597.000,3550.000,3557.000,130,465,3568.000
2025-04-17,3560.000,3582.000,3560.000,3575.000,53,476,3571.000
2025-04-18,3575.000,3576.000,3552.000,3557.000,86,500,3563.000
2025-04-21,3560.000,3586.000,3553.000,3560.000,328,647,3562.000
2025-04-22,3555.000,3577.000,3554.000,3577.000,111,588,3567.000
2025-04-23,3580.000,3583.000,3565.000,3582.000,54,599,3576.000
2025-04-24,3620.000,3620.000,3574.000,3593.000,101,627,3590.000
2025-04-25,3595.000,3611.000,3589.000,3598.000,72,627,3599.000
2025-04-28,3590.000,3593.000,3553.000,3560.000,98,651,3573.000
2025-04-29,3549.000,3570.000,3548.000,3552.000,52,643,3558.000
2025-04-30,3547.000,3547.000,3533.000,3537.000,33,652,3543.000
2025-05-06,3533.000,3536.000,3520.000,3520.000,71,706,3528.000
2025-05-07,3531.000,3536.000,3517.000,3529.000,209,862,3524.000
2025-05-08,3520.000,3527.000,3503.000,3518.000,117,896,3516.000
2025-05-09,3526.000,3526.000,3513.000,3513.000,52,892,3519.000
2025-05-12,3513.000,3523.000,3500.000,3523.000,105,872,3514.000
2025-05-13,3526.000,3536.000,3513.000,3513.000,231,866,3526.000
2025-05-14,3519.000,3551.000,3514.000,3544.000,115,862,3533.000
2025-05-15,3539.000,3541.000,3526.000,3540.000,44,876,3532.000
2025-05-16,3536.000,3536.000,3503.000,3513.000,127,904,3514.000
2025-05-19,3508.000,3525.000,3504.000,3504.000,42,901,3512.000
2025-05-20,3505.000,3509.000,3490.000,3499.000,137,913,3497.000
2025-05-21,3501.000,3525.000,3498.000,3525.000,67,926,3506.000
2025-05-22,3531.000,3531.000,3505.000,3510.000,90,927,3515.000
2025-05-23,3515.000,3535.000,3511.000,3523.000,63,936,3521.000
2025-05-26,3518.000,3521.000,3504.000,3513.000,39,933,3512.000
2025-05-27,3513.000,3530.000,3502.000,3521.000,54,948,3517.000
2025-05-28,3523.000,3531.000,3516.000,3516.000,79,972,3525.000
2025-05-29,3519.000,3519.000,3493.000,3513.000,60,977,3507.000
2025-05-30,3497.000,3508.000,3493.000,3493.000,22,976,3499.000
2025-06-03,3491.000,3494.000,3472.000,3475.000,29,972,3482.000
2025-06-04,3478.000,3487.000,3468.000,3477.000,43,973,3479.000
2025-06-05,3477.000,3489.000,3477.000,3484.000,17,979,3482.000
2025-06-06,3487.000,3521.000,3483.000,3518.000,50,991,3507.000
