date,open,high,low,close,volume,open_interest,settle
2026-03-26,167.000,167.000,143.000,143.000,6,0,155.000
2026-06-03,146.550,147.700,146.550,147.250,58,9,147.200
2026-06-11,147.400,147.800,147.100,147.100,34,14,147.300
2026-06-15,147.100,147.700,147.100,147.400,60,21,147.300
2026-06-16,147.550,147.650,146.850,147.050,63,27,147.200
2026-06-17,147.050,147.350,146.200,146.200,47,27,147.000
2026-06-24,146.700,146.700,146.650,146.650,2,26,146.650
2026-06-29,146.800,146.800,146.800,146.800,2,28,146.800
2026-06-30,146.700,146.750,146.700,146.750,2,29,146.700
2026-07-02,149.900,149.900,147.000,147.150,29,31,147.300
2026-07-03,147.350,147.350,146.200,147.000,57,33,146.700
2026-07-06,146.750,146.750,146.750,146.750,2,34,146.750
2026-07-14,146.600,147.500,146.600,146.850,25,35,146.900
2026-07-15,147.050,147.050,147.050,147.050,1,36,147.050
2026-08-07,147.200,147.200,147.200,147.200,1,37,147.200
2026-08-13,147.000,147.000,147.000,147.000,1,38,147.000
2026-08-26,147.100,147.400,146.750,147.150,133,41,147.100
2026-09-02,147.000,147.500,146.500,146.850,51,42,146.950
2026-09-03,146.750,146.750,146.500,146.500,12,40,146.600
2026-09-04,146.500,146.500,146.200,146.250,30,42,146.300
