date,open,high,low,close,volume,open_interest,settle
2024-09-19,75900.000,75900.000,66680.000,66680.000,2,0,71290.000
2025-01-16,67240.000,68310.000,67240.000,68310.000,2,0,67770.000
2025-02-05,67190.000,67190.000,67190.000,67190.000,5,5,67190.000
2025-02-06,67030.000,67030.000,67030.000,67030.000,3,5,67030.000
2025-02-07,68060.000,68060.000,68060.000,68060.000,1,5,68060.000
2025-02-10,69280.000,70050.000,69000.000,69200.000,36,24,69560.000
2025-02-11,69230.000,69230.000,69230.000,69230.000,1,24,69230.000
2025-02-12,69450.000,69450.000,68600.000,69160.000,46,54,68850.000
2025-02-13,69070.000,69340.000,68980.000,69340.000,10,52,69110.000
2025-02-14,69680.000,69680.000,67910.000,69680.000,35,47,69440.000
2025-02-17,70140.000,70140.000,68820.000,68820.000,49,26,69680.000
2025-02-18,68380.000,68690.000,68380.000,68690.000,14,23,68520.000
2025-02-19,68890.000,69010.000,68840.000,69010.000,38,44,68900.000
2025-02-20,69420.000,69420.000,68960.000,69160.000,49,20,69070.000
2025-02-21,68940.000,68980.000,68910.000,68980.000,3,20,68940.000
2025-02-24,69270.000,69270.000,68980.000,68980.000,2,20,69120.000
2025-02-25,69170.000,69170.000,68700.000,68770.000,19,20,68820.000
2025-02-26,69270.000,69270.000,68870.000,68870.000,36,25,69090.000
2025-02-27,68890.000,71810.000,68630.000,68810.000,10,24,69200.000
2025-02-28,68990.000,69030.000,68480.000,68550.000,45,32,68850.000
2025-03-03,68970.000,68970.000,68930.000,68940.000,7,37,68940.000
2025-03-04,69040.000,69040.000,68570.000,68570.000,9,38,68780.000
2025-03-05,68590.000,69060.000,68380.000,69060.000,14,40,68530.000
2025-03-06,69440.000,69990.000,69430.000,69650.000,44,49,69690.000
2025-03-07,69920.000,70360.000,69830.000,69830.000,37,63,70040.000
2025-03-10,69860.000,70220.000,69620.000,69810.000,34,47,69930.000
2025-03-11,69560.000,69560.000,69010.000,69230.000,13,47,69330.000
2025-03-12,69900.000,70760.000,69900.000,70710.000,11,48,70470.000
2025-03-13,71350.000,71350.000,70700.000,70700.000,26,48,70900.000
2025-03-14,71090.000,71430.000,71090.000,71430.000,5,46,71360.000
2025-03-17,71310.000,71500.000,71100.000,71500.000,13,46,71310.000
2025-03-18,71410.000,71680.000,71400.000,71410.000,11,46,71500.000
2025-03-19,71570.000,72340.000,71570.000,72200.000,28,52,71920.000
2025-03-20,72370.000,73530.000,72140.000,72740.000,148,143,72560.000
2025-03-21,72390.000,72860.000,71700.000,71840.000,164,175,72440.000
2025-03-24,71830.000,72950.000,71830.000,72860.000,135,219,72340.000
2025-03-25,72980.000,73120.000,72480.000,73020.000,542,349,72790.000
2025-03-26,73130.000,74250.000,72800.000,73060.000,1626,913,73410.000
2025-03-27,72680.000,73090.000,72330.000,72710.000,1931,1853,72780.000
2025-03-28,72130.000,72320.000,71630.000,71730.000,3253,2501,71870.000
2025-03-31,71950.000,72350.000,71040.000,71230.000,3933,2661,71500.000
2025-04-01,71230.000,71630.000,70730.000,71570.000,4267,2905,71150.000
2025-04-02,71170.000,71290.000,70780.000,70990.000,4476,3061,71050.000
2025-04-03,70940.000,71010.000,69830.000,70060.000,6986,2630,70370.000
2025-04-07,65440.000,67100.000,65440.000,65440.000,7173,2490,66180.000
2025-04-08,63550.000,66250.000,63550.000,64930.000,8905,2204,65100.000
2025-04-09,64990.000,65550.000,63140.000,63850.000,10377,2540,64060.000
2025-04-10,63530.000,67080.000,63450.000,66740.000,10633,2846,65600.000
2025-04-11,66300.000,66740.000,65700.000,66620.000,7909,3150,66270.000
2025-04-14,66880.000,67710.000,66530.000,67620.000,6099,3420,67190.000
2025-04-15,67670.000,67720.000,67160.000,67400.000,5803,2793,67410.000
2025-04-16,67100.000,67540.000,66470.000,66760.000,4504,2850,67040.000
2025-04-17,66870.000,67650.000,66840.000,67220.000,3818,2654,67300.000
2025-04-18,67240.000,67750.000,67010.000,67570.000,3175,2616,67420.000
2025-04-21,67500.000,68750.000,67300.000,68680.000,3019,2759,67890.000
2025-04-22,69000.000,69000.000,67950.000,68500.000,3539,2459,68330.000
2025-04-23,68590.000,69740.000,68520.000,69180.000,3055,2393,69090.000
2025-04-24,69410.000,69410.000,68660.000,68790.000,2872,2362,68950.000
2025-04-25,68810.000,69260.000,68610.000,68780.000,4008,2241,68950.000
2025-04-28,68740.000,68980.000,68340.000,68830.000,5105,2245,68680.000
2025-04-29,69050.000,69050.000,68560.000,68920.000,5163,2477,68860.000
2025-04-30,69180.000,69290.000,68470.000,68470.000,7134,2445,68920.000
2025-05-06,68470.000,69260.000,68460.000,68870.000,5669,2733,68940.000
2025-05-07,69140.000,69830.000,68990.000,69190.000,7918,3113,69340.000
2025-05-08,68970.000,69320.000,68620.000,68650.000,8348,2736,68900.000
2025-05-09,68800.000,69540.000,68680.000,68750.000,5297,2471,69010.000
2025-05-12,69260.000,69620.000,69060.000,69590.000,6249,2447,69350.000
2025-05-13,69480.000,69590.000,68860.000,69310.000,5397,2305,69100.000
2025-05-14,69110.000,70260.000,69000.000,70130.000,16871,2471,69700.000
2025-05-15,70020.000,70270.000,69100.000,69130.000,6069,2039,69640.000
2025-05-16,69390.000,69780.000,69190.000,69350.000,4187,1930,69490.000
2025-05-19,69000.000,69280.000,68690.000,68940.000,5248,2225,68940.000
2025-05-20,68950.000,69400.000,68850.000,68890.000,3964,2113,69160.000
2025-05-21,69090.000,70280.000,69020.000,69520.000,5411,2224,69470.000
2025-05-22,69470.000,69500.000,69000.000,69270.000,4270,1951,69270.000
2025-05-23,69040.000,69430.000,68940.000,69030.000,3927,1826,69140.000
2025-05-26,68990.000,69950.000,68890.000,69590.000,5102,2011,69600.000
2025-05-27,69330.000,69930.000,69260.000,69630.000,4150,1697,69580.000
2025-05-28,69780.000,69910.000,69490.000,69580.000,2124,1435,69740.000
2025-05-29,69630.000,69740.000,69040.000,69700.000,1617,1065,69480.000
2025-05-30,69800.000,69830.000,68890.000,69090.000,587,965,69260.000
2025-06-03,69050.000,69050.000,69050.000,69050.000,25,965,69050.000
2025-06-05,69490.000,69490.000,69480.000,69480.000,10,965,69480.000
2025-06-06,70270.000,70270.000,69950.000,70150.000,55,915,70120.000
2025-06-09,69900.000,70050.000,69900.000,69950.000,45,895,69960.000
2025-06-10,69950.000,69950.000,69950.000,69950.000,165,895,69950.000
