date,open,high,low,close,volume,open_interest,settle
2026-07-17,13500.000,13735.000,13280.000,13280.000,5,2,13550.000
2026-07-23,13595.000,13595.000,13565.000,13565.000,2,2,13580.000
2026-07-24,13695.000,13705.000,13555.000,13705.000,4,1,13625.000
2026-07-27,13085.000,13085.000,12980.000,12980.000,3,3,13050.000
2026-07-29,12655.000,12655.000,12655.000,12655.000,2,3,12655.000
2026-07-30,12710.000,12710.000,12710.000,12710.000,1,2,12710.000
2026-08-04,12510.000,12520.000,12510.000,12520.000,5,5,12510.000
2026-08-05,12600.000,12600.000,12600.000,12600.000,1,5,12600.000
2026-08-07,13040.000,13200.000,13040.000,13200.000,5,10,13155.000
2026-08-10,13000.000,13010.000,12945.000,12945.000,6,9,12995.000
2026-08-11,13035.000,13110.000,12920.000,13110.000,3,9,13020.000
2026-08-12,12995.000,13410.000,12995.000,13385.000,4,10,13255.000
2026-08-13,13380.000,13380.000,13380.000,13380.000,1,10,13380.000
2026-08-14,13400.000,13485.000,13400.000,13480.000,4,11,13460.000
2026-08-17,13600.000,13835.000,13600.000,13835.000,3,9,13720.000
2026-08-18,14180.000,14180.000,14180.000,14180.000,1,8,14180.000
2026-08-19,14325.000,14350.000,14300.000,14350.000,5,12,14325.000
2026-08-20,14350.000,14350.000,13890.000,14070.000,8,14,14080.000
2026-08-21,14195.000,14195.000,14025.000,14150.000,4,14,14115.000
2026-08-24,14315.000,14350.000,14125.000,14350.000,4,13,14275.000
2026-08-25,14410.000,14410.000,14220.000,14220.000,2,14,14315.000
2026-08-26,13825.000,13850.000,13550.000,13720.000,8,13,13715.000
2026-08-27,13905.000,13995.000,13835.000,13910.000,5,13,13915.000
2026-08-31,14045.000,14460.000,14045.000,14455.000,11,15,14235.000
2026-09-01,14600.000,14735.000,14425.000,14545.000,6,16,14615.000
2026-09-02,14470.000,14900.000,14430.000,14895.000,6,18,14665.000
2026-09-03,14360.000,14610.000,14335.000,14335.000,23,21,14550.000
2026-09-04,14380.000,14445.000,14335.000,14335.000,17,23,14400.000
