date,open,high,low,close,volume,open_interest,settle
2025-02-24,3642.000,3642.000,3561.000,3561.000,2,1,3601.000
2025-02-28,3481.000,3481.000,3481.000,3481.000,1,1,3481.000
2025-03-03,3486.000,3486.000,3486.000,3486.000,1,1,3486.000
2025-03-04,3478.000,3478.000,3375.000,3383.000,5,5,3400.000
2025-03-05,3355.000,3356.000,3355.000,3356.000,3,5,3355.000
2025-03-12,3375.000,3375.000,3324.000,3324.000,7,5,3351.000
2025-03-13,3344.000,3344.000,3342.000,3342.000,2,3,3343.000
2025-03-17,3300.000,3300.000,3300.000,3300.000,2,4,3300.000
2025-03-20,3305.000,3305.000,3305.000,3305.000,1,3,3305.000
2025-03-21,3385.000,3385.000,3385.000,3385.000,1,3,3385.000
2025-03-25,3437.000,3437.000,3437.000,3437.000,1,3,3437.000
2025-03-26,3460.000,3461.000,3451.000,3461.000,3,4,3457.000
2025-03-27,3436.000,3458.000,3436.000,3458.000,2,5,3447.000
2025-03-28,3437.000,3437.000,3437.000,3437.000,1,4,3437.000
2025-03-31,3447.000,3448.000,3447.000,3448.000,2,6,3447.000
2025-04-01,3454.000,3486.000,3454.000,3478.000,3,5,3472.000
2025-04-02,3493.000,3493.000,3493.000,3493.000,2,7,3493.000
2025-04-03,3487.000,3487.000,3469.000,3469.000,3,6,3477.000
2025-04-08,3156.000,3223.000,3156.000,3196.000,9,7,3208.000
2025-04-09,3194.000,3194.000,3125.000,3129.000,4,8,3158.000
2025-04-10,3077.000,3219.000,3077.000,3219.000,13,7,3179.000
2025-04-11,3174.000,3182.000,3160.000,3178.000,7,6,3174.000
2025-04-14,3183.000,3183.000,3160.000,3160.000,2,6,3171.000
2025-04-17,3230.000,3230.000,3230.000,3230.000,1,5,3230.000
2025-04-22,3218.000,3218.000,3218.000,3218.000,1,6,3218.000
2025-04-25,3280.000,3280.000,3246.000,3259.000,7,7,3263.000
2025-04-28,3270.000,3270.000,3270.000,3270.000,2,7,3270.000
2025-05-06,3153.000,3153.000,3153.000,3153.000,1,8,3153.000
2025-05-07,3198.000,3206.000,3198.000,3198.000,4,7,3200.000
2025-05-13,3222.000,3222.000,3222.000,3222.000,1,6,3222.000
2025-05-14,3237.000,3257.000,3236.000,3257.000,4,8,3241.000
2025-05-15,3234.000,3234.000,3182.000,3216.000,5,7,3207.000
2025-05-16,3196.000,3196.000,3196.000,3196.000,2,6,3196.000
2025-05-21,3249.000,3252.000,3249.000,3252.000,3,8,3251.000
2025-05-22,3269.000,3274.000,3269.000,3270.000,10,13,3270.000
2025-05-23,3249.000,3250.000,3248.000,3250.000,4,9,3249.000
2025-05-27,3225.000,3247.000,3225.000,3247.000,4,13,3241.000
2025-05-28,3229.000,3229.000,3229.000,3229.000,2,13,3229.000
2025-05-30,3211.000,3211.000,3206.000,3206.000,2,13,3208.000
2025-06-03,3279.000,3279.000,3279.000,3279.000,2,15,3279.000
2025-06-05,3254.000,3254.000,3236.000,3236.000,2,16,3245.000
2025-06-06,3263.000,3263.000,3263.000,3263.000,1,15,3263.000
2025-06-09,3305.000,3305.000,3269.000,3269.000,4,14,3294.000
2025-06-10,3282.000,3282.000,3274.000,3274.000,2,15,3278.000
2025-06-11,3262.000,3265.000,3262.000,3264.000,3,15,3263.000
2025-06-12,3261.000,3313.000,3261.000,3311.000,12,11,3302.000
2025-06-13,3290.000,3471.000,3290.000,3450.000,10,14,3443.000
2025-06-16,3413.000,3441.000,3410.000,3410.000,3,14,3421.000
2025-06-17,3377.000,3377.000,3365.000,3365.000,2,14,3371.000
2025-06-18,3423.000,3441.000,3423.000,3441.000,6,12,3434.000
2025-06-19,3503.000,3503.000,3470.000,3470.000,3,12,3481.000
2025-06-20,3500.000,3507.000,3500.000,3507.000,2,14,3503.000
2025-06-23,3541.000,3541.000,3527.000,3527.000,2,14,3534.000
2025-06-24,3498.000,3498.000,3354.000,3354.000,11,18,3389.000
2025-06-25,3357.000,3357.000,3322.000,3355.000,9,14,3345.000
2025-06-26,3343.000,3343.000,3336.000,3343.000,5,13,3341.000
2025-06-30,3307.000,3318.000,3303.000,3318.000,3,13,3309.000
2025-07-01,3303.000,3303.000,3303.000,3303.000,1,13,3303.000
2025-07-02,3466.000,3466.000,3312.000,3322.000,11,15,3338.000
2025-07-03,3327.000,3327.000,3321.000,3321.000,5,18,3322.000
2025-07-07,3319.000,3319.000,3319.000,3319.000,1,19,3319.000
2025-07-08,3340.000,3353.000,3336.000,3353.000,4,19,3345.000
2025-07-09,3373.000,3390.000,3366.000,3390.000,8,15,3382.000
2025-07-10,3386.000,3386.000,3386.000,3386.000,2,16,3386.000
2025-07-11,3373.000,3388.000,3373.000,3388.000,20,29,3380.000
2025-07-14,3401.000,3409.000,3401.000,3402.000,4,30,3404.000
2025-07-15,3425.000,3425.000,3400.000,3400.000,10,35,3407.000
2025-07-16,3381.000,3406.000,3381.000,3402.000,8,35,3400.000
2025-07-17,3420.000,3420.000,3420.000,3420.000,1,35,3420.000
2025-07-18,3409.000,3430.000,3397.000,3420.000,43,48,3412.000
2025-07-21,3440.000,3441.000,3423.000,3423.000,5,50,3435.000
2025-07-22,3428.000,3428.000,3376.000,3394.000,103,137,3392.000
2025-07-23,3418.000,3439.000,3398.000,3410.000,266,269,3431.000
2025-07-24,3397.000,3416.000,3384.000,3413.000,156,363,3397.000
2025-07-25,3416.000,3434.000,3402.000,3429.000,79,409,3423.000
2025-07-28,3435.000,3445.000,3372.000,3376.000,826,719,3423.000
2025-07-29,3422.000,3440.000,3409.000,3436.000,2020,1023,3427.000
2025-07-30,3438.000,3488.000,3437.000,3476.000,825,1167,3460.000
2025-07-31,3468.000,3500.000,3468.000,3475.000,211,1178,3480.000
2025-08-01,3467.000,3495.000,3461.000,3484.000,57,1210,3478.000
2025-08-04,3482.000,3482.000,3393.000,3411.000,527,1258,3423.000
2025-08-05,3382.000,3396.000,3371.000,3387.000,1957,1574,3383.000
2025-08-06,3376.000,3396.000,3376.000,3396.000,303,1537,3385.000
2025-08-07,3396.000,3414.000,3380.000,3392.000,434,1444,3395.000
2025-08-08,3392.000,3393.000,3340.000,3345.000,495,1299,3370.000
2025-08-11,3360.000,3375.000,3330.000,3333.000,262,1325,3346.000
2025-08-12,3364.000,3368.000,3347.000,3359.000,243,1371,3362.000
2025-08-13,3345.000,3356.000,3344.000,3356.000,363,1319,3349.000
2025-08-14,3340.000,3353.000,3336.000,3343.000,429,1388,3346.000
2025-08-15,3345.000,3357.000,3326.000,3331.000,454,1426,3340.000
2025-08-18,3332.000,3351.000,3314.000,3335.000,683,1497,3331.000
2025-08-19,3328.000,3329.000,3313.000,3322.000,820,1587,3319.000
2025-08-20,3313.000,3324.000,3304.000,3318.000,495,1640,3314.000
2025-08-21,3315.000,3341.000,3309.000,3340.000,639,1687,3329.000
2025-08-22,3335.000,3373.000,3329.000,3365.000,533,1641,3357.000
2025-08-25,3362.000,3404.000,3362.000,3394.000,680,1630,3388.000
2025-08-26,3397.000,3418.000,3397.000,3407.000,251,1650,3407.000
2025-08-27,3393.000,3397.000,3357.000,3372.000,1296,1819,3373.000
2025-08-28,3388.000,3401.000,3374.000,3399.000,625,1802,3384.000
2025-08-29,3407.000,3409.000,3378.000,3403.000,629,1658,3398.000
2025-09-01,3409.000,3430.000,3387.000,3430.000,863,1754,3406.000
2025-09-02,3438.000,3480.000,3438.000,3459.000,1678,1604,3464.000
2025-09-03,3445.000,3470.000,3444.000,3459.000,855,1586,3459.000
2025-09-04,3438.000,3438.000,3364.000,3364.000,1075,1502,3404.000
2025-09-05,3365.000,3370.000,3335.000,3364.000,1417,1612,3356.000
2025-09-08,3348.000,3367.000,3325.000,3364.000,1425,1534,3348.000
2025-09-09,3361.000,3361.000,3339.000,3350.000,1386,1485,3348.000
2025-09-10,3354.000,3385.000,3354.000,3375.000,1408,1411,3364.000
2025-09-11,3378.000,3408.000,3369.000,3389.000,1361,1373,3382.000
2025-09-12,3363.000,3363.000,3310.000,3315.000,1468,1494,3336.000
2025-09-15,3344.000,3355.000,3328.000,3337.000,809,1463,3343.000
2025-09-16,3340.000,3378.000,3339.000,3356.000,1457,1508,3366.000
2025-09-17,3374.000,3386.000,3371.000,3386.000,681,1542,3380.000
2025-09-18,3383.000,3390.000,3361.000,3368.000,562,1605,3377.000
2025-09-19,3380.000,3388.000,3347.000,3356.000,851,1588,3363.000
2025-09-22,3350.000,3357.000,3320.000,3324.000,956,1759,3340.000
2025-09-23,3303.000,3311.000,3282.000,3288.000,1009,1928,3298.000
2025-09-24,3288.000,3335.000,3288.000,3308.000,972,1951,3318.000
2025-09-25,3326.000,3367.000,3320.000,3363.000,1104,2109,3348.000
2025-09-26,3364.000,3413.000,3351.000,3400.000,8611,8157,3389.000
2025-09-29,3406.000,3417.000,3385.000,3408.000,14350,15059,3399.000
2025-09-30,3388.000,3391.000,3347.000,3361.000,11030,19618,3366.000
2025-10-09,3336.000,3340.000,3294.000,3313.000,10728,24151,3314.000
2025-10-10,3318.000,3328.000,3248.000,3252.000,15049,31990,3282.000
2025-10-13,3234.000,3244.000,3179.000,3186.000,22632,41069,3207.000
2025-10-14,3179.000,3190.000,3160.000,3175.000,16023,45492,3172.000
2025-10-15,3149.000,3172.000,3146.000,3164.000,11064,48668,3157.000
2025-10-16,3179.000,3189.000,3155.000,3173.000,14154,52186,3171.000
2025-10-17,3160.000,3174.000,3119.000,3144.000,19343,56734,3146.000
2025-10-20,3151.000,3171.000,3131.000,3152.000,21657,60529,3153.000
2025-10-21,3157.000,3181.000,3144.000,3164.000,26451,63170,3166.000
2025-10-22,3175.000,3254.000,3163.000,3253.000,26753,64533,3199.000
2025-10-23,3241.000,3310.000,3240.000,3283.000,28679,63947,3275.000
2025-10-24,3300.000,3321.000,3286.000,3305.000,25844,67050,3303.000
2025-10-27,3313.000,3334.000,3295.000,3302.000,22881,69163,3315.000
2025-10-28,3300.000,3303.000,3269.000,3286.000,21760,73555,3289.000
