date,open,high,low,close,volume,open_interest,settle
2020-01-16,1973.000,2019.000,1973.000,2014.000,2017,1676,2006.000
2020-01-17,2014.000,2017.000,2010.000,2015.000,2434,3443,2012.000
2020-01-20,2013.000,2018.000,2002.000,2006.000,1356,3590,2007.000
2020-01-21,2005.000,2013.000,2004.000,2005.000,4207,3338,2009.000
2020-01-22,2005.000,2005.000,1993.000,1998.000,795,3326,1999.000
2020-01-23,1995.000,2003.000,1991.000,1991.000,509,3301,1996.000
2020-02-03,1995.000,1996.000,1911.000,1982.000,3076,2834,1984.000
2020-02-04,1985.000,2006.000,1983.000,2003.000,2483,3131,1997.000
2020-02-05,2003.000,2003.000,1980.000,1994.000,1647,3247,0.000
2020-02-06,1992.000,2001.000,1991.000,2001.000,3279,3750,0.000
2020-02-07,2003.000,2015.000,2003.000,2005.000,2854,4178,0.000
2020-02-10,2003.000,2006.000,1991.000,1997.000,4405,3625,0.000
2020-02-11,2000.000,2000.000,1991.000,1993.000,3425,3384,1994.000
2020-02-12,1998.000,2003.000,1993.000,1994.000,4057,3644,1996.000
2020-02-13,1997.000,2000.000,1994.000,1999.000,3569,3827,0.000
2020-02-14,1998.000,1998.000,1991.000,1995.000,4320,4943,1994.000
2020-02-17,1997.000,2010.000,1994.000,2007.000,9083,6999,2005.000
2020-02-18,2010.000,2010.000,1988.000,1990.000,6806,7179,0.000
2020-02-19,1991.000,1994.000,1985.000,1989.000,4487,7265,0.000
2020-02-20,1988.000,1992.000,1984.000,1985.000,1877,7315,0.000
2020-02-21,1985.000,1993.000,1984.000,1990.000,2085,8055,0.000
2020-02-24,1991.000,1997.000,1991.000,1992.000,2126,8239,1993.000
2020-02-25,1992.000,1997.000,1990.000,1996.000,1524,8925,0.000
2020-02-26,1996.000,1996.000,1993.000,1995.000,507,8848,0.000
2020-02-27,1992.000,2002.000,1992.000,2000.000,1335,9118,0.000
2020-02-28,2000.000,2002.000,1989.000,1990.000,2505,8446,0.000
2020-03-02,1995.000,2013.000,1993.000,2011.000,4852,10510,0.000
2020-03-03,2013.000,2014.000,2009.000,2010.000,1197,10626,0.000
2020-03-04,2009.000,2012.000,2006.000,2009.000,1424,10446,0.000
2020-03-05,2010.000,2012.000,2009.000,2010.000,1210,10493,0.000
2020-03-06,2010.000,2014.000,2007.000,2012.000,2500,10946,0.000
2020-03-09,2010.000,2013.000,1990.000,2010.000,3337,10759,0.000
2020-03-10,2009.000,2043.000,2008.000,2040.000,17255,20740,2036.000
2020-03-11,2045.000,2048.000,2035.000,2047.000,9517,24974,0.000
2020-03-12,2047.000,2050.000,2036.000,2042.000,10392,24616,0.000
2020-03-13,2038.000,2046.000,2037.000,2040.000,6184,24176,0.000
2020-03-16,2031.000,2047.000,2031.000,2033.000,7676,24167,0.000
2020-03-17,2030.000,2037.000,2030.000,2035.000,6622,25449,0.000
2020-03-18,2032.000,2045.000,2026.000,2027.000,7407,25606,2034.000
2020-03-19,2026.000,2031.000,2019.000,2025.000,8662,27410,0.000
2020-03-20,2026.000,2042.000,2026.000,2041.000,5296,30061,0.000
2020-03-23,2045.000,2064.000,2044.000,2059.000,10513,35251,0.000
2020-03-24,2059.000,2060.000,2047.000,2055.000,4970,35024,0.000
2020-03-25,2055.000,2067.000,2053.000,2063.000,9147,39920,0.000
2020-03-26,2069.000,2070.000,2055.000,2055.000,9552,41848,0.000
2020-03-27,2052.000,2070.000,2052.000,2069.000,9516,45805,0.000
2020-03-30,2070.000,2098.000,2070.000,2084.000,15787,50524,0.000
2020-03-31,2082.000,2089.000,2077.000,2085.000,6809,51624,0.000
2020-04-01,2092.000,2093.000,2071.000,2076.000,13390,53579,0.000
2020-04-02,2076.000,2083.000,2058.000,2064.000,22996,58993,0.000
2020-04-03,2064.000,2074.000,2063.000,2067.000,13368,60816,0.000
2020-04-07,2065.000,2072.000,2062.000,2063.000,15628,69268,0.000
2020-04-08,2063.000,2078.000,2061.000,2078.000,14730,74905,0.000
2020-04-09,2080.000,2081.000,2072.000,2073.000,15359,75811,0.000
2020-04-10,2073.000,2077.000,2069.000,2071.000,12876,78544,0.000
2020-04-13,2072.000,2079.000,2071.000,2073.000,8529,79617,0.000
2020-04-14,2073.000,2084.000,2069.000,2077.000,15633,83284,0.000
2020-04-15,2076.000,2091.000,2076.000,2088.000,32495,98589,0.000
2020-04-16,2095.000,2099.000,2087.000,2092.000,30404,99033,0.000
2020-04-17,2087.000,2096.000,2082.000,2085.000,21861,105805,0.000
2020-04-20,2087.000,2101.000,2086.000,2089.000,44671,111429,0.000
2020-04-21,2091.000,2094.000,2083.000,2092.000,23157,115115,0.000
2020-04-22,2090.000,2099.000,2090.000,2098.000,22437,119903,0.000
2020-04-23,2097.000,2106.000,2092.000,2105.000,25753,125599,0.000
2020-04-24,2106.000,2113.000,2103.000,2107.000,29079,131500,0.000
2020-04-27,2116.000,2133.000,2114.000,2125.000,48625,140695,0.000
2020-04-28,2125.000,2130.000,2117.000,2120.000,37948,141183,0.000
2020-04-29,2121.000,2124.000,2114.000,2116.000,22100,139454,0.000
2020-04-30,2117.000,2117.000,2093.000,2096.000,45177,130136,0.000
2020-05-06,2104.000,2125.000,2104.000,2117.000,38232,140278,0.000
2020-05-07,2117.000,2119.000,2098.000,2100.000,42009,144865,0.000
2020-05-08,2101.000,2104.000,2084.000,2092.000,55318,147686,0.000
2020-05-11,2092.000,2096.000,2075.000,2077.000,63699,148988,0.000
2020-05-12,2081.000,2084.000,2071.000,2081.000,47056,148919,0.000
2020-05-13,2079.000,2094.000,2078.000,2085.000,64497,157220,0.000
2020-05-14,2085.000,2089.000,2079.000,2082.000,32475,157986,0.000
2020-05-15,2082.000,2088.000,2062.000,2064.000,74896,152597,0.000
2020-05-18,2064.000,2089.000,2062.000,2086.000,73831,160188,0.000
2020-05-19,2089.000,2089.000,2077.000,2080.000,40752,164552,0.000
2020-05-20,2083.000,2083.000,2056.000,2076.000,97786,181833,0.000
2020-05-21,2070.000,2083.000,2060.000,2061.000,74385,189076,0.000
2020-05-22,2060.000,2071.000,2055.000,2065.000,41057,194266,0.000
2020-05-25,2065.000,2089.000,2063.000,2086.000,71226,212436,0.000
2020-05-26,2084.000,2095.000,2081.000,2092.000,43909,218382,0.000
2020-05-27,2093.000,2098.000,2086.000,2095.000,58656,219815,0.000
2020-05-28,2097.000,2108.000,2093.000,2105.000,70514,227185,0.000
2020-05-29,2105.000,2121.000,2104.000,2118.000,71813,225141,0.000
2020-06-01,2115.000,2125.000,2106.000,2111.000,76252,218398,0.000
2020-06-02,2114.000,2119.000,2107.000,2110.000,37808,222653,0.000
2020-06-03,2110.000,2117.000,2103.000,2108.000,57526,226657,0.000
2020-06-04,2106.000,2114.000,2099.000,2108.000,64305,228433,0.000
2020-06-05,2106.000,2121.000,2103.000,2118.000,61702,245073,0.000
2020-06-08,2117.000,2120.000,2104.000,2110.000,58503,247417,0.000
2020-06-09,2109.000,2121.000,2107.000,2119.000,62929,259191,0.000
2020-06-10,2119.000,2129.000,2116.000,2128.000,76314,276058,0.000
2020-06-11,2127.000,2139.000,2126.000,2135.000,87018,279724,0.000
2020-06-12,2133.000,2140.000,2127.000,2137.000,72004,281634,0.000
2020-06-15,2137.000,2156.000,2137.000,2148.000,113490,294222,0.000
2020-06-16,2148.000,2148.000,2142.000,2147.000,49913,290420,0.000
2020-06-17,2147.000,2153.000,2137.000,2153.000,82707,282629,0.000
2020-06-18,2153.000,2162.000,2137.000,2138.000,153617,294141,0.000
2020-06-19,2136.000,2139.000,2114.000,2130.000,124212,291256,0.000
2020-06-22,2118.000,2125.000,2106.000,2108.000,153289,300249,0.000
2020-06-23,2102.000,2128.000,2101.000,2115.000,160778,300084,0.000
2020-06-24,2114.000,2116.000,2103.000,2109.000,84431,314739,0.000
2020-06-29,2112.000,2131.000,2105.000,2129.000,110105,335332,0.000
2020-06-30,2124.000,2125.000,2101.000,2102.000,112172,333629,0.000
2020-07-01,2102.000,2115.000,2102.000,2108.000,65678,336514,0.000
2020-07-02,2108.000,2118.000,2093.000,2117.000,98525,335168,0.000
2020-07-03,2119.000,2133.000,2118.000,2122.000,139098,342928,0.000
2020-07-06,2124.000,2133.000,2120.000,2132.000,84190,364056,0.000
2020-07-07,2133.000,2137.000,2127.000,2131.000,71442,370833,0.000
2020-07-08,2131.000,2136.000,2128.000,2133.000,58224,376567,0.000
2020-07-09,2134.000,2154.000,2132.000,2151.000,113078,399930,0.000
2020-07-10,2151.000,2166.000,2142.000,2154.000,130218,413434,0.000
2020-07-13,2152.000,2157.000,2145.000,2150.000,111354,419029,0.000
2020-07-14,2151.000,2162.000,2133.000,2145.000,129996,430956,0.000
2020-07-15,2145.000,2148.000,2129.000,2140.000,230207,473297,0.000
2020-07-16,2135.000,2152.000,2134.000,2142.000,172854,483660,0.000
2020-07-17,2144.000,2151.000,2140.000,2149.000,108263,512071,0.000
2020-07-20,2149.000,2157.000,2143.000,2152.000,172760,524714,2150.000
2020-07-21,2150.000,2156.000,2142.000,2149.000,123903,524552,2148.000
2020-07-22,2147.000,2157.000,2143.000,2152.000,119736,536270,2151.000
2020-07-23,2153.000,2196.000,2152.000,2186.000,253618,582352,2173.000
2020-07-24,2185.000,2217.000,2184.000,2216.000,253703,629984,2199.000
2020-07-27,2216.000,2289.000,2213.000,2260.000,442897,650068,2249.000
2020-07-28,2266.000,2267.000,2206.000,2220.000,465794,708965,2227.000
2020-07-29,2228.000,2258.000,2220.000,2255.000,337871,752684,2239.000
2020-07-30,2250.000,2264.000,2233.000,2255.000,526981,803803,2251.000
2020-07-31,2258.000,2277.000,2239.000,2248.000,467094,824783,2258.000
2020-08-03,2244.000,2260.000,2221.000,2251.000,408057,843025,2241.000
2020-08-04,2250.000,2265.000,2245.000,2257.000,312270,876093,2255.000
2020-08-05,2257.000,2264.000,2245.000,2249.000,282974,890923,2253.000
2020-08-06,2254.000,2275.000,2246.000,2252.000,432947,934764,2259.000
2020-08-07,2247.000,2254.000,2223.000,2224.000,498765,931777,2233.000
2020-08-10,2224.000,2238.000,2213.000,2219.000,506858,944652,2222.000
2020-08-11,2220.000,2234.000,2217.000,2231.000,359164,961737,2227.000
2020-08-12,2231.000,2240.000,2216.000,2224.000,566009,967320,2226.000
2020-08-13,2224.000,2238.000,2221.000,2228.000,392477,994013,2227.000
2020-08-14,2227.000,2301.000,2225.000,2296.000,1391064,1136517,2272.000
