date,open,high,low,close,volume,open_interest,settle
2019-11-18,14100.000,14180.000,13575.000,14135.000,400,396,13870.000
2019-11-19,14160.000,14160.000,13960.000,13960.000,18,402,14065.000
2019-11-20,14050.000,14185.000,13995.000,13995.000,8,400,14080.000
2019-11-21,13995.000,13995.000,13850.000,13940.000,26,398,13920.000
2019-11-22,14000.000,14005.000,13895.000,13985.000,48,412,13985.000
2019-11-25,14000.000,14005.000,13900.000,14000.000,24,414,13965.000
2019-11-26,14035.000,14035.000,14015.000,14030.000,18,416,14030.000
2019-11-27,13975.000,13975.000,13975.000,13975.000,2,414,13975.000
2019-11-28,13950.000,14045.000,13945.000,13945.000,24,412,13985.000
2019-11-29,13895.000,13975.000,13890.000,13975.000,26,410,13935.000
2019-12-02,13850.000,13910.000,13850.000,13855.000,1058,1404,13905.000
2019-12-03,13845.000,13920.000,13700.000,13795.000,404,1402,13845.000
2019-12-04,13700.000,13745.000,13675.000,13690.000,40,1404,13710.000
2019-12-05,13790.000,13825.000,13745.000,13825.000,14,1402,13780.000
2019-12-06,13855.000,13905.000,13815.000,13905.000,6,1402,13860.000
2019-12-09,14035.000,14045.000,14030.000,14030.000,12,1404,14040.000
2019-12-10,13970.000,13980.000,13940.000,13960.000,1008,2406,13960.000
2019-12-11,13965.000,14090.000,13965.000,13980.000,8,2404,14020.000
2019-12-12,14015.000,14070.000,14015.000,14070.000,2004,4404,14030.000
2019-12-13,14150.000,14195.000,14100.000,14100.000,12,4404,14150.000
2019-12-16,14100.000,14115.000,14100.000,14115.000,10,4412,14110.000
2019-12-17,14155.000,14155.000,14095.000,14110.000,1614,6006,14110.000
2019-12-18,14135.000,14160.000,14085.000,14160.000,10,6006,14120.000
2019-12-19,14070.000,14070.000,14070.000,14070.000,2,6006,14070.000
2019-12-20,14125.000,14125.000,14125.000,14125.000,2,6004,14125.000
2019-12-23,14200.000,14200.000,14120.000,14150.000,1006,5004,14120.000
2019-12-24,14130.000,14130.000,14130.000,14130.000,2,5002,14130.000
2019-12-25,14130.000,14130.000,14060.000,14060.000,14,5016,14100.000
2019-12-26,14060.000,14120.000,14060.000,14120.000,4,5018,14090.000
2019-12-27,14265.000,14440.000,14265.000,14410.000,22,5018,14375.000
2019-12-30,14585.000,14850.000,14585.000,14735.000,60,5036,14725.000
2019-12-31,14690.000,14690.000,14680.000,14680.000,6,5034,14685.000
2020-01-02,14895.000,14985.000,14755.000,14755.000,11,2518,14920.000
2020-01-03,14765.000,14780.000,14735.000,14755.000,706,2869,14760.000
2020-01-06,14720.000,14850.000,14720.000,14815.000,954,3819,14820.000
2020-01-07,14910.000,14965.000,14890.000,14965.000,153,3969,14950.000
2020-01-08,14805.000,14900.000,14805.000,14900.000,1001,2968,14900.000
2020-01-09,14995.000,15095.000,14990.000,15000.000,65,3023,15015.000
2020-01-10,15060.000,15075.000,15040.000,15040.000,4,3023,15055.000
2020-01-13,15065.000,15120.000,15045.000,15120.000,18,3024,15115.000
2020-01-14,15100.000,15100.000,14860.000,14945.000,18,3030,14975.000
2020-01-15,14950.000,14950.000,14660.000,14660.000,820,2239,14895.000
2020-01-16,14660.000,14780.000,14660.000,14740.000,24,2236,14745.000
2020-01-17,14710.000,14780.000,14680.000,14780.000,17,2236,14730.000
2020-01-20,14800.000,14855.000,14680.000,14685.000,13,2240,14770.000
2020-01-21,14720.000,14720.000,14515.000,14515.000,1017,1246,14570.000
2020-01-22,14530.000,14530.000,13985.000,14185.000,101,1244,14175.000
2020-01-23,14365.000,14365.000,14015.000,14070.000,19,1249,14165.000
2020-02-03,13200.000,13590.000,13170.000,13170.000,130,1312,13290.000
2020-02-04,13170.000,13500.000,13170.000,13360.000,218,1435,13370.000
2020-02-05,13520.000,13750.000,13520.000,13720.000,144,1455,13625.000
2020-02-06,13735.000,13940.000,13690.000,13895.000,116,1510,13795.000
2020-02-07,13860.000,13900.000,13830.000,13830.000,85,1540,13850.000
2020-02-10,13865.000,13870.000,13800.000,13840.000,39,1544,13850.000
2020-02-11,13880.000,13920.000,13830.000,13875.000,98,1587,13885.000
2020-02-12,13870.000,13880.000,13675.000,13730.000,87,1637,13745.000
2020-02-13,13845.000,13860.000,13765.000,13775.000,31,1639,13805.000
2020-02-14,13690.000,13780.000,13680.000,13780.000,61,1593,13710.000
2020-02-17,13890.000,14260.000,13890.000,14260.000,284,1521,14130.000
2020-02-18,14135.000,14135.000,13880.000,13950.000,139,1522,14010.000
2020-02-19,13975.000,14050.000,13975.000,14020.000,33,1526,14025.000
2020-02-20,14040.000,14135.000,14020.000,14070.000,152,1588,14080.000
2020-02-21,14085.000,14110.000,13980.000,14035.000,65,1592,14050.000
2020-02-24,13910.000,13965.000,13525.000,13680.000,140,1575,13705.000
2020-02-25,13585.000,13715.000,13580.000,13715.000,31,1574,13635.000
