date,open,high,low,close,volume,open_interest,settle
2025-01-16,2650.000,2650.000,2633.000,2633.000,7,4,2638.000
2025-01-17,2630.000,2662.000,2615.000,2629.000,34,14,2628.000
2025-01-20,2635.000,2636.000,2623.000,2627.000,31,23,2628.000
2025-01-21,2630.000,2640.000,2624.000,2640.000,28,16,2636.000
2025-01-22,2633.000,2634.000,2621.000,2621.000,9,16,2630.000
2025-01-23,2643.000,2644.000,2633.000,2637.000,8,14,2638.000
2025-01-24,2622.000,2630.000,2622.000,2626.000,12,9,2625.000
2025-01-27,2618.000,2629.000,2618.000,2629.000,4,11,2625.000
2025-02-05,2617.000,2638.000,2617.000,2624.000,17,15,2627.000
2025-02-06,2625.000,2645.000,2625.000,2645.000,81,54,2637.000
2025-02-07,2645.000,2645.000,2626.000,2635.000,27,59,2632.000
2025-02-10,2637.000,2650.000,2636.000,2650.000,106,124,2642.000
2025-02-11,2647.000,2654.000,2643.000,2654.000,22,130,2649.000
2025-02-12,2652.000,2674.000,2645.000,2674.000,85,173,2655.000
2025-02-13,2672.000,2680.000,2662.000,2664.000,68,180,2673.000
2025-02-14,2667.000,2672.000,2662.000,2663.000,48,197,2667.000
2025-02-17,2665.000,2665.000,2652.000,2652.000,75,220,2655.000
2025-02-18,2655.000,2659.000,2652.000,2655.000,41,215,2655.000
2025-02-19,2652.000,2655.000,2647.000,2654.000,20,216,2652.000
2025-02-20,2657.000,2660.000,2647.000,2647.000,42,225,2652.000
2025-02-21,2649.000,2656.000,2646.000,2651.000,42,235,2650.000
2025-02-24,2651.000,2667.000,2651.000,2663.000,108,282,2660.000
2025-02-25,2657.000,2667.000,2657.000,2657.000,33,290,2661.000
2025-02-26,2652.000,2656.000,2641.000,2648.000,126,293,2647.000
2025-02-27,2657.000,2674.000,2646.000,2673.000,165,367,2663.000
2025-02-28,2667.000,2679.000,2667.000,2675.000,138,379,2675.000
2025-03-03,2674.000,2699.000,2674.000,2695.000,50,384,2689.000
2025-03-04,2700.000,2705.000,2692.000,2696.000,83,405,2699.000
2025-03-05,2692.000,2692.000,2668.000,2668.000,129,458,2678.000
2025-03-06,2673.000,2688.000,2673.000,2688.000,163,540,2679.000
2025-03-07,2692.000,2695.000,2684.000,2684.000,89,573,2690.000
2025-03-10,2681.000,2706.000,2680.000,2696.000,164,633,2696.000
2025-03-11,2693.000,2706.000,2690.000,2703.000,146,613,2700.000
2025-03-12,2703.000,2703.000,2689.000,2692.000,61,596,2693.000
2025-03-13,2688.000,2689.000,2680.000,2687.000,75,570,2683.000
2025-03-14,2682.000,2693.000,2682.000,2692.000,98,625,2688.000
2025-03-17,2693.000,2698.000,2683.000,2683.000,72,646,2690.000
2025-03-18,2688.000,2688.000,2677.000,2685.000,88,663,2684.000
2025-03-19,2681.000,2685.000,2676.000,2679.000,70,645,2679.000
2025-03-20,2674.000,2680.000,2668.000,2677.000,182,600,2673.000
2025-03-21,2678.000,2684.000,2674.000,2681.000,52,613,2679.000
2025-03-24,2683.000,2683.000,2660.000,2662.000,98,579,2669.000
2025-03-25,2661.000,2664.000,2656.000,2658.000,114,605,2659.000
2025-03-26,2657.000,2658.000,2618.000,2618.000,507,617,2637.000
2025-03-27,2617.000,2629.000,2612.000,2627.000,234,628,2619.000
2025-03-28,2632.000,2632.000,2619.000,2620.000,239,737,2626.000
2025-03-31,2616.000,2622.000,2607.000,2613.000,223,696,2614.000
2025-04-01,2608.000,2617.000,2607.000,2616.000,101,722,2612.000
2025-04-02,2618.000,2633.000,2618.000,2631.000,94,735,2626.000
2025-04-03,2623.000,2644.000,2623.000,2643.000,122,689,2637.000
2025-04-07,2647.000,2661.000,2636.000,2640.000,160,715,2647.000
2025-04-08,2637.000,2656.000,2634.000,2656.000,256,670,2647.000
2025-04-09,2658.000,2660.000,2631.000,2635.000,243,612,2644.000
2025-04-10,2634.000,2646.000,2624.000,2637.000,239,647,2635.000
2025-04-11,2636.000,2650.000,2636.000,2648.000,72,673,2641.000
2025-04-14,2649.000,2664.000,2647.000,2653.000,210,684,2657.000
2025-04-15,2648.000,2662.000,2642.000,2655.000,337,749,2650.000
2025-04-16,2656.000,2668.000,2654.000,2666.000,461,820,2663.000
2025-04-17,2666.000,2672.000,2655.000,2658.000,302,853,2664.000
2025-04-18,2656.000,2659.000,2641.000,2641.000,264,949,2648.000
2025-04-21,2644.000,2657.000,2635.000,2654.000,323,872,2643.000
2025-04-22,2655.000,2685.000,2655.000,2684.000,402,892,2672.000
2025-04-23,2686.000,2691.000,2680.000,2685.000,369,970,2684.000
2025-04-24,2682.000,2692.000,2681.000,2690.000,303,1101,2686.000
2025-04-25,2686.000,2702.000,2686.000,2692.000,367,1319,2694.000
2025-04-28,2691.000,2724.000,2691.000,2718.000,948,1914,2711.000
2025-04-29,2721.000,2723.000,2712.000,2716.000,363,2011,2718.000
2025-04-30,2716.000,2727.000,2712.000,2726.000,499,2250,2721.000
2025-05-06,2724.000,2728.000,2703.000,2719.000,482,2513,2718.000
2025-05-07,2719.000,2736.000,2715.000,2720.000,1505,3278,2724.000
2025-05-08,2720.000,2727.000,2714.000,2716.000,1457,4267,2719.000
2025-05-09,2716.000,2721.000,2712.000,2716.000,764,4435,2716.000
2025-05-12,2720.000,2729.000,2699.000,2710.000,836,4496,2707.000
2025-05-13,2708.000,2708.000,2677.000,2677.000,1029,4219,2690.000
2025-05-14,2679.000,2680.000,2661.000,2675.000,1059,4175,2671.000
2025-05-15,2674.000,2674.000,2656.000,2663.000,916,4429,2662.000
2025-05-16,2657.000,2667.000,2653.000,2658.000,439,4398,2660.000
2025-05-19,2656.000,2666.000,2655.000,2657.000,709,4063,2660.000
2025-05-20,2659.000,2663.000,2645.000,2646.000,590,3924,2653.000
2025-05-21,2646.000,2656.000,2646.000,2654.000,600,3863,2651.000
2025-05-22,2654.000,2659.000,2651.000,2652.000,579,4088,2654.000
2025-05-23,2653.000,2656.000,2645.000,2647.000,463,4070,2650.000
2025-05-26,2644.000,2650.000,2641.000,2642.000,426,3966,2643.000
2025-05-27,2640.000,2640.000,2629.000,2632.000,1366,4176,2634.000
2025-05-28,2631.000,2641.000,2628.000,2638.000,503,4214,2635.000
2025-05-29,2636.000,2645.000,2636.000,2641.000,458,4221,2640.000
2025-05-30,2638.000,2652.000,2638.000,2644.000,366,4116,2647.000
2025-06-03,2644.000,2644.000,2634.000,2634.000,136,4073,2636.000
2025-06-04,2637.000,2648.000,2634.000,2643.000,430,4136,2641.000
2025-06-05,2642.000,2649.000,2638.000,2644.000,234,4215,2643.000
2025-06-06,2642.000,2649.000,2638.000,2648.000,264,4144,2642.000
2025-06-09,2648.000,2668.000,2644.000,2667.000,471,4086,2659.000
2025-06-10,2670.000,2685.000,2667.000,2682.000,435,4108,2676.000
2025-06-11,2685.000,2689.000,2670.000,2673.000,849,4543,2681.000
2025-06-12,2672.000,2677.000,2670.000,2673.000,743,4558,2673.000
2025-06-13,2673.000,2691.000,2668.000,2686.000,546,4665,2677.000
2025-06-16,2685.000,2691.000,2682.000,2686.000,535,4768,2686.000
2025-06-17,2682.000,2691.000,2678.000,2691.000,877,4423,2683.000
2025-06-18,2691.000,2708.000,2686.000,2692.000,1370,4624,2695.000
2025-06-19,2688.000,2698.000,2688.000,2694.000,388,4670,2694.000
2025-06-20,2696.000,2699.000,2693.000,2696.000,449,4668,2695.000
2025-06-23,2699.000,2704.000,2692.000,2697.000,868,4739,2698.000
2025-06-24,2699.000,2699.000,2672.000,2679.000,1012,4514,2684.000
2025-06-25,2681.000,2682.000,2665.000,2668.000,844,4455,2670.000
2025-06-26,2666.000,2677.000,2666.000,2669.000,644,4441,2670.000
2025-06-27,2673.000,2675.000,2666.000,2675.000,666,4579,2670.000
2025-06-30,2669.000,2679.000,2665.000,2673.000,656,4565,2671.000
2025-07-01,2674.000,2685.000,2670.000,2678.000,2056,5028,2677.000
2025-07-02,2677.000,2683.000,2660.000,2666.000,2401,5604,2667.000
2025-07-03,2663.000,2673.000,2658.000,2666.000,1729,6135,2667.000
2025-07-04,2667.000,2674.000,2654.000,2655.000,2598,6711,2663.000
2025-07-07,2656.000,2659.000,2629.000,2629.000,4754,6428,2642.000
2025-07-08,2630.000,2636.000,2620.000,2627.000,4349,7468,2629.000
2025-07-09,2627.000,2633.000,2620.000,2620.000,2950,8301,2626.000
2025-07-10,2623.000,2633.000,2617.000,2624.000,6558,8927,2622.000
2025-07-11,2626.000,2629.000,2610.000,2612.000,3622,8882,2619.000
2025-07-14,2613.000,2617.000,2597.000,2610.000,5060,9476,2607.000
2025-07-15,2610.000,2617.000,2603.000,2605.000,4048,10433,2608.000
2025-07-16,2608.000,2614.000,2601.000,2602.000,4047,11263,2606.000
2025-07-17,2602.000,2612.000,2595.000,2610.000,4293,11790,2603.000
2025-07-18,2611.000,2620.000,2606.000,2617.000,4697,12294,2611.000
2025-07-21,2618.000,2645.000,2617.000,2641.000,12366,14363,2635.000
2025-07-22,2635.000,2646.000,2623.000,2625.000,6294,14341,2634.000
2025-07-23,2627.000,2634.000,2621.000,2626.000,5805,15318,2626.000
2025-07-24,2626.000,2629.000,2611.000,2612.000,7318,16017,2622.000
2025-07-25,2616.000,2622.000,2606.000,2607.000,5413,17028,2614.000
2025-07-28,2609.000,2623.000,2602.000,2607.000,6569,17988,2611.000
2025-07-29,2615.000,2615.000,2591.000,2596.000,7842,19688,2599.000
2025-07-30,2597.000,2606.000,2593.000,2596.000,5476,20431,2598.000
2025-07-31,2596.000,2603.000,2575.000,2577.000,6239,21373,2589.000
2025-08-01,2577.000,2588.000,2571.000,2581.000,6315,22040,2579.000
2025-08-04,2582.000,2584.000,2573.000,2580.000,6422,22880,2577.000
2025-08-05,2582.000,2582.000,2558.000,2563.000,9379,25017,2564.000
2025-08-06,2569.000,2569.000,2557.000,2565.000,6002,25548,2563.000
2025-08-07,2565.000,2576.000,2563.000,2566.000,6648,25391,2568.000
2025-08-08,2567.000,2567.000,2545.000,2552.000,9379,26825,2554.000
2025-08-11,2551.000,2570.000,2547.000,2560.000,12813,29700,2558.000
2025-08-12,2562.000,2565.000,2553.000,2562.000,9934,30991,2558.000
2025-08-13,2563.000,2588.000,2562.000,2586.000,15809,30540,2578.000
2025-08-14,2589.000,2591.000,2560.000,2569.000,11915,30449,2575.000
2025-08-15,2568.000,2570.000,2547.000,2550.000,16622,32215,2555.000
2025-08-18,2546.000,2553.000,2536.000,2537.000,12883,35120,2544.000
2025-08-19,2537.000,2540.000,2515.000,2515.000,16249,39049,2529.000
2025-08-20,2516.000,2522.000,2504.000,2522.000,12873,40644,2514.000
2025-08-21,2521.000,2524.000,2507.000,2513.000,9167,42410,2514.000
2025-08-22,2515.000,2527.000,2489.000,2527.000,18329,42377,2506.000
2025-08-25,2518.000,2530.000,2509.000,2512.000,15269,43261,2520.000
2025-08-26,2507.000,2523.000,2503.000,2508.000,15456,45872,2514.000
2025-08-27,2505.000,2517.000,2499.000,2515.000,17961,46705,2509.000
2025-08-28,2518.000,2531.000,2509.000,2528.000,25539,46379,2521.000
2025-08-29,2526.000,2537.000,2515.000,2534.000,20351,45232,2527.000
2025-09-01,2531.000,2539.000,2527.000,2535.000,18205,46998,2532.000
2025-09-02,2535.000,2554.000,2531.000,2535.000,31162,44963,2545.000
2025-09-03,2535.000,2540.000,2518.000,2520.000,23663,50868,2525.000
2025-09-04,2523.000,2525.000,2506.000,2523.000,34332,56372,2514.000
2025-09-05,2523.000,2549.000,2521.000,2543.000,31165,54422,2537.000
2025-09-08,2543.000,2548.000,2533.000,2542.000,21696,56863,2540.000
2025-09-09,2542.000,2545.000,2524.000,2527.000,17653,55667,2532.000
2025-09-10,2527.000,2527.000,2496.000,2502.000,23644,58145,2504.000
2025-09-11,2502.000,2505.000,2491.000,2497.000,17752,60779,2498.000
2025-09-12,2494.000,2499.000,2486.000,2487.000,16309,63052,2493.000
2025-09-15,2488.000,2491.000,2472.000,2473.000,33277,66048,2481.000
2025-09-16,2471.000,2486.000,2465.000,2467.000,26205,68538,2475.000
2025-09-17,2467.000,2478.000,2467.000,2475.000,25584,68425,2471.000
2025-09-18,2550.000,2550.000,2477.000,2487.000,35769,67858,2489.000
2025-09-19,2489.000,2490.000,2473.000,2478.000,16727,69674,2483.000
2025-09-22,2480.000,2485.000,2448.000,2450.000,28262,75026,2467.000
2025-09-23,2450.000,2463.000,2442.000,2452.000,30170,75680,2452.000
