date,open,high,low,close,volume,open_interest,settle
2024-08-16,73430.000,74030.000,73430.000,74030.000,44,41,73760.000
2024-08-19,73300.000,74140.000,73300.000,74140.000,17,45,73890.000
2024-08-20,74310.000,74310.000,73900.000,74100.000,30,66,74110.000
2024-08-21,74200.000,74200.000,73600.000,74100.000,14,73,73970.000
2024-08-22,74080.000,74500.000,73870.000,74290.000,18,81,74160.000
2024-08-23,74080.000,74080.000,73740.000,73990.000,15,88,73870.000
2024-08-26,73810.000,75140.000,73810.000,75140.000,25,94,74630.000
2024-08-27,75220.000,75330.000,75160.000,75160.000,4,96,75230.000
2024-08-28,75390.000,75740.000,74840.000,74900.000,60,132,75080.000
2024-08-29,74500.000,74760.000,74400.000,74700.000,20,129,74610.000
2024-08-30,74140.000,74920.000,74100.000,74790.000,43,143,74440.000
2024-09-02,74390.000,74390.000,74180.000,74280.000,23,154,74230.000
2024-09-03,74220.000,74300.000,73420.000,73420.000,76,165,73900.000
2024-09-04,73020.000,73020.000,72260.000,72260.000,133,236,72590.000
2024-09-05,72610.000,72690.000,72200.000,72200.000,91,264,72460.000
2024-09-06,72800.000,73400.000,72680.000,73400.000,50,267,72970.000
2024-09-09,73290.000,73290.000,72240.000,72860.000,101,294,72560.000
2024-09-10,73150.000,73400.000,72620.000,73300.000,56,298,72990.000
2024-09-11,72790.000,73360.000,72500.000,73350.000,44,302,72900.000
2024-09-12,73350.000,74100.000,72890.000,73890.000,59,307,73680.000
2024-09-13,74040.000,74350.000,73800.000,73800.000,63,338,74150.000
2024-09-18,74280.000,74660.000,74200.000,74500.000,54,327,74460.000
2024-09-19,74840.000,75650.000,74510.000,75600.000,121,362,75050.000
2024-09-20,75790.000,76160.000,75500.000,76030.000,84,360,75820.000
2024-09-23,75750.000,75800.000,75300.000,75300.000,83,357,75510.000
2024-09-24,75550.000,76750.000,75550.000,76750.000,81,378,76090.000
2024-09-25,76900.000,77920.000,76900.000,77100.000,80,401,0.000
2024-09-26,77390.000,77700.000,76950.000,77690.000,119,399,77380.000
2024-09-27,78530.000,79010.000,78090.000,78830.000,79,401,78620.000
2024-09-30,78580.000,79300.000,78280.000,79060.000,159,457,78960.000
2024-10-08,79140.000,79140.000,77500.000,77640.000,94,447,78450.000
2024-10-09,77800.000,77950.000,77330.000,77520.000,62,437,77640.000
2024-10-10,76700.000,77350.000,76560.000,76930.000,43,443,77020.000
2024-10-11,77100.000,77520.000,77040.000,77160.000,45,453,77240.000
2024-10-14,77530.000,78000.000,77350.000,77720.000,212,539,77790.000
2024-10-15,77380.000,77420.000,76620.000,76630.000,106,544,76960.000
2024-10-16,76670.000,76800.000,76560.000,76630.000,48,559,76650.000
2024-10-17,77140.000,77420.000,76170.000,76170.000,111,558,76820.000
2024-10-18,76540.000,77500.000,76490.000,77360.000,94,566,77050.000
2024-10-21,77430.000,78090.000,77210.000,77860.000,160,581,77720.000
2024-10-22,77660.000,77930.000,76930.000,77320.000,131,589,77410.000
2024-10-23,77540.000,77570.000,77050.000,77250.000,58,615,77300.000
2024-10-24,76530.000,77000.000,76530.000,76910.000,39,613,76800.000
2024-10-25,76880.000,76990.000,76490.000,76590.000,39,637,76700.000
2024-10-28,76920.000,77130.000,76690.000,76690.000,32,646,76840.000
2024-10-29,76760.000,76880.000,76600.000,76630.000,96,639,76740.000
2024-10-30,77110.000,77110.000,76580.000,76900.000,162,729,76760.000
2024-10-31,76490.000,76940.000,76490.000,76650.000,71,756,76690.000
2024-11-01,76800.000,76810.000,76240.000,76720.000,85,789,76610.000
2024-11-04,76960.000,77700.000,76490.000,77640.000,97,792,77190.000
2024-11-05,77320.000,77920.000,77220.000,77770.000,65,799,77670.000
2024-11-06,78000.000,78220.000,76840.000,76970.000,151,818,77340.000
2024-11-07,76500.000,76990.000,75840.000,76990.000,272,836,76230.000
2024-11-08,77230.000,77880.000,77150.000,77220.000,158,828,77480.000
2024-11-11,76740.000,77050.000,76730.000,76810.000,57,848,76840.000
2024-11-12,76510.000,76510.000,75600.000,75650.000,296,923,75960.000
2024-11-13,75280.000,75440.000,74650.000,74760.000,156,980,74970.000
