date,open,high,low,close,volume,open_interest,settle
2022-03-15,27610.000,27610.000,25305.000,25305.000,2,0,26460.000
2022-05-19,28160.000,28160.000,26700.000,26700.000,2,1,27430.000
2022-06-22,25740.000,25740.000,24870.000,24870.000,6,1,25310.000
2022-06-24,23490.000,23490.000,23395.000,23395.000,2,1,23445.000
2022-09-13,21860.000,21860.000,21860.000,21860.000,1,0,21860.000
2022-09-21,20460.000,21395.000,20460.000,21395.000,2,0,20930.000
2022-09-30,21065.000,21315.000,19575.000,20110.000,4,0,20515.000
2022-12-09,21715.000,21715.000,20370.000,20900.000,12,2,21035.000
2022-12-12,20700.000,21855.000,20700.000,20750.000,4,0,21000.000
2022-12-21,21850.000,21850.000,21160.000,21160.000,4,0,21500.000
2022-12-30,21955.000,21955.000,21955.000,21955.000,1,1,21955.000
2023-01-10,21015.000,21015.000,21015.000,21015.000,1,0,21015.000
