date,open,high,low,close,volume,open_interest,settle
2022-05-12,9453.000,9453.000,9453.000,9453.000,1,1,9453.000
2022-05-13,9861.000,9879.000,9068.000,9879.000,4,2,9502.000
2022-05-16,9947.000,9947.000,9947.000,9947.000,1,2,9947.000
2022-05-17,9860.000,9860.000,9860.000,9860.000,1,2,9860.000
2022-05-27,9855.000,9855.000,9855.000,9855.000,1,1,9855.000
2022-06-17,9850.000,10050.000,9700.000,10000.000,20,1,9900.000
2022-06-24,9301.000,9600.000,9301.000,9400.000,4,2,9437.000
2022-06-30,9094.000,9094.000,9094.000,9094.000,1,2,9094.000
2022-07-01,8955.000,8955.000,8955.000,8955.000,1,2,8955.000
2022-07-04,9401.000,9401.000,9401.000,9401.000,1,2,9401.000
2022-07-14,8121.000,8136.000,8121.000,8136.000,2,3,8128.000
2022-07-15,8073.000,8073.000,7984.000,7984.000,2,5,8028.000
2022-07-18,8195.000,8774.000,8195.000,8774.000,4,4,8417.000
2022-07-26,8308.000,8308.000,8308.000,8308.000,1,5,8308.000
2022-07-27,8290.000,8290.000,8246.000,8246.000,2,7,8268.000
2022-07-28,8292.000,8292.000,8292.000,8292.000,2,7,8292.000
2022-08-02,8326.000,8326.000,8326.000,8326.000,1,8,8326.000
2022-08-04,8303.000,8303.000,8238.000,8238.000,2,10,8270.000
2022-08-08,8312.000,8312.000,8312.000,8312.000,1,11,8312.000
2022-08-11,8301.000,8301.000,8301.000,8301.000,1,12,8301.000
2022-08-15,8204.000,8204.000,8204.000,8204.000,1,13,8204.000
2022-08-16,7973.000,7973.000,7900.000,7900.000,4,15,7954.000
2022-08-17,7850.000,7850.000,7850.000,7850.000,1,16,7850.000
2022-08-22,7874.000,7874.000,7874.000,7874.000,1,16,7874.000
2022-08-23,7874.000,7874.000,7874.000,7874.000,1,15,7874.000
2022-08-24,8032.000,8032.000,7934.000,7960.000,6,16,7993.000
2022-08-26,8000.000,8001.000,8000.000,8001.000,3,17,8000.000
2022-08-30,7985.000,8031.000,7985.000,8027.000,4,21,8017.000
2022-08-31,7930.000,7930.000,7930.000,7930.000,1,20,7930.000
2022-09-02,7941.000,7946.000,7782.000,7782.000,4,19,7862.000
2022-09-05,7874.000,7944.000,7729.000,7940.000,15,20,7888.000
2022-09-07,7984.000,7984.000,7922.000,7922.000,4,18,7937.000
2022-09-14,8294.000,8294.000,8294.000,8294.000,1,18,8294.000
2022-09-16,8192.000,8192.000,8192.000,8192.000,2,20,8192.000
2022-09-20,8209.000,8296.000,8209.000,8296.000,8,21,8255.000
2022-09-26,8204.000,8204.000,8107.000,8107.000,2,22,8155.000
2022-09-27,7973.000,7973.000,7973.000,7973.000,1,23,7973.000
2022-09-28,7957.000,7957.000,7957.000,7957.000,1,23,7957.000
2022-09-30,8120.000,8120.000,8120.000,8120.000,1,24,8120.000
2022-10-10,8406.000,8406.000,8334.000,8334.000,4,24,8388.000
2022-10-14,7969.000,7969.000,7969.000,7969.000,5,29,7969.000
2022-10-17,7869.000,7934.000,7869.000,7934.000,4,27,7886.000
2022-10-19,7845.000,7845.000,7757.000,7768.000,8,33,7772.000
2022-10-21,7935.000,7936.000,7838.000,7936.000,5,35,7891.000
2022-10-24,8045.000,8045.000,7877.000,8018.000,8,36,7970.000
2022-10-25,8006.000,8006.000,7977.000,7977.000,2,37,7991.000
2022-10-26,7937.000,7978.000,7846.000,7861.000,35,54,7913.000
2022-10-27,7696.000,7720.000,7696.000,7718.000,3,54,7711.000
2022-10-28,7845.000,7845.000,7703.000,7703.000,371,423,7759.000
2022-10-31,7759.000,7759.000,7505.000,7505.000,99,443,7567.000
2022-11-01,7606.000,7713.000,7535.000,7632.000,627,814,7650.000
2022-11-02,7596.000,7689.000,7381.000,7624.000,674,1157,7590.000
2022-11-03,7530.000,7657.000,7530.000,7604.000,467,1459,7608.000
2022-11-04,7497.000,7793.000,7497.000,7767.000,720,1790,7658.000
2022-11-07,7658.000,7837.000,7604.000,7735.000,685,2281,7692.000
2022-11-08,7720.000,7751.000,7620.000,7671.000,1349,3160,7691.000
2022-11-09,7691.000,7748.000,7663.000,7702.000,1869,3846,7711.000
2022-11-10,7687.000,7731.000,7602.000,7670.000,533,3983,7656.000
2022-11-11,7728.000,7987.000,7720.000,7966.000,583,4048,7858.000
2022-11-14,8044.000,8051.000,7942.000,7965.000,399,4139,7991.000
2022-11-15,7946.000,8031.000,7946.000,7981.000,447,4237,7983.000
2022-11-16,7975.000,8032.000,7965.000,8007.000,777,4523,8003.000
2022-11-17,8097.000,8100.000,7977.000,8058.000,508,4601,8033.000
2022-11-18,8071.000,8189.000,8044.000,8148.000,313,4597,8098.000
2022-11-21,8215.000,8215.000,7935.000,7983.000,255,4602,8025.000
2022-11-22,8027.000,8033.000,7894.000,7912.000,196,4602,7947.000
2022-11-23,7921.000,7976.000,7870.000,7912.000,192,4624,7938.000
2022-11-24,7858.000,7937.000,7779.000,7906.000,247,4644,7861.000
2022-11-25,7873.000,7873.000,7705.000,7765.000,1457,5227,7748.000
2022-11-28,7798.000,7826.000,7602.000,7656.000,1256,5808,7672.000
2022-11-29,7638.000,7761.000,7636.000,7724.000,468,5892,7690.000
2022-11-30,7768.000,7770.000,7621.000,7735.000,1116,6288,7691.000
2022-12-01,7790.000,7924.000,7790.000,7888.000,1218,6403,7880.000
2022-12-02,7924.000,8034.000,7876.000,8009.000,2016,6728,7973.000
2022-12-05,7989.000,8126.000,7970.000,8058.000,2648,7239,8046.000
2022-12-06,8088.000,8116.000,7972.000,8021.000,2261,7706,8050.000
2022-12-07,8007.000,8035.000,7808.000,7859.000,4164,8812,7902.000
2022-12-08,7885.000,7927.000,7814.000,7927.000,2362,8901,7871.000
2022-12-09,7927.000,8128.000,7927.000,8092.000,2818,8701,8064.000
2022-12-12,8092.000,8235.000,8071.000,8100.000,2218,8691,8154.000
2022-12-13,8113.000,8179.000,8025.000,8157.000,2084,8582,8125.000
2022-12-14,8132.000,8221.000,8111.000,8203.000,2430,8649,8161.000
2022-12-15,8173.000,8286.000,8173.000,8246.000,3141,8573,8239.000
2022-12-16,8285.000,8332.000,8172.000,8249.000,2981,8839,8257.000
2022-12-19,8228.000,8239.000,8079.000,8106.000,3123,9484,8152.000
2022-12-20,8106.000,8192.000,8080.000,8126.000,1288,9432,8129.000
2022-12-21,8163.000,8252.000,8099.000,8230.000,1943,9333,8179.000
2022-12-22,8270.000,8360.000,8232.000,8288.000,3292,9494,8311.000
2022-12-23,8290.000,8319.000,8161.000,8223.000,3242,9833,8235.000
2022-12-26,8223.000,8367.000,8222.000,8317.000,3193,10165,8305.000
2022-12-27,8317.000,8415.000,8302.000,8412.000,2845,10382,8371.000
2022-12-28,8408.000,8408.000,8298.000,8366.000,3752,10089,8357.000
2022-12-29,8331.000,8350.000,8265.000,8336.000,2636,9903,8306.000
2022-12-30,8314.000,8490.000,8305.000,8459.000,4248,9654,8402.000
2023-01-03,8491.000,8543.000,8398.000,8534.000,3770,11274,8492.000
2023-01-04,8492.000,8579.000,8383.000,8406.000,5083,12805,8482.000
2023-01-05,8362.000,8379.000,8254.000,8277.000,4999,13725,8301.000
2023-01-06,8283.000,8423.000,8202.000,8407.000,8210,16261,8292.000
2023-01-09,8362.000,8420.000,8250.000,8320.000,7124,18414,8332.000
2023-01-10,8389.000,8389.000,8214.000,8232.000,6233,19772,8259.000
2023-01-11,8245.000,8452.000,8188.000,8442.000,11380,21912,8340.000
2023-01-12,8466.000,8581.000,8419.000,8555.000,10244,22886,8489.000
2023-01-13,8603.000,8657.000,8541.000,8609.000,16254,25806,8596.000
2023-01-16,8596.000,8651.000,8576.000,8603.000,11506,28741,8606.000
2023-01-17,8593.000,8667.000,8547.000,8580.000,13933,30795,8623.000
2023-01-18,8623.000,8772.000,8580.000,8742.000,17515,32201,8690.000
2023-01-19,8855.000,8855.000,8672.000,8716.000,21433,33073,8740.000
2023-01-20,8748.000,8891.000,8738.000,8888.000,11613,34528,8814.000
2023-01-30,8934.000,8970.000,8747.000,8772.000,31211,40377,8818.000
2023-01-31,8800.000,8800.000,8591.000,8659.000,27021,43657,8656.000
2023-02-01,8639.000,8769.000,8635.000,8683.000,36052,49671,8712.000
2023-02-02,8704.000,8704.000,8530.000,8557.000,41517,54750,8617.000
2023-02-03,8537.000,8558.000,8410.000,8511.000,44813,59432,8477.000
2023-02-06,8746.000,8746.000,8318.000,8361.000,50087,63700,8401.000
2023-02-07,8350.000,8463.000,8345.000,8410.000,33804,64990,8408.000
2023-02-08,8403.000,8480.000,8360.000,8412.000,35287,70766,8409.000
2023-02-09,8400.000,8445.000,8362.000,8392.000,39643,77180,8400.000
2023-02-10,8366.000,8446.000,8270.000,8434.000,73629,84245,8334.000
2023-02-13,8482.000,8509.000,8357.000,8361.000,48674,87975,8405.000
2023-02-14,8372.000,8416.000,8335.000,8375.000,50432,95296,8378.000
2023-02-15,8349.000,8386.000,8304.000,8344.000,54945,103396,8337.000
2023-02-16,8313.000,8495.000,8313.000,8452.000,71946,100056,8427.000
2023-02-17,8478.000,8478.000,8374.000,8379.000,63180,112212,8428.000
2023-02-20,8345.000,8501.000,8290.000,8496.000,118831,118581,8400.000
2023-02-21,8470.000,8634.000,8470.000,8590.000,126595,131309,8578.000
2023-02-22,8624.000,8640.000,8535.000,8581.000,132555,142594,8591.000
2023-02-23,8624.000,8624.000,8521.000,8559.000,135033,151714,8563.000
2023-02-24,8578.000,8682.000,8535.000,8569.000,207680,159688,8613.000
2023-02-27,8569.000,8645.000,8500.000,8502.000,192302,159619,8591.000
2023-02-28,8554.000,8554.000,8421.000,8511.000,194323,162444,8465.000
2023-03-01,8550.000,8584.000,8455.000,8557.000,177261,155851,8530.000
2023-03-02,8550.000,8595.000,8514.000,8569.000,143742,157324,8560.000
2023-03-03,8517.000,8649.000,8440.000,8620.000,274920,160105,8533.000
2023-03-06,8615.000,8615.000,8462.000,8527.000,241062,144366,8520.000
2023-03-07,8512.000,8647.000,8491.000,8566.000,182612,149458,8589.000
2023-03-08,8550.000,8636.000,8512.000,8544.000,205061,140681,8558.000
2023-03-09,8563.000,8583.000,8449.000,8507.000,190753,141101,8498.000
2023-03-10,8530.000,8538.000,8352.000,8364.000,215868,150408,8436.000
2023-03-13,8412.000,8564.000,8379.000,8526.000,225216,128436,8472.000
2023-03-14,8400.000,8459.000,8327.000,8335.000,220197,135408,8389.000
2023-03-15,8377.000,8388.000,8295.000,8365.000,176666,127388,8344.000
2023-03-16,8300.000,8319.000,8083.000,8103.000,179566,120177,8207.000
2023-03-17,8130.000,8299.000,8049.000,8247.000,177919,92971,8185.000
2023-03-20,8223.000,8357.000,8212.000,8295.000,144601,62451,8298.000
2023-03-21,8271.000,8384.000,8271.000,8342.000,78483,41465,8340.000
2023-03-22,8388.000,8410.000,8340.000,8364.000,38988,31678,8376.000
2023-03-23,8386.000,8415.000,8349.000,8378.000,18854,24892,8386.000
2023-03-24,8399.000,8405.000,8290.000,8390.000,16093,19779,8348.000
2023-03-27,8335.000,8473.000,8316.000,8463.000,11199,15131,8419.000
2023-03-28,8494.000,8563.000,8480.000,8523.000,7655,10580,8526.000
2023-03-29,8549.000,8549.000,8495.000,8536.000,5112,7459,8527.000
2023-03-30,8556.000,8576.000,8455.000,8510.000,3558,5534,8515.000
2023-03-31,8523.000,8600.000,8517.000,8560.000,2591,3710,8543.000
2023-04-03,8543.000,8763.000,8543.000,8711.000,283,2581,8656.000
2023-04-04,8746.000,8746.000,8713.000,8727.000,237,1734,8722.000
2023-04-06,8722.000,8722.000,8664.000,8685.000,47,1692,8718.000
2023-04-07,8700.000,8700.000,8670.000,8673.000,104,1692,8699.000
2023-04-10,8736.000,8736.000,8623.000,8623.000,72,1675,8684.000
2023-04-11,8623.000,8623.000,8623.000,8623.000,2,975,8623.000
2023-04-12,8623.000,8698.000,8623.000,8698.000,149,930,8646.000
2023-04-13,8705.000,8716.000,8613.000,8613.000,64,900,8677.000
2023-04-14,8585.000,8585.000,8585.000,8585.000,1,899,8585.000
2023-04-17,8760.000,8760.000,8325.000,8673.000,73,615,8724.000
2023-04-18,8610.000,8610.000,8510.000,8580.000,13,615,8588.000
2023-04-19,8682.000,8698.000,8460.000,8460.000,33,615,8636.000
2023-04-20,8410.000,8580.000,8390.000,8576.000,23,315,8520.000
2023-04-21,8550.000,8550.000,8518.000,8518.000,2,108,8534.000
2023-04-25,8518.000,8534.000,8518.000,8534.000,18,0,8656.000
