date,open,high,low,close,volume,open_interest,settle
2023-08-18,846.400,936.000,800.000,936.000,19648,1702,926.100
2023-08-21,957.000,982.600,924.400,958.800,12883,1177,951.400
2023-08-22,954.900,1046.500,940.000,974.000,28515,1642,1010.700
2023-08-23,976.900,1023.000,930.000,994.300,14616,1300,1000.400
2023-08-24,998.300,1009.100,932.300,951.000,14634,1247,966.300
2023-08-25,939.600,961.300,911.500,937.400,11318,1055,934.100
2023-08-28,936.400,959.600,891.700,910.000,9446,1092,922.300
2023-08-29,897.800,944.700,897.800,932.000,13976,1166,926.100
2023-08-30,935.800,949.100,930.000,940.000,12911,1053,940.900
2023-08-31,940.100,946.700,919.600,931.200,9996,1008,928.900
2023-09-01,935.000,962.200,930.900,947.400,11231,2823,947.900
2023-09-04,962.000,962.000,932.700,938.700,9179,3680,942.200
2023-09-05,931.000,1036.400,931.000,1017.800,27409,5841,1013.000
2023-09-06,1029.600,1029.600,981.300,996.500,16331,6710,1004.800
2023-09-07,990.000,1020.800,980.700,992.000,13099,7961,998.200
2023-09-08,990.100,1002.700,960.400,960.400,10537,8632,978.800
2023-09-11,969.800,989.000,958.000,973.800,5986,9115,975.100
2023-09-12,973.800,986.400,968.300,972.600,4889,9832,974.900
2023-09-13,974.800,982.100,939.500,943.400,7700,10450,963.300
2023-09-14,947.000,953.400,931.000,931.900,3735,10757,943.100
2023-09-15,935.300,949.300,931.600,940.100,4466,10871,940.000
2023-09-18,941.900,968.500,936.700,954.500,4658,11063,956.600
2023-09-19,954.200,961.800,941.600,947.400,3862,11313,949.700
2023-09-20,954.500,964.100,947.600,957.400,3166,11485,954.500
2023-09-21,948.600,961.200,929.900,929.900,4354,11697,944.100
2023-09-22,938.500,938.500,922.200,933.300,4734,11856,930.500
2023-09-25,929.200,940.600,895.300,895.800,5058,12218,922.000
2023-09-26,890.000,893.300,829.800,829.800,6820,12940,849.300
2023-09-27,818.100,831.400,773.400,792.000,12237,14297,797.200
2023-09-28,799.800,807.600,735.000,748.200,19141,15357,770.400
2023-10-09,727.300,778.600,716.000,768.800,16972,17092,741.900
2023-10-10,764.200,776.200,744.800,752.800,11974,17966,758.600
2023-10-11,752.000,788.200,752.000,780.900,15741,18788,776.800
2023-10-12,781.100,845.600,764.000,829.100,19501,19090,808.600
2023-10-13,829.200,844.300,803.500,814.500,18006,20875,823.700
2023-10-16,825.000,848.800,803.500,804.000,15529,21588,830.900
2023-10-17,803.300,803.300,747.800,747.800,19694,22334,761.700
2023-10-18,738.100,764.500,729.500,743.700,23851,24237,746.000
2023-10-19,745.000,783.000,733.200,780.400,20018,23067,757.300
2023-10-20,785.000,798.300,747.200,765.600,22488,22169,772.500
2023-10-23,770.700,799.400,764.000,786.600,22365,22567,787.400
2023-10-24,786.600,808.100,775.600,798.000,18049,21926,792.700
2023-10-25,800.000,806.000,762.000,767.700,17219,22860,779.700
2023-10-26,772.100,787.000,767.300,784.100,11716,22393,777.900
2023-10-27,786.000,792.600,775.000,786.000,8419,23166,782.400
2023-10-30,796.400,824.300,796.400,817.300,12066,23497,815.400
2023-10-31,815.000,815.000,785.100,795.400,14746,25263,798.700
2023-11-01,795.400,807.700,788.800,799.200,9738,24189,799.100
