date,open,high,low,close,volume,open_interest,settle
2025-03-13,1290.000,1332.000,1290.000,1332.000,2,1,1311.000
2025-03-14,1360.500,1360.500,1321.500,1321.500,2,2,1341.000
2025-04-11,1330.500,1339.500,1330.500,1339.500,3,2,1333.500
2025-04-14,1335.000,1335.000,1335.000,1335.000,1,1,1335.000
2025-04-17,1322.000,1322.000,1306.500,1306.500,2,2,1314.000
2025-04-28,1318.500,1318.500,1318.500,1318.500,1,1,1318.500
2025-05-29,1296.500,1296.500,1296.000,1296.000,3,4,1296.000
2025-05-30,1274.000,1274.000,1268.000,1269.500,5,3,1269.500
2025-06-03,1280.000,1280.000,1280.000,1280.000,1,2,1280.000
2025-06-04,1295.500,1295.500,1295.500,1295.500,1,1,1295.500
2025-08-01,1260.000,1323.500,1260.000,1323.500,206,90,1299.000
2025-08-04,1329.500,1331.000,1300.000,1305.500,427,111,1312.000
2025-08-05,1303.500,1303.500,1292.500,1301.500,285,185,1297.000
2025-08-06,1293.000,1306.500,1293.000,1306.000,160,201,1301.000
2025-08-07,1303.500,1305.500,1293.000,1298.500,102,211,1299.500
2025-08-08,1299.500,1299.500,1297.500,1298.500,3,210,1298.500
2025-08-11,1294.000,1296.000,1292.000,1296.000,14,212,1294.000
2025-08-12,1298.000,1300.000,1288.000,1292.500,173,234,1294.500
2025-08-13,1295.000,1302.000,1289.500,1297.000,517,220,1295.000
2025-08-14,1295.500,1301.000,1288.500,1290.000,335,227,1294.500
2025-08-15,1292.500,1294.000,1287.500,1292.500,98,219,1291.500
2025-08-18,1293.500,1294.500,1287.000,1289.000,79,224,1290.500
2025-08-19,1288.000,1294.500,1285.500,1288.000,251,217,1290.000
2025-08-20,1285.000,1285.500,1275.000,1280.000,326,224,1279.500
2025-08-21,1277.000,1279.000,1268.500,1270.500,486,224,1273.000
2025-08-22,1270.500,1281.000,1270.500,1277.500,337,230,1277.500
2025-08-25,1275.000,1282.000,1274.000,1279.000,667,224,1278.000
2025-08-26,1278.500,1282.000,1275.500,1277.500,567,242,1278.500
2025-08-27,1277.000,1280.500,1265.500,1265.500,441,320,1274.000
2025-08-28,1269.000,1273.500,1255.000,1262.000,679,418,1265.500
2025-08-29,1264.000,1264.000,1246.500,1249.500,330,468,1253.000
2025-09-01,1251.000,1256.000,1244.500,1247.000,196,502,1247.000
2025-09-02,1239.500,1257.000,1239.500,1253.500,486,568,1250.500
2025-09-03,1257.000,1261.000,1242.000,1242.000,111,590,1257.000
2025-09-04,1250.000,1254.500,1238.500,1238.500,87,584,1248.500
2025-09-05,1240.500,1243.500,1238.500,1239.000,327,641,1241.000
2025-09-08,1241.000,1245.000,1239.500,1240.000,378,668,1241.500
