date,open,high,low,close,volume,open_interest,settle
2023-09-15,1611.000,1611.000,1535.000,1552.000,1990,1446,1550.000
2023-09-18,1554.000,1558.000,1536.000,1555.000,1483,1931,1550.000
2023-09-19,1556.000,1580.000,1555.000,1568.000,1429,2165,1568.000
2023-09-20,1574.000,1592.000,1557.000,1570.000,1981,2750,1574.000
2023-09-21,1572.000,1583.000,1545.000,1548.000,1943,3453,1560.000
2023-09-22,1550.000,1583.000,1548.000,1579.000,1884,3309,1569.000
2023-09-25,1581.000,1584.000,1541.000,1547.000,2358,4269,1555.000
2023-09-26,1550.000,1551.000,1534.000,1541.000,1807,4773,1543.000
2023-09-27,1541.000,1548.000,1532.000,1535.000,1494,4976,1539.000
2023-09-28,1535.000,1548.000,1518.000,1526.000,2065,5536,1531.000
2023-10-09,1537.000,1551.000,1526.000,1543.000,1757,5800,1542.000
2023-10-10,1545.000,1548.000,1471.000,1487.000,5818,8455,1496.000
2023-10-11,1487.000,1505.000,1485.000,1493.000,2368,9493,1493.000
2023-10-12,1492.000,1508.000,1490.000,1507.000,1610,9556,1498.000
2023-10-13,1510.000,1512.000,1485.000,1496.000,2358,10182,1496.000
2023-10-16,1499.000,1520.000,1488.000,1515.000,3332,11435,1503.000
2023-10-17,1514.000,1526.000,1507.000,1507.000,4821,12924,1516.000
2023-10-18,1513.000,1531.000,1508.000,1510.000,2498,13171,1516.000
2023-10-19,1512.000,1550.000,1511.000,1546.000,3597,13212,1533.000
2023-10-20,1543.000,1543.000,1516.000,1519.000,2615,14133,1528.000
2023-10-23,1520.000,1523.000,1475.000,1481.000,6350,17728,1490.000
2023-10-24,1485.000,1499.000,1483.000,1494.000,2899,18350,1490.000
2023-10-25,1499.000,1530.000,1492.000,1505.000,5982,20129,1510.000
2023-10-26,1508.000,1511.000,1493.000,1509.000,3082,20946,1503.000
2023-10-27,1507.000,1526.000,1502.000,1520.000,2652,21380,1512.000
2023-10-30,1520.000,1535.000,1512.000,1529.000,4687,22423,1525.000
2023-10-31,1529.000,1539.000,1520.000,1529.000,2986,22550,1529.000
2023-11-01,1532.000,1539.000,1515.000,1521.000,3989,23389,1525.000
2023-11-02,1525.000,1541.000,1525.000,1538.000,5765,24185,1532.000
2023-11-03,1536.000,1573.000,1532.000,1568.000,6799,24481,1561.000
2023-11-06,1568.000,1585.000,1552.000,1569.000,7977,24638,1566.000
2023-11-07,1574.000,1604.000,1567.000,1583.000,8247,24175,1585.000
2023-11-08,1580.000,1613.000,1575.000,1593.000,6609,24455,1594.000
2023-11-09,1592.000,1603.000,1569.000,1593.000,6614,25390,1588.000
2023-11-10,1603.000,1659.000,1597.000,1629.000,15076,24774,1634.000
2023-11-13,1630.000,1635.000,1570.000,1576.000,11968,25212,1603.000
2023-11-14,1577.000,1578.000,1537.000,1560.000,13138,28583,1554.000
2023-11-15,1560.000,1575.000,1552.000,1560.000,13832,32030,1564.000
2023-11-16,1560.000,1575.000,1557.000,1575.000,8669,33362,1566.000
2023-11-17,1575.000,1592.000,1569.000,1584.000,11432,32722,1582.000
2023-11-20,1588.000,1620.000,1583.000,1618.000,13003,30145,1606.000
2023-11-21,1620.000,1657.000,1615.000,1623.000,15363,29231,1631.000
2023-11-22,1623.000,1639.000,1576.000,1598.000,13504,33188,1604.000
2023-11-23,1599.000,1643.000,1592.000,1638.000,16637,35351,1616.000
2023-11-24,1639.000,1694.000,1620.000,1679.000,23479,36503,1671.000
2023-11-27,1676.000,1742.000,1670.000,1710.000,18819,37871,1709.000
2023-11-28,1711.000,1741.000,1680.000,1702.000,15765,37006,1709.000
2023-11-29,1708.000,1776.000,1699.000,1766.000,17997,38419,1742.000
2023-11-30,1771.000,1778.000,1734.000,1777.000,15283,39354,1758.000
2023-12-01,1775.000,1871.000,1775.000,1855.000,26832,41424,1822.000
2023-12-04,1860.000,1918.000,1830.000,1870.000,39014,45255,1870.000
2023-12-05,1860.000,1893.000,1800.000,1839.000,22858,47181,1844.000
2023-12-06,1835.000,1881.000,1809.000,1865.000,24189,55362,1841.000
2023-12-07,1867.000,1978.000,1852.000,1951.000,36793,61636,1922.000
2023-12-08,1945.000,1981.000,1896.000,1913.000,33186,67483,1944.000
2023-12-11,1918.000,1919.000,1843.000,1861.000,24510,69696,1875.000
2023-12-12,1859.000,1868.000,1826.000,1838.000,23315,76373,1848.000
2023-12-13,1840.000,1842.000,1758.000,1783.000,36563,89374,1800.000
2023-12-14,1790.000,1798.000,1770.000,1779.000,36922,106513,1781.000
2023-12-15,1789.000,1829.000,1768.000,1769.000,37671,113660,1799.000
2023-12-18,1762.000,1771.000,1708.000,1724.000,40201,126814,1732.000
2023-12-19,1723.000,1758.000,1720.000,1741.000,35343,136206,1739.000
2023-12-20,1746.000,1786.000,1746.000,1767.000,30144,148431,1770.000
2023-12-21,1772.000,1838.000,1745.000,1833.000,40426,153517,1791.000
2023-12-22,1834.000,1874.000,1811.000,1852.000,32551,157495,1842.000
2023-12-25,1843.000,1846.000,1797.000,1827.000,23279,156835,1823.000
2023-12-26,1825.000,1842.000,1801.000,1824.000,18614,158766,1821.000
2023-12-27,1821.000,1847.000,1812.000,1834.000,17234,161441,1828.000
2023-12-28,1836.000,1850.000,1808.000,1835.000,20811,161935,1832.000
2023-12-29,1832.000,1860.000,1825.000,1853.000,24019,157907,1845.000
2024-01-02,1826.000,1840.000,1803.000,1822.000,17793,158956,1823.000
2024-01-03,1818.000,1908.000,1815.000,1889.000,51410,164088,1881.000
2024-01-04,1897.000,1905.000,1832.000,1841.000,40716,163509,1867.000
2024-01-05,1848.000,1867.000,1777.000,1779.000,53802,166761,1810.000
2024-01-08,1800.000,1808.000,1705.000,1726.000,79304,167520,1748.000
2024-01-09,1736.000,1780.000,1725.000,1742.000,66079,157981,1748.000
2024-01-10,1745.000,1754.000,1650.000,1658.000,86773,150963,1717.000
2024-01-11,1660.000,1687.000,1644.000,1678.000,51733,139103,1669.000
2024-01-12,1684.000,1685.000,1626.000,1638.000,61444,130729,1651.000
2024-01-15,1640.000,1650.000,1616.000,1633.000,47512,120067,1636.000
2024-01-16,1631.000,1680.000,1631.000,1652.000,49766,104676,1654.000
2024-01-17,1660.000,1684.000,1635.000,1640.000,54416,94049,1659.000
2024-01-18,1636.000,1672.000,1623.000,1666.000,41030,82479,1650.000
2024-01-19,1666.000,1674.000,1645.000,1671.000,25107,79771,1660.000
2024-01-22,1675.000,1730.000,1669.000,1711.000,73753,75139,1697.000
2024-01-23,1710.000,1710.000,1683.000,1697.000,30633,75387,1697.000
2024-01-24,1698.000,1735.000,1684.000,1731.000,34648,73600,1710.000
2024-01-25,1736.000,1752.000,1725.000,1732.000,33745,72332,1737.000
2024-01-26,1737.000,1742.000,1701.000,1718.000,42030,79746,1722.000
2024-01-29,1717.000,1774.000,1711.000,1722.000,52067,86008,1742.000
2024-01-30,1723.000,1737.000,1707.000,1712.000,29413,84711,1723.000
2024-01-31,1715.000,1727.000,1697.000,1719.000,29371,86734,1712.000
2024-02-01,1715.000,1719.000,1653.000,1662.000,52585,88339,1674.000
2024-02-02,1661.000,1676.000,1640.000,1648.000,45286,90466,1653.000
2024-02-05,1650.000,1683.000,1646.000,1665.000,34297,87480,1668.000
2024-02-06,1663.000,1689.000,1642.000,1679.000,33232,87295,1667.000
2024-02-07,1676.000,1702.000,1667.000,1697.000,19066,86155,1681.000
2024-02-08,1699.000,1727.000,1688.000,1690.000,30271,82144,1705.000
2024-02-19,1685.000,1686.000,1631.000,1644.000,39369,84405,1651.000
2024-02-20,1638.000,1645.000,1600.000,1602.000,55736,97463,1618.000
2024-02-21,1601.000,1620.000,1588.000,1593.000,57487,104243,1603.000
2024-02-22,1592.000,1605.000,1588.000,1600.000,34584,104609,1595.000
2024-02-23,1601.000,1610.000,1598.000,1603.000,23018,103750,1604.000
2024-02-26,1603.000,1609.000,1576.000,1584.000,48031,108041,1592.000
2024-02-27,1590.000,1616.000,1586.000,1611.000,46665,109251,1599.000
2024-02-28,1602.000,1613.000,1568.000,1573.000,88403,130618,1588.000
2024-02-29,1570.000,1584.000,1564.000,1577.000,70111,131849,1573.000
2024-03-01,1578.000,1592.000,1573.000,1581.000,58907,142469,1581.000
2024-03-04,1582.000,1584.000,1551.000,1576.000,86016,160352,1567.000
2024-03-05,1574.000,1604.000,1560.000,1564.000,117825,180215,1579.000
2024-03-06,1563.000,1574.000,1552.000,1572.000,97182,198405,1562.000
2024-03-07,1575.000,1584.000,1547.000,1556.000,114647,218852,1571.000
2024-03-08,1558.000,1578.000,1555.000,1571.000,106279,228099,1568.000
2024-03-11,1571.000,1589.000,1530.000,1546.000,205667,275034,1559.000
2024-03-12,1547.000,1559.000,1537.000,1554.000,143685,289535,1549.000
2024-03-13,1559.000,1562.000,1539.000,1546.000,96287,304804,1551.000
2024-03-14,1551.000,1558.000,1526.000,1541.000,172117,304153,1546.000
2024-03-15,1545.000,1563.000,1541.000,1549.000,166322,307785,1550.000
2024-03-18,1551.000,1556.000,1493.000,1503.000,295333,367583,1516.000
2024-03-19,1504.000,1528.000,1497.000,1514.000,187031,385352,1512.000
2024-03-20,1518.000,1528.000,1501.000,1504.000,163271,400604,1515.000
2024-03-21,1500.000,1535.000,1498.000,1524.000,187607,407451,1516.000
2024-03-22,1520.000,1539.000,1506.000,1513.000,257502,435856,1523.000
2024-03-25,1507.000,1515.000,1473.000,1475.000,361947,523728,1492.000
2024-03-26,1480.000,1482.000,1462.000,1468.000,239912,561311,1471.000
2024-03-27,1473.000,1477.000,1435.000,1441.000,336298,608128,1459.000
2024-03-28,1438.000,1452.000,1416.000,1418.000,377242,643519,1432.000
2024-03-29,1419.000,1438.000,1407.000,1423.000,441653,676416,1421.000
2024-04-01,1416.000,1445.000,1407.000,1441.000,573031,687683,1427.000
2024-04-02,1446.000,1453.000,1421.000,1425.000,447845,747359,1434.000
2024-04-03,1430.000,1446.000,1422.000,1431.000,503061,741509,1436.000
2024-04-08,1460.000,1495.000,1453.000,1491.000,827283,688716,1474.000
2024-04-09,1498.000,1518.000,1466.000,1514.000,1094100,724209,1490.000
2024-04-10,1520.000,1541.000,1503.000,1518.000,1337450,738303,1522.000
2024-04-11,1525.000,1526.000,1489.000,1493.000,1043942,824594,1503.000
2024-04-12,1490.000,1510.000,1477.000,1500.000,1017915,827882,1492.000
2024-04-15,1499.000,1504.000,1451.000,1473.000,1155520,946518,1475.000
2024-04-16,1468.000,1474.000,1448.000,1458.000,869589,989950,1460.000
2024-04-17,1450.000,1476.000,1443.000,1468.000,880670,1030430,1458.000
2024-04-18,1471.000,1520.000,1465.000,1512.000,1956143,950121,1501.000
2024-04-19,1510.000,1525.000,1492.000,1503.000,1193452,971665,1506.000
2024-04-22,1500.000,1548.000,1498.000,1527.000,1500817,950481,1527.000
2024-04-23,1526.000,1541.000,1506.000,1515.000,1020244,928153,1526.000
2024-04-24,1509.000,1566.000,1509.000,1552.000,1575849,880573,1550.000
2024-04-25,1557.000,1596.000,1547.000,1574.000,1541515,833348,1571.000
2024-04-26,1578.000,1590.000,1551.000,1581.000,1022572,816496,1572.000
2024-04-29,1580.000,1587.000,1541.000,1569.000,944904,807921,1566.000
2024-04-30,1564.000,1578.000,1521.000,1533.000,1095303,774051,1551.000
2024-05-06,1528.000,1606.000,1528.000,1597.000,970541,781691,1572.000
2024-05-07,1596.000,1626.000,1590.000,1604.000,1199521,807537,1607.000
2024-05-08,1600.000,1610.000,1581.000,1588.000,905171,817615,1594.000
2024-05-09,1592.000,1614.000,1584.000,1612.000,904418,816980,1599.000
2024-05-10,1624.000,1646.000,1601.000,1614.000,1416803,789290,1626.000
2024-05-13,1614.000,1618.000,1588.000,1613.000,917276,773273,1605.000
2024-05-14,1610.000,1612.000,1564.000,1574.000,1073315,783125,1585.000
2024-05-15,1575.000,1579.000,1552.000,1574.000,788525,789710,1565.000
2024-05-16,1570.000,1595.000,1559.000,1591.000,793250,798353,1577.000
2024-05-17,1597.000,1640.000,1586.000,1636.000,1214375,776262,1617.000
2024-05-20,1641.000,1655.000,1625.000,1638.000,1027510,766147,1639.000
2024-05-21,1633.000,1682.000,1632.000,1657.000,1162020,741083,1659.000
2024-05-22,1663.000,1685.000,1649.000,1674.000,1018161,719969,1670.000
2024-05-23,1670.000,1690.000,1640.000,1659.000,1090332,695640,1664.000
2024-05-24,1669.000,1735.000,1662.000,1716.000,1388013,687005,1702.000
2024-05-27,1720.000,1731.000,1694.000,1709.000,903295,672563,1713.000
2024-05-28,1705.000,1719.000,1681.000,1688.000,743308,684185,1703.000
2024-05-29,1687.000,1757.000,1670.000,1756.000,1068579,724467,1708.000
2024-05-30,1760.000,1767.000,1698.000,1713.000,1135123,686552,1736.000
2024-05-31,1706.000,1724.000,1685.000,1694.000,798928,691835,1705.000
2024-06-03,1701.000,1701.000,1635.000,1663.000,1383521,681770,1662.000
2024-06-04,1668.000,1689.000,1634.000,1676.000,1039742,657850,1664.000
2024-06-05,1669.000,1696.000,1655.000,1682.000,1109272,658015,1679.000
2024-06-06,1692.000,1741.000,1692.000,1739.000,1368490,721247,1722.000
2024-06-07,1745.000,1748.000,1710.000,1717.000,942502,660932,1727.000
2024-06-11,1710.000,1716.000,1659.000,1667.000,808767,639345,1687.000
2024-06-12,1665.000,1684.000,1660.000,1666.000,595044,641806,1671.000
2024-06-13,1679.000,1679.000,1620.000,1641.000,930073,643581,1644.000
2024-06-14,1648.000,1661.000,1629.000,1641.000,800698,626907,1648.000
2024-06-17,1641.000,1641.000,1582.000,1592.000,1028327,657373,1611.000
2024-06-18,1591.000,1604.000,1563.000,1573.000,681907,661398,1588.000
2024-06-19,1572.000,1594.000,1564.000,1587.000,584685,630842,1581.000
2024-06-20,1586.000,1595.000,1557.000,1587.000,787726,624253,1580.000
2024-06-21,1589.000,1615.000,1573.000,1579.000,736366,623312,1591.000
2024-06-24,1571.000,1589.000,1525.000,1534.000,893237,640262,1548.000
2024-06-25,1537.000,1560.000,1534.000,1551.000,527822,622973,1547.000
2024-06-26,1546.000,1558.000,1528.000,1557.000,676975,622705,1542.000
2024-06-27,1554.000,1557.000,1519.000,1529.000,672790,672312,1537.000
2024-06-28,1529.000,1562.000,1516.000,1560.000,927387,621601,1543.000
2024-07-01,1560.000,1574.000,1535.000,1551.000,723664,639287,1553.000
2024-07-02,1550.000,1585.000,1546.000,1578.000,675091,617879,1564.000
2024-07-03,1581.000,1585.000,1551.000,1583.000,731590,621210,1569.000
2024-07-04,1580.000,1593.000,1566.000,1574.000,647995,614154,1582.000
2024-07-05,1574.000,1578.000,1522.000,1524.000,838129,674688,1546.000
2024-07-08,1525.000,1535.000,1483.000,1494.000,853910,691893,1512.000
2024-07-09,1492.000,1514.000,1484.000,1503.000,584364,678959,1498.000
2024-07-10,1499.000,1505.000,1454.000,1464.000,759507,704122,1477.000
2024-07-11,1470.000,1481.000,1452.000,1465.000,637103,703604,1469.000
2024-07-12,1470.000,1477.000,1460.000,1473.000,471854,697293,1468.000
2024-07-15,1470.000,1471.000,1436.000,1456.000,1040463,748169,1454.000
2024-07-16,1453.000,1462.000,1433.000,1454.000,646304,742516,1449.000
2024-07-17,1445.000,1460.000,1428.000,1439.000,606301,786597,1445.000
2024-07-18,1444.000,1469.000,1439.000,1459.000,711961,743645,1454.000
2024-07-19,1450.000,1459.000,1432.000,1443.000,595048,789001,1445.000
2024-07-22,1439.000,1450.000,1410.000,1428.000,846454,779189,1432.000
2024-07-23,1425.000,1434.000,1402.000,1406.000,599228,816034,1417.000
2024-07-24,1411.000,1438.000,1410.000,1427.000,686599,780392,1423.000
2024-07-25,1430.000,1430.000,1395.000,1412.000,697319,778610,1413.000
2024-07-26,1412.000,1428.000,1389.000,1390.000,710415,839866,1412.000
2024-07-29,1388.000,1393.000,1335.000,1341.000,951269,836729,1366.000
2024-07-30,1354.000,1357.000,1339.000,1346.000,605691,788491,1347.000
2024-07-31,1346.000,1380.000,1324.000,1375.000,1049415,707424,1357.000
2024-08-01,1381.000,1389.000,1341.000,1347.000,886728,728649,1365.000
2024-08-02,1350.000,1374.000,1333.000,1371.000,823332,672314,1354.000
2024-08-05,1368.000,1368.000,1334.000,1353.000,712765,656663,1351.000
2024-08-06,1345.000,1360.000,1322.000,1335.000,877708,633382,1343.000
2024-08-07,1330.000,1341.000,1309.000,1312.000,715424,628474,1320.000
2024-08-08,1315.000,1319.000,1293.000,1297.000,507756,614118,1306.000
2024-08-09,1305.000,1340.000,1304.000,1308.000,795638,553953,1322.000
2024-08-12,1311.000,1312.000,1272.000,1304.000,828655,531093,1298.000
2024-08-13,1304.000,1305.000,1255.000,1267.000,885075,532549,1276.000
2024-08-14,1263.000,1265.000,1218.000,1241.000,777197,461991,1241.000
2024-08-15,1242.000,1254.000,1224.000,1244.000,587829,408675,1242.000
