date,open,high,low,close,volume,open_interest,settle
2018-06-01,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-04,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-05,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-06,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-07,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-08,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-11,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-12,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-13,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-14,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-15,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-19,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-20,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-21,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-22,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-25,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-06-26,3846.000,3846.000,3846.000,3846.000,0,0,3846.000
2018-07-16,2910.000,3048.000,2910.000,2910.000,14,8,2945.000
2018-07-17,2809.000,2809.000,2809.000,2809.000,2,10,2809.000
2018-07-18,2823.000,2823.000,2753.000,2779.000,30,30,2796.000
2018-07-19,2793.000,2829.000,2757.000,2791.000,34,32,2802.000
2018-07-20,2823.000,2883.000,2823.000,2883.000,20,32,2857.000
2018-07-23,2892.000,2892.000,2859.000,2859.000,6,34,2874.000
2018-07-24,2850.000,2953.000,2850.000,2920.000,34,34,2890.000
2018-07-25,2920.000,3046.000,2920.000,3025.000,10,38,3006.000
2018-07-26,3020.000,3055.000,3020.000,3055.000,20,38,3046.000
2018-07-27,3009.000,3057.000,3009.000,3057.000,6,40,3034.000
2018-07-30,3050.000,3050.000,3046.000,3046.000,6,38,3047.000
2018-07-31,3100.000,3100.000,3080.000,3080.000,4,36,3090.000
