date,open,high,low,close,volume,open_interest,settle
2025-06-17,3098.000,3099.000,3084.000,3087.000,5,3,3093.000
2025-06-20,3103.000,3123.000,3093.000,3107.000,15,6,3102.000
2025-06-23,3109.000,3115.000,3106.000,3106.000,10,16,3112.000
2025-06-24,3120.000,3130.000,3099.000,3102.000,47,46,3112.000
2025-06-25,3092.000,3107.000,3090.000,3101.000,45,80,3096.000
2025-06-26,3097.000,3101.000,3092.000,3098.000,37,113,3096.000
2025-06-27,3112.000,3143.000,3112.000,3134.000,60,95,3129.000
2025-06-30,3148.000,3158.000,3136.000,3136.000,25,113,3151.000
2025-07-01,3127.000,3127.000,3122.000,3127.000,27,119,3124.000
2025-07-02,3155.000,3205.000,3155.000,3205.000,29,134,3163.000
2025-07-03,3207.000,3219.000,3198.000,3219.000,39,158,3207.000
2025-07-04,3230.000,3241.000,3214.000,3218.000,138,158,3229.000
2025-07-07,3209.000,3229.000,3194.000,3201.000,21,172,3220.000
2025-07-08,3205.000,3218.000,3202.000,3215.000,20,189,3215.000
2025-07-09,3216.000,3222.000,3209.000,3222.000,10,197,3215.000
2025-07-10,3223.000,3285.000,3223.000,3285.000,64,218,3270.000
2025-07-11,3280.000,3301.000,3280.000,3293.000,16,227,3296.000
2025-07-14,3288.000,3293.000,3279.000,3293.000,7,228,3284.000
2025-07-15,3295.000,3295.000,3287.000,3292.000,6,232,3291.000
2025-07-16,3284.000,3284.000,3275.000,3275.000,37,202,3279.000
2025-07-17,3293.000,3312.000,3293.000,3312.000,25,215,3305.000
2025-07-18,3335.000,3351.000,3332.000,3336.000,25,211,3344.000
2025-07-21,3364.000,3483.000,3364.000,3410.000,111,241,3421.000
2025-07-22,3416.000,3527.000,3413.000,3498.000,84,296,3445.000
2025-07-24,3452.000,3531.000,3452.000,3496.000,9,298,3487.000
2025-07-25,3511.000,3520.000,3500.000,3520.000,31,297,3510.000
2025-07-28,3506.000,3506.000,3436.000,3437.000,18,297,3467.000
2025-07-29,3434.000,3497.000,3434.000,3497.000,19,293,3471.000
2025-07-30,3543.000,3560.000,3505.000,3508.000,32,294,3539.000
2025-07-31,3465.000,3474.000,3384.000,3384.000,24,297,3429.000
2025-08-01,3407.000,3424.000,3407.000,3407.000,7,292,3409.000
2025-08-04,3423.000,3429.000,3379.000,3429.000,42,305,3394.000
2025-08-05,3450.000,3478.000,3438.000,3478.000,22,319,3456.000
2025-08-06,3457.000,3457.000,3457.000,3457.000,3,316,3457.000
