date,open,high,low,close,volume,open_interest,settle
2019-01-07,555.000,567.000,555.000,566.500,116,8772,561.500
2019-01-08,564.000,570.000,564.000,570.000,112,8666,569.000
2019-01-09,569.000,575.000,569.000,570.000,64,8612,570.500
2019-01-10,575.000,575.000,570.000,570.000,66,8556,570.000
2019-01-11,570.000,580.000,570.000,579.000,228,8340,573.500
2019-01-14,575.000,575.000,551.000,574.500,144,8266,566.000
2019-01-15,550.000,575.000,550.000,550.000,6666,0,551.000
2019-01-16,473.000,480.000,472.500,478.000,1646,1148,475.500
2019-01-17,478.000,482.000,476.000,481.000,1012,1670,479.000
2019-01-18,480.000,497.000,480.000,497.000,1604,2086,488.500
2019-01-21,496.000,507.000,494.500,497.000,2416,2602,500.000
2019-01-22,496.000,501.000,490.000,490.500,1504,2482,494.000
2019-01-23,490.000,493.000,489.500,492.000,590,2672,491.500
2019-01-24,494.000,498.000,493.500,495.000,962,2628,495.500
2019-01-25,496.000,498.000,494.000,495.500,728,2666,496.000
2019-01-28,496.000,523.000,495.000,505.000,4112,3150,511.000
2019-01-29,508.000,515.000,505.000,514.500,1152,2986,510.000
2019-01-30,515.000,541.000,515.000,529.000,9182,5782,535.000
2019-01-31,531.000,532.000,514.500,526.500,7068,6458,523.000
2019-02-01,528.000,550.000,525.500,546.000,6138,6980,540.000
2019-02-11,583.000,583.000,570.000,571.000,18536,12588,578.500
2019-02-12,568.000,572.000,551.000,552.000,16640,15692,560.500
2019-02-13,551.000,555.000,539.000,543.500,14192,18516,545.000
2019-02-14,545.000,550.000,533.500,547.000,16772,18340,542.000
2019-02-15,548.000,550.000,538.000,544.500,9306,19896,544.500
2019-02-18,546.000,563.000,545.500,554.500,21300,27444,555.500
2019-02-19,556.000,570.000,553.000,566.000,24478,36750,564.000
2019-02-20,566.000,570.000,550.500,562.000,35486,46822,560.000
2019-02-21,563.000,568.000,554.500,558.000,22224,49614,559.000
2019-02-22,557.000,560.000,547.000,560.000,22184,52596,552.000
2019-02-25,561.000,562.000,546.000,547.000,21192,57334,554.500
2019-02-26,549.000,549.000,534.500,539.500,27910,58974,541.500
2019-02-27,540.000,544.000,532.000,534.500,17512,61462,538.500
2019-02-28,536.000,545.000,535.500,543.500,13024,60314,541.000
2019-03-01,544.000,558.000,543.500,558.000,15452,55236,549.500
2019-03-04,560.000,569.000,557.500,559.000,29374,56862,562.500
2019-03-05,558.000,560.000,548.000,552.500,17544,56684,552.000
2019-03-06,553.000,557.000,542.500,543.000,21648,56708,549.000
2019-03-07,543.000,559.000,541.500,556.500,20742,58476,549.500
2019-03-08,558.000,559.000,546.000,546.500,15632,58384,551.000
2019-03-11,545.000,545.000,530.000,533.000,30642,63366,537.000
2019-03-12,532.000,544.000,532.000,543.500,17758,64802,538.500
2019-03-13,545.000,546.000,536.000,536.000,15912,63492,541.000
2019-03-14,537.000,550.000,535.000,549.500,22718,65158,545.500
2019-03-15,550.000,550.000,540.000,546.500,24728,68570,544.000
2019-03-18,546.000,566.000,544.000,560.000,42798,72522,557.000
2019-03-19,560.000,574.000,559.000,561.000,45664,78006,566.000
2019-03-20,561.500,567.000,532.500,532.500,60468,81960,539.500
2019-03-21,534.000,537.000,524.000,529.500,88414,105880,529.000
2019-03-22,529.000,534.000,528.000,534.000,30738,100596,530.500
2019-03-25,535.000,538.000,529.500,530.000,20506,94974,532.000
2019-03-26,530.000,535.000,526.500,526.500,27592,97358,531.000
2019-03-27,528.000,534.000,527.500,531.500,19568,96898,531.000
2019-03-28,532.000,535.000,527.500,529.500,31584,96792,531.500
2019-03-29,532.000,555.000,524.500,553.000,52844,99088,541.500
2019-04-01,552.000,568.000,546.500,566.000,38242,97322,554.500
2019-04-02,565.000,575.000,558.000,571.000,47644,99916,566.000
2019-04-03,571.000,594.000,570.000,585.000,57448,106122,580.000
2019-04-04,585.000,590.000,575.000,580.000,69574,110690,582.000
2019-04-08,583.000,608.000,581.000,601.000,54820,119092,595.500
2019-04-09,602.000,611.000,592.500,597.500,66858,118568,602.000
2019-04-10,596.000,602.000,592.500,600.000,45276,120104,596.500
2019-04-11,601.000,607.000,590.500,605.000,52384,116632,599.500
2019-04-12,606.000,613.000,593.500,603.000,70552,114798,602.500
2019-04-15,605.000,614.000,596.500,601.500,63346,122778,602.500
2019-04-16,600.000,606.000,583.000,584.000,42678,120348,595.000
2019-04-17,586.000,588.000,570.000,574.000,65666,123744,578.000
2019-04-18,574.000,577.000,567.000,574.000,55778,133280,572.000
2019-04-19,573.000,575.000,567.000,573.000,37246,135600,571.000
2019-04-23,580.000,586.000,578.500,582.000,33778,137548,582.000
2019-04-24,580.500,582.000,571.000,573.000,35560,137852,576.000
2019-04-25,573.000,580.500,570.000,570.500,28280,137456,574.000
2019-04-26,570.500,578.000,566.500,571.000,59944,140874,572.000
2019-04-29,571.500,585.500,571.500,585.500,52954,142520,579.500
2019-04-30,584.500,590.000,580.000,588.000,53610,150314,585.500
2019-05-06,581.000,585.500,571.000,583.500,46692,153878,580.500
2019-05-07,584.500,604.000,579.000,593.500,122060,165296,595.500
2019-05-08,592.500,592.500,582.500,585.500,61274,165732,588.000
2019-05-09,585.000,588.500,577.000,587.000,67794,160900,582.000
2019-05-10,585.500,598.000,580.500,596.500,101478,167554,589.500
2019-05-13,595.500,604.000,594.000,595.000,1087,191792,598.500
2019-05-14,595.000,605.500,579.000,582.000,1347,202224,590.500
2019-05-15,580.000,599.000,580.000,598.000,869,205558,589.000
2019-05-16,596.500,622.000,595.000,618.000,170432,210004,610.500
2019-05-17,620.000,647.000,617.500,647.000,329142,250452,639.000
2019-05-20,651.500,657.000,642.000,652.500,125976,233792,648.000
2019-05-21,645.000,661.000,632.500,659.000,170868,239920,644.000
2019-05-22,659.000,670.500,651.000,667.000,171058,236696,661.000
2019-05-23,666.000,673.500,661.500,668.500,104348,239258,667.500
2019-05-24,666.000,671.500,660.000,671.500,101462,239996,667.000
2019-05-27,672.500,707.000,672.000,701.500,393440,299308,695.500
2019-05-28,701.500,713.500,686.000,696.000,270256,291728,700.500
2019-05-29,690.000,692.000,668.500,683.500,295918,267994,678.000
2019-05-30,678.000,686.000,668.500,674.500,188102,281336,677.000
2019-05-31,670.000,679.500,664.000,664.500,163994,295372,671.500
2019-06-03,661.000,663.500,641.000,646.500,230368,295962,652.000
2019-06-04,649.500,655.500,644.000,652.500,174992,279940,650.000
2019-06-05,652.000,656.000,645.000,653.000,134484,277472,651.500
2019-06-06,651.500,654.000,628.000,644.000,249854,287214,640.000
2019-06-10,646.000,654.500,639.000,654.000,110200,291518,646.000
2019-06-11,656.000,684.500,653.000,684.500,230918,302444,669.500
2019-06-12,687.000,699.500,683.000,684.000,288844,280038,691.000
2019-06-13,685.000,703.000,681.000,702.000,203448,294430,688.500
2019-06-14,705.000,718.500,693.500,702.500,319602,299646,707.500
