date,open,high,low,close,volume,open_interest,settle
2024-01-22,4754.000,4781.200,4365.600,4410.600,7441,6839,0.000
2024-01-23,4390.000,4649.800,4367.000,4599.400,9650,9917,0.000
2024-01-24,4634.200,4708.200,4462.200,4702.400,10619,13781,0.000
2024-01-25,4689.400,4889.200,4660.000,4885.000,11375,17342,0.000
2024-01-26,4879.600,4883.000,4761.000,4804.800,9687,20822,0.000
2024-01-29,4808.200,4838.000,4670.000,4687.800,9421,23416,0.000
2024-01-30,4667.400,4698.800,4524.200,4545.000,8749,25671,0.000
2024-01-31,4530.600,4569.400,4418.800,4432.200,10722,27786,0.000
2024-02-01,4417.200,4543.000,4365.600,4414.200,10288,29382,0.000
2024-02-02,4435.200,4485.000,4084.200,4278.000,13294,32128,0.000
2024-02-05,4247.400,4310.000,3942.800,4081.400,15180,33504,0.000
2024-02-06,4072.600,4613.000,4057.200,4613.000,18837,34769,0.000
2024-02-07,4617.200,5005.000,4617.200,4998.000,28621,38471,0.000
2024-02-08,5009.200,5334.600,4929.000,4947.200,32108,40142,0.000
2024-02-19,5035.000,5082.000,4842.000,4934.400,18183,41652,0.000
2024-02-20,4919.800,4966.600,4877.800,4945.000,10494,40342,0.000
2024-02-21,4930.000,5115.000,4908.000,4971.000,14078,40861,0.000
2024-02-22,4969.800,5038.200,4952.200,5016.000,10739,40588,0.000
2024-02-23,5030.000,5046.000,4946.600,5043.000,10378,41435,0.000
2024-02-26,5042.000,5099.000,4993.600,5021.600,10365,43003,0.000
2024-02-27,5010.000,5165.000,5000.000,5163.400,10331,44139,0.000
2024-02-28,5174.000,5238.200,5031.000,5031.000,14676,45410,0.000
2024-02-29,5022.000,5226.000,5022.000,5212.600,11383,45160,0.000
2024-03-01,5220.000,5266.800,5185.000,5259.600,11271,46779,0.000
2024-03-04,5265.000,5279.000,5188.000,5245.400,9402,46482,0.000
2024-03-05,5210.000,5242.000,5168.000,5191.200,9000,47455,0.000
2024-03-06,5174.800,5276.200,5150.000,5192.000,10043,48630,0.000
2024-03-07,5188.600,5233.000,5123.800,5128.800,8618,48912,0.000
2024-03-08,5144.400,5218.800,5114.000,5200.000,8038,49665,0.000
2024-03-11,5196.400,5313.000,5188.800,5311.400,7948,50633,0.000
2024-03-12,5320.000,5343.200,5247.000,5282.400,9630,52407,0.000
2024-03-13,5287.200,5328.400,5247.000,5276.000,7190,52033,0.000
2024-03-14,5275.200,5315.000,5217.000,5256.400,8042,53019,0.000
