date,open,high,low,close,volume,open_interest,settle
2025-04-21,3630.400,3669.400,3624.600,3660.000,2292,2209,0.000
2025-04-22,3658.600,3670.000,3652.000,3652.000,1951,2774,0.000
2025-04-23,3675.000,3686.800,3644.600,3652.200,2833,4133,0.000
2025-04-24,3660.800,3672.800,3639.800,3657.200,1954,4282,0.000
2025-04-25,3664.400,3675.000,3649.200,3658.400,2023,4853,0.000
2025-04-28,3651.400,3657.600,3635.000,3647.400,2015,5358,0.000
2025-04-29,3644.000,3655.000,3632.200,3645.600,2045,5819,0.000
2025-04-30,3649.000,3666.800,3635.800,3637.800,2373,7044,0.000
2025-05-06,3657.400,3684.000,3649.200,3681.800,2158,7400,0.000
2025-05-07,3732.800,3746.000,3683.200,3695.000,3405,8741,0.000
2025-05-08,3681.800,3741.600,3681.800,3724.600,3136,9133,0.000
2025-05-09,3721.200,3723.000,3697.000,3706.800,2208,9288,0.000
2025-05-12,3724.600,3756.400,3722.600,3749.600,3543,10741,0.000
2025-05-13,3774.000,3774.000,3737.600,3745.000,3075,10865,0.000
2025-05-14,3744.800,3822.400,3741.000,3803.400,4996,12997,0.000
2025-05-15,3802.400,3804.400,3762.000,3771.200,3433,12676,0.000
2025-05-16,3767.600,3775.800,3735.200,3741.400,2967,13209,0.000
2025-05-19,3741.600,3741.600,3715.000,3733.600,3954,14437,0.000
2025-05-20,3745.000,3760.200,3725.400,3752.400,4201,15418,0.000
2025-05-21,3757.800,3778.200,3750.600,3765.800,3725,15514,0.000
2025-05-22,3765.000,3771.200,3748.200,3763.200,3531,15638,0.000
2025-05-23,3762.800,3788.000,3733.200,3736.000,5281,17165,0.000
2025-05-26,3735.800,3742.800,3706.200,3720.600,3956,17017,0.000
2025-05-27,3727.000,3727.000,3693.400,3707.200,3544,17535,0.000
2025-05-28,3715.000,3715.000,3691.200,3696.800,3082,17594,0.000
2025-05-29,3705.000,3753.200,3694.400,3732.800,4972,18896,0.000
2025-05-30,3724.200,3726.000,3687.400,3715.200,3855,18255,0.000
2025-06-03,3705.000,3730.800,3701.400,3716.000,3576,19028,0.000
2025-06-04,3722.000,3743.000,3719.400,3730.200,3986,19298,0.000
2025-06-05,3737.000,3750.000,3722.600,3738.600,3202,19587,0.000
2025-06-06,3743.800,3755.200,3735.800,3746.000,3195,19947,0.000
2025-06-09,3754.800,3779.600,3748.000,3770.000,5253,21490,0.000
2025-06-10,3770.000,3781.200,3735.000,3745.200,6300,22638,0.000
2025-06-11,3753.200,3807.400,3752.400,3785.800,7178,24617,0.000
2025-06-12,3775.000,3790.600,3761.600,3781.200,5959,25402,0.000
2025-06-13,3769.800,3774.800,3741.400,3752.400,6331,27030,0.000
2025-06-16,3740.000,3771.800,3740.000,3768.800,5714,28044,0.000
2025-06-17,3778.400,3778.400,3756.000,3767.400,5080,29397,0.000
2025-06-18,3767.400,3777.800,3752.600,3773.000,5884,31040,0.000
2025-06-19,3769.800,3769.800,3724.600,3735.400,7441,33220,0.000
2025-06-20,3739.000,3755.800,3738.000,3745.200,6559,33580,0.000
2025-06-23,3733.800,3780.200,3732.600,3769.800,7034,35134,0.000
2025-06-24,3776.000,3843.600,3776.000,3821.800,11102,37715,0.000
2025-06-25,3824.000,3897.600,3820.200,3890.600,10543,39023,0.000
2025-06-26,3889.800,3894.000,3870.200,3873.600,7082,39388,0.000
2025-06-27,3880.000,3902.000,3844.400,3846.400,9123,40644,0.000
2025-06-30,3849.000,3862.000,3838.800,3855.600,6044,40026,0.000
2025-07-01,3860.600,3861.600,3835.800,3850.200,5535,40569,0.000
2025-07-02,3850.600,3860.200,3835.800,3856.200,6476,41567,0.000
2025-07-03,3865.000,3885.600,3854.000,3879.000,5935,40996,0.000
2025-07-04,3878.000,3937.800,3868.000,3899.000,12076,44139,0.000
2025-07-07,3889.800,3900.400,3870.400,3883.000,5304,42258,0.000
2025-07-08,3884.000,3929.800,3883.800,3921.600,8980,43400,0.000
2025-07-09,3925.000,3943.400,3915.600,3920.000,7887,42752,0.000
2025-07-10,3920.000,3965.000,3917.400,3941.600,8280,44258,0.000
2025-07-11,3943.000,4015.800,3939.200,3965.600,16296,48480,0.000
2025-07-14,3968.000,3975.000,3952.800,3955.200,7126,47693,0.000
2025-07-15,3958.600,3980.000,3922.000,3948.600,10947,48850,0.000
2025-07-16,3951.000,3966.800,3925.600,3937.800,9374,49484,0.000
2025-07-17,3928.800,3975.400,3928.800,3974.200,7733,49988,0.000
