date,open,high,low,close,volume,open_interest,settle
2022-05-23,2797.400,2797.400,2722.000,2733.400,3698,3643,0.000
2022-05-24,2733.400,2740.800,2691.000,2695.200,3272,4189,0.000
2022-05-25,2697.000,2710.000,2683.600,2696.000,3051,5218,0.000
2022-05-26,2698.000,2715.200,2666.000,2692.000,3531,5875,0.000
2022-05-27,2720.000,2745.800,2706.600,2715.400,2926,6027,0.000
2022-05-30,2739.400,2745.600,2719.200,2726.200,2738,6166,0.000
2022-05-31,2726.200,2773.800,2721.000,2762.600,2876,6915,0.000
2022-06-01,2766.000,2768.600,2736.000,2748.000,2754,7151,0.000
2022-06-02,2733.600,2745.000,2725.600,2744.200,2826,7603,0.000
2022-06-06,2748.600,2779.800,2711.600,2777.600,3923,8482,0.000
2022-06-07,2771.600,2821.600,2766.200,2799.600,4900,9752,0.000
2022-06-08,2809.800,2847.800,2805.800,2835.400,5891,11479,0.000
2022-06-09,2833.000,2851.600,2817.000,2825.400,6390,13383,0.000
2022-06-10,2800.600,2868.000,2800.600,2856.200,8191,16502,0.000
2022-06-13,2824.800,2832.000,2786.800,2805.200,8606,18374,0.000
2022-06-14,2783.800,2850.200,2772.000,2850.000,15403,25447,0.000
2022-06-15,2855.200,2941.400,2849.800,2889.400,25744,35071,0.000
2022-06-16,2899.600,2909.400,2852.800,2857.200,29428,43398,0.000
2022-06-17,2851.800,2909.800,2848.600,2900.200,45773,53721,0.000
2022-06-20,2906.000,2923.200,2868.000,2885.200,46029,52939,0.000
2022-06-21,2881.000,2919.800,2871.400,2895.200,45883,52148,0.000
2022-06-22,2896.400,2903.000,2861.200,2863.200,37038,49480,0.000
2022-06-23,2875.000,2915.000,2870.800,2908.000,43062,54955,0.000
2022-06-24,2922.000,2960.000,2914.400,2949.000,44201,55681,0.000
2022-06-27,2965.000,3012.600,2965.000,2982.800,41786,56478,0.000
2022-06-28,2982.200,3022.600,2966.200,3012.600,32846,52654,0.000
2022-06-29,3001.800,3025.800,2980.200,2988.000,41348,57814,0.000
2022-06-30,2989.400,3072.000,2988.600,3039.200,45298,57915,0.000
2022-07-01,3046.000,3053.000,3012.000,3027.400,35977,55272,0.000
2022-07-04,3018.000,3035.200,2988.200,3032.600,34177,55949,0.000
2022-07-05,3046.600,3067.800,2993.200,3029.600,44950,57634,0.000
2022-07-06,3017.200,3023.000,2960.200,2975.000,42266,53646,0.000
2022-07-07,2972.000,2988.600,2951.600,2967.800,33027,50541,0.000
2022-07-08,2991.000,3009.800,2970.000,2970.400,37873,48313,0.000
2022-07-11,2954.600,2955.000,2914.800,2926.400,34788,45729,0.000
2022-07-12,2933.600,2939.400,2898.800,2909.200,35113,40275,0.000
2022-07-13,2909.000,2918.800,2887.400,2898.400,31721,33012,0.000
2022-07-14,2891.000,2904.400,2866.600,2880.400,29566,21433,0.000
2022-07-15,2871.800,2912.800,2864.800,2865.200,17433,7973,0.000
