date,open,high,low,close,volume,open_interest,settle
2026-05-18,8532.600,8624.600,8466.000,8567.800,5107,4864,0.000
2026-05-19,8533.000,8650.400,8443.000,8641.200,6866,5947,0.000
2026-05-20,8613.000,8639.800,8510.800,8626.600,5304,6729,0.000
2026-05-21,8679.200,8738.600,8361.600,8369.800,8529,9314,0.000
2026-05-22,8468.000,8577.000,8392.000,8518.800,6998,9281,0.000
2026-05-25,8576.600,8615.000,8500.600,8588.000,7064,10621,0.000
2026-05-26,8556.400,8572.600,8388.000,8522.800,8506,12166,0.000
2026-05-27,8522.000,8590.800,8314.600,8369.400,9140,13296,0.000
2026-05-28,8352.000,8491.800,8291.000,8451.400,7954,13809,0.000
2026-05-29,8523.000,8523.000,8217.600,8270.000,9392,14985,0.000
2026-06-01,8270.000,8375.600,8222.800,8235.200,10555,16869,0.000
2026-06-02,8260.000,8324.000,8124.200,8256.000,10282,18175,0.000
2026-06-03,8272.000,8420.000,8229.800,8295.800,9928,19319,0.000
2026-06-04,8222.000,8327.000,8222.000,8284.000,7967,19932,0.000
2026-06-05,8245.800,8372.000,8169.400,8214.000,10182,21017,0.000
2026-06-08,8000.000,8149.000,7889.600,8000.600,15010,25314,0.000
2026-06-09,8100.200,8173.200,7992.000,8153.800,16083,28211,0.000
2026-06-10,8102.800,8134.000,7970.800,8080.200,13513,29492,0.000
2026-06-11,8055.000,8114.600,7975.000,8049.000,12505,30546,0.000
2026-06-12,8178.000,8243.400,8093.000,8122.800,15891,33949,0.000
2026-06-15,8178.000,8407.400,8178.000,8403.400,23151,40710,0.000
2026-06-16,8393.000,8557.000,8372.800,8523.800,25572,46919,0.000
2026-06-17,8490.000,8613.000,8490.000,8612.000,29920,56723,0.000
2026-06-18,8592.000,8694.800,8576.800,8679.000,40021,69030,0.000
2026-06-22,8720.000,8739.800,8533.400,8706.200,64293,88681,0.000
2026-06-23,8699.000,8733.000,8532.600,8598.800,65773,87883,0.000
2026-06-24,8575.000,8703.800,8522.000,8667.600,59625,89622,0.000
2026-06-25,8700.000,8763.000,8630.200,8725.800,51012,84690,0.000
2026-06-26,8678.000,8694.200,8468.800,8532.600,63441,90290,0.000
2026-06-29,8549.800,8602.000,8346.200,8514.200,69358,92014,0.000
2026-06-30,8500.800,8726.800,8474.000,8705.200,55195,84586,0.000
2026-07-01,8711.600,8837.000,8688.200,8727.600,58982,83049,0.000
2026-07-02,8640.000,8766.600,8545.200,8570.000,63818,85425,0.000
2026-07-03,8599.000,8671.600,8525.000,8567.200,55429,81093,0.000
2026-07-06,8610.400,8617.600,8406.000,8458.000,61221,84489,0.000
2026-07-07,8425.000,8464.800,8248.600,8296.600,61212,83883,0.000
2026-07-08,8316.800,8328.200,8125.000,8131.200,68781,91392,0.000
2026-07-09,8191.000,8297.800,7994.400,8282.600,73965,85247,0.000
2026-07-10,8297.000,8417.000,8182.000,8186.200,60933,78685,0.000
2026-07-13,8137.000,8183.800,7788.400,7819.000,76815,81930,0.000
2026-07-14,7835.000,7934.000,7684.000,7914.800,75103,75403,0.000
2026-07-15,7958.200,7978.000,7793.600,7835.000,57559,58810,0.000
2026-07-16,7734.000,7861.600,7610.600,7655.000,54531,43395,0.000
2026-07-17,7620.000,7637.800,7203.800,7265.400,39448,23902,0.000
