date,open,high,low,close,volume,open_interest,settle
2026-05-22,1861.000,1861.000,1855.000,1855.000,10,8,1858.000
2026-05-25,1888.000,2006.500,1888.000,2006.500,77,64,1999.000
2026-05-26,2050.000,2088.000,1940.000,1962.000,148,89,2000.500
2026-05-27,1949.000,1988.000,1949.000,1988.000,19,93,1972.500
2026-05-28,1988.000,2015.000,1988.000,2004.500,33,108,2001.500
2026-05-29,2024.500,2027.500,2002.500,2012.000,23,107,2010.500
2026-06-01,2010.000,2110.000,2010.000,2094.500,77,139,2073.000
2026-06-02,2089.000,2089.000,2075.000,2077.500,7,135,2083.000
2026-06-03,2098.000,2115.000,2093.000,2104.000,17,142,2105.500
2026-06-04,2133.000,2160.000,2130.000,2130.000,117,198,2142.000
2026-06-05,2150.000,2170.000,2128.000,2143.500,88,238,2156.500
2026-06-08,2143.500,2154.000,2110.000,2110.000,90,251,2128.000
2026-06-09,2083.000,2088.000,2055.000,2084.500,83,257,2074.500
2026-06-10,2088.000,2100.000,2060.000,2088.000,81,223,2084.000
2026-06-11,2109.000,2130.000,2083.000,2110.000,61,220,2107.000
2026-06-12,2099.000,2166.000,2098.000,2155.000,156,303,2139.000
2026-06-15,2149.500,2170.000,2123.000,2150.000,98,313,2151.500
2026-06-16,2140.000,2150.000,2120.500,2128.000,71,339,2136.000
2026-06-17,2118.500,2137.500,2109.000,2123.500,103,346,2123.000
2026-06-18,2115.000,2116.000,2065.000,2086.000,136,350,2086.000
2026-06-22,2088.000,2088.000,2052.500,2075.000,76,394,2068.500
2026-06-23,2070.000,2070.000,2001.500,2001.500,114,365,2018.000
2026-06-24,2001.000,2036.000,2001.000,2011.000,53,360,2020.500
2026-06-25,2027.500,2045.000,2012.500,2012.500,42,367,2029.000
2026-06-26,2009.500,2030.000,2000.000,2030.000,16,370,2019.500
2026-06-29,2030.000,2050.000,2014.000,2049.000,39,373,2029.500
2026-06-30,2030.500,2030.500,2011.000,2029.500,32,374,2021.000
2026-07-01,2022.500,2023.500,1998.000,2009.000,46,361,2007.500
2026-07-02,2003.500,2010.000,1989.000,2010.000,21,362,1999.500
2026-07-03,2019.500,2042.500,2015.500,2029.500,49,391,2030.000
2026-07-06,2027.500,2052.000,2027.500,2040.500,45,413,2041.000
2026-07-07,2047.000,2050.000,2030.000,2034.000,19,422,2041.000
2026-07-08,2032.000,2056.000,2029.000,2047.000,56,446,2043.500
2026-07-09,2045.000,2047.500,2035.000,2047.000,38,435,2044.000
2026-07-10,2035.000,2042.500,1995.500,2014.500,83,467,2006.500
2026-07-13,2000.000,2001.500,1971.000,1971.000,29,455,1991.000
2026-07-14,1964.500,1986.500,1961.000,1986.500,20,448,1970.000
2026-07-15,1975.000,2000.000,1974.000,1986.000,15,448,1985.500
2026-07-16,1986.000,1990.000,1978.000,1978.000,8,450,1983.000
2026-07-17,1990.000,2006.500,1978.000,1980.000,62,451,1986.500
2026-07-20,1989.500,2000.500,1959.000,1970.500,80,483,1978.500
2026-07-21,1944.000,1967.500,1944.000,1966.500,37,473,1954.000
2026-07-22,1951.500,1952.000,1950.000,1950.000,10,471,1950.500
2026-07-23,1951.000,1965.000,1942.000,1951.500,78,503,1949.500
2026-07-24,1945.500,1945.500,1920.500,1924.000,165,609,1929.500
2026-07-27,1924.000,1938.000,1924.000,1935.000,31,617,1928.500
2026-07-28,1927.500,1927.500,1900.500,1900.500,30,616,1914.000
2026-07-29,1900.000,1944.000,1900.000,1913.000,160,537,1916.000
2026-07-30,1907.000,1909.500,1885.000,1887.000,53,556,1894.000
2026-07-31,1870.000,1874.500,1807.500,1811.500,82,553,1838.000
2026-08-03,1805.000,1814.500,1795.000,1804.500,198,546,1804.500
2026-08-04,1807.500,1832.000,1795.500,1825.500,86,548,1815.000
2026-08-05,1824.500,1871.000,1822.500,1861.000,107,574,1849.500
2026-08-06,1862.000,1910.000,1861.000,1910.000,94,587,1881.500
2026-08-07,1912.500,1945.500,1910.000,1933.500,139,577,1928.500
2026-08-10,1928.500,1931.500,1917.000,1917.000,90,601,1925.000
2026-08-11,1923.000,1960.000,1917.000,1956.500,69,608,1936.500
2026-08-12,1956.000,1970.500,1950.000,1965.000,58,626,1960.000
2026-08-13,1954.000,1973.000,1947.500,1962.500,138,679,1955.500
2026-08-14,1969.500,2002.000,1961.000,1992.500,167,741,1980.500
2026-08-17,2006.500,2042.000,2001.000,2032.000,215,750,2021.000
2026-08-18,2024.000,2030.000,2010.000,2027.000,116,770,2020.000
2026-08-19,2044.000,2063.500,2035.000,2049.500,326,859,2051.000
2026-08-20,2048.500,2064.500,1999.500,2013.500,799,985,2026.000
2026-08-21,2033.500,2045.000,1999.000,2039.000,451,1011,2024.000
2026-08-24,2051.500,2068.500,2024.000,2030.000,722,1261,2049.500
2026-08-25,2038.000,2063.000,1990.000,2017.000,1427,1395,2024.000
2026-08-26,2027.500,2028.000,1990.000,2013.500,329,1401,2009.500
2026-08-27,2028.000,2046.000,2008.000,2038.000,573,1381,2026.500
2026-08-28,2037.000,2071.000,2028.500,2056.000,398,1345,2053.000
2026-08-31,2067.000,2175.500,2063.000,2175.000,1030,1511,2137.500
2026-09-01,2160.500,2179.000,2099.000,2143.000,768,1593,2143.000
2026-09-02,2151.000,2192.000,2112.000,2124.500,474,1629,2156.500
2026-09-03,2110.500,2133.500,2083.000,2100.000,433,1623,2106.500
2026-09-04,2112.500,2135.000,2100.000,2117.500,338,1701,2119.500
