date,open,high,low,close,volume,open_interest,settle
2025-11-26,3739.000,3800.000,3719.000,3800.000,522,440,3775.000
2025-11-27,3791.000,3848.000,3791.000,3833.000,410,726,3811.000
2025-11-28,3839.000,3878.000,3819.000,3872.000,494,1100,3858.000
2025-12-01,3871.000,3987.000,3871.000,3987.000,1451,2034,3949.000
2025-12-02,3984.000,4038.000,3954.000,3968.000,1670,2545,3989.000
2025-12-03,3958.000,4002.000,3934.000,3976.000,1658,2901,3976.000
2025-12-04,3969.000,3981.000,3927.000,3973.000,962,2909,3954.000
2025-12-05,3967.000,3998.000,3965.000,3988.000,433,3081,3982.000
2025-12-08,3995.000,4020.000,3988.000,4020.000,824,3455,4004.000
2025-12-09,4020.000,4028.000,3971.000,3980.000,622,3433,3999.000
2025-12-10,3983.000,3993.000,3944.000,3956.000,849,3442,3966.000
2025-12-11,3957.000,3990.000,3951.000,3975.000,622,3755,3978.000
2025-12-12,3978.000,3983.000,3947.000,3983.000,552,3884,3967.000
2025-12-15,3980.000,3980.000,3959.000,3966.000,672,4049,3969.000
2025-12-16,3961.000,3961.000,3912.000,3912.000,577,4064,3938.000
2025-12-17,3910.000,3910.000,3861.000,3891.000,1381,4241,3885.000
2025-12-18,3886.000,3899.000,3871.000,3880.000,952,4481,3885.000
2025-12-19,3878.000,3893.000,3864.000,3878.000,2660,6219,3880.000
2025-12-22,3878.000,3928.000,3878.000,3900.000,1347,6223,3904.000
2025-12-23,3906.000,3924.000,3895.000,3908.000,1378,5723,3905.000
2025-12-24,3909.000,3929.000,3904.000,3916.000,1059,5464,3917.000
2025-12-25,3922.000,3926.000,3908.000,3912.000,406,5530,3915.000
2025-12-26,3916.000,3926.000,3907.000,3923.000,397,5633,3916.000
2025-12-29,3925.000,3925.000,3893.000,3898.000,547,5585,3901.000
2025-12-30,3893.000,3906.000,3890.000,3904.000,122,5603,3898.000
2025-12-31,3907.000,3915.000,3899.000,3904.000,236,5592,3905.000
2026-01-05,3899.000,3909.000,3855.000,3860.000,1089,5317,3875.000
2026-01-06,3865.000,3865.000,3802.000,3825.000,1288,5385,3821.000
2026-01-07,3834.000,3835.000,3792.000,3823.000,729,5362,3809.000
2026-01-08,3832.000,3856.000,3823.000,3826.000,463,5366,3838.000
2026-01-09,3818.000,3829.000,3780.000,3807.000,888,5527,3795.000
2026-01-12,3800.000,3800.000,3774.000,3783.000,399,5456,3784.000
2026-01-13,3771.000,3797.000,3766.000,3782.000,315,5393,3787.000
2026-01-14,3782.000,3792.000,3772.000,3792.000,254,5357,3780.000
2026-01-15,3800.000,3818.000,3792.000,3810.000,456,5249,3808.000
2026-01-16,3811.000,3811.000,3791.000,3807.000,122,5245,3802.000
2026-01-19,3783.000,3801.000,3782.000,3789.000,310,5301,3790.000
2026-01-20,3795.000,3795.000,3768.000,3779.000,396,5324,3777.000
2026-01-21,3783.000,3792.000,3768.000,3768.000,270,5414,3779.000
2026-01-22,3775.000,3789.000,3770.000,3776.000,330,5461,3778.000
2026-01-23,3768.000,3784.000,3768.000,3770.000,250,5427,3772.000
2026-01-26,3790.000,3790.000,3752.000,3762.000,308,5467,3763.000
2026-01-27,3759.000,3761.000,3704.000,3715.000,755,5366,3728.000
2026-01-28,3715.000,3721.000,3704.000,3721.000,591,5584,3708.000
2026-01-29,3710.000,3725.000,3706.000,3709.000,255,5664,3711.000
2026-01-30,3708.000,3712.000,3691.000,3695.000,1164,5341,3699.000
2026-02-02,3695.000,3718.000,3695.000,3699.000,979,5186,3703.000
2026-02-03,3697.000,3709.000,3685.000,3691.000,524,5291,3693.000
2026-02-04,3685.000,3700.000,3682.000,3698.000,352,5180,3689.000
2026-02-05,3690.000,3732.000,3690.000,3718.000,944,5177,3714.000
2026-02-06,3713.000,3735.000,3710.000,3728.000,336,5223,3722.000
2026-02-09,3740.000,3750.000,3722.000,3744.000,660,5348,3740.000
2026-02-10,3743.000,3748.000,3702.000,3713.000,875,5499,3724.000
2026-02-11,3712.000,3718.000,3685.000,3697.000,1037,5917,3702.000
2026-02-12,3697.000,3724.000,3693.000,3724.000,717,5847,3712.000
2026-02-13,3724.000,3736.000,3711.000,3735.000,449,5721,3727.000
2026-02-24,3720.000,3738.000,3709.000,3715.000,539,5842,3715.000
2026-02-25,3710.000,3710.000,3671.000,3695.000,2393,5625,3690.000
2026-02-26,3684.000,3691.000,3608.000,3649.000,2370,5787,3649.000
2026-02-27,3643.000,3672.000,3642.000,3669.000,691,5847,3656.000
2026-03-02,3642.000,3676.000,3642.000,3657.000,384,5835,3661.000
2026-03-03,3651.000,3656.000,3632.000,3643.000,441,5750,3642.000
2026-03-04,3635.000,3654.000,3635.000,3654.000,183,5744,3649.000
2026-03-05,3654.000,3674.000,3654.000,3661.000,345,5656,3666.000
2026-03-06,3661.000,3676.000,3648.000,3676.000,584,5642,3666.000
2026-03-09,3673.000,3773.000,3673.000,3711.000,1360,5586,3727.000
2026-03-10,3707.000,3711.000,3683.000,3703.000,562,5845,3698.000
2026-03-11,3705.000,3718.000,3704.000,3717.000,468,5988,3710.000
2026-03-12,3718.000,3734.000,3718.000,3725.000,416,6094,3726.000
2026-03-13,3721.000,3801.000,3715.000,3733.000,1152,6138,3743.000
2026-03-16,3733.000,3745.000,3713.000,3721.000,455,6246,3721.000
2026-03-17,3715.000,3722.000,3703.000,3716.000,510,6510,3714.000
2026-03-18,3720.000,3720.000,3689.000,3692.000,661,6612,3699.000
2026-03-19,3696.000,3715.000,3674.000,3679.000,791,6807,3692.000
2026-03-20,3679.000,3701.000,3667.000,3700.000,682,6960,3687.000
2026-03-23,3700.000,3736.000,3693.000,3730.000,1146,6798,3720.000
2026-03-24,3727.000,3736.000,3711.000,3728.000,645,6837,3724.000
2026-03-25,3720.000,3741.000,3713.000,3736.000,899,7143,3730.000
2026-03-26,3736.000,3779.000,3729.000,3774.000,2443,7115,3761.000
2026-03-27,3776.000,3783.000,3761.000,3773.000,648,7059,3770.000
2026-03-30,3760.000,3774.000,3751.000,3765.000,1070,6856,3765.000
2026-03-31,3773.000,3777.000,3753.000,3754.000,577,6804,3766.000
2026-04-01,3763.000,3770.000,3727.000,3733.000,1409,6570,3738.000
2026-04-02,3737.000,3737.000,3677.000,3688.000,3646,7335,3697.000
2026-04-03,3687.000,3687.000,3671.000,3678.000,1875,8073,3677.000
