date,open,high,low,close,volume,open_interest,settle
2020-09-15,1222.000,1222.000,1185.000,1185.000,14,12,1201.000
2020-09-16,1210.000,1210.000,1174.000,1174.000,51,58,1183.500
2020-09-17,1173.000,1184.000,1173.000,1177.500,19,69,1175.000
2020-09-18,1188.000,1189.500,1176.000,1189.500,10,63,1187.000
2020-09-21,1178.000,1200.000,1178.000,1185.000,85,76,1191.000
2020-09-22,1174.000,1181.000,1170.000,1181.000,9,70,1177.000
2020-09-23,1180.000,1197.000,1178.000,1190.000,22,57,1185.000
2020-09-24,1176.000,1189.500,1170.000,1170.000,14,67,1173.000
2020-09-25,1170.000,1170.000,1161.000,1162.000,12,73,1163.000
2020-09-28,1235.000,1235.000,1163.000,1163.000,48,70,1189.000
2020-09-29,1171.000,1181.000,1171.000,1181.000,4,67,1178.000
2020-09-30,1167.500,1186.000,1167.500,1185.000,5,66,1179.000
2020-10-09,1210.000,1213.000,1202.000,1212.500,25,42,1208.000
2020-10-12,1210.500,1215.000,1200.000,1215.000,15,31,1211.000
2020-10-13,1215.500,1221.000,1210.500,1211.000,16,30,1214.000
2020-10-14,1211.500,1212.000,1211.500,1212.000,2,31,1211.500
2020-10-15,1214.000,1248.000,1194.000,1196.000,46,54,1228.000
2020-10-16,1190.000,1228.000,1188.000,1212.000,11,49,1200.500
2020-10-19,1229.500,1229.500,1190.000,1190.000,2,50,1209.500
2020-10-20,1196.000,1213.500,1196.000,1198.000,3,51,1202.500
2020-10-22,1213.000,1216.500,1213.000,1216.500,3,52,1214.000
2020-10-26,1201.000,1201.000,1201.000,1201.000,1,51,1201.000
2020-10-27,1228.500,1228.500,1228.500,1228.500,1,52,1228.500
2020-10-28,1223.500,1229.000,1205.500,1227.500,10,48,1222.000
2020-10-30,1210.000,1210.000,1210.000,1210.000,1,47,1210.000
2020-11-02,1205.500,1205.500,1205.500,1205.500,1,46,1205.500
2020-11-03,1221.500,1227.500,1221.500,1227.500,4,45,1224.500
2020-11-04,1230.000,1256.500,1220.000,1245.500,51,21,1234.500
2020-11-05,1234.500,1259.000,1234.500,1250.000,4,21,1249.000
2020-11-06,1250.000,1273.000,1250.000,1273.000,8,22,1263.500
2020-11-09,1270.000,1282.500,1257.500,1257.500,13,21,1269.500
2020-11-10,1282.500,1282.500,1244.000,1244.000,7,21,1258.000
2020-11-11,1268.500,1268.500,1268.500,1268.500,1,20,1268.500
2020-11-12,1183.000,1278.000,1183.000,1278.000,8,18,1239.000
2020-11-13,1280.000,1280.500,1268.000,1274.500,8,21,1275.000
2020-11-16,1291.500,1292.500,1252.500,1257.000,10,25,1281.500
2020-11-17,1277.500,1278.500,1261.500,1266.000,23,25,1268.000
2020-11-18,1268.000,1275.500,1261.000,1275.500,4,22,1266.000
2020-11-20,1276.500,1281.000,1276.500,1281.000,2,23,1278.500
2020-11-23,1285.000,1307.500,1281.500,1286.000,63,54,1292.000
2020-11-24,1290.000,1315.000,1288.500,1314.500,48,65,1298.000
2020-11-25,1315.000,1325.000,1309.000,1309.000,5,65,1313.500
2020-11-26,1333.500,1340.000,1318.500,1338.500,16,68,1332.500
2020-11-27,1350.000,1350.000,1339.000,1339.000,3,70,1345.500
2020-11-30,1343.500,1374.000,1343.500,1360.000,10,69,1354.000
2020-12-01,1357.500,1387.500,1357.500,1387.500,10,76,1373.500
2020-12-02,1376.500,1410.000,1376.500,1403.500,18,85,1396.000
2020-12-03,1430.500,1430.500,1391.000,1391.500,24,82,1400.000
2020-12-04,1381.000,1400.000,1359.000,1400.000,9,83,1378.500
2020-12-07,1416.500,1433.500,1398.500,1400.000,16,86,1407.500
2020-12-08,1386.500,1415.000,1386.500,1403.000,14,90,1408.000
2020-12-09,1419.000,1482.000,1400.000,1460.500,97,116,1453.000
2020-12-10,1483.000,1494.000,1466.000,1478.500,68,131,1481.000
2020-12-11,1488.000,1515.000,1408.000,1435.000,258,156,1456.000
2020-12-14,1448.000,1467.000,1409.500,1436.500,257,137,1438.000
2020-12-15,1425.500,1466.000,1425.500,1457.500,95,175,1451.000
2020-12-16,1468.500,1499.500,1460.500,1495.000,238,295,1484.000
2020-12-17,1495.000,1497.000,1461.500,1491.500,134,366,1483.000
2020-12-18,1498.000,1547.000,1498.000,1542.000,362,490,1522.500
2020-12-21,1565.000,1634.500,1538.500,1613.000,274,621,1594.000
2020-12-22,1563.500,1615.000,1500.000,1528.000,291,611,1554.000
2020-12-23,1552.000,1552.000,1500.000,1526.500,262,605,1523.000
2020-12-24,1549.500,1559.500,1532.500,1539.000,208,616,1546.000
2020-12-25,1537.000,1606.000,1522.000,1606.000,343,672,1574.000
2020-12-28,1607.000,1650.000,1584.500,1632.000,386,776,1629.000
2020-12-29,1616.000,1644.500,1563.500,1563.500,333,770,1603.000
2020-12-30,1568.000,1590.000,1535.000,1552.000,634,867,1556.500
2020-12-31,1547.000,1570.500,1532.500,1548.500,251,847,1547.000
2021-01-04,1535.000,1620.000,1535.000,1599.500,588,861,1579.500
2021-01-05,1595.500,1635.000,1582.500,1633.000,630,1033,1615.500
2021-01-06,1639.000,1656.500,1616.000,1634.000,569,1163,1635.000
2021-01-07,1639.500,1668.500,1625.500,1665.500,495,1273,1641.500
2021-01-08,1655.500,1752.000,1644.500,1699.500,2226,1933,1706.500
2021-01-11,1707.500,1716.000,1666.000,1693.000,1381,2196,1693.000
2021-01-12,1690.500,1696.500,1631.000,1645.000,1089,2212,1654.000
2021-01-13,1645.000,1663.500,1547.000,1581.500,1654,2223,1603.500
2021-01-14,1569.500,1586.000,1554.000,1569.000,1759,1895,1568.000
2021-01-15,1569.000,1664.500,1569.000,1622.000,1129,2006,1621.000
