date,open,high,low,close,volume,open_interest,settle
2025-04-16,7116.000,7116.000,7070.000,7098.000,3,1,7094.000
2025-04-17,7110.000,7110.000,7110.000,7110.000,1,2,7110.000
2025-04-21,7306.000,7306.000,7306.000,7306.000,1,3,7306.000
2025-04-22,7107.000,7107.000,7094.000,7095.000,5,7,7098.000
2025-04-23,7137.000,7177.000,7133.000,7177.000,4,7,7155.000
2025-04-24,7137.000,7138.000,7064.000,7072.000,6,10,7102.000
2025-04-25,7087.000,7108.000,7087.000,7093.000,5,11,7093.000
2025-04-28,7116.000,7116.000,7116.000,7116.000,1,10,7116.000
2025-04-29,7111.000,7111.000,7075.000,7075.000,2,10,7093.000
2025-04-30,7048.000,7048.000,7048.000,7048.000,1,9,7048.000
2025-05-06,7018.000,7018.000,6921.000,6925.000,13,14,6949.000
2025-05-07,6965.000,7065.000,6965.000,7065.000,3,14,7008.000
2025-05-08,6953.000,6975.000,6931.000,6975.000,20,20,6949.000
2025-05-09,6972.000,6991.000,6923.000,6923.000,11,21,6964.000
2025-05-12,6963.000,7033.000,6960.000,7032.000,7,20,6999.000
2025-05-13,7110.000,7115.000,7042.000,7093.000,42,35,7087.000
2025-05-14,7214.000,7323.000,7138.000,7291.000,389,124,7275.000
2025-05-15,7273.000,7309.000,7205.000,7233.000,128,99,7233.000
2025-05-16,7210.000,7227.000,7178.000,7178.000,16,96,7191.000
2025-05-19,7190.000,7215.000,7190.000,7215.000,2,97,7202.000
2025-05-20,7191.000,7191.000,7143.000,7169.000,15,94,7163.000
2025-05-21,7168.000,7183.000,7158.000,7173.000,15,103,7166.000
2025-05-22,7159.000,7166.000,7101.000,7101.000,42,120,7140.000
2025-05-23,7028.000,7107.000,7027.000,7027.000,21,123,7054.000
2025-05-26,7016.000,7061.000,7008.000,7008.000,4,123,7027.000
2025-05-27,7001.000,7001.000,6989.000,6991.000,7,124,6993.000
2025-05-28,6979.000,6979.000,6949.000,6949.000,13,124,6962.000
2025-05-29,6960.000,7007.000,6942.000,7007.000,18,116,6969.000
2025-05-30,6966.000,6969.000,6949.000,6949.000,6,119,6961.000
2025-06-03,6942.000,6944.000,6936.000,6944.000,7,115,6938.000
2025-06-04,6969.000,7009.000,6969.000,7009.000,2,116,6989.000
2025-06-05,7048.000,7053.000,7004.000,7004.000,6,111,7019.000
2025-06-06,7036.000,7070.000,7036.000,7057.000,35,113,7059.000
