date,open,high,low,close,volume,open_interest,settle
2023-12-15,98700.000,106450.000,98700.000,104650.000,177,70,104200.000
2023-12-18,105050.000,107300.000,100150.000,102500.000,229,122,103050.000
2023-12-19,101900.000,103950.000,101100.000,101350.000,43,137,102000.000
2023-12-20,102500.000,103000.000,101100.000,101400.000,71,160,101950.000
2023-12-21,100800.000,102700.000,98000.000,98500.000,105,197,99650.000
2023-12-22,99250.000,104950.000,99250.000,103200.000,194,216,102200.000
2023-12-25,103600.000,105450.000,103400.000,104450.000,133,209,104550.000
2023-12-26,105000.000,108550.000,104450.000,107600.000,247,275,106750.000
2023-12-27,107450.000,109550.000,105600.000,107650.000,261,259,108500.000
2023-12-28,108050.000,108600.000,106750.000,108600.000,75,260,107800.000
2023-12-29,108050.000,110000.000,106450.000,110000.000,140,260,108400.000
2024-01-02,108300.000,110800.000,107850.000,110200.000,121,283,109550.000
2024-01-03,109800.000,110100.000,107500.000,108300.000,142,306,108700.000
2024-01-04,107250.000,107650.000,102650.000,102650.000,347,412,105300.000
2024-01-05,100250.000,102350.000,100200.000,100700.000,208,421,101200.000
2024-01-08,102150.000,103150.000,99250.000,99400.000,168,428,101200.000
2024-01-09,99050.000,101850.000,98500.000,100250.000,174,453,99800.000
2024-01-10,100700.000,101250.000,99000.000,99750.000,147,465,100050.000
2024-01-11,100550.000,105700.000,100550.000,105450.000,225,460,103600.000
2024-01-12,106050.000,106050.000,104150.000,104400.000,108,458,104800.000
2024-01-15,104250.000,104400.000,102500.000,103850.000,106,471,103750.000
2024-01-16,104050.000,105500.000,104050.000,105400.000,186,527,104750.000
2024-01-17,105550.000,106850.000,102800.000,103750.000,224,599,105250.000
2024-01-18,103850.000,105000.000,102500.000,104100.000,152,603,103700.000
2024-01-19,104200.000,104550.000,103000.000,103100.000,88,611,103700.000
2024-01-22,102050.000,103550.000,101000.000,101400.000,184,614,101950.000
2024-01-23,101950.000,104100.000,101950.000,103400.000,42,622,103300.000
2024-01-24,103300.000,104900.000,103300.000,104550.000,55,637,104150.000
2024-01-25,104250.000,105050.000,102700.000,103400.000,182,665,103800.000
2024-01-26,103600.000,104500.000,103000.000,103550.000,121,680,103750.000
2024-01-29,103500.000,104700.000,102800.000,103900.000,114,707,103900.000
2024-01-30,104250.000,104300.000,103500.000,103500.000,59,708,103650.000
2024-01-31,103500.000,104350.000,102000.000,102850.000,151,685,103300.000
2024-02-01,102300.000,103200.000,101850.000,102200.000,30,679,102500.000
2024-02-02,103200.000,104500.000,102400.000,103000.000,53,686,103200.000
2024-02-05,103650.000,104550.000,103600.000,103850.000,84,722,103850.000
2024-02-06,103450.000,103700.000,100050.000,101450.000,218,699,101600.000
2024-02-07,101250.000,101500.000,100700.000,100700.000,67,698,101200.000
2024-02-08,102200.000,102200.000,100000.000,100200.000,115,675,100850.000
2024-02-19,101750.000,101800.000,99100.000,99500.000,102,696,100550.000
2024-02-20,98900.000,99700.000,97300.000,98300.000,463,864,98500.000
2024-02-21,97550.000,106600.000,97550.000,100150.000,1180,1106,101100.000
2024-02-22,100500.000,101750.000,100000.000,100850.000,250,1208,100850.000
2024-02-23,102000.000,104550.000,101500.000,103750.000,794,1571,102750.000
2024-02-26,104000.000,105350.000,102500.000,104150.000,721,1825,104150.000
2024-02-27,103600.000,108100.000,103150.000,106950.000,758,2168,105800.000
2024-02-28,107900.000,113050.000,107900.000,108800.000,726,2318,110000.000
2024-02-29,110000.000,119450.000,109850.000,118500.000,1299,2684,115100.000
2024-03-01,120000.000,120000.000,115900.000,118350.000,1320,3083,117850.000
2024-03-04,119950.000,122900.000,114500.000,115950.000,949,3113,119000.000
2024-03-05,116450.000,118050.000,111050.000,111850.000,915,3125,114750.000
2024-03-06,111000.000,115500.000,109800.000,114600.000,1243,3465,112600.000
2024-03-07,115000.000,116350.000,111500.000,112400.000,523,3516,113650.000
2024-03-08,113500.000,114150.000,111600.000,113650.000,574,3654,112650.000
2024-03-11,112150.000,116750.000,111650.000,115950.000,858,3713,115050.000
2024-03-12,117550.000,119600.000,116550.000,119600.000,671,3858,118100.000
2024-03-13,120000.000,121250.000,118650.000,118650.000,380,3928,120100.000
2024-03-14,118750.000,119400.000,111950.000,112200.000,513,4046,115650.000
2024-03-15,113250.000,116150.000,112900.000,115100.000,834,4037,114450.000
2024-03-18,115100.000,117600.000,114600.000,115300.000,975,4467,116200.000
2024-03-19,116350.000,117200.000,113950.000,114400.000,697,4505,115400.000
2024-03-20,114500.000,117100.000,113500.000,116400.000,371,4611,116100.000
2024-03-21,117000.000,118400.000,115750.000,116500.000,655,4747,117000.000
2024-03-22,115900.000,116400.000,113150.000,114100.000,299,4792,114350.000
2024-03-25,114250.000,114550.000,107900.000,108250.000,348,4825,111100.000
2024-03-26,108350.000,109950.000,107150.000,109050.000,279,4866,108550.000
2024-03-27,109200.000,109600.000,106200.000,108650.000,315,4882,108200.000
2024-03-28,109200.000,109900.000,107700.000,109500.000,120,4871,109100.000
2024-03-29,109100.000,109950.000,108000.000,109000.000,504,4997,108900.000
2024-04-01,108250.000,113500.000,107850.000,112850.000,508,4938,111150.000
2024-04-02,113300.000,113300.000,111200.000,112050.000,110,4937,112400.000
2024-04-03,113100.000,114400.000,111500.000,112900.000,185,4915,113400.000
2024-04-08,113300.000,115850.000,112900.000,114300.000,264,4868,114500.000
2024-04-09,114450.000,115150.000,112350.000,114650.000,232,4897,114450.000
2024-04-10,116000.000,118250.000,115650.000,116750.000,390,4830,116950.000
2024-04-11,115600.000,115600.000,112600.000,113600.000,304,4819,113750.000
2024-04-12,112500.000,114300.000,112500.000,113250.000,1023,5232,113000.000
2024-04-15,113600.000,114700.000,112950.000,113500.000,232,5308,113650.000
2024-04-16,112500.000,112900.000,109050.000,110100.000,306,5301,110750.000
2024-04-17,110550.000,112000.000,110150.000,111200.000,275,5338,111150.000
2024-04-18,111050.000,113900.000,110350.000,110750.000,442,5391,111650.000
2024-04-19,111000.000,112850.000,108500.000,109400.000,332,5404,110550.000
2024-04-22,110800.000,112450.000,109900.000,110650.000,2307,6383,111400.000
2024-04-23,111450.000,112650.000,109550.000,111150.000,1905,7104,110900.000
2024-04-24,111600.000,113500.000,111250.000,111750.000,1043,7711,112050.000
2024-04-25,112250.000,114000.000,110350.000,111250.000,746,7873,112150.000
2024-04-26,111600.000,112600.000,110800.000,111800.000,370,7967,111600.000
2024-04-29,111700.000,117400.000,111700.000,116200.000,1188,8018,115400.000
2024-04-30,117050.000,117200.000,112550.000,113450.000,498,8084,114650.000
2024-05-06,113450.000,114700.000,113250.000,114600.000,219,8143,114050.000
2024-05-07,115200.000,116700.000,114700.000,115800.000,249,8156,115800.000
2024-05-08,115550.000,115800.000,113900.000,114350.000,349,8188,114750.000
2024-05-09,114800.000,115950.000,112750.000,114200.000,378,8307,114300.000
2024-05-10,114300.000,114800.000,110350.000,112150.000,763,8446,112550.000
2024-05-13,111050.000,112450.000,109750.000,110950.000,529,8446,111050.000
2024-05-14,111300.000,112800.000,108500.000,109750.000,852,8438,110750.000
2024-05-15,109900.000,110350.000,106600.000,107200.000,1796,8659,108500.000
2024-05-16,108400.000,109300.000,107600.000,108350.000,308,8630,108400.000
2024-05-17,109750.000,111450.000,109100.000,110700.000,459,8691,110300.000
2024-05-20,111500.000,112650.000,110300.000,110300.000,651,8696,111050.000
2024-05-21,110900.000,113550.000,110400.000,111000.000,1556,9159,111950.000
2024-05-22,110900.000,112100.000,110350.000,111200.000,403,9362,111050.000
2024-05-23,110700.000,111450.000,108900.000,111150.000,534,9468,110500.000
2024-05-24,111800.000,112350.000,110300.000,111350.000,2473,10569,111400.000
2024-05-27,112100.000,112750.000,110250.000,110800.000,1758,10764,111950.000
2024-05-28,111800.000,112350.000,110000.000,110100.000,325,10693,111000.000
2024-05-29,109700.000,110550.000,108900.000,110100.000,265,10733,109650.000
2024-05-30,111050.000,112200.000,109800.000,110650.000,326,10765,111100.000
2024-05-31,111050.000,111500.000,109450.000,109950.000,668,10839,110250.000
2024-06-03,109000.000,110050.000,106350.000,107950.000,963,10875,107950.000
2024-06-04,108100.000,108300.000,106450.000,107000.000,760,10815,107000.000
2024-06-05,106400.000,107200.000,104700.000,105050.000,1257,10884,105500.000
2024-06-06,104500.000,106000.000,104500.000,106000.000,967,11164,105300.000
2024-06-07,106850.000,107150.000,104650.000,105200.000,1077,11270,105200.000
2024-06-11,103900.000,105100.000,102250.000,102700.000,1388,11540,103300.000
2024-06-12,102350.000,104950.000,100950.000,104600.000,2476,11680,102700.000
2024-06-13,103900.000,104950.000,101950.000,103450.000,1042,11863,103600.000
2024-06-14,103250.000,103950.000,102400.000,102700.000,733,12031,102950.000
2024-06-17,102100.000,102600.000,101450.000,101450.000,843,11873,101900.000
2024-06-18,101950.000,102200.000,99150.000,99150.000,1534,12233,100500.000
2024-06-19,99850.000,100600.000,99050.000,99800.000,1652,12390,99850.000
2024-06-20,100150.000,100700.000,99450.000,100050.000,569,12490,100150.000
