date,open,high,low,close,volume,open_interest,settle
2021-01-08,26200.000,27990.000,24095.000,24140.000,3018,1130,25855.000
2021-01-11,23790.000,24210.000,23790.000,23790.000,815,1253,23900.000
2021-01-12,23710.000,24005.000,23350.000,23640.000,994,1294,23770.000
2021-01-13,23870.000,24100.000,23660.000,23790.000,358,1310,23875.000
2021-01-14,23875.000,23875.000,22725.000,22735.000,1032,1614,23230.000
2021-01-15,22725.000,22980.000,22445.000,22690.000,1126,1644,22745.000
2021-01-18,22775.000,23530.000,22775.000,23140.000,552,1545,23235.000
2021-01-19,23235.000,23310.000,22980.000,23050.000,217,1635,23125.000
2021-01-20,22935.000,23090.000,22525.000,23050.000,222,1672,23000.000
2021-01-21,23165.000,23170.000,22945.000,23000.000,159,1714,23065.000
2021-01-22,22905.000,23035.000,22800.000,22800.000,115,1729,22905.000
2021-01-25,22890.000,23450.000,22870.000,23195.000,450,1647,23165.000
2021-01-26,23285.000,23930.000,23230.000,23840.000,582,1592,23650.000
2021-01-27,23735.000,23800.000,23570.000,23710.000,130,1595,23675.000
2021-01-28,23580.000,23870.000,23250.000,23600.000,236,1553,23715.000
2021-01-29,23630.000,23735.000,23300.000,23425.000,492,1558,23555.000
2021-02-01,23495.000,23680.000,23305.000,23510.000,279,1628,23485.000
2021-02-02,23550.000,23720.000,23300.000,23400.000,394,1759,23555.000
2021-02-03,23460.000,23560.000,23215.000,23380.000,268,1838,23390.000
2021-02-04,23405.000,23580.000,23285.000,23395.000,179,1926,23380.000
2021-02-05,23550.000,23945.000,23320.000,23900.000,609,2030,23570.000
2021-02-08,24025.000,25455.000,24025.000,25075.000,1897,2448,25170.000
2021-02-09,25170.000,25320.000,24665.000,24960.000,864,2272,24900.000
2021-02-10,24860.000,24970.000,24800.000,24960.000,222,2322,24875.000
2021-02-18,24965.000,25500.000,24965.000,25455.000,692,2512,25205.000
2021-02-19,25510.000,26435.000,25510.000,26400.000,1642,3131,26030.000
2021-02-22,26500.000,27500.000,26440.000,27395.000,1802,3290,27080.000
2021-02-23,27600.000,27600.000,26300.000,27045.000,1554,3484,26810.000
2021-02-24,27000.000,27705.000,26715.000,27015.000,657,3337,27010.000
2021-02-25,27070.000,27135.000,26820.000,27010.000,488,3394,26975.000
2021-02-26,27100.000,27500.000,26835.000,27450.000,1255,3656,27175.000
2021-03-01,27520.000,28255.000,27500.000,28130.000,1307,3689,27795.000
2021-03-02,28080.000,28400.000,27605.000,27920.000,1217,3820,28005.000
2021-03-03,27920.000,28230.000,27610.000,27930.000,510,3874,27880.000
2021-03-04,27890.000,28100.000,27835.000,27970.000,376,3839,27955.000
2021-03-05,27870.000,27870.000,26740.000,27480.000,875,3782,27415.000
2021-03-08,27600.000,27715.000,27285.000,27455.000,529,3699,27475.000
2021-03-09,27040.000,27320.000,26815.000,26885.000,577,3698,27085.000
2021-03-10,26900.000,27405.000,26160.000,27275.000,1087,3804,26745.000
2021-03-11,27200.000,27580.000,26930.000,27390.000,569,3637,27180.000
2021-03-12,27600.000,27765.000,27260.000,27390.000,220,3617,27430.000
2021-03-15,27510.000,27760.000,27075.000,27260.000,523,3541,27330.000
2021-03-16,27305.000,27650.000,27170.000,27495.000,298,3530,27495.000
2021-03-17,27400.000,27765.000,27400.000,27655.000,249,3574,27625.000
2021-03-18,27655.000,27700.000,27335.000,27470.000,329,3479,27505.000
2021-03-19,27300.000,27495.000,26800.000,27375.000,216,3356,27335.000
2021-03-22,27335.000,27450.000,26945.000,27185.000,447,3320,27185.000
2021-03-23,27215.000,27260.000,27010.000,27160.000,91,3301,27160.000
2021-03-24,27000.000,27300.000,26900.000,27115.000,199,3296,27155.000
2021-03-25,27000.000,27140.000,26680.000,26685.000,207,3293,26845.000
2021-03-26,26525.000,26680.000,26290.000,26515.000,395,3228,26475.000
2021-03-29,26475.000,26475.000,25405.000,25775.000,1001,3022,25890.000
2021-03-30,25635.000,26360.000,25580.000,25990.000,462,3093,26065.000
2021-03-31,25990.000,26000.000,25700.000,25885.000,270,3075,25860.000
2021-04-01,26040.000,26750.000,25975.000,26650.000,493,3014,26490.000
2021-04-02,26615.000,26635.000,26350.000,26635.000,157,2969,26505.000
2021-04-06,26300.000,26430.000,26105.000,26195.000,181,2957,26275.000
2021-04-07,26200.000,26200.000,25625.000,25900.000,410,3061,25910.000
2021-04-08,25705.000,26385.000,25705.000,26045.000,178,3051,25995.000
2021-04-09,25990.000,26080.000,25650.000,25855.000,195,3113,25850.000
2021-04-12,25900.000,26510.000,25900.000,26220.000,268,3093,26275.000
2021-04-13,26495.000,26635.000,26240.000,26550.000,188,3118,26420.000
2021-04-14,26455.000,26690.000,26320.000,26320.000,211,3108,26430.000
2021-04-15,26305.000,26445.000,26205.000,26255.000,129,3094,26320.000
2021-04-16,26300.000,26300.000,25900.000,26100.000,261,3134,26045.000
2021-04-19,26010.000,26340.000,26000.000,26210.000,209,3092,26105.000
2021-04-20,26190.000,26360.000,26175.000,26205.000,108,3097,26235.000
2021-04-21,26005.000,26360.000,25905.000,26325.000,112,3116,26215.000
2021-04-22,26305.000,26400.000,26210.000,26210.000,85,3098,26300.000
2021-04-23,26285.000,26800.000,26210.000,26540.000,276,3086,26565.000
2021-04-26,26465.000,26465.000,26000.000,26130.000,366,3133,26180.000
2021-04-27,26000.000,26080.000,25800.000,25995.000,156,3123,25970.000
2021-04-28,25860.000,26080.000,25845.000,26000.000,129,3132,25995.000
2021-04-29,25885.000,26100.000,25820.000,26020.000,282,3201,25960.000
2021-04-30,26080.000,26300.000,25890.000,25980.000,168,3186,26040.000
2021-05-06,25500.000,26055.000,25385.000,25495.000,433,3229,25675.000
2021-05-07,25410.000,25860.000,25385.000,25750.000,277,3353,25690.000
2021-05-10,25525.000,25525.000,24020.000,24055.000,1318,3803,24860.000
2021-05-11,23800.000,24215.000,23700.000,23895.000,1039,3941,23925.000
2021-05-12,24000.000,24180.000,23905.000,24035.000,621,3956,24030.000
2021-05-13,24000.000,24000.000,23700.000,23885.000,299,3893,23845.000
2021-05-14,23800.000,23805.000,23200.000,23600.000,873,3944,23530.000
2021-05-17,23700.000,23700.000,23375.000,23465.000,444,3901,23485.000
2021-05-18,23500.000,23600.000,23100.000,23200.000,539,3978,23280.000
2021-05-19,23100.000,23300.000,22645.000,22645.000,777,4108,22920.000
2021-05-20,22600.000,22600.000,21960.000,22120.000,1574,4132,22280.000
2021-05-21,22000.000,22625.000,22000.000,22380.000,1064,4193,22385.000
2021-05-24,22400.000,22480.000,22110.000,22370.000,808,4410,22265.000
2021-05-25,22215.000,22635.000,22015.000,22160.000,824,4645,22330.000
2021-05-26,22180.000,22180.000,21500.000,21565.000,1196,4919,21760.000
2021-05-27,21500.000,21500.000,20880.000,20900.000,1204,5131,21105.000
2021-05-28,21000.000,21475.000,20650.000,20660.000,1052,5611,20955.000
2021-05-31,20665.000,20675.000,20120.000,20145.000,1692,6048,20375.000
2021-06-01,20200.000,20270.000,19960.000,20095.000,1422,6374,20095.000
2021-06-02,20090.000,20190.000,19920.000,20085.000,1647,6986,20070.000
2021-06-03,19950.000,20090.000,19200.000,19790.000,2927,7894,19780.000
2021-06-04,19695.000,19695.000,19190.000,19230.000,2298,8562,19375.000
2021-06-07,19150.000,19750.000,18810.000,19605.000,4850,9466,19320.000
2021-06-08,19615.000,19920.000,19320.000,19355.000,3457,10566,19645.000
2021-06-09,19400.000,19980.000,19200.000,19695.000,3398,10987,19690.000
2021-06-10,19715.000,19850.000,19500.000,19715.000,1598,11392,19745.000
2021-06-11,19745.000,19820.000,19510.000,19650.000,1519,11364,19725.000
2021-06-15,19525.000,19550.000,19070.000,19210.000,3907,11856,19295.000
