date,open,high,low,close,volume,open_interest,settle
2020-06-22,2883.000,2949.000,2752.000,2773.000,2669,811,2829.000
2020-06-23,2780.000,2835.000,2773.000,2794.000,1070,722,2810.000
2020-06-24,2805.000,2808.000,2732.000,2740.000,309,735,2758.000
2020-06-29,2693.000,2693.000,2633.000,2656.000,327,754,2660.000
2020-06-30,2665.000,2707.000,2662.000,2671.000,222,712,2683.000
2020-07-01,2670.000,2701.000,2652.000,2696.000,160,676,2673.000
2020-07-02,2696.000,2699.000,2674.000,2691.000,88,673,2685.000
2020-07-03,2706.000,2742.000,2700.000,2714.000,94,663,2715.000
2020-07-06,2712.000,2730.000,2690.000,2717.000,83,668,2712.000
2020-07-07,2715.000,2727.000,2688.000,2688.000,99,656,2705.000
2020-07-08,2713.000,2714.000,2690.000,2707.000,33,645,2704.000
2020-07-09,2709.000,2709.000,2680.000,2700.000,60,646,2693.000
2020-07-10,2690.000,2690.000,2622.000,2645.000,116,650,2644.000
2020-07-13,2659.000,2678.000,2659.000,2667.000,90,642,2665.000
2020-07-14,2667.000,2686.000,2624.000,2637.000,63,641,2654.000
2020-07-15,2649.000,2679.000,2642.000,2642.000,37,647,2653.000
2020-07-16,2658.000,2660.000,2630.000,2638.000,35,643,2641.000
2020-07-17,2630.000,2650.000,2614.000,2631.000,43,648,2630.000
2020-07-20,2640.000,2644.000,2573.000,2596.000,53,657,2598.000
2020-07-21,2596.000,2613.000,2584.000,2613.000,64,648,2598.000
2020-07-22,2656.000,2705.000,2638.000,2640.000,100,615,2669.000
2020-07-23,2670.000,2683.000,2670.000,2683.000,4,613,2678.000
2020-07-24,2684.000,2684.000,2610.000,2632.000,33,613,2634.000
2020-07-27,2630.000,2638.000,2620.000,2631.000,33,613,2626.000
2020-07-28,2622.000,2640.000,2601.000,2625.000,42,616,2617.000
2020-07-29,2620.000,2658.000,2620.000,2639.000,35,608,2631.000
2020-07-30,2641.000,2652.000,2627.000,2627.000,7,606,2634.000
2020-07-31,2601.000,2613.000,2531.000,2563.000,136,621,2574.000
2020-08-03,2561.000,2565.000,2550.000,2557.000,37,617,2556.000
2020-08-04,2583.000,2607.000,2561.000,2561.000,26,611,2591.000
2020-08-05,2596.000,2596.000,2595.000,2595.000,2,609,2595.000
2020-08-06,2687.000,2687.000,2605.000,2605.000,30,612,2638.000
2020-08-07,2578.000,2612.000,2578.000,2601.000,25,608,2588.000
2020-08-10,2543.000,2602.000,2543.000,2601.000,4,608,2587.000
2020-08-11,2589.000,2617.000,2539.000,2572.000,35,600,2592.000
2020-08-12,2560.000,2590.000,2558.000,2582.000,10,598,2571.000
2020-08-13,2597.000,2642.000,2592.000,2628.000,85,621,2624.000
2020-08-14,2629.000,2629.000,2579.000,2594.000,42,594,2597.000
2020-08-17,2576.000,2589.000,2576.000,2587.000,7,597,2586.000
2020-08-18,2588.000,2607.000,2572.000,2583.000,21,607,2586.000
2020-08-19,2592.000,2603.000,2578.000,2578.000,7,607,2591.000
2020-08-20,2591.000,2616.000,2591.000,2616.000,4,606,2603.000
2020-08-21,2601.000,2653.000,2601.000,2603.000,9,604,2625.000
2020-08-24,2601.000,2622.000,2592.000,2618.000,31,609,2606.000
2020-08-25,2619.000,2629.000,2606.000,2620.000,13,605,2616.000
2020-08-26,2650.000,2685.000,2640.000,2666.000,34,603,2658.000
2020-08-27,2640.000,2651.000,2636.000,2636.000,12,604,2639.000
2020-08-28,2621.000,2630.000,2592.000,2609.000,13,604,2618.000
2020-08-31,2628.000,2632.000,2628.000,2630.000,15,609,2630.000
2020-09-01,2616.000,2623.000,2591.000,2617.000,49,614,2613.000
2020-09-02,2612.000,2646.000,2611.000,2619.000,16,611,2625.000
2020-09-03,2612.000,2634.000,2546.000,2546.000,65,618,2577.000
2020-09-04,2558.000,2558.000,2499.000,2515.000,122,660,2518.000
2020-09-07,2536.000,2536.000,2472.000,2472.000,73,711,2493.000
2020-09-08,2498.000,2502.000,2482.000,2482.000,14,713,2490.000
2020-09-09,2452.000,2461.000,2358.000,2368.000,169,689,2377.000
2020-09-10,2375.000,2415.000,2374.000,2406.000,71,681,2395.000
2020-09-11,2398.000,2401.000,2373.000,2373.000,8,685,2387.000
2020-09-14,2399.000,2420.000,2369.000,2400.000,10,683,2402.000
2020-09-15,2387.000,2404.000,2387.000,2398.000,10,684,2394.000
2020-09-16,2415.000,2419.000,2410.000,2411.000,18,683,2413.000
2020-09-17,2435.000,2435.000,2381.000,2393.000,16,687,2407.000
2020-09-18,2408.000,2467.000,2399.000,2440.000,64,709,2439.000
2020-09-21,2462.000,2473.000,2447.000,2447.000,27,699,2460.000
2020-09-22,2316.000,2456.000,2316.000,2377.000,87,714,2393.000
2020-09-23,2408.000,2408.000,2348.000,2348.000,34,726,2372.000
2020-09-24,2387.000,2391.000,2342.000,2345.000,114,779,2359.000
2020-09-25,2351.000,2371.000,2336.000,2361.000,63,792,2351.000
2020-09-28,2359.000,2365.000,2348.000,2360.000,143,813,2355.000
2020-09-29,2369.000,2383.000,2355.000,2383.000,195,818,2370.000
2020-09-30,2373.000,2378.000,2299.000,2307.000,1015,1129,2332.000
2020-10-09,2332.000,2399.000,2332.000,2392.000,399,1083,2387.000
2020-10-12,2392.000,2415.000,2383.000,2392.000,1679,2121,2391.000
2020-10-13,2390.000,2415.000,2373.000,2373.000,1208,2576,2386.000
2020-10-14,2379.000,2383.000,2344.000,2370.000,1078,2820,2361.000
2020-10-15,2371.000,2425.000,2371.000,2417.000,728,2941,2408.000
2020-10-16,2402.000,2437.000,2374.000,2423.000,509,2939,2409.000
2020-10-19,2416.000,2426.000,2400.000,2424.000,1061,3079,2410.000
2020-10-20,2418.000,2419.000,2389.000,2389.000,692,3295,2400.000
2020-10-21,2389.000,2412.000,2389.000,2396.000,717,3549,2400.000
2020-10-22,2397.000,2405.000,2362.000,2374.000,343,3689,2378.000
2020-10-23,2374.000,2409.000,2374.000,2394.000,517,3590,2393.000
2020-10-26,2391.000,2409.000,2344.000,2348.000,1288,4142,2361.000
2020-10-27,2346.000,2365.000,2346.000,2360.000,928,4292,2358.000
2020-10-28,2355.000,2371.000,2332.000,2341.000,750,4510,2344.000
2020-10-29,2335.000,2335.000,2295.000,2304.000,1265,4682,2308.000
2020-10-30,2286.000,2286.000,2160.000,2197.000,1949,4776,2224.000
2020-11-02,2205.000,2229.000,2143.000,2180.000,1083,5083,2190.000
2020-11-03,2180.000,2265.000,2180.000,2251.000,961,5180,2232.000
2020-11-04,2258.000,2318.000,2258.000,2306.000,1623,4512,2295.000
2020-11-05,2317.000,2324.000,2284.000,2301.000,891,4580,2305.000
2020-11-06,2308.000,2320.000,2261.000,2274.000,1356,4763,2298.000
2020-11-09,2274.000,2324.000,2274.000,2314.000,1905,4893,2293.000
2020-11-10,2350.000,2455.000,2350.000,2388.000,2305,4945,2407.000
2020-11-11,2403.000,2491.000,2396.000,2471.000,4171,5509,2461.000
2020-11-12,2479.000,2519.000,2425.000,2446.000,3467,5818,2466.000
2020-11-13,2441.000,2479.000,2388.000,2402.000,2615,5852,2425.000
2020-11-16,2414.000,2430.000,2389.000,2411.000,2263,5878,2414.000
2020-11-17,2442.000,2487.000,2436.000,2447.000,1927,5766,2460.000
2020-11-18,2448.000,2454.000,2412.000,2436.000,874,5807,2440.000
2020-11-19,2465.000,2495.000,2446.000,2461.000,1647,5957,2470.000
2020-11-20,2478.000,2495.000,2458.000,2473.000,1000,5826,2476.000
2020-11-23,2470.000,2522.000,2456.000,2516.000,1614,5894,2492.000
2020-11-24,2517.000,2578.000,2507.000,2578.000,1530,6116,2541.000
2020-11-25,2580.000,2645.000,2558.000,2622.000,4092,7032,2595.000
2020-11-26,2637.000,2695.000,2620.000,2665.000,4452,8717,2663.000
2020-11-27,2639.000,2642.000,2600.000,2612.000,6010,11358,2614.000
2020-11-30,2617.000,2642.000,2582.000,2601.000,10216,16163,2615.000
2020-12-01,2611.000,2671.000,2600.000,2604.000,6722,17581,2633.000
2020-12-02,2616.000,2618.000,2535.000,2560.000,11580,20575,2563.000
2020-12-03,2572.000,2638.000,2556.000,2606.000,13031,23715,2605.000
2020-12-04,2606.000,2680.000,2565.000,2638.000,10830,26151,2633.000
2020-12-07,2636.000,2666.000,2613.000,2650.000,11119,27107,2636.000
2020-12-08,2627.000,2666.000,2583.000,2592.000,10493,27840,2620.000
2020-12-09,2598.000,2614.000,2563.000,2590.000,8060,27688,2595.000
2020-12-10,2589.000,2631.000,2580.000,2580.000,9450,27599,2602.000
2020-12-11,2600.000,2703.000,2600.000,2672.000,11363,26937,2654.000
2020-12-14,2660.000,2736.000,2648.000,2730.000,10317,26708,2691.000
2020-12-15,2731.000,2738.000,2672.000,2706.000,8465,26997,2705.000
2020-12-16,2712.000,2739.000,2696.000,2699.000,6585,26573,2718.000
2020-12-17,2707.000,2781.000,2692.000,2769.000,8501,26476,2745.000
2020-12-18,2759.000,2764.000,2710.000,2738.000,8771,26899,2742.000
2020-12-21,2746.000,2794.000,2652.000,2668.000,17746,28336,2705.000
2020-12-22,2638.000,2698.000,2588.000,2595.000,10805,29122,2647.000
2020-12-23,2639.000,2646.000,2563.000,2599.000,10295,28693,2606.000
2020-12-24,2610.000,2657.000,2607.000,2639.000,8543,29986,2634.000
2020-12-25,2622.000,2660.000,2601.000,2659.000,7953,30995,2639.000
2020-12-28,2660.000,2668.000,2606.000,2629.000,11930,32828,2637.000
2020-12-29,2655.000,2683.000,2613.000,2656.000,15992,36692,2650.000
2020-12-30,2662.000,2683.000,2632.000,2650.000,11997,38848,2657.000
2020-12-31,2659.000,2693.000,2625.000,2670.000,9991,40574,2665.000
2021-01-04,2669.000,2751.000,2643.000,2739.000,11177,42015,2708.000
2021-01-05,2713.000,2739.000,2631.000,2642.000,19227,46090,2684.000
2021-01-06,2686.000,2784.000,2654.000,2770.000,18663,46283,2728.000
2021-01-07,2757.000,2787.000,2718.000,2769.000,17798,49304,2757.000
2021-01-08,2766.000,2803.000,2742.000,2789.000,24802,50387,2772.000
2021-01-11,2792.000,2858.000,2758.000,2769.000,35537,52301,2811.000
2021-01-12,2783.000,2866.000,2767.000,2865.000,27287,54707,2817.000
2021-01-13,2875.000,2897.000,2822.000,2874.000,23434,54799,2867.000
2021-01-14,2853.000,2898.000,2817.000,2858.000,18549,56545,2854.000
2021-01-15,2850.000,2930.000,2827.000,2849.000,21075,58834,2868.000
2021-01-18,2862.000,2873.000,2820.000,2860.000,19235,61547,2848.000
2021-01-19,2855.000,2896.000,2836.000,2848.000,17043,62516,2861.000
2021-01-20,2848.000,2921.000,2845.000,2913.000,19740,64652,2888.000
2021-01-21,2911.000,2915.000,2838.000,2857.000,17380,63723,2865.000
2021-01-22,2857.000,2868.000,2780.000,2790.000,19853,63947,2821.000
2021-01-25,2771.000,2816.000,2739.000,2799.000,26552,65233,2790.000
2021-01-26,2796.000,2846.000,2777.000,2806.000,28182,66380,2814.000
2021-01-27,2830.000,2864.000,2815.000,2864.000,20326,70688,2840.000
2021-01-28,2846.000,2854.000,2797.000,2835.000,25626,74544,2832.000
2021-01-29,2842.000,2891.000,2805.000,2821.000,29883,78890,2839.000
2021-02-01,2832.000,2863.000,2783.000,2844.000,37396,89445,2827.000
2021-02-02,2858.000,2956.000,2841.000,2939.000,43358,95959,2915.000
2021-02-03,2977.000,2990.000,2932.000,2952.000,42255,101795,2956.000
2021-02-04,2953.000,3009.000,2943.000,2974.000,53721,104762,2974.000
2021-02-05,2966.000,3038.000,2966.000,3025.000,52379,109844,3009.000
2021-02-08,3040.000,3087.000,3030.000,3045.000,60548,112062,3054.000
2021-02-09,3056.000,3148.000,3054.000,3120.000,55596,104976,3109.000
2021-02-10,3107.000,3117.000,3033.000,3055.000,45068,98700,3073.000
2021-02-18,3240.000,3274.000,3230.000,3239.000,38890,98014,3251.000
2021-02-19,3250.000,3260.000,3132.000,3185.000,62135,100387,3189.000
2021-02-22,3175.000,3226.000,3155.000,3211.000,45492,101344,3192.000
2021-02-23,3198.000,3354.000,3164.000,3296.000,79483,86140,3268.000
2021-02-24,3286.000,3298.000,3218.000,3262.000,52411,69394,3257.000
2021-02-25,3309.000,3365.000,3266.000,3346.000,41951,62657,3322.000
2021-02-26,3424.000,3424.000,3286.000,3290.000,52936,55835,3336.000
2021-03-01,3280.000,3342.000,3241.000,3266.000,38931,52692,3292.000
2021-03-02,3284.000,3284.000,3090.000,3113.000,47353,46540,3163.000
2021-03-03,3143.000,3242.000,3118.000,3150.000,28708,45118,3159.000
2021-03-04,3167.000,3228.000,3163.000,3211.000,25365,45077,3202.000
2021-03-05,3200.000,3379.000,3167.000,3377.000,41337,42407,3289.000
2021-03-08,3399.000,3530.000,3387.000,3502.000,37425,38130,3464.000
2021-03-09,3451.000,3469.000,3350.000,3361.000,32074,33219,3407.000
2021-03-10,3376.000,3388.000,3262.000,3278.000,29715,31530,3327.000
2021-03-11,3308.000,3354.000,3294.000,3320.000,21140,27660,3323.000
2021-03-12,3325.000,3392.000,3320.000,3349.000,16172,26364,3364.000
2021-03-15,3358.000,3448.000,3353.000,3419.000,18062,23877,3410.000
2021-03-16,3369.000,3385.000,3292.000,3314.000,13062,24150,3319.000
2021-03-17,3314.000,3344.000,3266.000,3338.000,10672,21431,3301.000
2021-03-18,3288.000,3313.000,3235.000,3254.000,10013,18911,3266.000
2021-03-19,3227.000,3265.000,3031.000,3043.000,16154,16164,3105.000
2021-03-22,3053.000,3169.000,3042.000,3161.000,14157,14599,3107.000
2021-03-23,3162.000,3174.000,3096.000,3110.000,5558,13900,3133.000
2021-03-24,3047.000,3068.000,2962.000,3027.000,8740,13355,3010.000
2021-03-25,3061.000,3108.000,3047.000,3067.000,4738,12546,3070.000
2021-03-26,3043.000,3066.000,2997.000,3064.000,4932,11739,3041.000
2021-03-29,3080.000,3156.000,3070.000,3102.000,3154,11665,3110.000
2021-03-30,3137.000,3205.000,3099.000,3155.000,3370,11586,3141.000
2021-03-31,3120.000,3153.000,3111.000,3135.000,1753,11533,3129.000
2021-04-01,3121.000,3124.000,3034.000,3067.000,1074,11383,3073.000
2021-04-02,3082.000,3197.000,3044.000,3197.000,2042,10868,3138.000
2021-04-06,3088.000,3128.000,3038.000,3074.000,635,10876,3081.000
2021-04-07,3091.000,3129.000,3006.000,3051.000,676,10769,3064.000
2021-04-08,3062.000,3078.000,3023.000,3052.000,652,10731,3051.000
2021-04-09,3059.000,3107.000,3059.000,3085.000,886,10515,3084.000
2021-04-12,3077.000,3166.000,3055.000,3078.000,1424,9425,3112.000
2021-04-13,3128.000,3166.000,3102.000,3130.000,1641,8206,3120.000
2021-04-14,3146.000,3182.000,3124.000,3170.000,613,8034,3141.000
2021-04-15,3170.000,3348.000,3164.000,3265.000,934,7634,3236.000
2021-04-16,3255.000,3322.000,3236.000,3322.000,92,7632,3269.000
2021-04-19,3284.000,3290.000,3218.000,3272.000,321,7515,3252.000
2021-04-20,3253.000,3281.000,3228.000,3273.000,591,7049,3243.000
2021-04-21,3272.000,3272.000,3138.000,3178.000,564,6486,3170.000
