date,open,high,low,close,volume,open_interest,settle
2023-11-15,3565.000,3565.000,3527.000,3544.000,8664,5726,3540.000
2023-11-16,3547.000,3549.000,3526.000,3532.000,4656,8575,3537.000
2023-11-17,3532.000,3532.000,3489.000,3499.000,7842,12141,3504.000
2023-11-20,3497.000,3504.000,3461.000,3480.000,17416,19072,3477.000
2023-11-21,3480.000,3504.000,3472.000,3499.000,24975,24806,3485.000
2023-11-22,3504.000,3519.000,3474.000,3482.000,21942,31468,3494.000
2023-11-23,3480.000,3480.000,3461.000,3465.000,19961,33521,3470.000
2023-11-24,3462.000,3485.000,3460.000,3478.000,13540,34276,3473.000
2023-11-27,3478.000,3488.000,3414.000,3426.000,23312,35923,3445.000
2023-11-28,3432.000,3434.000,3397.000,3426.000,17036,37834,3411.000
2023-11-29,3430.000,3440.000,3414.000,3420.000,15515,38572,3426.000
2023-11-30,3426.000,3445.000,3421.000,3439.000,17658,38973,3433.000
2023-12-01,3433.000,3439.000,3372.000,3372.000,30788,39952,3414.000
2023-12-04,3373.000,3391.000,3359.000,3363.000,16972,40719,3377.000
2023-12-05,3378.000,3386.000,3354.000,3369.000,17783,41409,3367.000
2023-12-06,3366.000,3390.000,3354.000,3388.000,16396,41648,3371.000
2023-12-07,3396.000,3404.000,3355.000,3384.000,16207,41888,3383.000
2023-12-08,3389.000,3405.000,3372.000,3401.000,18952,41058,3390.000
2023-12-11,3408.000,3440.000,3396.000,3408.000,14362,40298,3414.000
2023-12-12,3410.000,3463.000,3403.000,3459.000,16139,38476,3437.000
2023-12-13,3454.000,3457.000,3426.000,3446.000,17921,37727,3441.000
2023-12-14,3438.000,3442.000,3400.000,3402.000,14940,37807,3420.000
2023-12-15,3405.000,3431.000,3403.000,3403.000,26540,39247,3419.000
2023-12-18,3407.000,3413.000,3363.000,3379.000,20348,41208,3387.000
2023-12-19,3373.000,3412.000,3373.000,3381.000,22713,42320,3392.000
2023-12-20,3368.000,3382.000,3352.000,3364.000,21254,43110,3365.000
2023-12-21,3369.000,3369.000,3340.000,3360.000,25731,44189,3353.000
2023-12-22,3365.000,3369.000,3325.000,3338.000,27102,45076,3341.000
2023-12-25,3339.000,3363.000,3336.000,3353.000,27336,43966,3350.000
2023-12-26,3354.000,3376.000,3349.000,3350.000,24134,42686,3362.000
2023-12-27,3345.000,3371.000,3341.000,3362.000,27816,44050,3359.000
