date,open,high,low,close,volume,open_interest,settle
2024-03-15,2490.000,2490.000,2490.000,2490.000,1,1,2490.000
2024-03-19,2526.000,2551.000,2524.000,2539.000,38,10,2541.000
2024-03-20,2539.000,2540.000,2534.000,2534.000,15,13,2536.000
2024-03-21,2531.000,2531.000,2524.000,2524.000,5,17,2527.000
2024-03-22,2521.000,2521.000,2511.000,2511.000,8,21,2516.000
2024-03-25,2513.000,2520.000,2510.000,2510.000,15,30,2515.000
2024-03-26,2517.000,2521.000,2496.000,2496.000,57,55,2509.000
2024-03-27,2505.000,2512.000,2478.000,2480.000,21,56,2500.000
2024-03-28,2475.000,2477.000,2462.000,2465.000,12,62,2471.000
2024-03-29,2470.000,2472.000,2470.000,2472.000,3,63,2471.000
2024-04-01,2493.000,2516.000,2486.000,2515.000,26,72,2503.000
2024-04-02,2518.000,2518.000,2492.000,2492.000,14,63,2510.000
2024-04-03,2506.000,2515.000,2503.000,2509.000,12,71,2509.000
2024-04-08,2499.000,2499.000,2483.000,2488.000,10,76,2490.000
2024-04-09,2494.000,2501.000,2490.000,2490.000,15,76,2496.000
2024-04-10,2498.000,2525.000,2495.000,2521.000,53,73,2517.000
2024-04-11,2522.000,2533.000,2510.000,2527.000,37,84,2524.000
2024-04-12,2520.000,2531.000,2513.000,2531.000,15,84,2524.000
2024-04-15,2529.000,2568.000,2527.000,2563.000,79,86,2550.000
2024-04-16,2563.000,2569.000,2545.000,2554.000,41,83,2556.000
2024-04-17,2565.000,2585.000,2560.000,2585.000,51,85,2572.000
2024-04-18,2600.000,2613.000,2590.000,2607.000,70,97,2601.000
2024-04-19,2620.000,2654.000,2605.000,2610.000,56,97,2628.000
2024-04-22,2608.000,2621.000,2587.000,2590.000,46,97,2599.000
2024-04-23,2586.000,2590.000,2557.000,2557.000,38,108,2572.000
2024-04-24,2550.000,2564.000,2545.000,2564.000,21,112,2559.000
2024-04-25,2561.000,2569.000,2541.000,2547.000,43,124,2551.000
2024-04-26,2535.000,2564.000,2535.000,2561.000,37,130,2553.000
2024-04-29,2568.000,2589.000,2564.000,2589.000,42,115,2578.000
2024-04-30,2590.000,2599.000,2584.000,2590.000,56,121,2591.000
2024-05-06,2577.000,2592.000,2573.000,2585.000,61,152,2584.000
2024-05-07,2591.000,2610.000,2589.000,2600.000,70,167,2600.000
2024-05-08,2598.000,2614.000,2592.000,2595.000,34,169,2602.000
2024-05-09,2590.000,2613.000,2590.000,2609.000,47,183,2604.000
2024-05-10,2598.000,2598.000,2567.000,2582.000,51,206,2584.000
2024-05-13,2590.000,2622.000,2581.000,2622.000,52,211,2603.000
2024-05-14,2620.000,2654.000,2606.000,2616.000,80,223,2631.000
2024-05-15,2618.000,2620.000,2601.000,2615.000,40,216,2608.000
2024-05-16,2619.000,2660.000,2608.000,2628.000,193,252,2637.000
2024-05-17,2636.000,2658.000,2634.000,2657.000,190,314,2648.000
2024-05-20,2661.000,2683.000,2650.000,2683.000,208,307,2663.000
2024-05-21,2671.000,2688.000,2646.000,2657.000,61,295,2664.000
2024-05-22,2650.000,2659.000,2633.000,2649.000,35,298,2645.000
2024-05-23,2630.000,2640.000,2613.000,2617.000,390,646,2616.000
2024-05-24,2629.000,2644.000,2616.000,2623.000,69,645,2632.000
2024-05-27,2637.000,2643.000,2627.000,2638.000,236,855,2630.000
2024-05-28,2647.000,2655.000,2637.000,2638.000,24,853,2645.000
2024-05-29,2636.000,2656.000,2632.000,2645.000,19,854,2645.000
2024-05-30,2659.000,2702.000,2659.000,2660.000,49,857,2679.000
2024-05-31,2672.000,2680.000,2660.000,2660.000,13,859,2670.000
2024-06-03,2657.000,2657.000,2600.000,2602.000,312,1088,2625.000
2024-06-04,2602.000,2609.000,2590.000,2600.000,150,1199,2596.000
2024-06-05,2589.000,2607.000,2586.000,2604.000,45,1210,2593.000
2024-06-06,2600.000,2600.000,2587.000,2587.000,63,1265,2591.000
2024-06-07,2585.000,2605.000,2579.000,2586.000,56,1264,2590.000
2024-06-11,2592.000,2602.000,2585.000,2586.000,11,1264,2590.000
2024-06-12,2584.000,2600.000,2584.000,2595.000,14,1269,2591.000
2024-06-13,2598.000,2598.000,2567.000,2571.000,55,1270,2575.000
2024-06-14,2574.000,2575.000,2563.000,2572.000,39,1291,2571.000
2024-06-17,2565.000,2565.000,2553.000,2559.000,23,1286,2561.000
2024-06-18,2558.000,2571.000,2557.000,2559.000,516,1781,2563.000
2024-06-19,2560.000,2582.000,2559.000,2580.000,20,1775,2572.000
2024-06-20,2578.000,2578.000,2569.000,2569.000,6,1772,2572.000
2024-06-21,2564.000,2568.000,2552.000,2552.000,33,1779,2563.000
2024-06-24,2563.000,2563.000,2527.000,2527.000,41,1787,2542.000
2024-06-25,2537.000,2566.000,2502.000,2562.000,132,1798,2553.000
2024-06-26,2555.000,2585.000,2530.000,2552.000,13,1795,2556.000
2024-06-27,2552.000,2561.000,2552.000,2560.000,38,1799,2557.000
2024-06-28,2573.000,2592.000,2571.000,2592.000,32,1808,2581.000
2024-07-01,2589.000,2595.000,2575.000,2590.000,32,1800,2586.000
2024-07-02,2586.000,2619.000,2579.000,2613.000,48,1792,2598.000
2024-07-03,2611.000,2616.000,2606.000,2616.000,69,1842,2614.000
2024-07-04,2607.000,2608.000,2601.000,2601.000,309,2146,2606.000
2024-07-05,2602.000,2610.000,2586.000,2586.000,18,2143,2598.000
2024-07-08,2586.000,2589.000,2560.000,2567.000,23,2138,2571.000
2024-07-09,2576.000,2591.000,2575.000,2586.000,31,2143,2585.000
2024-07-10,2587.000,2587.000,2555.000,2565.000,35,2138,2569.000
2024-07-11,2577.000,2616.000,2577.000,2610.000,51,2139,2604.000
2024-07-12,2592.000,2630.000,2587.000,2602.000,41,2147,2608.000
2024-07-15,2608.000,2611.000,2593.000,2599.000,80,2142,2604.000
2024-07-16,2601.000,2601.000,2575.000,2591.000,18,2134,2584.000
2024-07-17,2591.000,2591.000,2558.000,2559.000,13,2139,2573.000
2024-07-18,2557.000,2560.000,2549.000,2556.000,18,2137,2555.000
2024-07-19,2552.000,2552.000,2537.000,2537.000,17,2129,2545.000
2024-07-22,2535.000,2538.000,2522.000,2523.000,19,2133,2531.000
2024-07-23,2530.000,2541.000,2529.000,2535.000,9,2135,2535.000
2024-07-24,2533.000,2547.000,2522.000,2544.000,34,2128,2532.000
2024-07-25,2543.000,2543.000,2510.000,2515.000,53,2134,2527.000
2024-07-26,2527.000,2540.000,2525.000,2538.000,44,2116,2534.000
2024-07-29,2542.000,2544.000,2499.000,2506.000,27,2117,2528.000
2024-07-30,2503.000,2503.000,2474.000,2478.000,50,2100,2486.000
2024-07-31,2472.000,2513.000,2472.000,2513.000,19,2090,2500.000
2024-08-01,2513.000,2520.000,2501.000,2516.000,9,2088,2515.000
2024-08-02,2528.000,2529.000,2508.000,2525.000,20,2088,2518.000
2024-08-05,2517.000,2517.000,2486.000,2486.000,615,2693,2489.000
2024-08-06,2483.000,2493.000,2466.000,2472.000,51,2707,2480.000
2024-08-07,2465.000,2483.000,2461.000,2468.000,31,2707,2470.000
2024-08-08,2470.000,2475.000,2462.000,2463.000,82,2739,2468.000
2024-08-09,2460.000,2476.000,2452.000,2456.000,42,2725,2462.000
2024-08-12,2460.000,2460.000,2433.000,2438.000,75,2729,2444.000
2024-08-13,2440.000,2472.000,2436.000,2466.000,36,2721,2460.000
2024-08-14,2465.000,2465.000,2443.000,2445.000,15,2716,2451.000
2024-08-15,2435.000,2442.000,2400.000,2419.000,293,2964,2429.000
2024-08-16,2432.000,2445.000,2401.000,2405.000,115,2957,2431.000
2024-08-19,2380.000,2431.000,2380.000,2424.000,16,2960,2413.000
2024-08-20,2421.000,2457.000,2420.000,2454.000,36,2945,2436.000
2024-08-21,2473.000,2488.000,2467.000,2484.000,26,2943,2478.000
2024-08-22,2483.000,2492.000,2478.000,2481.000,227,3154,2485.000
2024-08-23,2485.000,2485.000,2461.000,2466.000,422,3562,2476.000
2024-08-26,2475.000,2506.000,2475.000,2506.000,24,3556,2494.000
2024-08-27,2494.000,2514.000,2494.000,2508.000,355,3842,2503.000
2024-08-28,2513.000,2525.000,2505.000,2525.000,360,4148,2523.000
2024-08-29,2509.000,2523.000,2500.000,2512.000,1089,5151,2516.000
2024-08-30,2512.000,2518.000,2488.000,2507.000,31,5170,2509.000
2024-09-02,2509.000,2509.000,2463.000,2465.000,1017,5732,2507.000
2024-09-03,2478.000,2478.000,2450.000,2454.000,230,5936,2475.000
2024-09-04,2445.000,2446.000,2401.000,2401.000,44,5930,2425.000
2024-09-05,2396.000,2404.000,2360.000,2372.000,79,5940,2375.000
2024-09-06,2379.000,2390.000,2366.000,2378.000,26,5932,2378.000
2024-09-09,2372.000,2372.000,2330.000,2361.000,168,6034,2365.000
2024-09-10,2347.000,2370.000,2318.000,2318.000,48,6048,2349.000
2024-09-11,2318.000,2347.000,2291.000,2346.000,859,6838,2330.000
2024-09-12,2343.000,2377.000,2328.000,2373.000,590,7330,2339.000
2024-09-13,2363.000,2380.000,2357.000,2357.000,723,7955,2370.000
2024-09-18,2350.000,2365.000,2340.000,2361.000,31,7952,2353.000
2024-09-19,2361.000,2388.000,2345.000,2388.000,56,7962,2366.000
2024-09-20,2379.000,2385.000,2355.000,2359.000,43,7962,2365.000
