date,open,high,low,close,volume,open_interest,settle
2025-10-16,123610.000,123610.000,123330.000,123430.000,6,1,123480.000
2025-10-17,124270.000,124280.000,122440.000,123420.000,35,13,123530.000
2025-10-20,123000.000,123460.000,122850.000,123130.000,9,13,123160.000
2025-10-21,123200.000,123910.000,123200.000,123910.000,3,15,123670.000
2025-10-22,123590.000,123590.000,123590.000,123590.000,1,16,123590.000
2025-10-23,123380.000,123620.000,123380.000,123380.000,5,18,123430.000
2025-10-24,124000.000,124840.000,124000.000,124350.000,10,20,124520.000
2025-10-28,124000.000,124000.000,123000.000,123000.000,6,23,123590.000
2025-10-29,123370.000,124000.000,123080.000,124000.000,22,31,123390.000
2025-10-30,123790.000,123800.000,123160.000,123160.000,15,37,123460.000
2025-10-31,122900.000,123160.000,122820.000,122820.000,10,42,123010.000
2025-11-03,123280.000,123280.000,123230.000,123230.000,2,43,123250.000
2025-11-04,122910.000,122910.000,121860.000,122120.000,26,46,122070.000
2025-11-05,122650.000,122650.000,122650.000,122650.000,1,47,122650.000
2025-11-06,121650.000,121960.000,121460.000,121960.000,7,52,121730.000
2025-11-07,122100.000,122100.000,121650.000,121750.000,9,53,121890.000
2025-11-10,121730.000,121960.000,121530.000,121960.000,10,57,121850.000
2025-11-11,121930.000,121930.000,121810.000,121810.000,3,60,121850.000
2025-11-12,121660.000,121660.000,120740.000,121010.000,15,69,120950.000
2025-11-13,121130.000,121450.000,120980.000,121250.000,25,85,121180.000
2025-11-14,120880.000,120880.000,119540.000,119540.000,32,99,120150.000
2025-11-17,118800.000,119460.000,118730.000,119300.000,18,103,119180.000
2025-11-18,118590.000,118700.000,117150.000,117260.000,28,115,117630.000
2025-11-19,117740.000,117940.000,117680.000,117900.000,21,119,117800.000
2025-11-20,118180.000,118770.000,117800.000,117800.000,28,123,118330.000
2025-11-21,117360.000,117650.000,116290.000,116310.000,37,132,116790.000
2025-11-24,118200.000,118200.000,116830.000,117800.000,20,139,117530.000
2025-11-25,118260.000,118890.000,118260.000,118300.000,31,150,118610.000
2025-11-26,118880.000,119940.000,118880.000,119330.000,44,136,119620.000
2025-11-27,119130.000,119130.000,118870.000,118870.000,18,145,118980.000
2025-11-28,119310.000,119510.000,119230.000,119400.000,15,154,119380.000
2025-12-01,119420.000,120730.000,119160.000,120170.000,21,156,119580.000
2025-12-02,119870.000,120210.000,119690.000,120110.000,25,155,119870.000
2025-12-03,119880.000,120060.000,119500.000,120060.000,5,153,119730.000
2025-12-04,119810.000,120110.000,119750.000,120000.000,8,156,119930.000
2025-12-05,119630.000,120000.000,119630.000,119770.000,6,158,119790.000
2025-12-08,120260.000,120320.000,119780.000,120170.000,17,155,120120.000
2025-12-09,120090.000,120190.000,119260.000,119260.000,8,152,119820.000
2025-12-10,118980.000,119200.000,118760.000,119200.000,24,158,118970.000
2025-12-11,118560.000,118560.000,117850.000,118000.000,13,162,118050.000
2025-12-12,117960.000,118200.000,117610.000,117830.000,16,168,117930.000
2025-12-15,117330.000,117690.000,116700.000,116840.000,56,198,117040.000
2025-12-16,115360.000,116000.000,114000.000,114450.000,103,274,114830.000
2025-12-17,114620.000,116000.000,114050.000,115990.000,28,270,115170.000
2025-12-18,115950.000,115950.000,115300.000,115810.000,14,272,115550.000
2025-12-19,117280.000,119540.000,116840.000,119520.000,99,234,118420.000
2025-12-22,118730.000,123600.000,118730.000,123570.000,148,270,120550.000
2025-12-23,122650.000,126110.000,122190.000,125900.000,188,341,124610.000
2025-12-24,125010.000,132710.000,125010.000,129850.000,580,480,129430.000
2025-12-25,128800.000,128820.000,125690.000,127630.000,437,515,127380.000
2025-12-26,128520.000,129970.000,128110.000,128920.000,337,517,129020.000
2025-12-29,128550.000,131690.000,126700.000,127980.000,399,585,129970.000
2025-12-30,128600.000,136030.000,127370.000,134460.000,621,631,131660.000
2025-12-31,135950.000,137480.000,132300.000,134670.000,1077,785,135240.000
2026-01-05,136210.000,137910.000,135570.000,136500.000,451,924,136750.000
2026-01-06,136210.000,142130.000,135680.000,141860.000,678,1052,139120.000
2026-01-07,145410.000,150240.000,144310.000,150240.000,1182,1046,147980.000
2026-01-08,148310.000,151710.000,136140.000,138130.000,2705,1116,142810.000
2026-01-09,138010.000,141020.000,135660.000,140290.000,5450,2565,138910.000
2026-01-12,140870.000,145250.000,137560.000,144900.000,8135,5325,140890.000
2026-01-13,145150.000,145720.000,139240.000,139950.000,2805,5336,141970.000
2026-01-14,141270.000,144560.000,140630.000,142320.000,1482,5303,142300.000
2026-01-15,143780.000,150970.000,143550.000,147650.000,3170,5290,147750.000
2026-01-16,146380.000,149330.000,141130.000,142130.000,1957,5284,144860.000
2026-01-19,142220.000,143920.000,138020.000,142840.000,1379,5253,141900.000
2026-01-20,143430.000,144770.000,140780.000,142200.000,830,5260,142460.000
2026-01-21,142840.000,144870.000,138900.000,143850.000,850,5289,142140.000
2026-01-22,143640.000,144480.000,141170.000,143170.000,544,5348,142750.000
2026-01-23,142210.000,149850.000,141810.000,148710.000,1488,5303,146940.000
2026-01-26,149280.000,152520.000,146010.000,146330.000,1351,5300,149690.000
2026-01-27,148380.000,148960.000,145160.000,146780.000,841,5280,146960.000
2026-01-28,147310.000,148500.000,142720.000,145710.000,1038,5287,145100.000
2026-01-29,146160.000,150040.000,144570.000,147820.000,1233,5403,146760.000
2026-01-30,149570.000,151050.000,140630.000,141330.000,2238,5328,145550.000
2026-02-02,139480.000,142110.000,129530.000,130030.000,2036,5279,135040.000
2026-02-03,133100.000,136010.000,130820.000,135410.000,756,5253,133220.000
2026-02-04,136400.000,138550.000,135350.000,138110.000,392,5256,136840.000
2026-02-05,138110.000,138350.000,133090.000,135090.000,502,5251,136110.000
2026-02-06,134030.000,135000.000,130180.000,132150.000,534,5244,132760.000
2026-02-09,133540.000,135800.000,132500.000,135170.000,261,5250,134260.000
2026-02-10,134650.000,135410.000,133400.000,133780.000,235,5269,134570.000
2026-02-11,133950.000,140710.000,133950.000,139740.000,404,5246,138130.000
2026-02-12,141000.000,141860.000,139830.000,140080.000,381,5259,140820.000
2026-02-13,138720.000,139100.000,135240.000,135850.000,452,5293,136810.000
2026-02-24,137100.000,139960.000,137100.000,139320.000,280,5297,139110.000
2026-02-25,139570.000,143200.000,139570.000,142490.000,234,5297,141720.000
2026-02-26,141510.000,142170.000,140030.000,141320.000,244,5299,141180.000
2026-02-27,140200.000,141940.000,138720.000,141810.000,562,5299,140160.000
2026-03-02,141540.000,142010.000,138760.000,141700.000,837,5406,140360.000
2026-03-03,139850.000,140280.000,135670.000,136580.000,856,5511,137990.000
2026-03-04,135340.000,139750.000,135340.000,138460.000,408,5484,138110.000
2026-03-05,139300.000,140030.000,136680.000,137380.000,384,5479,138480.000
2026-03-06,138020.000,138950.000,136740.000,138320.000,291,5452,137890.000
2026-03-09,138810.000,139460.000,133640.000,137860.000,903,5438,136060.000
2026-03-10,139010.000,140850.000,137990.000,138220.000,598,5411,139430.000
2026-03-11,138470.000,139310.000,138000.000,138270.000,190,5399,138540.000
2026-03-12,137730.000,140640.000,137100.000,139230.000,526,5398,139530.000
2026-03-13,140130.000,141110.000,138030.000,138130.000,565,5343,139450.000
2026-03-16,138560.000,138810.000,136570.000,137630.000,514,5309,137580.000
2026-03-17,137980.000,139170.000,136930.000,137120.000,270,5274,138000.000
2026-03-18,137440.000,137550.000,136000.000,136130.000,1192,5308,136480.000
2026-03-19,134780.000,136110.000,131120.000,132660.000,593,5311,133300.000
2026-03-20,131780.000,136810.000,129820.000,134080.000,665,5297,133510.000
