date,open,high,low,close,volume,open_interest,settle
2022-10-27,9195.000,9195.000,9195.000,9195.000,1,1,9195.000
2022-10-31,8855.000,8855.000,8855.000,8855.000,1,2,8855.000
2022-11-01,9040.000,9040.000,9040.000,9040.000,1,3,9040.000
2022-11-04,9460.000,9460.000,9460.000,9460.000,1,2,9460.000
2022-11-08,9695.000,9695.000,9695.000,9695.000,2,2,9695.000
2022-11-09,9740.000,9740.000,9720.000,9720.000,3,3,9725.000
2022-11-10,9575.000,9685.000,9575.000,9685.000,2,5,9630.000
2022-11-11,9525.000,9525.000,9525.000,9525.000,3,8,9525.000
2022-11-16,9620.000,9620.000,9620.000,9620.000,1,9,9620.000
2022-11-17,9740.000,9740.000,9615.000,9640.000,4,9,9655.000
2022-11-18,9760.000,9785.000,9690.000,9715.000,92,60,9720.000
2022-11-21,9600.000,9600.000,9480.000,9480.000,3,60,9560.000
2022-11-22,9595.000,9650.000,9595.000,9630.000,6,60,9615.000
2022-11-23,9650.000,9650.000,9515.000,9515.000,3,60,9580.000
2022-11-25,9510.000,9510.000,9510.000,9510.000,1,60,9510.000
2022-11-28,9510.000,9730.000,9510.000,9600.000,4315,3652,9600.000
2022-11-29,9600.000,9745.000,9600.000,9690.000,4739,7479,9650.000
2022-11-30,9670.000,9735.000,9580.000,9705.000,1654,8662,9660.000
2022-12-01,9745.000,9940.000,9735.000,9855.000,1930,9607,9850.000
2022-12-02,9855.000,9915.000,9765.000,9915.000,2141,11188,9855.000
2022-12-05,9865.000,9935.000,9820.000,9885.000,2126,12210,9865.000
2022-12-06,9885.000,9995.000,9815.000,9915.000,2734,14021,9900.000
2022-12-07,9950.000,10085.000,9925.000,9945.000,3133,15593,10000.000
2022-12-08,9955.000,10100.000,9880.000,10095.000,3085,16872,9985.000
2022-12-09,10070.000,10170.000,10070.000,10145.000,2725,17695,10135.000
2022-12-12,10130.000,10140.000,9965.000,9990.000,2943,18142,10055.000
2022-12-13,9990.000,10045.000,9895.000,10030.000,3460,18832,9990.000
2022-12-14,10050.000,10180.000,10050.000,10160.000,3371,19772,10150.000
2022-12-15,10125.000,10135.000,9945.000,10040.000,2526,20204,10030.000
2022-12-16,10035.000,10215.000,10010.000,10130.000,5217,21597,10115.000
2022-12-19,10125.000,10130.000,9795.000,9890.000,7226,22397,9970.000
2022-12-20,9890.000,9890.000,9680.000,9770.000,6828,23534,9775.000
2022-12-21,9750.000,9850.000,9710.000,9805.000,3919,23986,9760.000
2022-12-22,9795.000,9830.000,9600.000,9650.000,3630,24535,9720.000
2022-12-23,9660.000,9705.000,9450.000,9520.000,6550,25336,9585.000
2022-12-26,9545.000,9680.000,9490.000,9645.000,19065,27868,9605.000
2022-12-27,9645.000,9785.000,9615.000,9750.000,17734,29250,9730.000
2022-12-28,9720.000,9830.000,9695.000,9770.000,20175,30539,9750.000
2022-12-29,9760.000,9790.000,9610.000,9660.000,26080,31536,9685.000
2022-12-30,9640.000,9680.000,9595.000,9650.000,28201,32567,9635.000
2023-01-03,9690.000,9890.000,9505.000,9875.000,37281,34926,9725.000
2023-01-04,9870.000,9955.000,9850.000,9890.000,38880,38895,9905.000
2023-01-05,9880.000,9895.000,9750.000,9830.000,40955,42253,9815.000
2023-01-06,9850.000,9870.000,9600.000,9690.000,46507,45850,9680.000
2023-01-09,9760.000,9760.000,9580.000,9635.000,42053,50438,9670.000
2023-01-10,9650.000,9695.000,9585.000,9650.000,35237,51717,9640.000
2023-01-11,9660.000,9860.000,9595.000,9810.000,45525,51636,9745.000
2023-01-12,9770.000,9790.000,9650.000,9695.000,46909,52906,9700.000
2023-01-13,9710.000,9790.000,9680.000,9765.000,48329,52305,9750.000
2023-01-16,9760.000,9850.000,9690.000,9820.000,50386,52646,9775.000
2023-01-17,9795.000,10205.000,9790.000,10125.000,65609,54803,10025.000
2023-01-18,10150.000,10305.000,10115.000,10290.000,51022,53347,10210.000
2023-01-19,10250.000,10285.000,10130.000,10230.000,53078,50290,10205.000
2023-01-20,10230.000,10275.000,10105.000,10240.000,44292,47102,10180.000
2023-01-30,10400.000,10435.000,10140.000,10260.000,34893,41077,10280.000
2023-01-31,10285.000,10360.000,10150.000,10230.000,38869,33909,10260.000
2023-02-01,10210.000,10325.000,10110.000,10185.000,28617,30059,10205.000
2023-02-02,10165.000,10165.000,9865.000,9900.000,41086,26186,9970.000
2023-02-03,9935.000,9965.000,9775.000,9860.000,16365,24039,9875.000
2023-02-06,9865.000,9950.000,9840.000,9930.000,14169,22350,9905.000
2023-02-07,9950.000,9950.000,9790.000,9875.000,10785,20709,9845.000
2023-02-08,9895.000,9895.000,9770.000,9810.000,8796,18629,9815.000
2023-02-09,9830.000,9880.000,9775.000,9810.000,5966,18154,9820.000
2023-02-10,9830.000,9900.000,9665.000,9735.000,6229,17468,9790.000
2023-02-13,9830.000,9830.000,9675.000,9755.000,3495,16649,9745.000
2023-02-14,9760.000,9900.000,9760.000,9860.000,3971,15919,9845.000
2023-02-15,9840.000,9950.000,9805.000,9865.000,4366,15586,9890.000
2023-02-16,9865.000,9970.000,9835.000,9900.000,3676,14996,9895.000
2023-02-17,9905.000,10010.000,9890.000,9925.000,3621,14650,9965.000
2023-02-20,9900.000,10095.000,9825.000,10060.000,4708,13748,9975.000
2023-02-21,10070.000,10170.000,10035.000,10085.000,4088,12793,10100.000
