date,open,high,low,close,volume,open_interest,settle
2019-01-04,6748.000,6748.000,6748.000,6748.000,2,2,6748.000
2019-01-11,6700.000,6714.000,6700.000,6714.000,402,402,6700.000
2019-01-14,6620.000,6620.000,6620.000,6620.000,140,542,6620.000
2019-01-17,6606.000,6641.000,6606.000,6641.000,502,1044,6606.000
2019-01-23,6808.000,6808.000,6808.000,6808.000,1200,2244,6808.000
2019-02-11,6889.000,6889.000,6889.000,6889.000,1600,644,6889.000
2019-02-13,6908.000,6908.000,6854.000,6854.000,6,644,6889.000
2019-02-15,6890.000,6890.000,6890.000,6890.000,600,1244,6890.000
2019-02-18,6898.000,6898.000,6898.000,6898.000,1000,2244,6898.000
2019-02-19,6948.000,6948.000,6948.000,6948.000,2,2244,6948.000
2019-02-25,6879.000,6889.000,6879.000,6889.000,60,2304,6886.000
2019-02-28,6829.000,6829.000,6829.000,6829.000,2,2306,6829.000
2019-03-01,7015.000,7015.000,7015.000,7015.000,2,2306,7015.000
2019-03-04,7070.000,7094.000,7070.000,7094.000,6,2310,7078.000
2019-03-06,7207.000,7207.000,7197.000,7197.000,4,2308,7202.000
2019-03-08,7277.000,7277.000,7277.000,7277.000,502,1806,7277.000
2019-03-11,7127.000,7127.000,7127.000,7127.000,100,1906,7127.000
2019-03-18,6970.000,6970.000,6967.000,6967.000,718,2624,6969.000
2019-03-19,7010.000,7010.000,7010.000,7010.000,110,2734,7010.000
2019-03-20,7016.000,7016.000,7016.000,7016.000,36,2770,7016.000
2019-03-26,6993.000,7143.000,6993.000,7028.000,1014,3780,7031.000
2019-03-28,7112.000,7112.000,7112.000,7112.000,4,3778,7112.000
2019-03-29,6900.000,6900.000,6900.000,6900.000,160,3938,6900.000
2019-04-01,6897.000,6897.000,6897.000,6897.000,746,3192,6897.000
2019-04-10,7046.000,7046.000,7045.000,7045.000,236,3428,7046.000
2019-04-11,7142.000,7142.000,7142.000,7142.000,2,3430,7142.000
2019-04-12,7167.000,7168.000,7161.000,7161.000,6,3434,7165.000
2019-04-15,7186.000,7261.000,7139.000,7190.000,32,3436,7174.000
2019-04-16,7070.000,7070.000,7070.000,7070.000,60,3496,7070.000
2019-04-19,7043.000,7086.000,7023.000,7033.000,10,3494,7043.000
2019-04-23,7065.000,7065.000,6997.000,7001.000,8,3494,7021.000
2019-04-24,6940.000,6940.000,6860.000,6861.000,12,3494,6894.000
2019-04-25,6869.000,6869.000,6869.000,6869.000,20,3514,6869.000
2019-04-26,6869.000,6869.000,6869.000,6869.000,0,3514,6869.000
2019-04-29,6869.000,6869.000,6869.000,6869.000,0,3514,6869.000
2019-04-30,6869.000,6869.000,6869.000,6869.000,0,3514,6869.000
2019-05-06,6837.000,6837.000,6837.000,6837.000,14,3514,6837.000
2019-05-07,6837.000,6937.000,6837.000,6866.000,8,3518,6877.000
2019-05-08,6941.000,6941.000,6941.000,6941.000,2,3518,6941.000
2019-05-09,6933.000,6933.000,6887.000,6887.000,402,3918,6887.000
2019-05-10,6887.000,6887.000,6887.000,6887.000,0,3918,6930.000
2019-05-13,6930.000,6930.000,6930.000,6930.000,0,3918,6935.000
2019-05-14,6935.000,6935.000,6935.000,6935.000,0,3918,6936.000
2019-05-15,6956.000,7062.000,6956.000,7002.000,20,3718,7002.000
2019-05-16,7086.000,7086.000,6989.000,6989.000,4,3718,7038.000
2019-05-17,6989.000,6989.000,6989.000,6989.000,0,3718,7038.000
2019-05-20,7038.000,7038.000,7038.000,7038.000,0,3718,7038.000
2019-05-21,7038.000,7038.000,7038.000,7038.000,0,3718,7038.000
