date,open,high,low,close,volume,open_interest,settle
2020-10-23,5578.000,5746.000,5550.000,5550.000,13,11,5618.000
2020-10-26,5550.000,5610.000,5512.000,5592.000,24,19,5540.000
2020-10-27,5618.000,5650.000,5584.000,5638.000,21,9,5610.000
2020-10-28,5606.000,5616.000,5574.000,5600.000,15,18,5608.000
2020-10-29,5410.000,6036.000,5410.000,5606.000,20,28,5656.000
2020-10-30,5514.000,5736.000,5514.000,5552.000,30,34,5648.000
2020-11-02,5552.000,5552.000,5472.000,5504.000,8,38,5510.000
2020-11-05,5718.000,5894.000,5678.000,5806.000,32,22,5732.000
2020-11-06,5808.000,5836.000,5808.000,5814.000,9,22,5826.000
2020-11-09,5888.000,5888.000,5676.000,5754.000,14,19,5804.000
2020-11-10,5804.000,5804.000,5804.000,5804.000,1,20,5804.000
2020-11-11,5868.000,5950.000,5864.000,5930.000,5,21,5908.000
2020-11-12,5980.000,5980.000,5980.000,5980.000,1,20,5980.000
2020-11-13,6002.000,6046.000,6002.000,6046.000,2,21,6024.000
2020-11-16,6026.000,6026.000,6022.000,6022.000,2,21,6024.000
2020-11-17,6008.000,6130.000,6008.000,6130.000,2,20,6068.000
2020-11-18,6140.000,6168.000,6140.000,6154.000,3,20,6154.000
2020-11-19,6200.000,6268.000,6200.000,6268.000,2,19,6234.000
2020-11-20,6166.000,6166.000,6166.000,6166.000,1,19,6166.000
2020-11-23,6106.000,6106.000,6074.000,6074.000,4,19,6090.000
2020-11-26,6060.000,6072.000,6060.000,6072.000,2,19,6066.000
2020-12-02,5960.000,5960.000,5960.000,5960.000,1,18,5960.000
2020-12-03,5852.000,5876.000,5852.000,5876.000,3,19,5860.000
2020-12-04,5966.000,5966.000,5966.000,5966.000,2,19,5966.000
2020-12-07,6028.000,6028.000,6028.000,6028.000,1,20,6028.000
2020-12-08,6024.000,6024.000,5972.000,6012.000,8,21,6000.000
2020-12-14,6064.000,6100.000,6020.000,6100.000,5,19,6068.000
2020-12-15,6136.000,6144.000,6118.000,6118.000,6,19,6132.000
2020-12-16,6198.000,6320.000,6198.000,6206.000,4,17,6230.000
2020-12-17,6208.000,6224.000,6208.000,6218.000,8,23,6218.000
2020-12-18,6220.000,6306.000,6220.000,6306.000,27,16,6246.000
2020-12-21,6318.000,6318.000,6254.000,6254.000,2,16,6286.000
2020-12-23,6180.000,6180.000,6180.000,6180.000,1,17,6180.000
2020-12-24,6314.000,6406.000,6314.000,6378.000,5,18,6348.000
2020-12-25,6306.000,6462.000,6302.000,6450.000,43,19,6394.000
2020-12-28,6426.000,6426.000,6402.000,6402.000,5,19,6406.000
2021-01-06,6654.000,6654.000,6654.000,6654.000,1,20,6654.000
2021-01-08,6672.000,6738.000,6672.000,6674.000,10,23,6686.000
2021-01-11,6708.000,6758.000,6588.000,6758.000,17,8,6644.000
2021-01-14,6400.000,6400.000,6374.000,6374.000,3,8,6380.000
2021-01-15,6248.000,6282.000,6202.000,6202.000,4,9,6252.000
2021-01-19,6216.000,6216.000,6138.000,6138.000,6,9,6180.000
2021-01-20,6184.000,6204.000,6080.000,6080.000,4,8,6142.000
2021-01-21,6112.000,6166.000,6112.000,6166.000,3,10,6132.000
2021-01-26,6124.000,6166.000,6036.000,6036.000,5,9,6090.000
2021-01-28,6230.000,6230.000,6126.000,6196.000,3,8,6184.000
2021-01-29,6256.000,6256.000,6256.000,6256.000,1,8,6256.000
2021-02-01,6278.000,6282.000,6180.000,6214.000,27,25,6210.000
2021-02-02,6128.000,6162.000,6122.000,6146.000,43,48,6144.000
2021-02-03,6038.000,6086.000,5982.000,5992.000,43,78,6004.000
2021-02-04,5950.000,6044.000,5896.000,6044.000,636,360,5976.000
2021-02-05,6008.000,6104.000,6000.000,6082.000,1327,591,6070.000
2021-02-08,6080.000,6134.000,6064.000,6078.000,2021,750,6094.000
2021-02-09,6148.000,6310.000,6148.000,6310.000,553,797,6238.000
2021-02-10,6298.000,6412.000,6260.000,6412.000,614,879,6304.000
2021-02-18,6510.000,6510.000,6412.000,6448.000,903,912,6472.000
2021-02-19,6472.000,6542.000,6442.000,6538.000,721,959,6488.000
2021-02-22,6616.000,6624.000,6522.000,6572.000,1266,889,6568.000
2021-02-23,6578.000,6728.000,6556.000,6694.000,1491,961,6656.000
2021-02-24,6602.000,6814.000,6602.000,6772.000,1889,1072,6710.000
2021-02-25,6840.000,6840.000,6694.000,6774.000,2105,1288,6762.000
2021-02-26,6846.000,6846.000,6626.000,6756.000,3206,1690,6736.000
2021-03-01,6736.000,6854.000,6736.000,6762.000,7740,6376,6780.000
2021-03-02,6752.000,6752.000,6570.000,6602.000,8140,10854,6662.000
2021-03-03,6662.000,6736.000,6558.000,6670.000,7653,13782,6658.000
2021-03-04,6658.000,6750.000,6580.000,6716.000,9944,17041,6670.000
2021-03-05,6670.000,6770.000,6608.000,6704.000,11206,18859,6704.000
2021-03-08,6704.000,7120.000,6704.000,6968.000,13903,20810,6946.000
2021-03-09,6946.000,7044.000,6836.000,6836.000,16025,21271,6978.000
2021-03-10,6976.000,6992.000,6772.000,6962.000,11234,21545,6870.000
2021-03-11,6962.000,7022.000,6846.000,6994.000,9939,21789,6928.000
2021-03-12,7078.000,7238.000,7040.000,7140.000,12253,22225,7158.000
2021-03-15,7158.000,7282.000,7060.000,7164.000,11080,23136,7182.000
2021-03-16,7182.000,7268.000,7064.000,7070.000,7610,23827,7192.000
2021-03-17,7116.000,7116.000,6938.000,7028.000,11173,24598,7006.000
2021-03-18,7006.000,7026.000,6840.000,6922.000,19653,30574,6924.000
2021-03-19,6900.000,6900.000,6740.000,6792.000,13565,30965,6792.000
2021-03-22,6792.000,6928.000,6792.000,6902.000,19039,33668,6858.000
2021-03-23,6926.000,7360.000,6926.000,7186.000,14513,34361,7162.000
2021-03-24,7162.000,7162.000,7072.000,7144.000,12026,35284,7124.000
2021-03-25,7102.000,7154.000,7052.000,7108.000,14418,35853,7106.000
2021-03-26,7088.000,7088.000,6710.000,6762.000,16752,36345,6856.000
2021-03-29,6804.000,6804.000,6600.000,6674.000,10502,38345,6700.000
2021-03-30,6740.000,6752.000,6530.000,6578.000,21755,39113,6652.000
2021-03-31,6550.000,6560.000,6408.000,6542.000,18094,39223,6508.000
2021-04-01,6620.000,6788.000,6524.000,6728.000,34642,33199,6654.000
2021-04-02,6706.000,6808.000,6670.000,6760.000,19825,32909,6732.000
2021-04-06,6732.000,6902.000,6732.000,6882.000,19045,32721,6806.000
2021-04-07,6910.000,7040.000,6866.000,6904.000,12767,32004,6958.000
2021-04-08,6900.000,6938.000,6738.000,6748.000,13905,33002,6808.000
2021-04-09,6794.000,6834.000,6730.000,6750.000,9335,33445,6788.000
2021-04-12,6736.000,6752.000,6558.000,6572.000,14511,34515,6658.000
