date,open,high,low,close,volume,open_interest,settle
2020-10-16,14495.000,14555.000,14495.000,14555.000,6,6,14540.000
2020-10-19,14525.000,14525.000,14525.000,14525.000,1,7,14525.000
2020-10-20,14570.000,14570.000,14440.000,14440.000,5,11,14490.000
2020-10-22,14570.000,14570.000,14570.000,14570.000,1,11,14570.000
2020-10-26,14440.000,14440.000,14350.000,14360.000,3,11,14380.000
2020-10-28,14490.000,14560.000,14490.000,14560.000,4,10,14540.000
2020-11-04,14440.000,14440.000,14440.000,14440.000,1,10,14440.000
2020-11-05,14445.000,14640.000,14445.000,14640.000,3,8,14510.000
2020-11-06,14440.000,14440.000,14405.000,14405.000,3,7,14425.000
2020-11-09,14550.000,14635.000,14510.000,14530.000,22,5,14585.000
2020-11-10,14580.000,14650.000,14575.000,14575.000,3,6,14600.000
2020-11-13,14760.000,14760.000,14760.000,14760.000,1,7,14760.000
2020-11-20,15275.000,15275.000,15275.000,15275.000,2,9,15275.000
2020-11-23,15345.000,15455.000,15345.000,15360.000,3,9,15385.000
2020-11-24,15350.000,15490.000,15350.000,15370.000,4,8,15390.000
2020-11-30,15585.000,15865.000,15585.000,15865.000,5,12,15770.000
2020-12-01,15525.000,15525.000,15525.000,15525.000,3,15,15525.000
2020-12-02,15570.000,15570.000,15365.000,15420.000,14,28,15415.000
2020-12-03,15325.000,15325.000,15325.000,15325.000,1,29,15325.000
2020-12-04,15300.000,15350.000,15300.000,15350.000,2,29,15325.000
2020-12-08,15460.000,15460.000,15460.000,15460.000,1,30,15460.000
2020-12-09,15575.000,15575.000,15575.000,15575.000,1,31,15575.000
2020-12-10,15585.000,15585.000,15365.000,15365.000,2,33,15475.000
2020-12-11,15600.000,15600.000,15240.000,15240.000,11,43,15435.000
2020-12-15,15240.000,15240.000,15025.000,15025.000,2,43,15130.000
2020-12-16,15070.000,15160.000,14990.000,15160.000,5,45,15040.000
2020-12-17,15225.000,15225.000,15225.000,15225.000,1,46,15225.000
2020-12-18,15220.000,15220.000,15220.000,15220.000,2,48,15220.000
2020-12-21,15060.000,15100.000,15025.000,15100.000,6,50,15045.000
2020-12-22,14615.000,14640.000,14610.000,14610.000,4,52,14620.000
2020-12-25,15065.000,15065.000,15065.000,15065.000,1,53,15065.000
2020-12-29,15175.000,15175.000,15100.000,15100.000,3,53,15150.000
2020-12-30,14980.000,15085.000,14980.000,15045.000,3,51,15035.000
2021-01-04,15155.000,15450.000,15155.000,15450.000,16,39,15355.000
2021-01-05,15380.000,15425.000,15345.000,15345.000,9,38,15375.000
2021-01-06,15250.000,15250.000,15250.000,15250.000,1,37,15250.000
2021-01-11,14975.000,14975.000,14975.000,14975.000,1,37,14975.000
2021-01-13,14860.000,15100.000,14860.000,15005.000,3,39,14995.000
2021-01-15,15135.000,15135.000,15135.000,15135.000,1,40,15135.000
2021-01-18,15215.000,15265.000,15165.000,15220.000,13,41,15210.000
2021-01-19,15150.000,15160.000,15080.000,15080.000,8,41,15135.000
2021-01-20,15205.000,15255.000,15200.000,15255.000,3,41,15220.000
2021-01-21,15320.000,15465.000,15320.000,15465.000,10,49,15385.000
2021-01-22,15385.000,15480.000,15210.000,15210.000,18,53,15305.000
2021-01-25,15330.000,15835.000,15320.000,15550.000,62,45,15530.000
2021-01-26,15460.000,15535.000,15430.000,15460.000,12,45,15465.000
2021-01-27,15630.000,15630.000,15425.000,15470.000,6,48,15565.000
2021-01-28,15340.000,15460.000,15265.000,15340.000,13,47,15385.000
2021-01-29,15420.000,15420.000,15165.000,15165.000,7,48,15225.000
2021-02-01,15205.000,15235.000,15205.000,15235.000,3,49,15225.000
2021-02-04,15145.000,15145.000,15095.000,15095.000,2,50,15120.000
2021-02-05,15270.000,15270.000,15270.000,15270.000,1,50,15270.000
2021-02-09,15385.000,15385.000,15380.000,15380.000,2,50,15380.000
2021-02-10,15435.000,15520.000,15255.000,15520.000,3,52,15400.000
2021-02-18,15510.000,15715.000,15510.000,15590.000,10,54,15600.000
2021-02-19,15715.000,15715.000,15550.000,15565.000,5,55,15610.000
2021-02-22,15725.000,15970.000,15725.000,15910.000,4,56,15900.000
