date,open,high,low,close,volume,open_interest,settle
2022-06-21,8228.000,8228.000,8228.000,8228.000,1,1,8228.000
2022-06-23,8046.000,8046.000,8046.000,8046.000,1,1,8046.000
2022-06-28,7922.000,7922.000,7922.000,7922.000,1,1,7922.000
2022-07-06,7488.000,7488.000,7488.000,7488.000,650,651,7488.000
2022-07-07,7288.000,7288.000,7288.000,7288.000,1,652,7288.000
2022-07-11,7410.000,7410.000,7410.000,7410.000,200,452,7410.000
2022-07-12,7272.000,7272.000,7272.000,7272.000,1,453,7272.000
2022-07-13,7202.000,7202.000,7012.000,7012.000,62,512,7040.000
2022-07-14,6930.000,6954.000,6930.000,6954.000,326,837,6930.000
2022-07-15,6930.000,6930.000,6868.000,6898.000,5003,5839,6930.000
2022-07-18,6898.000,6998.000,6898.000,6998.000,1501,7339,6898.000
2022-07-19,7198.000,7202.000,6936.000,6936.000,14,7349,7168.000
2022-07-20,6964.000,6964.000,6964.000,6964.000,1,7350,6964.000
2022-07-21,6964.000,7100.000,6964.000,7100.000,6510,840,6964.000
2022-07-22,6944.000,7058.000,6934.000,6982.000,6,841,6978.000
2022-07-25,7108.000,7108.000,7108.000,7108.000,1,842,7108.000
2022-07-26,7032.000,7144.000,7032.000,7144.000,2,840,7088.000
2022-07-27,7058.000,7084.000,7054.000,7054.000,5,840,7070.000
2022-07-28,7120.000,7278.000,7120.000,7278.000,5,842,7230.000
2022-07-29,7232.000,7244.000,7176.000,7190.000,8,843,7212.000
2022-08-01,7164.000,7182.000,7160.000,7182.000,3,845,7170.000
2022-08-02,7104.000,7104.000,7104.000,7104.000,1,845,7104.000
2022-08-03,7148.000,7210.000,7148.000,7210.000,2,844,7180.000
2022-08-04,7236.000,7236.000,7236.000,7236.000,1,844,7236.000
2022-08-05,6996.000,6996.000,6862.000,6862.000,12,845,6930.000
2022-08-08,6854.000,6992.000,6842.000,6992.000,5,848,6886.000
2022-08-09,7012.000,7012.000,7010.000,7010.000,3,850,7012.000
2022-08-10,7046.000,7046.000,6986.000,6986.000,3,848,7022.000
2022-08-12,7106.000,7106.000,7106.000,7106.000,1,847,7106.000
2022-08-15,7064.000,7128.000,7052.000,7080.000,25,857,7082.000
2022-08-16,6940.000,6972.000,6940.000,6968.000,206,1060,6972.000
2022-08-17,6890.000,6904.000,6890.000,6890.000,9,1067,6894.000
2022-08-18,6874.000,6930.000,6870.000,6888.000,186,886,6888.000
2022-08-19,6888.000,6888.000,6794.000,6800.000,1026,1904,6888.000
2022-08-22,6888.000,6888.000,6806.000,6870.000,1022,2912,6888.000
2022-08-23,6820.000,6974.000,6820.000,6950.000,50,2877,6890.000
2022-08-24,6998.000,7046.000,6982.000,7030.000,10,2871,7014.000
2022-08-25,6972.000,7060.000,6972.000,7060.000,2,2871,7016.000
2022-08-26,7010.000,7010.000,6956.000,6956.000,2,2872,6984.000
2022-08-29,7010.000,7010.000,6858.000,6872.000,11,2873,6940.000
2022-08-30,6940.000,6970.000,6908.000,6910.000,10,2874,6944.000
2022-08-31,6876.000,6928.000,6852.000,6928.000,6,2875,6886.000
2022-09-01,6904.000,6976.000,6872.000,6956.000,27,2867,6906.000
2022-09-02,6832.000,6842.000,6802.000,6808.000,16,2880,6820.000
2022-09-05,7010.000,7082.000,7002.000,7050.000,11,2879,7038.000
2022-09-06,7122.000,7122.000,7000.000,7086.000,387,2501,7110.000
2022-09-07,7054.000,7054.000,6940.000,6946.000,9,2502,7000.000
2022-09-08,6898.000,6966.000,6892.000,6966.000,4,2503,6926.000
2022-09-09,6974.000,7070.000,6972.000,7062.000,7,2501,7012.000
2022-09-13,7180.000,7190.000,7150.000,7190.000,6,2498,7172.000
2022-09-14,7192.000,7202.000,7166.000,7166.000,4,2497,7186.000
2022-09-15,7222.000,7222.000,7222.000,7222.000,1,2496,7222.000
2022-09-16,7038.000,7070.000,7030.000,7070.000,4,2498,7050.000
2022-09-20,6988.000,6988.000,6942.000,6942.000,2,2499,6966.000
2022-09-21,6988.000,7054.000,6988.000,7054.000,53,2448,6990.000
2022-09-22,7012.000,7030.000,6992.000,7030.000,5,2449,7008.000
2022-09-23,7064.000,7094.000,6996.000,6996.000,3,2449,7052.000
2022-09-26,6936.000,6960.000,6834.000,6840.000,23,2444,6918.000
2022-09-27,6844.000,6850.000,6794.000,6794.000,6,2445,6834.000
2022-09-28,6804.000,6824.000,6734.000,6734.000,38,2469,6780.000
2022-09-29,6772.000,6880.000,6772.000,6844.000,24,2469,6816.000
