date,open,high,low,close,volume,open_interest,settle
2026-01-29,4300.000,4300.000,4293.000,4293.000,2,2,4296.000
2026-01-30,4355.000,4456.000,4297.000,4297.000,3,2,4369.000
2026-02-02,4320.000,4362.000,4204.000,4204.000,6,5,4256.000
2026-02-03,4158.000,4183.000,4158.000,4160.000,5,5,4164.000
2026-02-05,4182.000,4182.000,4151.000,4151.000,2,6,4166.000
2026-02-10,4202.000,4202.000,4202.000,4202.000,1,6,4202.000
2026-02-11,4200.000,4220.000,4200.000,4220.000,4,5,4214.000
2026-02-12,4245.000,4245.000,4245.000,4245.000,2,5,4245.000
2026-02-24,4270.000,4280.000,4270.000,4270.000,6,7,4277.000
2026-02-25,4220.000,4252.000,4220.000,4252.000,9,11,4266.000
2026-02-26,4219.000,4219.000,4213.000,4213.000,2,11,4216.000
2026-02-27,4250.000,4250.000,4250.000,4250.000,4,13,4261.000
2026-03-02,4456.000,4510.000,4381.000,4510.000,43,28,4445.000
2026-03-03,4510.000,4711.000,4510.000,4706.000,34,30,4644.000
2026-03-04,4922.000,4922.000,4600.000,4841.000,63,40,4780.000
2026-03-05,4857.000,4900.000,4848.000,4900.000,5,42,4862.000
2026-03-06,4701.000,4799.000,4578.000,4799.000,37,42,4704.000
2026-03-09,4900.000,4986.000,4856.000,4986.000,60,60,4949.000
2026-03-10,5086.000,5086.000,4653.000,4792.000,83,57,4785.000
2026-03-11,4785.000,4896.000,4708.000,4847.000,39,57,4779.000
2026-03-12,4819.000,5065.000,4819.000,4998.000,91,72,4995.000
2026-03-13,4966.000,5075.000,4927.000,5066.000,23,71,5020.000
2026-03-16,5041.000,5177.000,4928.000,5177.000,57,68,5105.000
2026-03-17,5078.000,5184.000,5070.000,5184.000,15,66,5124.000
2026-03-18,5072.000,5072.000,5050.000,5050.000,11,63,5057.000
2026-03-19,5269.000,5360.000,5151.000,5360.000,54,64,5343.000
2026-03-20,5660.000,5780.000,5429.000,5585.000,195,124,5583.000
2026-03-23,5636.000,5917.000,5536.000,5917.000,153,141,5814.000
2026-03-24,5466.000,5989.000,5466.000,5781.000,249,127,5731.000
2026-03-25,5970.000,5970.000,5284.000,5632.000,349,196,5581.000
2026-03-26,5568.000,5689.000,5353.000,5608.000,127,165,5522.000
2026-03-27,5791.000,5836.000,5673.000,5836.000,218,134,5718.000
2026-03-30,5921.000,5921.000,5722.000,5762.000,50,133,5831.000
2026-03-31,5792.000,5792.000,5550.000,5660.000,67,139,5626.000
2026-04-01,5663.000,5728.000,5303.000,5303.000,93,134,5554.000
2026-04-02,5458.000,5595.000,5338.000,5595.000,30,135,5486.000
2026-04-03,5700.000,5700.000,5444.000,5492.000,51,143,5527.000
2026-04-07,5598.000,5750.000,5560.000,5673.000,49,134,5676.000
2026-04-08,5719.000,5719.000,5166.000,5166.000,105,137,5272.000
2026-04-09,4940.000,5187.000,4900.000,5160.000,87,106,5094.000
2026-04-10,5150.000,5150.000,5052.000,5100.000,14,105,5095.000
2026-04-13,5021.000,5269.000,4989.000,5180.000,46,107,5122.000
2026-04-14,5161.000,5161.000,4950.000,5103.000,23,107,5084.000
2026-04-15,5012.000,5140.000,5000.000,5100.000,32,108,5075.000
2026-04-16,5124.000,5139.000,5088.000,5139.000,27,103,5114.000
2026-04-17,5141.000,5145.000,5088.000,5088.000,16,105,5120.000
2026-04-20,5001.000,5146.000,4960.000,5068.000,88,127,5078.000
2026-04-21,5000.000,5050.000,4985.000,5050.000,43,113,5005.000
2026-04-22,5041.000,5085.000,5038.000,5065.000,13,111,5060.000
2026-04-23,5120.000,5200.000,5099.000,5200.000,18,109,5127.000
2026-04-24,5189.000,5365.000,5189.000,5308.000,32,101,5298.000
2026-04-27,5252.000,5307.000,5252.000,5300.000,13,100,5273.000
2026-04-28,5333.000,5553.000,5333.000,5525.000,53,80,5437.000
2026-04-29,5525.000,5538.000,5497.000,5497.000,18,77,5523.000
2026-04-30,5545.000,5776.000,5545.000,5647.000,22,71,5659.000
2026-05-06,5566.000,5652.000,5501.000,5644.000,20,70,5609.000
2026-05-07,5525.000,5528.000,5366.000,5429.000,61,78,5450.000
2026-05-08,5368.000,5420.000,5349.000,5369.000,45,80,5391.000
2026-05-11,5386.000,5499.000,5386.000,5497.000,46,76,5469.000
2026-05-12,5554.000,5668.000,5522.000,5668.000,54,99,5598.000
2026-05-13,5694.000,5710.000,5624.000,5624.000,23,100,5673.000
2026-05-14,5647.000,5647.000,5486.000,5486.000,52,98,5567.000
2026-05-15,5486.000,5625.000,5486.000,5625.000,29,97,5583.000
2026-05-18,5643.000,5726.000,5639.000,5675.000,31,102,5683.000
2026-05-19,5616.000,5688.000,5615.000,5688.000,33,96,5645.000
2026-05-20,5740.000,5750.000,5633.000,5633.000,31,94,5705.000
