date,open,high,low,close,volume,open_interest,settle
2026-05-20,8290.000,8290.000,8290.000,8290.000,1,1,8290.000
2026-05-21,8224.000,8224.000,8224.000,8224.000,5,6,8224.000
2026-05-26,8260.000,8260.000,8204.000,8204.000,2,7,8232.000
2026-05-27,8256.000,8256.000,8256.000,8256.000,1,8,8256.000
2026-05-28,8250.000,8250.000,8250.000,8250.000,1,8,8250.000
2026-05-29,8236.000,8236.000,8210.000,8220.000,6,10,8226.000
2026-06-01,8192.000,8232.000,8188.000,8230.000,6,11,8206.000
2026-06-02,8262.000,8272.000,8224.000,8224.000,13,11,8252.000
2026-06-03,8250.000,8302.000,8242.000,8248.000,22,11,8274.000
2026-06-05,8294.000,8322.000,8290.000,8300.000,11,14,8298.000
2026-06-08,8320.000,8408.000,8320.000,8388.000,30,25,8368.000
2026-06-09,8388.000,8406.000,8374.000,8396.000,16,38,8394.000
2026-06-10,8398.000,8468.000,8398.000,8448.000,24,52,8434.000
2026-06-11,8446.000,8476.000,8444.000,8464.000,28,76,8456.000
2026-06-12,8452.000,8520.000,8452.000,8516.000,56,118,8494.000
2026-06-15,8482.000,8526.000,8422.000,8452.000,156,174,8448.000
2026-06-16,8436.000,8450.000,8400.000,8400.000,18,165,8428.000
2026-06-17,8396.000,8442.000,8396.000,8442.000,9,166,8424.000
2026-06-18,8410.000,8438.000,8384.000,8392.000,75,124,8412.000
2026-06-22,8410.000,8410.000,8354.000,8356.000,13,122,8384.000
2026-06-23,8370.000,8372.000,8370.000,8372.000,11,117,8372.000
2026-06-24,8380.000,8414.000,8372.000,8406.000,7,118,8392.000
2026-06-25,8370.000,8412.000,8366.000,8400.000,15,128,8390.000
2026-06-26,8412.000,8436.000,8408.000,8422.000,15,134,8426.000
2026-06-29,8464.000,8476.000,8446.000,8476.000,19,144,8468.000
2026-06-30,8502.000,8614.000,8454.000,8522.000,192,212,8516.000
2026-07-01,8530.000,8584.000,8512.000,8580.000,124,291,8540.000
2026-07-02,8592.000,8592.000,8482.000,8510.000,132,309,8538.000
2026-07-03,8504.000,8514.000,8472.000,8476.000,89,362,8492.000
2026-07-06,8474.000,8510.000,8452.000,8478.000,89,344,8484.000
2026-07-07,8462.000,8462.000,8386.000,8390.000,30,348,8418.000
2026-07-08,8392.000,8420.000,8350.000,8354.000,64,362,8396.000
2026-07-09,8372.000,8396.000,8320.000,8370.000,121,372,8370.000
2026-07-10,8378.000,8442.000,8378.000,8436.000,42,365,8400.000
2026-07-13,8438.000,8450.000,8400.000,8400.000,37,362,8430.000
2026-07-14,8408.000,8408.000,8386.000,8386.000,24,358,8394.000
2026-07-15,8418.000,8418.000,8320.000,8334.000,77,348,8344.000
2026-07-16,8304.000,8324.000,8290.000,8296.000,76,383,8306.000
2026-07-17,8312.000,8328.000,8270.000,8296.000,52,379,8302.000
2026-07-20,8292.000,8308.000,8250.000,8260.000,48,398,8274.000
2026-07-21,8250.000,8330.000,8242.000,8330.000,40,419,8276.000
2026-07-22,8308.000,8322.000,8282.000,8300.000,29,412,8302.000
2026-07-23,8304.000,8310.000,8300.000,8310.000,19,410,8306.000
2026-07-24,8312.000,8324.000,8294.000,8316.000,8,414,8314.000
2026-07-27,8306.000,8360.000,8302.000,8360.000,9,412,8328.000
2026-07-28,8328.000,8328.000,8294.000,8304.000,9,410,8306.000
2026-07-29,8302.000,8334.000,8302.000,8330.000,11,415,8320.000
2026-07-30,8330.000,8330.000,8264.000,8264.000,28,410,8280.000
2026-07-31,8264.000,8320.000,8232.000,8232.000,31,411,8256.000
2026-08-03,8218.000,8244.000,8156.000,8168.000,134,448,8188.000
2026-08-04,8172.000,8218.000,8170.000,8210.000,39,450,8192.000
2026-08-05,8200.000,8224.000,8200.000,8222.000,16,451,8214.000
2026-08-06,8224.000,8224.000,8204.000,8206.000,3,451,8212.000
2026-08-07,8220.000,8236.000,8216.000,8236.000,17,459,8226.000
2026-08-10,8246.000,8248.000,8236.000,8236.000,6,462,8246.000
2026-08-11,8224.000,8260.000,8218.000,8260.000,35,474,8244.000
2026-08-12,8250.000,8266.000,8244.000,8260.000,22,481,8258.000
2026-08-13,8244.000,8244.000,8192.000,8220.000,12,478,8228.000
2026-08-14,8228.000,8288.000,8218.000,8282.000,41,489,8262.000
2026-08-17,8300.000,8320.000,8282.000,8282.000,46,501,8308.000
2026-08-18,8302.000,8302.000,8260.000,8282.000,64,530,8288.000
2026-08-19,8274.000,8352.000,8242.000,8266.000,104,571,8274.000
2026-08-20,8286.000,8300.000,8270.000,8288.000,62,589,8282.000
2026-08-21,8256.000,8362.000,8248.000,8330.000,358,561,8308.000
2026-08-24,8350.000,8370.000,8294.000,8302.000,162,571,8324.000
2026-08-25,8282.000,8282.000,8120.000,8230.000,175,529,8204.000
2026-08-26,8234.000,8240.000,8198.000,8200.000,28,529,8226.000
2026-08-27,8274.000,8274.000,8198.000,8210.000,56,537,8212.000
2026-08-28,8212.000,8290.000,8212.000,8288.000,48,546,8262.000
2026-08-31,8280.000,8312.000,8248.000,8294.000,117,605,8300.000
2026-09-01,8294.000,8344.000,8290.000,8334.000,103,635,8328.000
2026-09-02,8334.000,8358.000,8302.000,8324.000,129,626,8338.000
2026-09-03,8336.000,8370.000,8320.000,8332.000,68,611,8332.000
2026-09-04,8328.000,8354.000,8318.000,8354.000,39,610,8342.000
