date,open,high,low,close,volume,open_interest,settle
2026-04-16,39800.000,41000.000,38550.000,39000.000,240,170,39680.000
2026-04-17,38030.000,38120.000,37200.000,37895.000,283,336,37785.000
2026-04-20,39500.000,41185.000,38000.000,41080.000,416,528,39925.000
2026-04-21,40600.000,42290.000,40125.000,40995.000,777,891,41200.000
2026-04-22,40700.000,44465.000,40700.000,43980.000,163,881,42790.000
2026-04-23,44880.000,44960.000,42400.000,43460.000,184,959,43330.000
2026-04-24,42425.000,42430.000,39435.000,39435.000,420,1048,40615.000
2026-04-27,39980.000,40325.000,39300.000,39700.000,204,1102,39830.000
2026-04-28,39500.000,40060.000,38630.000,39660.000,207,1106,39315.000
2026-04-29,39365.000,40480.000,39365.000,39900.000,187,1170,39850.000
2026-04-30,39915.000,40415.000,39520.000,40165.000,68,1167,40080.000
2026-05-06,41030.000,41630.000,40065.000,41330.000,105,1161,41105.000
2026-05-07,42025.000,44490.000,42025.000,42475.000,185,1131,42970.000
2026-05-08,42585.000,42585.000,40850.000,40895.000,156,1174,41440.000
2026-05-11,41110.000,41110.000,40605.000,40605.000,37,1160,40740.000
2026-05-12,40100.000,40100.000,39090.000,39200.000,336,1129,39660.000
2026-05-13,39765.000,40110.000,38720.000,39785.000,101,1127,39375.000
2026-05-14,40095.000,40885.000,39315.000,39835.000,141,1125,40100.000
2026-05-15,39465.000,40455.000,39465.000,39505.000,59,1132,39865.000
2026-05-18,39150.000,40100.000,39150.000,39350.000,87,1120,39580.000
2026-05-19,39150.000,39570.000,39100.000,39570.000,49,1149,39225.000
2026-05-20,38740.000,40530.000,38520.000,39485.000,145,1155,39295.000
2026-05-21,39435.000,40775.000,39245.000,39310.000,119,1117,39880.000
2026-05-22,39600.000,39735.000,39350.000,39665.000,49,1119,39585.000
2026-05-25,40065.000,40100.000,39515.000,40100.000,24,1115,39875.000
2026-05-26,40035.000,40300.000,40035.000,40190.000,17,1113,40195.000
2026-05-27,39745.000,39745.000,38820.000,39195.000,106,1152,39210.000
2026-05-28,39200.000,40310.000,39200.000,39720.000,82,1147,39655.000
2026-05-29,39665.000,39990.000,39505.000,39790.000,68,1161,39840.000
2026-06-01,39840.000,42165.000,39840.000,41745.000,757,1044,41185.000
2026-06-02,41185.000,42150.000,41185.000,41410.000,135,1018,41640.000
2026-06-03,41640.000,41640.000,40000.000,40005.000,294,1077,40765.000
2026-06-04,39765.000,40115.000,39010.000,39200.000,122,1116,39750.000
2026-06-05,39005.000,39090.000,38465.000,39090.000,184,1196,38730.000
2026-06-08,38555.000,39000.000,38415.000,38440.000,108,1209,38570.000
2026-06-09,38405.000,38405.000,36760.000,37010.000,267,1281,37185.000
2026-06-10,37260.000,38695.000,36150.000,38695.000,211,1274,36930.000
