date,open,high,low,close,volume,open_interest,settle
2025-04-07,6392.000,6662.000,6360.000,6360.000,9,8,6436.000
2025-04-08,6416.000,6556.000,6222.000,6236.000,47,34,6384.000
2025-04-09,6126.000,6168.000,5936.000,5968.000,51,44,6022.000
2025-04-10,6020.000,6250.000,5696.000,6244.000,29,52,6028.000
2025-04-11,6108.000,6146.000,6108.000,6144.000,13,45,6122.000
2025-04-15,6156.000,6156.000,6128.000,6128.000,7,41,6144.000
2025-04-17,6170.000,6180.000,6150.000,6150.000,4,43,6164.000
2025-04-18,6088.000,6088.000,5732.000,6088.000,23,32,6010.000
2025-04-21,6070.000,6132.000,6026.000,6128.000,15,22,6092.000
2025-04-25,6180.000,6180.000,6158.000,6158.000,3,20,6172.000
2025-04-28,6200.000,6330.000,6200.000,6286.000,7,17,6282.000
2025-04-29,6296.000,6296.000,6254.000,6256.000,3,18,6270.000
2025-04-30,6194.000,6210.000,6192.000,6210.000,4,15,6202.000
2025-05-06,6098.000,6098.000,6098.000,6098.000,1,15,6098.000
2025-05-07,6228.000,6236.000,6190.000,6236.000,3,15,6218.000
2025-05-08,6324.000,6324.000,6324.000,6324.000,1,15,6324.000
2025-05-12,6472.000,6548.000,6472.000,6544.000,7,13,6526.000
2025-05-13,6504.000,6524.000,6480.000,6524.000,4,12,6504.000
2025-05-14,6680.000,6752.000,6680.000,6752.000,4,14,6734.000
2025-05-15,6744.000,6832.000,6744.000,6832.000,3,16,6778.000
2025-05-16,6700.000,6700.000,6698.000,6698.000,3,16,6700.000
2025-05-19,6700.000,6700.000,6460.000,6460.000,20,16,6636.000
2025-05-20,6508.000,6558.000,6498.000,6556.000,12,18,6520.000
2025-05-21,6524.000,6526.000,6524.000,6526.000,2,19,6526.000
2025-05-22,6548.000,6548.000,6508.000,6508.000,5,21,6530.000
2025-05-23,6500.000,6500.000,6500.000,6500.000,1,21,6500.000
2025-05-26,6516.000,6550.000,6512.000,6512.000,5,19,6524.000
2025-05-27,6430.000,6430.000,6410.000,6410.000,2,18,6420.000
2025-05-28,6442.000,6442.000,6382.000,6382.000,2,16,6412.000
2025-05-30,6402.000,6402.000,6392.000,6402.000,6,18,6400.000
