date,open,high,low,close,volume,open_interest,settle
2018-06-19,3469.000,3562.000,3432.000,3451.000,32,28,3456.000
2018-06-20,3425.000,3480.000,3425.000,3480.000,68,50,3456.000
2018-06-21,3474.000,3509.000,3468.000,3478.000,146,160,3489.000
2018-06-22,3469.000,3477.000,3451.000,3460.000,126,202,3458.000
2018-06-25,3463.000,3465.000,3429.000,3430.000,122,284,3442.000
2018-06-26,3414.000,3414.000,3354.000,3381.000,170,342,3379.000
2018-06-27,3371.000,3397.000,3363.000,3366.000,288,456,3376.000
2018-06-28,3376.000,3429.000,3376.000,3416.000,246,438,3404.000
2018-06-29,3412.000,3450.000,3412.000,3450.000,170,444,3429.000
2018-07-02,3454.000,3455.000,3377.000,3380.000,274,608,3416.000
2018-07-03,3390.000,3400.000,3384.000,3387.000,114,648,3390.000
2018-07-04,3400.000,3425.000,3400.000,3405.000,150,656,3409.000
2018-07-05,3418.000,3418.000,3374.000,3387.000,614,744,3400.000
2018-07-06,3399.000,3402.000,3351.000,3379.000,282,802,3376.000
2018-07-09,3359.000,3398.000,3359.000,3398.000,256,776,3378.000
2018-07-10,3411.000,3430.000,3406.000,3429.000,280,736,3417.000
2018-07-11,3438.000,3472.000,3424.000,3457.000,466,686,3452.000
2018-07-12,3471.000,3551.000,3455.000,3541.000,690,636,3503.000
2018-07-13,3534.000,3620.000,3531.000,3585.000,676,588,3578.000
2018-07-16,3569.000,3578.000,3521.000,3521.000,174,656,3556.000
2018-07-17,3515.000,3523.000,3475.000,3505.000,252,702,3503.000
2018-07-18,3510.000,3519.000,3494.000,3507.000,92,708,3506.000
2018-07-19,3515.000,3554.000,3515.000,3529.000,214,736,3538.000
2018-07-20,3512.000,3544.000,3503.000,3533.000,136,788,3522.000
2018-07-23,3524.000,3587.000,3519.000,3583.000,220,734,3557.000
2018-07-24,3593.000,3623.000,3583.000,3584.000,196,694,3600.000
2018-07-25,3591.000,3656.000,3591.000,3656.000,230,570,3635.000
2018-07-26,3664.000,3718.000,3658.000,3708.000,386,576,3680.000
2018-07-27,3717.000,3780.000,3710.000,3769.000,356,632,3752.000
2018-07-30,3777.000,3809.000,3760.000,3789.000,144,612,3784.000
2018-07-31,3782.000,3800.000,3758.000,3787.000,204,556,3775.000
2018-08-01,3792.000,3814.000,3735.000,3735.000,308,598,3777.000
2018-08-02,3720.000,3772.000,3703.000,3772.000,182,598,3730.000
2018-08-03,3781.000,3818.000,3776.000,3803.000,176,570,3800.000
2018-08-06,3813.000,3875.000,3755.000,3868.000,210,580,3818.000
2018-08-07,3880.000,3915.000,3863.000,3898.000,254,558,3890.000
2018-08-08,3895.000,3921.000,3882.000,3889.000,90,578,3894.000
2018-08-09,3871.000,3894.000,3845.000,3894.000,108,610,3870.000
2018-08-10,3902.000,3918.000,3843.000,3843.000,104,594,3886.000
2018-08-13,3824.000,3936.000,3824.000,3936.000,118,602,3879.000
2018-08-14,3942.000,3954.000,3904.000,3904.000,70,606,3938.000
2018-08-15,3913.000,3935.000,3904.000,3921.000,60,622,3924.000
2018-08-16,3915.000,3915.000,3840.000,3899.000,128,668,3885.000
2018-08-17,3920.000,4015.000,3885.000,3998.000,148,686,3949.000
2018-08-20,3996.000,4110.000,3988.000,4091.000,420,650,4046.000
2018-08-21,4086.000,4102.000,4037.000,4040.000,120,656,4068.000
2018-08-22,4037.000,4141.000,4034.000,4106.000,220,650,4095.000
2018-08-23,4100.000,4104.000,4030.000,4043.000,146,692,4063.000
2018-08-24,4027.000,4078.000,4014.000,4074.000,138,734,4036.000
2018-08-27,4081.000,4081.000,3962.000,3962.000,154,698,4020.000
2018-08-28,3970.000,3997.000,3960.000,3981.000,30,694,3975.000
2018-08-29,3987.000,3993.000,3900.000,3900.000,76,714,3957.000
2018-08-30,3884.000,3884.000,3824.000,3824.000,70,734,3857.000
2018-08-31,3845.000,3845.000,3772.000,3798.000,244,854,3800.000
2018-09-03,3800.000,3814.000,3762.000,3787.000,108,906,3791.000
2018-09-04,3801.000,3814.000,3762.000,3794.000,28,914,3800.000
2018-09-05,3773.000,3788.000,3761.000,3770.000,60,946,3774.000
2018-09-06,3786.000,3805.000,3761.000,3770.000,60,946,3792.000
2018-09-07,3821.000,3885.000,3814.000,3832.000,108,984,3857.000
2018-09-10,3862.000,3913.000,3859.000,3879.000,136,1044,3871.000
2018-09-11,3817.000,3836.000,3734.000,3734.000,240,1060,3793.000
2018-09-12,3731.000,3776.000,3677.000,3705.000,228,1196,3725.000
2018-09-13,3688.000,3776.000,3688.000,3767.000,86,1196,3738.000
2018-09-14,3766.000,3811.000,3766.000,3789.000,30,1184,3781.000
2018-09-17,3791.000,3802.000,3777.000,3777.000,40,1186,3782.000
2018-09-18,3804.000,3818.000,3772.000,3812.000,70,1180,3797.000
2018-09-19,3845.000,3864.000,3822.000,3829.000,104,1216,3854.000
2018-09-20,3849.000,3868.000,3818.000,3840.000,76,1242,3840.000
2018-09-21,3836.000,3856.000,3825.000,3856.000,48,1264,3835.000
2018-09-25,3828.000,3829.000,3760.000,3760.000,52,1286,3788.000
2018-09-26,3756.000,3775.000,3742.000,3759.000,88,1338,3750.000
2018-09-27,3777.000,3777.000,3705.000,3715.000,78,1348,3736.000
2018-09-28,3687.000,3690.000,3650.000,3688.000,92,1362,3673.000
2018-10-08,3689.000,3689.000,3634.000,3675.000,72,1388,3651.000
2018-10-09,3678.000,3724.000,3672.000,3724.000,42,1396,3694.000
2018-10-10,3741.000,3768.000,3711.000,3761.000,92,1450,3748.000
2018-10-11,3734.000,3771.000,3698.000,3760.000,184,1542,3746.000
2018-10-12,3765.000,3813.000,3756.000,3799.000,76,1520,3788.000
2018-10-15,3797.000,3801.000,3777.000,3800.000,60,1528,3791.000
2018-10-16,3804.000,3804.000,3772.000,3777.000,40,1532,3791.000
2018-10-17,3772.000,3808.000,3756.000,3808.000,154,1604,3773.000
2018-10-18,3812.000,3819.000,3781.000,3788.000,78,1576,3803.000
2018-10-19,3743.000,3769.000,3717.000,3717.000,80,1610,3747.000
2018-10-22,3731.000,3792.000,3722.000,3781.000,70,1620,3745.000
2018-10-23,3782.000,3792.000,3722.000,3781.000,70,1620,3745.000
2018-10-24,3787.000,3794.000,3779.000,3794.000,12,1596,3787.000
2018-10-25,3796.000,3802.000,3758.000,3758.000,30,1602,3782.000
2018-10-26,3795.000,3818.000,3793.000,3800.000,46,1608,3804.000
2018-10-29,3804.000,3837.000,3745.000,3755.000,266,1602,3778.000
2018-10-30,3753.000,3765.000,3746.000,3746.000,22,1604,3756.000
2018-10-31,3689.000,3765.000,3689.000,3746.000,22,1604,3756.000
2018-11-01,3701.000,3705.000,3630.000,3630.000,64,1608,3677.000
2018-11-02,3624.000,3634.000,3622.000,3624.000,32,1616,3625.000
2018-11-05,3650.000,3670.000,3617.000,3670.000,830,1674,3626.000
2018-11-06,3618.000,3670.000,3605.000,3605.000,8,1678,3618.000
2018-11-07,3553.000,3553.000,3519.000,3536.000,48,1696,3528.000
2018-11-08,3539.000,3548.000,3480.000,3548.000,184,1636,3511.000
2018-11-09,3554.000,3554.000,3519.000,3527.000,36,1620,3533.000
2018-11-12,3489.000,3489.000,3418.000,3461.000,40,1630,3462.000
2018-11-13,3471.000,3478.000,3453.000,3462.000,36,1640,3460.000
2018-11-14,3478.000,3490.000,3475.000,3488.000,18,1644,3484.000
2018-11-15,3521.000,3524.000,3446.000,3446.000,42,1656,3507.000
2018-11-16,3481.000,3518.000,3468.000,3486.000,56,1644,3493.000
2018-11-19,3481.000,3544.000,3461.000,3494.000,80,1642,3495.000
2018-11-20,3517.000,3520.000,3440.000,3440.000,88,1644,3453.000
2018-11-21,3440.000,3470.000,3386.000,3470.000,46,1644,3440.000
2018-11-22,3478.000,3478.000,3432.000,3453.000,58,1634,3462.000
