date,open,high,low,close,volume,open_interest,settle
2024-11-15,2508.000,2508.000,2399.000,2401.000,982,659,2447.000
2024-11-18,2410.000,2429.000,2407.000,2426.000,302,770,2418.000
2024-11-19,2438.000,2438.000,2417.000,2423.000,119,801,2427.000
2024-11-20,2424.000,2429.000,2410.000,2421.000,173,776,2420.000
2024-11-21,2415.000,2419.000,2397.000,2399.000,338,934,2407.000
2024-11-22,2404.000,2404.000,2350.000,2351.000,1060,1303,2369.000
2024-11-25,2358.000,2379.000,2345.000,2370.000,432,1411,2368.000
2024-11-26,2372.000,2388.000,2351.000,2354.000,1805,1626,2371.000
2024-11-27,2353.000,2370.000,2353.000,2367.000,377,1642,2365.000
2024-11-28,2371.000,2376.000,2361.000,2369.000,273,1697,2368.000
2024-11-29,2371.000,2380.000,2362.000,2376.000,352,1775,2370.000
2024-12-02,2379.000,2382.000,2360.000,2360.000,398,1824,2373.000
2024-12-03,2360.000,2369.000,2321.000,2347.000,785,1974,2348.000
2024-12-04,2344.000,2354.000,2290.000,2294.000,717,2183,2316.000
2024-12-05,2289.000,2293.000,2254.000,2263.000,746,2386,2269.000
2024-12-06,2260.000,2265.000,2242.000,2250.000,703,2628,2252.000
2024-12-09,2254.000,2295.000,2243.000,2293.000,865,2874,2265.000
2024-12-10,2299.000,2317.000,2282.000,2302.000,1660,3019,2303.000
2024-12-11,2302.000,2317.000,2292.000,2297.000,831,3048,2302.000
2024-12-12,2299.000,2305.000,2282.000,2290.000,651,2990,2296.000
2024-12-13,2286.000,2289.000,2262.000,2281.000,673,2958,2278.000
2024-12-16,2272.000,2317.000,2265.000,2307.000,1366,2868,2291.000
2024-12-17,2305.000,2316.000,2278.000,2280.000,605,2989,2291.000
2024-12-18,2276.000,2283.000,2232.000,2246.000,1038,3069,2259.000
2024-12-19,2250.000,2273.000,2233.000,2268.000,894,3127,2254.000
2024-12-20,2267.000,2352.000,2266.000,2342.000,2331,3157,2319.000
2024-12-23,2354.000,2363.000,2326.000,2338.000,1235,3435,2340.000
2024-12-24,2335.000,2344.000,2326.000,2343.000,839,3514,2335.000
2024-12-25,2345.000,2379.000,2335.000,2366.000,1216,3566,2356.000
2024-12-26,2369.000,2376.000,2347.000,2373.000,622,3514,2362.000
2024-12-27,2377.000,2392.000,2366.000,2366.000,1689,3820,2379.000
2024-12-30,2369.000,2383.000,2360.000,2372.000,984,3972,2371.000
2024-12-31,2377.000,2399.000,2371.000,2397.000,1162,4024,2389.000
2025-01-02,2400.000,2421.000,2391.000,2395.000,1141,3992,2409.000
2025-01-03,2396.000,2403.000,2349.000,2361.000,1999,4149,2383.000
2025-01-06,2353.000,2388.000,2340.000,2360.000,2484,4843,2360.000
2025-01-07,2365.000,2369.000,2303.000,2310.000,2549,5437,2318.000
2025-01-08,2309.000,2326.000,2285.000,2286.000,1615,5890,2300.000
2025-01-09,2283.000,2292.000,2264.000,2267.000,1981,6495,2276.000
2025-01-10,2273.000,2293.000,2270.000,2289.000,2664,5950,2283.000
2025-01-13,2290.000,2358.000,2281.000,2353.000,2162,6321,2334.000
2025-01-14,2359.000,2394.000,2351.000,2373.000,1941,6531,2371.000
2025-01-15,2371.000,2413.000,2367.000,2407.000,1824,6922,2393.000
2025-01-16,2405.000,2425.000,2366.000,2380.000,2557,7390,2389.000
2025-01-17,2381.000,2401.000,2358.000,2395.000,1880,7595,2377.000
2025-01-20,2393.000,2396.000,2356.000,2388.000,4477,8454,2377.000
2025-01-21,2390.000,2403.000,2372.000,2384.000,3947,8485,2388.000
2025-01-22,2387.000,2391.000,2368.000,2382.000,2226,9032,2380.000
2025-01-23,2382.000,2396.000,2372.000,2374.000,2295,9488,2383.000
2025-01-24,2378.000,2407.000,2365.000,2394.000,2129,9251,2390.000
2025-01-27,2391.000,2395.000,2343.000,2372.000,3269,9147,2370.000
2025-02-05,2402.000,2425.000,2395.000,2421.000,5079,10650,2413.000
2025-02-06,2421.000,2436.000,2385.000,2394.000,5123,10615,2407.000
2025-02-07,2397.000,2407.000,2379.000,2395.000,6214,10239,2393.000
2025-02-10,2393.000,2439.000,2382.000,2419.000,7495,9594,2421.000
2025-02-11,2420.000,2453.000,2419.000,2441.000,2694,9516,2438.000
2025-02-12,2444.000,2450.000,2407.000,2417.000,3732,10023,2422.000
2025-02-13,2417.000,2419.000,2388.000,2406.000,1681,10077,2404.000
2025-02-14,2404.000,2433.000,2397.000,2424.000,2382,9873,2418.000
2025-02-17,2428.000,2433.000,2389.000,2390.000,1980,10110,2406.000
2025-02-18,2392.000,2433.000,2392.000,2413.000,2537,9894,2414.000
2025-02-19,2416.000,2456.000,2416.000,2455.000,3369,10318,2446.000
2025-02-20,2452.000,2466.000,2437.000,2466.000,2467,10039,2454.000
2025-02-21,2463.000,2488.000,2459.000,2469.000,3271,9696,2475.000
2025-02-24,2465.000,2494.000,2452.000,2452.000,4184,10633,2473.000
2025-02-25,2452.000,2461.000,2441.000,2454.000,1788,10537,2452.000
2025-02-26,2447.000,2451.000,2425.000,2434.000,2593,10413,2438.000
2025-02-27,2433.000,2463.000,2424.000,2458.000,1957,10517,2441.000
2025-02-28,2461.000,2469.000,2435.000,2444.000,1950,10462,2448.000
2025-03-03,2440.000,2483.000,2430.000,2481.000,2820,11372,2460.000
2025-03-04,2480.000,2485.000,2442.000,2459.000,4141,10771,2461.000
2025-03-05,2446.000,2453.000,2374.000,2375.000,3379,10912,2413.000
2025-03-06,2385.000,2393.000,2375.000,2385.000,2375,11682,2382.000
2025-03-07,2382.000,2389.000,2366.000,2369.000,1727,11561,2375.000
2025-03-10,2376.000,2518.000,2363.000,2518.000,2348,11633,2487.000
2025-03-11,2610.000,2640.000,2494.000,2560.000,11813,12458,2545.000
2025-03-12,2570.000,2590.000,2521.000,2579.000,4983,12322,2560.000
2025-03-13,2560.000,2571.000,2509.000,2528.000,3025,11980,2538.000
2025-03-14,2531.000,2568.000,2523.000,2564.000,2262,11103,2542.000
2025-03-17,2554.000,2580.000,2550.000,2550.000,1414,11032,2564.000
2025-03-18,2551.000,2564.000,2537.000,2550.000,829,11059,2555.000
2025-03-19,2555.000,2569.000,2546.000,2556.000,763,10955,2558.000
2025-03-20,2558.000,2558.000,2505.000,2509.000,1968,10717,2530.000
