date,open,high,low,close,volume,open_interest,settle
2019-08-16,3500.000,3687.000,3500.000,3626.000,282,190,3615.000
2019-08-19,3647.000,3649.000,3581.000,3591.000,80,212,3616.000
2019-08-20,3581.000,3604.000,3576.000,3604.000,8,212,3591.000
2019-08-22,3551.000,3551.000,3551.000,3551.000,2,214,3551.000
2019-08-30,3529.000,3529.000,3526.000,3529.000,12,212,3528.000
2019-09-02,3540.000,3540.000,3540.000,3540.000,2,212,3540.000
2019-09-04,3514.000,3514.000,3512.000,3512.000,4,212,3513.000
2019-09-05,3538.000,3538.000,3538.000,3538.000,2,212,3538.000
2019-09-06,3547.000,3605.000,3547.000,3580.000,16,212,3575.000
2019-09-10,3548.000,3548.000,3548.000,3548.000,2,212,3548.000
2019-09-11,3580.000,3618.000,3559.000,3559.000,12,208,3589.000
2019-09-24,3572.000,3601.000,3572.000,3601.000,6,204,3591.000
2019-09-25,3606.000,3704.000,3606.000,3704.000,16,198,3656.000
2019-09-26,3607.000,3607.000,3574.000,3575.000,12,188,3596.000
2019-10-21,3537.000,3537.000,3537.000,3537.000,2,186,3537.000
2019-10-31,3588.000,3588.000,3588.000,3588.000,4,186,3588.000
2019-11-07,3602.000,3664.000,3538.000,3561.000,10,184,3605.000
2019-11-11,3556.000,3556.000,3556.000,3556.000,2,182,3556.000
2019-11-19,3535.000,3535.000,3528.000,3528.000,6,176,3530.000
2019-11-29,3579.000,3579.000,3579.000,3579.000,2,176,3579.000
2019-12-02,3487.000,3487.000,3487.000,3487.000,2,176,3487.000
2019-12-09,3412.000,3488.000,3412.000,3460.000,10,174,3463.000
2019-12-10,3403.000,3404.000,3403.000,3404.000,8,174,0.000
2019-12-11,3388.000,3438.000,3388.000,3438.000,8,174,3400.000
2019-12-13,3424.000,3424.000,3424.000,3424.000,2,174,3424.000
2019-12-23,3264.000,3360.000,3263.000,3341.000,18,168,0.000
2019-12-24,3279.000,3341.000,3279.000,3341.000,8,168,3323.000
2019-12-25,3247.000,3340.000,3247.000,3340.000,14,166,3305.000
2019-12-26,3355.000,3355.000,3355.000,3355.000,2,164,3355.000
2019-12-27,3320.000,3351.000,3320.000,3351.000,4,162,0.000
2019-12-30,3220.000,3220.000,3220.000,3220.000,2,162,3220.000
2020-01-02,3203.000,3203.000,3203.000,3203.000,1,81,3203.000
2020-01-06,3218.000,3230.000,3218.000,3230.000,2,80,3224.000
2020-01-08,3271.000,3271.000,3207.000,3251.000,4,81,3250.000
2020-01-09,3267.000,3267.000,3267.000,3267.000,1,80,3267.000
2020-01-13,3276.000,3276.000,3276.000,3276.000,1,80,0.000
2020-01-15,3310.000,3310.000,3271.000,3271.000,117,16,3271.000
2020-01-16,3043.000,3260.000,3043.000,3260.000,15,10,3138.000
2020-01-20,3263.000,3263.000,3263.000,3263.000,10,14,3263.000
2020-01-22,3149.000,3149.000,3135.000,3135.000,3,11,3144.000
2020-01-23,3123.000,3123.000,3123.000,3123.000,1,10,3123.000
2020-02-03,3187.000,3279.000,3187.000,3279.000,5,10,3223.000
2020-02-04,3190.000,3301.000,3190.000,3191.000,4,8,3218.000
2020-02-07,3297.000,3297.000,3297.000,3297.000,2,8,0.000
2020-02-10,3322.000,3338.000,3322.000,3323.000,3,7,0.000
2020-02-12,3332.000,3332.000,3332.000,3332.000,1,6,3332.000
2020-02-13,3338.000,3338.000,3200.000,3200.000,2,5,0.000
2020-02-14,3351.000,3352.000,3345.000,3352.000,4,4,3349.000
2020-02-17,3480.000,3482.000,3219.000,3352.000,9,1,3365.000
2020-02-18,3488.000,3488.000,3341.000,3341.000,6,1,0.000
2020-02-25,3278.000,3278.000,3278.000,3278.000,1,0,0.000
