date,open,high,low,close,volume,open_interest,settle
2022-01-18,16050.000,16190.000,15955.000,16020.000,759,674,16035.000
2022-01-19,16010.000,16225.000,16000.000,16045.000,374,914,16125.000
2022-01-20,16050.000,16230.000,16015.000,16060.000,291,962,16105.000
2022-01-21,16030.000,16100.000,15715.000,15760.000,209,985,15860.000
2022-01-24,15815.000,15815.000,15530.000,15555.000,108,1002,15620.000
2022-01-25,15555.000,15555.000,15420.000,15500.000,570,1507,15545.000
2022-01-26,15500.000,15610.000,15500.000,15515.000,61,1515,15555.000
2022-01-27,15505.000,15545.000,15280.000,15280.000,77,1527,15430.000
2022-01-28,15360.000,15445.000,15115.000,15330.000,124,1556,15255.000
2022-02-07,15515.000,15730.000,15515.000,15620.000,250,1726,15615.000
2022-02-08,15705.000,15870.000,15695.000,15845.000,190,1792,15810.000
2022-02-09,15810.000,15855.000,15690.000,15820.000,249,1873,15780.000
2022-02-10,15795.000,15955.000,15740.000,15925.000,352,2108,15840.000
2022-02-11,15945.000,15965.000,15675.000,15675.000,405,2257,15795.000
2022-02-14,15780.000,15875.000,15690.000,15795.000,387,2305,15800.000
2022-02-15,15740.000,15740.000,15405.000,15510.000,650,2619,15510.000
2022-02-16,15460.000,15545.000,15425.000,15445.000,366,2783,15465.000
2022-02-17,15445.000,15470.000,15195.000,15270.000,571,2983,15315.000
2022-02-18,15255.000,15645.000,15255.000,15535.000,275,3082,15450.000
2022-02-21,15525.000,15560.000,15460.000,15520.000,217,3107,15495.000
2022-02-22,15500.000,15525.000,15235.000,15300.000,676,3322,15320.000
2022-02-23,15345.000,15390.000,15280.000,15330.000,185,3327,15330.000
2022-02-24,15340.000,15500.000,15280.000,15350.000,338,3318,15360.000
2022-02-25,15425.000,15565.000,15155.000,15245.000,1007,3792,15270.000
2022-02-28,15300.000,15300.000,15155.000,15195.000,892,3479,15255.000
2022-03-01,15155.000,15155.000,14915.000,15070.000,1010,3855,15000.000
2022-03-02,15095.000,15375.000,15085.000,15285.000,700,4015,15240.000
2022-03-03,15300.000,15405.000,15270.000,15345.000,720,4429,15380.000
2022-03-04,15285.000,15315.000,15000.000,15100.000,876,4756,15180.000
2022-03-07,15100.000,15230.000,15025.000,15170.000,848,5141,15130.000
2022-03-08,15170.000,15210.000,14985.000,15050.000,905,5065,15095.000
2022-03-09,14980.000,15645.000,14980.000,15525.000,1917,5329,15435.000
2022-03-10,15505.000,15630.000,15380.000,15420.000,1446,5577,15500.000
2022-03-11,15450.000,15495.000,15050.000,15205.000,1742,5909,15280.000
2022-03-14,15210.000,15210.000,14860.000,14910.000,1246,6358,15000.000
2022-03-15,14855.000,14990.000,14740.000,14750.000,1542,6765,14890.000
2022-03-16,14775.000,14840.000,14550.000,14715.000,1453,7173,14725.000
2022-03-17,14725.000,14775.000,14590.000,14690.000,1205,7659,14705.000
2022-03-18,14735.000,14820.000,14710.000,14810.000,1005,7570,14770.000
2022-03-21,14805.000,14880.000,14580.000,14880.000,2427,7699,14745.000
2022-03-22,14880.000,14880.000,14770.000,14775.000,466,7696,14830.000
2022-03-23,14800.000,14815.000,14650.000,14715.000,683,7699,14750.000
2022-03-24,14750.000,14870.000,14750.000,14805.000,1118,7593,14800.000
2022-03-25,14800.000,14870.000,14710.000,14820.000,1583,8034,14800.000
2022-03-28,14815.000,14830.000,14650.000,14725.000,2014,7861,14755.000
2022-03-29,14685.000,14740.000,14625.000,14645.000,1003,8110,14655.000
2022-03-30,14605.000,14910.000,14490.000,14905.000,2846,8856,14730.000
2022-03-31,14900.000,14940.000,14825.000,14910.000,3905,9177,14895.000
