date,open,high,low,close,volume,open_interest,settle
2022-04-19,3119.000,3119.000,3058.000,3058.000,3,2,3086.000
2022-04-20,3103.000,3122.000,2902.000,3041.000,225,216,3042.000
2022-04-21,2975.000,2998.000,2912.000,2980.000,536,745,2975.000
2022-04-22,3000.000,3025.000,2977.000,3007.000,452,1185,3000.000
2022-04-25,2985.000,2998.000,2761.000,2783.000,36,1198,2838.000
2022-04-26,2767.000,2790.000,2665.000,2746.000,653,1811,2746.000
2022-04-27,2769.000,2839.000,2751.000,2805.000,23,1809,2806.000
2022-04-28,2836.000,2860.000,2802.000,2857.000,18,1808,2828.000
2022-04-29,2839.000,2839.000,2820.000,2838.000,331,1479,2820.000
2022-05-05,2794.000,2900.000,2794.000,2894.000,11,1484,2874.000
2022-05-06,2895.000,2902.000,2753.000,2773.000,1064,2408,2793.000
2022-05-09,2773.000,2773.000,2591.000,2591.000,125,2479,2675.000
2022-05-10,2552.000,2565.000,2461.000,2470.000,140,2514,2495.000
2022-05-11,2484.000,2580.000,2475.000,2548.000,1022,3425,2537.000
2022-05-12,2557.000,2569.000,2430.000,2455.000,651,3861,2529.000
2022-05-13,2455.000,2512.000,2432.000,2501.000,1833,2817,2505.000
2022-05-16,2512.000,2559.000,2478.000,2558.000,399,2935,2532.000
2022-05-17,2550.000,2590.000,2541.000,2559.000,113,2942,2559.000
2022-05-18,2560.000,2566.000,2515.000,2520.000,147,2981,2538.000
2022-05-19,2519.000,2560.000,2466.000,2551.000,516,3136,2514.000
2022-05-20,2524.000,2583.000,2524.000,2566.000,588,3289,2554.000
2022-05-23,2570.000,2598.000,2547.000,2573.000,351,3252,2570.000
2022-05-24,2566.000,2579.000,2543.000,2543.000,85,3250,2561.000
2022-05-25,2562.000,2581.000,2549.000,2578.000,503,3647,2569.000
2022-05-26,2564.000,2622.000,2550.000,2596.000,399,3900,2578.000
2022-05-27,2586.000,2691.000,2586.000,2667.000,391,4144,2658.000
2022-05-30,2657.000,2775.000,2649.000,2748.000,136,4149,2729.000
2022-05-31,2748.000,2787.000,2706.000,2724.000,598,4626,2734.000
