date,open,high,low,close,volume,open_interest,settle
2019-10-30,447.200,447.200,436.100,436.100,4,2,441.600
2019-12-16,440.100,449.900,440.100,449.900,4,2,445.000
2019-12-25,455.700,455.700,455.700,455.700,2,2,455.700
2020-01-03,475.000,475.000,475.000,475.000,1,2,475.000
2020-01-06,484.700,490.000,484.700,490.000,4,3,486.100
2020-01-07,479.000,479.000,479.000,479.000,1,3,479.000
2020-01-09,472.000,472.000,462.000,462.000,2,3,467.000
2020-01-10,456.500,456.500,456.500,456.500,4,7,456.500
2020-01-13,454.000,454.000,454.000,454.000,1,8,454.000
2020-02-04,393.800,406.700,393.600,406.700,10,12,398.900
2020-02-05,406.000,407.400,406.000,407.400,2,11,406.700
2020-02-07,408.000,408.000,408.000,408.000,1,12,408.000
2020-02-10,407.600,407.600,407.600,407.600,1,12,407.600
2020-02-12,407.600,413.600,405.500,405.500,3,12,408.900
2020-02-13,418.400,418.400,410.000,413.300,4,12,412.900
2020-02-18,416.400,416.400,416.400,416.400,2,12,416.400
2020-02-19,422.800,422.800,422.800,422.800,2,12,422.800
2020-02-20,428.300,428.300,428.300,428.300,3,10,428.300
2020-02-24,410.200,410.200,410.200,410.200,1,10,410.200
2020-02-26,404.000,405.300,404.000,405.300,2,11,404.600
2020-02-27,392.700,392.800,387.000,387.000,6,14,391.100
2020-02-28,373.200,373.200,373.000,373.000,3,12,373.100
2020-03-03,383.300,383.300,383.300,383.300,1,12,383.300
2020-03-05,389.600,389.600,389.600,389.600,1,13,389.600
2020-03-06,378.000,378.000,375.000,375.000,5,16,376.600
2020-03-09,354.000,354.000,354.000,354.000,2,16,354.000
2020-03-10,322.100,322.100,322.100,322.100,104,107,322.100
2020-03-11,318.000,328.900,305.000,305.000,63,124,318.700
2020-03-12,301.400,301.700,287.100,296.100,39,138,294.200
2020-03-13,294.300,304.800,284.600,304.800,151,176,292.800
2020-03-16,292.200,298.000,283.500,286.300,65,200,293.800
2020-03-17,284.100,284.100,280.000,280.700,18,198,281.100
2020-03-18,274.700,276.800,265.300,270.900,41,211,274.400
2020-03-19,264.900,267.100,250.400,265.000,95,217,257.800
2020-03-20,274.100,281.000,273.200,281.000,20,207,275.200
2020-03-23,266.000,275.200,266.000,274.500,42,203,273.700
2020-03-24,288.500,292.600,283.800,292.600,15,210,287.000
2020-03-25,291.000,293.800,290.000,291.500,26,220,292.200
2020-03-26,291.000,291.100,287.200,288.500,111,259,289.500
2020-03-27,289.300,290.500,281.700,283.300,266,347,284.600
2020-03-30,279.800,281.700,272.500,279.800,841,627,277.200
2020-03-31,279.800,297.700,279.800,293.100,396,720,291.800
2020-04-01,289.000,293.600,287.300,289.000,216,741,288.900
2020-04-02,288.000,317.600,288.000,317.500,554,915,304.500
2020-04-03,322.000,322.000,303.800,311.500,625,1033,312.000
