date,open,high,low,close,volume,open_interest,settle
2022-07-20,7500.000,7500.000,7500.000,7500.000,1,1,7500.000
2022-07-22,7338.000,7342.000,7338.000,7342.000,2,1,7340.000
2022-07-25,7318.000,7318.000,7302.000,7302.000,2,3,7310.000
2022-07-26,7228.000,7388.000,7208.000,7388.000,6,1,7298.000
2022-07-27,7310.000,7412.000,7310.000,7412.000,2,1,7362.000
2022-07-28,7488.000,7488.000,7488.000,7488.000,1,1,7488.000
2022-08-01,7796.000,7796.000,7796.000,7796.000,80,81,7796.000
2022-08-02,7796.000,7816.000,7796.000,7816.000,118,198,7796.000
2022-08-04,7796.000,7796.000,7796.000,7796.000,20,218,7796.000
2022-08-05,7604.000,7604.000,7536.000,7536.000,96,313,7538.000
2022-08-08,7594.000,7594.000,7594.000,7594.000,1,313,7594.000
2022-08-11,7706.000,7768.000,7706.000,7768.000,2,314,7738.000
2022-08-12,7744.000,7744.000,7744.000,7744.000,75,389,7744.000
2022-08-15,7772.000,7772.000,7772.000,7772.000,1,388,7772.000
2022-08-17,7538.000,7538.000,7538.000,7538.000,1,388,7538.000
2022-08-18,7496.000,7530.000,7410.000,7410.000,4,391,7470.000
2022-08-19,7390.000,7390.000,7312.000,7312.000,5,394,7344.000
2022-08-22,7478.000,7478.000,7478.000,7478.000,2,393,7478.000
2022-08-23,7512.000,7512.000,7512.000,7512.000,1,393,7512.000
2022-08-26,7780.000,7780.000,7772.000,7778.000,3,395,7778.000
2022-08-29,7670.000,7670.000,7670.000,7670.000,1,394,7670.000
2022-09-02,7468.000,7468.000,7468.000,7468.000,1,394,7468.000
2022-09-15,7980.000,8016.000,7980.000,8016.000,2,394,7998.000
2022-09-21,7908.000,7908.000,7908.000,7908.000,137,257,7908.000
2022-09-22,8188.000,8188.000,8188.000,8188.000,1,256,8188.000
2022-09-26,8054.000,8054.000,8054.000,8054.000,1,256,8054.000
2022-10-10,8262.000,8298.000,8254.000,8278.000,5,253,8272.000
2022-10-17,7916.000,7916.000,7916.000,7916.000,10,243,7916.000
2022-10-19,8128.000,8128.000,8128.000,8128.000,1,243,8128.000
2022-10-24,7872.000,7872.000,7808.000,7808.000,3,245,7840.000
2022-10-25,7722.000,7730.000,7594.000,7594.000,17,256,7682.000
2022-10-26,7596.000,7620.000,7596.000,7620.000,2,256,7608.000
2022-10-31,7484.000,7558.000,7484.000,7546.000,144,398,7556.000
2022-11-02,7610.000,7610.000,7610.000,7610.000,50,348,7610.000
2022-11-04,7952.000,7952.000,7946.000,7948.000,3,346,7950.000
2022-11-07,8012.000,8032.000,7834.000,7834.000,6,350,7982.000
2022-11-09,8106.000,8136.000,8032.000,8032.000,4,352,8078.000
2022-11-10,8058.000,8058.000,7824.000,7954.000,11,361,7978.000
2022-11-11,8122.000,8130.000,8112.000,8112.000,3,359,8122.000
2022-11-14,8110.000,8110.000,8110.000,8110.000,1,359,8110.000
2022-11-15,8322.000,8322.000,8314.000,8314.000,9,368,8318.000
2022-11-16,8410.000,8546.000,8306.000,8356.000,20,385,8456.000
2022-11-17,8202.000,8204.000,8202.000,8204.000,2,385,8204.000
2022-11-18,8450.000,8450.000,8450.000,8450.000,45,430,8450.000
2022-11-23,7942.000,7954.000,7876.000,7954.000,172,601,7896.000
2022-11-24,8068.000,8094.000,8068.000,8094.000,3,603,8078.000
2022-12-06,8260.000,8260.000,8260.000,8260.000,1,603,8260.000
2022-12-19,8048.000,8122.000,8042.000,8052.000,1266,1869,8060.000
2022-12-20,7992.000,7992.000,7992.000,7992.000,1,1869,7992.000
2022-12-22,8196.000,8200.000,8196.000,8200.000,2,1868,8198.000
